day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.57,8.83,0,21.12
2,1,1981,22.48,9.72,0.85,22.53
3,1,1981,23.9,9.39,0,20.94
4,1,1981,23.7,10.14,7.04,19.84
5,1,1981,24.3,9.29,0,21.97
6,1,1981,23.12,10.46,0,19.84
7,1,1981,24.71,9.74,0,23.75
8,1,1981,23.91,9.39,0,24.84
9,1,1981,23.83,9,0,25.15
10,1,1981,23.27,8.45,0,23.2
11,1,1981,24.41,9.03,0,23.59
12,1,1981,23.95,9.15,0,22.71
13,1,1981,23.35,9.42,0,21.84
14,1,1981,23.23,9.28,0,19.62
15,1,1981,23,9.65,0,19.9
16,1,1981,22.8,9.17,0,20.96
17,1,1981,24.77,8.66,0,24.8
18,1,1981,24.51,9.22,0,24.08
19,1,1981,24.97,8.87,0,25.25
20,1,1981,24.34,9.08,0,25.39
21,1,1981,24.31,8.71,0,23.02
22,1,1981,24.62,9.43,0,21.89
23,1,1981,24.79,9.8,0,22.27
24,1,1981,24.93,9.65,0,25.11
25,1,1981,24.92,9.06,0,25.46
26,1,1981,24.72,9.23,0,25.92
27,1,1981,24.93,8.81,0,26.11
28,1,1981,25.15,8.52,0,26.4
29,1,1981,25.2,8.85,0,25.48
30,1,1981,22.85,10.11,0,20.41
31,1,1981,25.07,9.67,0,24.3
1,2,1981,23.76,8.3,0,26.38
2,2,1981,24.38,8.48,0,26.28
3,2,1981,24.87,8.96,0,26.58
4,2,1981,24.41,8.86,0,26.12
5,2,1981,24.29,9.31,0,26.12
6,2,1981,24.5,9.5,0,26.41
7,2,1981,24.74,8.54,0,26.49
8,2,1981,26,8.55,0,26
9,2,1981,24.51,9.44,0,22.28
10,2,1981,24.2,9.9,0,22.79
11,2,1981,24.47,10.39,0,21.44
12,2,1981,22.85,11.34,0,19.62
13,2,1981,22.03,12.04,0,18.35
14,2,1981,22.27,10.79,19.28,20.23
15,2,1981,22.84,11.37,0,21.03
16,2,1981,20.83,11.91,0,16.98
17,2,1981,22.22,11.01,0,19.88
18,2,1981,23.18,11.51,7.73,21.54
19,2,1981,23.09,10.96,0,20.49
20,2,1981,24.09,10.05,0,22.93
21,2,1981,24.72,9.8,0,26.08
22,2,1981,25.01,9.97,0,25.08
23,2,1981,25.68,9.94,0,26.78
24,2,1981,25.78,9.95,0,25.86
25,2,1981,26,10.3,5,26.32
26,2,1981,25.16,10.16,0,25.47
27,2,1981,24.62,9.87,2.55,24.49
28,2,1981,24.75,11.46,0,22.55
1,3,1981,24.08,11.25,0,22.4
2,3,1981,23.19,12.31,0,19.15
3,3,1981,23.5,11.94,0,19.85
4,3,1981,22.39,12.33,2.12,20.33
5,3,1981,23.37,12.02,0,18.88
6,3,1981,22.42,11.75,3,19.71
7,3,1981,24.46,11.75,0,23.23
8,3,1981,24.49,10.22,0,27.11
9,3,1981,24.36,10.41,0,22.59
10,3,1981,23.03,11.29,0,20.97
11,3,1981,21.16,12.56,3.63,16.38
12,3,1981,22.54,11.66,0,19.7
13,3,1981,21.81,12.6,0,20.65
14,3,1981,21.98,11.55,0,18.81
15,3,1981,21.93,12.63,0,18.29
16,3,1981,22.61,13.06,0.91,16.48
17,3,1981,22.91,11.97,5.84,20.23
18,3,1981,21.44,12.47,4.85,16.76
19,3,1981,20.82,12.56,9.56,14.88
20,3,1981,20.86,10.92,31.9,18.85
21,3,1981,20.73,12.15,48.02,18.11
22,3,1981,20.51,11.97,7.89,16.06
23,3,1981,20.12,11.19,8.17,14.88
24,3,1981,21.69,10.9,7.16,19.52
25,3,1981,19.27,12.74,5.84,11.91
26,3,1981,20.87,11.77,8.19,16.12
27,3,1981,20.91,12.2,0,15.39
28,3,1981,21.13,12.79,4.96,17.94
29,3,1981,22.46,11.97,0,20.96
30,3,1981,23.06,10.62,15.51,22.29
31,3,1981,22.04,12.65,17.49,17.78
1,4,1981,21.59,13.23,23.82,16.63
2,4,1981,20.81,13.17,0,16.07
3,4,1981,22.01,12.75,2.11,22.34
4,4,1981,22.45,10.81,0,23.34
5,4,1981,20.71,12.75,0,17.28
6,4,1981,21.69,11.3,5.78,18.79
7,4,1981,22.75,11,0.44,20.84
8,4,1981,22.28,12.22,9.22,21.79
9,4,1981,22.34,12.26,7.19,19.89
10,4,1981,21.15,12.37,9.04,18.1
11,4,1981,20.12,12.14,27.79,15.87
