day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.31,18.15,0,21.18
2,1,1981,29.06,17.88,0,23.56
3,1,1981,28.63,17.76,0,19.55
4,1,1981,28.02,18.11,0,19.17
5,1,1981,29.03,17.8,0,19.45
6,1,1981,27.67,18.25,0,18.5
7,1,1981,28.98,17.9,0,24.78
8,1,1981,28.56,18.15,0,25.01
9,1,1981,28.62,17.32,0,25.17
10,1,1981,28.68,17.48,0,23.94
11,1,1981,29,18.07,0,25
12,1,1981,28.86,17.7,0,23.27
13,1,1981,28.68,18.47,0,20.04
14,1,1981,28.98,17.78,0,20.1
15,1,1981,29.02,18.14,0,21.61
16,1,1981,27.07,18.15,0,17.67
17,1,1981,28.78,17.33,0,25.03
18,1,1981,28.75,17.79,0,25.27
19,1,1981,29.66,17,0,25.75
20,1,1981,29.39,17.7,0,25.59
21,1,1981,28.77,17.33,0,24.38
22,1,1981,29.76,17.98,0,21.08
23,1,1981,30.2,17.94,0,23.28
24,1,1981,30.05,18.4,0,25.3
25,1,1981,29.88,18.34,0,24.67
26,1,1981,29.66,17.73,0,25.9
27,1,1981,30.7,17.73,0,26.26
28,1,1981,30.34,17,0,26.2
29,1,1981,30.37,18.37,0,25.72
30,1,1981,29.61,19.33,0,23.28
31,1,1981,30.04,18.68,0,25.81
1,2,1981,29.25,18.71,0,25.93
2,2,1981,29.35,18.02,0,26.26
3,2,1981,30.42,18.73,0,26.34
4,2,1981,29.37,18.56,0,25.85
5,2,1981,28.89,18.45,0,25.89
6,2,1981,29.61,18.52,0,26.1
7,2,1981,29.77,18.03,0,26.55
8,2,1981,30.09,17.92,0,26.27
9,2,1981,30.32,18.66,0,22.48
10,2,1981,29.71,19.4,0,23.42
11,2,1981,29.37,19.38,0,21.31
12,2,1981,30.13,20.16,0,21.3
13,2,1981,26.79,18.66,0.46,19.9
14,2,1981,25.63,18.77,17.89,18.78
15,2,1981,26.41,18.46,0,21.09
16,2,1981,26.22,19.1,0,16.87
17,2,1981,28.05,18.81,0,19.6
18,2,1981,29.71,18.87,0,24.22
19,2,1981,29.51,18.5,0,22.36
20,2,1981,30.4,18.76,0,25.54
21,2,1981,30.86,18.61,0,26.47
