day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.59,10.75,0,21.57
2,1,1981,24.27,11.27,0,22.9
3,1,1981,24.59,11.16,2.69,20.49
4,1,1981,23.89,11.12,4.03,20.02
5,1,1981,24.96,10.55,0,21.94
6,1,1981,23.63,11.43,0,19.98
7,1,1981,24.67,10.92,0,24.25
8,1,1981,24.22,10.92,0,24.97
9,1,1981,24.13,11.68,0,25.39
10,1,1981,23.68,10.02,0,23.74
11,1,1981,24.55,10.54,0,24.27
12,1,1981,24.88,10.89,0,23.19
13,1,1981,24.68,11.91,0,21.95
14,1,1981,23.64,11.1,0,19.89
15,1,1981,23.88,11.27,0,20.85
16,1,1981,23.33,11.06,0,21.13
17,1,1981,25.08,10.58,0,25.25
18,1,1981,25.11,11.94,0,24.47
19,1,1981,25.33,11.03,0,25.58
20,1,1981,25.01,11.01,0,25.68
21,1,1981,25.27,10.93,0,23.34
22,1,1981,25.43,11.43,0,22.14
23,1,1981,25.57,11.37,0,22.82
24,1,1981,25.59,11.35,0,25.62
25,1,1981,25.49,10.95,0,25.41
26,1,1981,25.3,11.14,0,25.9
27,1,1981,25.75,10.49,0,26.18
28,1,1981,25.86,9.99,0,26.33
29,1,1981,25.67,10.88,0,25.81
30,1,1981,25.01,11.9,0,20.72
31,1,1981,25.52,11.09,0,25.19
1,2,1981,24.75,11.22,0,26.26
2,2,1981,25.06,10.67,0,26.45
3,2,1981,25.57,10.62,0,26.48
4,2,1981,25.13,10.48,0,26.41
5,2,1981,24.96,11.05,0,26.3
6,2,1981,25.15,11.21,0,26.54
7,2,1981,25.33,10.54,0,26.53
8,2,1981,25.63,10.57,0,25.94
9,2,1981,25.61,11.72,0,21.98
10,2,1981,24.95,12.19,0,23.33
11,2,1981,25.09,11.75,0,21.34
12,2,1981,23.93,12.97,0,20.13
13,2,1981,23.19,13.72,0,18.2
14,2,1981,22.74,12.68,21.51,19.74
15,2,1981,23.81,13.3,0,20.1
16,2,1981,22.01,13.83,0,16.82
17,2,1981,23.21,12.76,0,19.74
18,2,1981,24.45,13.17,0,21.73
19,2,1981,24.17,12.5,0,19.98
20,2,1981,25.33,11.71,0,23.6
21,2,1981,25.61,11.49,0,26.41
22,2,1981,25.89,11.71,0,25.56
23,2,1981,26.39,11.74,0,26.77
24,2,1981,26.81,11.66,0,26.31
25,2,1981,26.75,12.01,5.02,26.64
26,2,1981,26.07,11.75,0,25.8
27,2,1981,26.27,11.67,0.76,24.85
28,2,1981,25.87,12.53,0,21.89
1,3,1981,24.99,12.65,0,21.54
2,3,1981,23.99,13.78,0,18.8
3,3,1981,24.72,13.36,0,19.39
4,3,1981,23.78,13.59,3.81,20.14
5,3,1981,23.89,13.41,0,18.87
6,3,1981,23.28,13.06,0,19.48
7,3,1981,25.25,13.2,0,24.34
8,3,1981,25.4,11.76,0,26.92
9,3,1981,25.04,12.09,0,22.21
10,3,1981,23.66,12.68,3.34,20.78
11,3,1981,21.62,13.93,0,15.54
12,3,1981,23.24,12.85,0,19.8
13,3,1981,22.78,13.68,0,20.92
14,3,1981,22.84,13.22,15.05,18.94
15,3,1981,22.86,13.51,0,18.58
16,3,1981,23.39,14.21,0,17.22
17,3,1981,23.34,13.29,0,20.48
18,3,1981,22.1,13.6,0,16.48
19,3,1981,20.66,13.97,0,13.32
20,3,1981,21.69,12.1,56.41,18.78
21,3,1981,21.72,13.21,49.34,18.23
22,3,1981,21.13,13.37,7.59,15.19
23,3,1981,20.72,12.03,9.45,15.92
24,3,1981,21.99,12.19,7.49,19.86
25,3,1981,20.5,13.97,5.97,13.5
26,3,1981,21.07,13.16,0.71,15.3
27,3,1981,21.69,13.48,0,16.82
28,3,1981,21.98,13.87,0,18.28
29,3,1981,23.12,13.08,0,21.76
30,3,1981,23.41,11.64,34.93,22.51
31,3,1981,22.61,13.52,15.21,18.47
1,4,1981,22.02,14.16,23.76,18
2,4,1981,21.71,14.31,0,17.5
3,4,1981,22.68,13.7,0,22.68
4,4,1981,22.64,11.86,0,22.42
5,4,1981,21.25,13.41,0,17.96
6,4,1981,21.86,12.61,0,19.07
7,4,1981,22.8,12.17,0,20.48
8,4,1981,22.63,13,9.7,21.94
9,4,1981,23.04,12.89,13.27,19.96
10,4,1981,21.71,13.38,7.45,17.76
11,4,1981,20.24,13.13,27.63,15.11
12,4,1981,22.41,14.33,42.22,17.28
13,4,1981,22.07,13.34,3.43,18.98
14,4,1981,22.11,13.67,0,18.79
15,4,1981,21.5,14.1,7.82,16.37
16,4,1981,22.9,14.63,0,18.6
17,4,1981,22.21,14.78,5.77,17.16
18,4,1981,18.72,14.42,27.43,11
19,4,1981,20.77,13.86,10.96,15.9
20,4,1981,20.54,14.55,17.78,15.23
21,4,1981,19.99,13.88,9.97,14.61
22,4,1981,20.98,13.13,20.34,16.85
23,4,1981,19.18,13.58,31.77,13.79
24,4,1981,20.78,12.45,25.98,18.11
25,4,1981,20.46,12.32,0,18.56
26,4,1981,20.47,13,6.8,17.21
27,4,1981,20.66,13.53,6.08,16.26
28,4,1981,21.04,12.56,4.57,19.83
29,4,1981,22.11,14.48,0,18.93
30,4,1981,22.43,13.19,0,21.95
1,5,1981,21.76,12.97,0,19.6
2,5,1981,20.98,13.93,0,18.34
3,5,1981,22.16,12.3,3.48,21.82
4,5,1981,21.44,12.9,0,19.75
5,5,1981,22.16,12.18,12.49,21.46
6,5,1981,22.09,12.5,0,21.27
7,5,1981,21.9,13.69,8.96,20.1
8,5,1981,21.75,13.93,10.45,19.46
9,5,1981,21.15,13.51,0,18.92
10,5,1981,20.43,13.87,0,17.07
11,5,1981,20.28,13.61,0,17.25
12,5,1981,20.04,14.42,10.44,14.63
13,5,1981,21.39,12.92,9.04,16.36
14,5,1981,20.77,13.88,12.34,18.09
15,5,1981,19.68,14.07,11.05,14.46
16,5,1981,21.56,13.67,3.13,19.15
17,5,1981,21.88,13.97,2.28,19.41
18,5,1981,21.45,14.06,0,19.25
19,5,1981,20.8,14.12,0,18.3
20,5,1981,20.29,14.45,0,17.19
21,5,1981,19.79,13.92,0,15.83
22,5,1981,19.8,14.16,0,16.46
23,5,1981,18.33,14.08,0,12.55
24,5,1981,18.68,13.62,14.2,13.71
25,5,1981,18.51,13.92,13.05,12.16
26,5,1981,20.39,13.99,0,16.51
27,5,1981,19.44,12.93,0,16.85
28,5,1981,20.78,12.97,0,16.17
29,5,1981,20.59,12.62,0,16.51
30,5,1981,19.51,14.09,12.88,14.51
31,5,1981,19.47,14.16,5.61,13.02
1,6,1981,19.26,13.74,0,13.39
2,6,1981,19.87,13.3,0,14.71
3,6,1981,19.44,13.36,0,13.43
4,6,1981,18.97,13.24,0,14.19
5,6,1981,17.7,13.23,0,8.44
6,6,1981,18.95,13.19,1,11.27
7,6,1981,18.44,13.82,0,9.81
8,6,1981,17.57,13.64,0,8.05
9,6,1981,17.45,13.61,0,9.68
10,6,1981,17.7,13.14,0,8.77
11,6,1981,19.05,13.24,0,15.15
12,6,1981,16.77,13.38,0,9.47
13,6,1981,17.28,12.88,0,10.96
14,6,1981,19.24,10.85,0,16.92
15,6,1981,19.44,10.9,0,15.23
16,6,1981,20.32,10.64,1.21,15.34
17,6,1981,18.17,13.7,0,11.47
18,6,1981,18.67,13.64,0,11.46
19,6,1981,17.48,13.35,0,9.94
20,6,1981,18,12.93,0,10.77
21,6,1981,19.72,13.11,0,13.26
22,6,1981,20.42,11.16,0,15.19
23,6,1981,20.76,11.88,6.04,14.44
24,6,1981,18.67,12.84,0,11
25,6,1981,17.08,13.63,0,8.48
26,6,1981,20.53,12.18,2.45,14.46
27,6,1981,20.56,11.25,0,16.29
28,6,1981,19.38,12.52,0,12.42
29,6,1981,19.44,12.76,0,14.35
30,6,1981,18.37,13.48,20.22,10.16
1,7,1981,19.1,13.39,11.53,11.55
2,7,1981,18.25,13.24,0,11.45
3,7,1981,17.66,13.5,0,11.01
4,7,1981,17.86,13.12,0,11.51
5,7,1981,17.11,12.9,0,10.75
6,7,1981,17.19,12.84,0,11.73
7,7,1981,17.78,13.06,0,11.97
8,7,1981,18.31,12.74,0,13.69
9,7,1981,19.38,11.33,0,15.42
10,7,1981,18.26,13.05,0,12.21
11,7,1981,18.59,12.34,0,13.43
12,7,1981,17.23,11.68,0,11.64
13,7,1981,17.96,12.9,0,10.61
14,7,1981,18.31,13.14,0,11.73
15,7,1981,16.61,12.94,5,10.02
16,7,1981,16.55,12.83,0,8.18
17,7,1981,18.4,12.78,0,12.13
18,7,1981,16.85,13.11,0,8.04
19,7,1981,17.1,12.91,0,10.25
20,7,1981,16.64,13,0,8.19
21,7,1981,17.38,13.04,0,10.61
22,7,1981,16.56,13.05,0,7.87
23,7,1981,16.32,12.76,0,7.89
24,7,1981,17.58,12.55,0,10.21
25,7,1981,17.96,12.85,0,11.97
26,7,1981,16.52,12.13,0,8.31
27,7,1981,17.57,12.84,0,11.39
28,7,1981,18.32,13.07,0,11.91
29,7,1981,18.89,12.82,1.15,13.99
30,7,1981,16.67,12.24,8.73,7.92
31,7,1981,16.23,12.75,3.24,7.65
1,8,1981,21.13,12.62,0,15.89
2,8,1981,21.24,11.96,1.57,15.74
3,8,1981,18.42,13.29,0,10.42
4,8,1981,16.27,12.61,0,7.76
5,8,1981,18.52,12.84,0.23,11.49
6,8,1981,16.04,13.25,3.4,7.71
7,8,1981,15.53,12.93,7.9,6.37
8,8,1981,18.76,12.8,0,15.26
9,8,1981,19.45,13.09,0,15.19
10,8,1981,18.59,13.6,0,12.73
11,8,1981,17.71,13.39,0,9.37
12,8,1981,17.1,13.26,24.46,8.62
13,8,1981,15.94,12.88,0,5.67
14,8,1981,18.04,12.87,0,12.69
15,8,1981,18.95,12.72,0,13.92
16,8,1981,17.95,12.65,0,12.63
17,8,1981,18.66,11.57,0,15.8
18,8,1981,20.13,10.94,0,18.85
19,8,1981,19.44,11.03,0,16.97
20,8,1981,18.03,12.38,0,14.98
21,8,1981,17,11.74,0,11.41
22,8,1981,18.26,10.89,0,12.53
23,8,1981,17.57,12.88,0,12.76
24,8,1981,16.78,12.68,0,12.09
25,8,1981,18.88,11.78,0,14.35
26,8,1981,19.83,12.29,0,16.38
27,8,1981,20.01,11.94,0,17.62
28,8,1981,20.55,12.11,8.7,18.1
29,8,1981,20.16,12.11,0,16.53
30,8,1981,20.47,11.99,0,17.65
31,8,1981,19.43,12.12,0,15.68
1,9,1981,19.07,12.03,0,15.8
2,9,1981,18.97,12.58,0,12.93
3,9,1981,18.09,12.21,12.2,11.05
4,9,1981,18.26,11.46,0,12.97
5,9,1981,17.65,11.45,0,11.82
6,9,1981,18.42,12.04,0,14.02
7,9,1981,18.1,12.54,0,12.12
8,9,1981,18.45,11.67,0,14.84
9,9,1981,19.09,11.63,0,17.3
10,9,1981,19.88,10.33,0,18.98
