day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.19,14.29,0,21.85
2,1,1981,27.4,14.27,0,23.33
3,1,1981,26.83,14.77,0,19.02
4,1,1981,26.9,15.63,3.46,19.96
5,1,1981,27.77,13.42,3.46,20.97
6,1,1981,26.67,14.59,0,20.95
7,1,1981,27.66,13.79,0,24.8
8,1,1981,27.44,13.91,0,25.09
9,1,1981,27.37,13.14,0,25.4
10,1,1981,27.39,13.01,0,24.72
11,1,1981,27.68,14.1,0,25.11
12,1,1981,27.58,14.22,0,22.28
13,1,1981,26.99,14.51,0,19.87
14,1,1981,26.98,14.06,0,19.58
15,1,1981,26.96,14.16,0,19.4
16,1,1981,25.83,13.91,0,17.92
17,1,1981,27.63,13.43,0,25.32
18,1,1981,27.6,13.93,0,25.25
19,1,1981,28.04,13.34,0,25.74
20,1,1981,28,13.69,0,25.72
21,1,1981,27.69,13.76,0,23.9
22,1,1981,27.88,14.42,0,21.63
23,1,1981,28.38,14.43,0,23.72
24,1,1981,28.47,14.45,0,25.47
25,1,1981,28.39,14.25,0,25.22
26,1,1981,28.27,13.65,0,26.03
27,1,1981,29.02,13.64,0,26.27
28,1,1981,28.96,13.55,0,26.33
29,1,1981,28.62,14.22,0,25.9
30,1,1981,27.26,14.99,0,21.13
31,1,1981,28.46,14.49,0,25.73
1,2,1981,27.95,13.8,0,25.85
2,2,1981,28.1,13.83,0,26.38
3,2,1981,28.85,14.05,0,26.38
4,2,1981,28.27,13.98,0,26.24
5,2,1981,28.05,14.1,0,26.32
6,2,1981,28.26,13.93,0,26.37
7,2,1981,28.36,13.5,0,26.57
8,2,1981,28.41,13.9,0,26.38
9,2,1981,28.17,14.82,0,21.86
10,2,1981,28.05,15.3,0,23.53
11,2,1981,27.62,15.42,0,22
12,2,1981,27.81,16.47,0,21.48
13,2,1981,25.97,16.5,0,18.99
14,2,1981,25.53,16.44,16.54,18.92
15,2,1981,25.65,16.37,0,20.33
16,2,1981,24.84,17.37,0,17.95
17,2,1981,26.73,16.85,0,20.01
18,2,1981,28.36,16.11,0,22.58
19,2,1981,28.18,15.76,0.61,21.38
20,2,1981,29.03,15.25,0,24.24
21,2,1981,29.07,15.01,0,26.38
22,2,1981,29.36,15.23,0,25.59
23,2,1981,29.69,15.44,0,26.51
24,2,1981,30.03,15.45,0,26.22
25,2,1981,30.03,15.84,0,26.52
26,2,1981,29.38,15.52,0,25.62
27,2,1981,29.23,15.14,3.66,25.11
28,2,1981,29.23,16.24,0,21.33
1,3,1981,27.86,16.24,0,19.2
2,3,1981,26.9,16.85,0,18.7
3,3,1981,27.24,16.72,0,18.75
4,3,1981,26.27,17.89,3.2,19.99
5,3,1981,25.89,17.19,0,18.94
6,3,1981,27.19,16.73,0,18.21
7,3,1981,28.79,16.69,0,26.56
8,3,1981,29.2,15.6,0,25.85
9,3,1981,27.87,15.89,0,22.36
10,3,1981,26.55,16.62,3.47,19.97
11,3,1981,23.94,16.34,0,16.46
12,3,1981,24.88,15.13,0,19.23
13,3,1981,25.1,16.26,0,20.23
14,3,1981,25.1,16.42,19.69,20.11
15,3,1981,24.48,16.62,0,18.37
16,3,1981,24.73,16.17,0,17.18
17,3,1981,25.14,15.97,0,22.05
18,3,1981,24.34,15.82,5.6,18.46
19,3,1981,21.42,16.61,0,12.05
20,3,1981,22.89,14.94,43.74,18.55
21,3,1981,24.56,15.02,21.64,20
22,3,1981,22.14,15.58,19.42,14.96
23,3,1981,22.63,15.66,13.18,15.94
24,3,1981,23.78,14.79,21.22,19.53
25,3,1981,23.14,16.27,0,16.61
26,3,1981,23.44,15.76,15.83,16.4
27,3,1981,23.19,15.74,0,16.76
28,3,1981,23.49,16.65,0,18.81
29,3,1981,24.73,15.33,0,22.74
30,3,1981,25.34,15.21,19.7,22.53
31,3,1981,24.54,15.97,19.22,20.65
1,4,1981,23.95,16.08,15.04,18.17
2,4,1981,22.83,15.77,0,16.59
3,4,1981,25.54,14.84,0,24.06
4,4,1981,24.17,15.13,0,21.81
5,4,1981,24.25,15.85,0,18.72
6,4,1981,25.09,14.86,0,22.45
7,4,1981,25.27,15.56,0,22.36
8,4,1981,25.27,16.67,7.74,22.75
9,4,1981,25.37,16.64,8.53,22.04
10,4,1981,24.75,16.2,7.34,19.38
11,4,1981,22.34,16.26,33.26,14.56
12,4,1981,23.85,16.02,40.43,19.46
13,4,1981,23.26,16.52,4.54,18.91
14,4,1981,23.97,16.06,0,20.16
15,4,1981,22.83,16.97,7.5,18.76
16,4,1981,23.73,16.88,0,19.38
17,4,1981,22.7,16.73,0,16.68
18,4,1981,21.76,16.49,19.7,13.98
19,4,1981,22.48,16.17,19.42,15.77
