day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.63,7.27,0,19.85
2,1,1981,19.01,8.34,0.46,21.83
3,1,1981,20.58,7.9,0.52,20.69
4,1,1981,20.95,8.65,7.6,19.29
5,1,1981,21.49,8.89,0,21.77
6,1,1981,19.95,8.32,0,18.78
7,1,1981,21.72,7.89,0,23.37
8,1,1981,21.01,7.73,0,24.32
9,1,1981,20.79,7.35,0,24.61
10,1,1981,20.47,6.58,0,22.28
11,1,1981,21.58,6.96,0,22.76
12,1,1981,20.36,7.77,0,21.64
13,1,1981,20.82,8.3,0,21.4
14,1,1981,19.95,7.89,0,18.49
15,1,1981,19.95,8.48,0,19.53
16,1,1981,20.39,7.54,0,21.45
17,1,1981,22.06,7.02,0,24.19
18,1,1981,21.62,7.66,0,23.11
19,1,1981,22.45,7.38,0,25.02
20,1,1981,21.77,7.53,0,25.06
21,1,1981,21.47,7.36,0,22.01
22,1,1981,21.4,8.45,0,20.51
23,1,1981,21.57,8.79,0,20.74
24,1,1981,22.19,8.27,0,24.69
25,1,1981,22.35,7.5,0,25.31
26,1,1981,22.11,7.91,0,25.48
27,1,1981,22.25,7.23,0,26.03
28,1,1981,22.52,7.71,0,26.39
29,1,1981,22.38,7.34,0,25.02
30,1,1981,19.84,8.67,0,19.83
31,1,1981,22,8.72,0,24.03
1,2,1981,20.77,6.63,0,26.48
2,2,1981,21.53,6.84,0,25.94
3,2,1981,22.1,7.04,0,26.59
4,2,1981,21.43,7.47,0,26
5,2,1981,21.25,7.85,0,25.44
6,2,1981,21.64,7.94,0,26.04
7,2,1981,21.87,7.21,0,26.51
8,2,1981,23.42,7.08,0,25.85
9,2,1981,21,7.95,0,21.15
10,2,1981,20.88,8.51,0,22.26
11,2,1981,21.41,9.28,0,19.85
12,2,1981,19.62,9.13,0,18.64
13,2,1981,19.27,10.04,0,17.14
14,2,1981,19.29,9.12,18.98,20.44
15,2,1981,19.86,9.6,0,20.74
16,2,1981,17.48,10.05,0.76,15.57
17,2,1981,19.38,8.96,0.96,19.18
18,2,1981,20.02,9.72,8.02,20.44
19,2,1981,19.3,9.35,0,19.94
20,2,1981,20.85,8.48,0,22.84
21,2,1981,21.32,8.21,0,25.26
22,2,1981,21.45,8.55,0,24.85
23,2,1981,22.35,8.43,0,26.54
24,2,1981,22.41,8.22,0.38,25.87
25,2,1981,22.43,8.68,4.17,25.8
26,2,1981,21.73,8.61,0,25.22
27,2,1981,21.45,8.24,1.33,24.59
28,2,1981,21.29,9.58,0,22.31
1,3,1981,20.81,9.7,0,22.77
2,3,1981,19.89,10.56,0.86,19.2
3,3,1981,20.4,10.07,0,19.55
4,3,1981,19.72,10.27,3.18,19.52
5,3,1981,19.91,9.68,0,17.52
6,3,1981,19.03,10.25,2.63,18.94
7,3,1981,20.53,9.56,0,22
8,3,1981,20.98,8.68,0,27.77
9,3,1981,20.89,9.15,0,22.89
10,3,1981,19.63,9.27,0.47,20.33
11,3,1981,17.55,10.49,6.35,15.31
12,3,1981,19.77,9.52,0,19.58
13,3,1981,18.88,10.56,0,20.86
14,3,1981,18.64,9.44,1.5,17.96
15,3,1981,18.75,10.51,0,17.71
16,3,1981,18.73,11.19,2.66,14.97
17,3,1981,20.09,10.27,4.34,19.92
18,3,1981,18.83,10.25,3.03,16.44
19,3,1981,18.18,10.59,7.58,15.04
20,3,1981,18.46,9.24,36.52,18.01
21,3,1981,18.1,10.16,45.44,16.87
22,3,1981,18.03,9.95,7.44,16.73
23,3,1981,17.67,9.2,7.93,14.3
24,3,1981,18.85,8.89,7.24,19.5
25,3,1981,16.16,10.75,5.56,9.7
26,3,1981,17.84,10.45,4.95,16.01
27,3,1981,18.52,10.44,0.31,15.36
28,3,1981,18.56,10.62,4.1,17.62
29,3,1981,20.33,10.36,0,19.89
30,3,1981,20.57,9.43,18.9,22.26
31,3,1981,18.59,11.03,15.29,17.38
1,4,1981,19.67,11.39,18.35,16.42
2,4,1981,18.04,11.25,0,16.37
3,4,1981,18.46,10.87,0,21.5
4,4,1981,20.12,8.92,4.27,22.93
5,4,1981,19.28,10.53,0,16.84
6,4,1981,19.12,8.92,5.5,18.39
7,4,1981,20.53,9.12,0.99,21.92
8,4,1981,19.61,9.97,8.94,22.07
9,4,1981,19.74,10.14,6.98,19.4
10,4,1981,18.98,10.64,8.82,17.08
11,4,1981,18.75,10.2,21.98,16.26
12,4,1981,19.05,11.16,28.45,15.42
13,4,1981,18.62,10.22,8.87,18.65
14,4,1981,19.4,10.57,4.59,17.71
15,4,1981,19.79,11.33,8.71,16.89
16,4,1981,20.18,11.78,0,19.13
17,4,1981,19.52,11.82,0.4,18.49
18,4,1981,17.37,11.77,27.77,13.14
19,4,1981,18.14,10.95,1.49,16.16
20,4,1981,17.73,11.88,23.67,14.84
21,4,1981,17.27,11.25,3.12,13.79
22,4,1981,18.21,10.81,27.65,15.89
23,4,1981,17.58,10.75,37.83,13.89
24,4,1981,19.14,9.66,22.71,18.73
25,4,1981,19.25,9.94,0,19.12
26,4,1981,17.76,10.21,4.5,18.33
27,4,1981,19.09,10.85,6.3,16.97
28,4,1981,19.06,9.69,3.28,20.88
29,4,1981,19.4,11.5,0,20.17
30,4,1981,20.24,10.16,2.87,23.27
1,5,1981,19.06,9.92,0,21.44
2,5,1981,18.61,11.47,0,19.44
3,5,1981,19.45,9.97,7.37,23.18
4,5,1981,19.41,10.35,0,21
5,5,1981,19.14,9.2,9.29,21.81
6,5,1981,19.08,10.56,0,21.79
7,5,1981,19.46,11.43,11.6,19.57
8,5,1981,19.43,10.79,10.9,20.27
9,5,1981,19.44,10.94,0,19.56
10,5,1981,17.83,11.45,0,14.99
11,5,1981,18.57,10.66,0.4,17.81
12,5,1981,18.07,11.7,15.48,12.69
13,5,1981,18.65,10.56,13.93,16.81
14,5,1981,18.75,11.13,10.49,19.7
15,5,1981,17.77,11.17,13.25,16.69
16,5,1981,19.94,11.37,5.8,20.09
17,5,1981,19.58,11.67,4.13,20.44
18,5,1981,19.11,11.56,1.83,18.73
19,5,1981,18.5,11.35,0,19.33
20,5,1981,18.29,11.89,0,17.88
21,5,1981,18.03,11.62,1.73,17.17
22,5,1981,17.95,11.62,0.28,17.73
23,5,1981,16.82,11.78,0,15.47
24,5,1981,17.45,11.45,20.19,14.72
25,5,1981,17.82,11.56,15.61,14.79
26,5,1981,18.71,10.88,0,18.93
27,5,1981,18.28,10.33,2.49,19.49
28,5,1981,18.97,10.7,4.71,19.17
29,5,1981,18.68,10.16,0.3,18.72
30,5,1981,18.95,11.36,12.06,16.65
31,5,1981,18.29,11.71,5.59,16.52
1,6,1981,17.54,11.73,0,14.97
2,6,1981,17.88,11.3,0,16.17
3,6,1981,16.89,11.05,0,13.74
4,6,1981,17.9,11.01,0,15.48
5,6,1981,15.93,11.17,5.62,10.42
6,6,1981,17.31,10.91,12.03,13.92
7,6,1981,16.8,11.28,0.17,10.49
8,6,1981,15.56,11.43,0,9.65
9,6,1981,15.38,11.48,0,9.84
10,6,1981,15.22,10.5,0,8.82
11,6,1981,17.53,10.51,0,15.93
12,6,1981,14.87,11.46,0,9.68
13,6,1981,15.36,10.57,0,11.79
14,6,1981,17.17,9.35,0,17.84
15,6,1981,17.49,8.57,0.23,17.06
16,6,1981,18.54,8.87,7.68,16.77
17,6,1981,17.48,11,6.51,12.53
18,6,1981,17.86,11.4,0,14.24
19,6,1981,17.28,11.37,0,12.56
20,6,1981,16.5,11.13,0,12.82
21,6,1981,18.24,10.77,3.41,14.63
22,6,1981,18.12,9.8,4.95,15.45
23,6,1981,19.19,10.26,7.02,16.15
24,6,1981,18.6,10.18,6.7,13.9
25,6,1981,16.1,11.31,5.29,9.62
26,6,1981,18.23,10.58,11.12,15.05
27,6,1981,18.32,10.29,1.39,16.07
28,6,1981,16.59,10.33,0.17,11.33
29,6,1981,17.38,10.6,1.54,14.7
30,6,1981,16.37,10.95,17.81,11.04
1,7,1981,17.85,11.2,31.52,12.26
2,7,1981,16.71,11.22,0,12.62
3,7,1981,16.9,10.76,0,11.25
4,7,1981,15.27,10.56,0,11.67
5,7,1981,15.85,10.78,0,11.83
6,7,1981,15.92,10.95,0,12.89
7,7,1981,15.94,10.8,0,13.38
8,7,1981,16.48,10.74,0,13.67
9,7,1981,16.98,9.85,0,15.66
10,7,1981,16.7,10.73,0,12.47
11,7,1981,16.1,10.13,0,14.47
12,7,1981,17.12,9.74,0,14.45
13,7,1981,18.11,10.69,4.52,13.26
14,7,1981,17.2,11.09,0,13.67
15,7,1981,15.54,11.11,1.91,9.73
16,7,1981,15.06,10.59,0,8.78
17,7,1981,16.94,10.57,0,13.89
18,7,1981,16.23,11,0,11.16
19,7,1981,16.74,11.03,0,12.39
20,7,1981,16.34,11.08,0,10.25
21,7,1981,17.05,11.11,0,12.73
22,7,1981,15.64,10.94,0,8.43
23,7,1981,15.18,10.63,0,9.12
24,7,1981,16.28,10.64,0,11.43
25,7,1981,16.95,10.8,0,13.89
26,7,1981,15.12,10.54,0,6.8
27,7,1981,16.77,10.56,0,13.09
28,7,1981,16.6,10.64,0,13.26
29,7,1981,17.99,10.78,18.99,15.44
30,7,1981,15.2,10.21,29.72,8.52
31,7,1981,15.2,10.7,1.2,10.09
1,8,1981,18.19,11.11,5.08,16.22
2,8,1981,19.51,11.16,10.75,17.32
3,8,1981,17.39,11.54,0.18,12.04
4,8,1981,15,11.09,0,8.88
5,8,1981,17.53,11.41,3.3,13.81
6,8,1981,15.75,11.42,13.95,9.42
7,8,1981,13.33,10.95,11.48,4.75
8,8,1981,17.31,10.67,0,16
9,8,1981,17.84,11.07,0,16.59
10,8,1981,16.46,11.37,0,13.46
11,8,1981,16.93,11.14,1.63,11.71
12,8,1981,16.35,11.22,23.16,9.97
13,8,1981,14.39,10.85,5.83,5.75
14,8,1981,17.03,10.63,7.29,14.5
15,8,1981,17.53,10.27,0,14.67
16,8,1981,16.46,10.17,0,13.21
17,8,1981,16.59,9.77,0,16.35
18,8,1981,18.2,9.32,0,21.69
19,8,1981,17.26,9.31,0,18.27
20,8,1981,16.06,10.09,0,15.94
21,8,1981,14.5,9.79,0,10.93
22,8,1981,16.68,9.07,0,15.23
23,8,1981,15.95,10.48,0,14.33
24,8,1981,15.02,10.53,0,12.89
25,8,1981,17.43,9.61,0,15.66
26,8,1981,17.48,9.33,1.67,15.75
27,8,1981,18.46,9.63,3.27,18.82
28,8,1981,18.82,9.75,8.87,18.93
29,8,1981,18.09,9.38,1.77,16.42
30,8,1981,18.91,9.69,0,19.1
31,8,1981,16.88,10.2,16.04,14.53
1,9,1981,17.83,10.13,0,16.56
2,9,1981,17.21,10.15,0,13.36
3,9,1981,15.04,10.36,14.73,10.15
4,9,1981,15.38,9.61,11.11,13.45
5,9,1981,17.54,9.19,1.43,12.62
6,9,1981,16.45,9.5,0,15.28
7,9,1981,15.23,10.2,0,13.93
8,9,1981,16.26,9.72,0,14.35
9,9,1981,17.61,9.69,0,19.04
10,9,1981,18.03,8.83,2.58,18.3
11,9,1981,18.13,8.89,11.95,18.09
12,9,1981,17.31,9.65,1.04,15.91
13,9,1981,17.52,9.16,0,18.46
14,9,1981,17.18,9.05,0,12.92
15,9,1981,16.76,10.68,2.22,13.02
16,9,1981,16.5,10.42,0,13.38
17,9,1981,17.45,10.1,0,16.49
18,9,1981,17.39,9.63,0,15.11
19,9,1981,17.92,10.06,22.72,16.19
20,9,1981,16.44,10.14,8.35,11.75
21,9,1981,18.04,9.58,2.76,19.43
22,9,1981,17.2,10.18,7.83,14.25
23,9,1981,19.35,10.02,0,18.51
24,9,1981,17.73,9.28,0.38,15.09
25,9,1981,17.24,10.37,9.46,10.11
26,9,1981,18.46,9.87,38.68,16.15
27,9,1981,17.38,10.23,22.96,13.36
28,9,1981,18.42,8.77,0.92,20.32
29,9,1981,18.49,8.59,8.74,19.73
30,9,1981,18.05,8.58,10.07,18.59
1,10,1981,17.83,9.42,4.13,16.94
2,10,1981,16.59,10.61,5.41,10.94
3,10,1981,17.54,10.37,6.45,12.61
4,10,1981,17.05,10.81,0,18.03
5,10,1981,18.8,9.83,0.7,21.59
6,10,1981,18.67,9.73,12.45,19.55
7,10,1981,18.26,9.04,0,18.51
8,10,1981,17.76,10.14,8.84,18.29
9,10,1981,18.03,10.83,0.69,16.57
10,10,1981,17.76,9.98,18.99,15.87
11,10,1981,17.85,10.17,11.75,16.94
12,10,1981,17.52,10.79,0.72,14.85
13,10,1981,16.55,10.79,0,11.88
14,10,1981,18.21,10.15,10.95,17.09
15,10,1981,17.07,8.22,12.33,17.7
16,10,1981,18.1,8.73,9.92,20.51
17,10,1981,17.75,8.91,6.99,18.16
18,10,1981,17.63,9.88,0,19.01
19,10,1981,17.11,8.8,0,18.32
20,10,1981,18.05,9.61,0,14.44
21,10,1981,17.51,8.88,0,21.91
22,10,1981,16.56,8.71,0,18.09
23,10,1981,17.61,9.89,0,19.1
24,10,1981,16.55,8.94,0,16.72
25,10,1981,16.82,9.72,0,17.62
26,10,1981,18.9,9.1,0,20.39
27,10,1981,16.68,8.79,0,16.9
28,10,1981,18.28,7.37,0,20.35
29,10,1981,18.33,7.64,0,21.2
30,10,1981,17.92,7.54,0.69,20.96
31,10,1981,17.93,9.24,0.86,19.57
1,11,1981,16.76,9.53,9.25,16.89
