day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.38,13.56,0,22.21
2,1,1981,23.82,13.6,0,23.38
3,1,1981,23.97,13.67,2.02,20.3
4,1,1981,23.5,13.68,3.68,20.85
5,1,1981,24.36,13.28,0.65,22.15
6,1,1981,22.57,13.54,0,19.85
7,1,1981,23.78,13.25,0,24.69
8,1,1981,23.71,13.46,0,25.22
9,1,1981,23.6,13.29,0,25.61
10,1,1981,23.58,12.96,0,24.43
11,1,1981,23.9,13.23,0,24.89
12,1,1981,24.62,13.37,0,23.76
13,1,1981,24.41,14.25,0,21.96
14,1,1981,23.56,13.53,0,20.19
15,1,1981,23.78,13.66,0,21.57
16,1,1981,23.15,13.39,0,20.71
17,1,1981,24.31,13.29,0,25.6
18,1,1981,24.42,13.73,0,24.98
19,1,1981,24.62,13.83,0,25.92
20,1,1981,24.43,13.43,0,25.92
21,1,1981,25.11,13.94,0,23.96
22,1,1981,24.95,14.12,0,22.57
23,1,1981,25.11,13.82,0,23.55
24,1,1981,25.12,13.86,0,25.88
25,1,1981,24.93,13.43,0,25.51
26,1,1981,24.78,13.77,0,26.19
27,1,1981,25.38,13.35,0,26.47
28,1,1981,25.52,13.08,0,26.62
29,1,1981,25.3,13.44,0,26.18
30,1,1981,24.94,13.85,0,22.13
31,1,1981,25.05,13.64,0,25.89
1,2,1981,24.46,13.54,0,26.47
2,2,1981,24.71,13.21,0,26.73
3,2,1981,25.31,13.18,0,26.74
4,2,1981,24.79,13.1,0,26.69
5,2,1981,24.53,13.4,0,26.59
6,2,1981,24.76,13.25,0,26.81
7,2,1981,24.89,13.38,0,26.85
8,2,1981,25.15,13.24,0,26.45
9,2,1981,25.18,13.78,0,21.72
10,2,1981,25.27,14.17,0,24
11,2,1981,24.86,14.18,0,21.78
12,2,1981,23.94,14.52,0,21.09
13,2,1981,23.14,14.79,0,18.71
14,2,1981,22.41,14.25,16.17,19.01
15,2,1981,23.03,14.82,0,19.1
16,2,1981,21.27,14.94,0,16.87
17,2,1981,22.48,14.37,0,19.73
18,2,1981,24.45,14.39,0,22.18
19,2,1981,24.19,14.1,1.07,20.12
20,2,1981,25.33,14.06,0,24.88
21,2,1981,25.4,14.02,0,26.89
22,2,1981,25.79,13.74,0,26.23
23,2,1981,26.17,13.74,0,27.14
24,2,1981,26.62,13.95,0,26.93
25,2,1981,26.54,14.06,3.15,27.12
26,2,1981,25.94,14.18,0,26.62
27,2,1981,26.12,14.21,2.81,25.29
28,2,1981,25.81,14.27,0,21.94
1,3,1981,24.53,14.4,0,20.82
2,3,1981,23.93,14.7,0,19.5
3,3,1981,24.53,14.64,0,19.9
4,3,1981,23.7,14.72,4.37,20.37
5,3,1981,23.27,14.59,0,18.93
6,3,1981,23.54,14.31,0,19.16
7,3,1981,25.12,14.9,0,25.63
8,3,1981,25.52,13.86,0,27.33
9,3,1981,25.08,13.89,0,21.74
10,3,1981,23.31,14.14,3.18,20.88
11,3,1981,22.06,14.86,0,15.47
12,3,1981,22.94,14.27,4.15,20.64
13,3,1981,22.73,14.57,0,21.07
14,3,1981,23.3,14.5,11.49,20.13
15,3,1981,22.65,14.49,4.44,19.21
16,3,1981,23.21,14.73,0,17.97
17,3,1981,23.11,14.54,1.5,22.34
18,3,1981,22.35,14.73,1.46,17.77
19,3,1981,19.89,14.78,1.77,12.07
