day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.21,9.79,0,16.72
2,1,1981,18.89,9.28,0.15,17.81
3,1,1981,19.44,10.31,2.48,18.52
4,1,1981,19.65,9.89,3.56,18.8
5,1,1981,20.74,9.7,0.75,19.15
6,1,1981,20.26,10,0,19.65
7,1,1981,20.07,9.52,0,20.08
8,1,1981,21.04,9.32,0,23.02
9,1,1981,20.57,9.67,0,22.49
10,1,1981,21.07,9.96,0,21.88
11,1,1981,20.99,10.36,0,21.11
12,1,1981,21.31,10.94,0,20.11
13,1,1981,20.91,10.92,0,18.72
14,1,1981,20.9,11.17,0,18.66
15,1,1981,21.49,10.59,0,19.45
16,1,1981,21.33,10.84,0,20.32
17,1,1981,21.28,10.44,0,19.37
18,1,1981,20.74,10.22,0.21,17.35
19,1,1981,20.76,10.73,0,18.78
20,1,1981,22.41,10.35,0,22.85
21,1,1981,19.98,10.68,0,17.35
22,1,1981,20.1,10.44,0,18.52
23,1,1981,20.41,10.53,0,20.21
24,1,1981,21.5,10.18,0,22.05
25,1,1981,22.04,10.54,0,21.44
26,1,1981,21.92,10.61,0,21.54
27,1,1981,22.07,10.74,0,22.1
28,1,1981,22.43,10.88,0,23.18
29,1,1981,20.97,11.11,0,21.92
30,1,1981,21.26,10.64,0,20.23
31,1,1981,22.13,10.9,0,22.24
1,2,1981,22.24,9.41,0,24.82
2,2,1981,22.18,10.37,0,24.64
3,2,1981,22.82,9.22,0,24.81
4,2,1981,22.83,9.61,0,24.58
5,2,1981,22.6,11.5,0,22.96
6,2,1981,23.01,10.43,0,24.13
7,2,1981,22.21,10.47,0,22.16
8,2,1981,21.68,11.14,0,20.16
9,2,1981,20.95,11.49,0.12,18.97
10,2,1981,20.65,11.13,4.45,18.72
11,2,1981,21.17,10.52,2.09,19.81
12,2,1981,21.87,10.41,0,20.33
13,2,1981,22.17,10.6,0,23.61
14,2,1981,22.83,10.42,0,24.01
15,2,1981,22.56,10.56,0,24.09
16,2,1981,23.34,10.99,0,24.89
17,2,1981,23.1,10.36,0,25.05
18,2,1981,23.69,11.42,0,24.6
19,2,1981,22.96,10.97,0.43,20.98
20,2,1981,22.11,10.65,0,22.12
21,2,1981,24.92,10.95,0,24.55
22,2,1981,25.39,10.76,0,25.3
23,2,1981,25.12,11.93,0,24.52
24,2,1981,25.2,11.66,0,24.05
25,2,1981,25.72,11.47,0,24.47
26,2,1981,24.59,11.95,0,23.94
27,2,1981,21.94,11.72,0,21.5
28,2,1981,21.83,11.22,0,19.09
1,3,1981,23.37,11.12,0,22.43
2,3,1981,22.29,11.12,0,20.81
3,3,1981,20.29,10.88,0,20.32
4,3,1981,20.32,10.47,0,19.2
5,3,1981,21.36,10.87,0,21.16
6,3,1981,21.93,10.5,0,22.47
7,3,1981,22.04,10.78,0,22.09
8,3,1981,21.05,10.8,0,20
9,3,1981,20.51,10.86,0,19.26
10,3,1981,20.88,10.99,0,20.05
11,3,1981,22.07,11.42,0,20.23
12,3,1981,20.89,11.42,0.12,17.92
13,3,1981,20.34,11.14,6.09,16.49
14,3,1981,20.71,11.47,8.23,19.17
15,3,1981,20.63,11.37,4.54,18.41
16,3,1981,21.84,10.45,11.35,22.84
17,3,1981,22.14,10.8,2.1,26.39
18,3,1981,22.56,11.06,0,25.72
19,3,1981,21.71,11.4,0,21.95
20,3,1981,21.44,10.8,0,21.97
21,3,1981,20.82,11.19,3.85,19.24
22,3,1981,20.83,10.98,0,19.48
23,3,1981,20.73,11.04,0.47,20.2
24,3,1981,20.95,11.04,2.21,19.57
25,3,1981,19.44,10.9,6.9,17.06
26,3,1981,19.21,11.12,11.28,16.08
27,3,1981,19.27,11.39,3.62,15.62
28,3,1981,19.91,10.64,2.1,16.02
29,3,1981,18.19,11.36,1.44,13.7
30,3,1981,20.15,11.25,0.12,18.98
31,3,1981,21.36,11.56,0,23.55
1,4,1981,21.8,11.63,0,26.44
2,4,1981,21.69,11.96,0.7,26.68
3,4,1981,22.34,12.16,0,26.23
4,4,1981,21.04,11.65,0,22
5,4,1981,21.48,11.44,0.55,22.55
6,4,1981,21.5,11.37,0,22.07
7,4,1981,20.95,11.36,0,21.07
8,4,1981,21.79,11.51,0,23.23
9,4,1981,22.14,11.12,0,22.13
10,4,1981,22.12,11.71,0,24.08
11,4,1981,23.1,12.04,0,24.44
12,4,1981,22.96,11.65,0.15,23.55
13,4,1981,21.36,11.65,0,23
14,4,1981,22.55,11.47,0,23.58
15,4,1981,23.19,11.47,0,25.18
16,4,1981,24.21,12.87,0,27.43
17,4,1981,24.6,12.48,0.25,25.9
18,4,1981,23.25,11.39,5.62,22.84
19,4,1981,20.12,11.73,0,18.08
20,4,1981,20.83,11.66,1.21,20.7
21,4,1981,20.26,11.42,2.09,20.16
22,4,1981,19.5,11.33,0,15.98
23,4,1981,18.95,11.19,4.45,17.32
24,4,1981,20.19,11.35,0,18.93
25,4,1981,19.99,11.27,34.01,20.51
26,4,1981,20.42,10.93,5.96,20.91
27,4,1981,21.46,11.06,0,22.37
28,4,1981,23.03,11.19,0,25.63
29,4,1981,23.11,11.13,0,25.62
30,4,1981,22.78,12.26,0,24.61
1,5,1981,20.69,10.96,0,21.43
2,5,1981,22.27,11,0,23.97
3,5,1981,22.82,11,0,24.18
4,5,1981,23.46,11.2,0,25.36
5,5,1981,23.5,11.44,0,25.38
6,5,1981,23.59,11.21,0.09,25.31
7,5,1981,22.32,11.04,0.09,23.58
8,5,1981,19.86,11.28,11.93,18.47
9,5,1981,21.24,11.61,0.09,20.61
10,5,1981,20.5,11.19,0.09,19.55
11,5,1981,20.23,11.09,1.2,18.42
12,5,1981,18.66,11.49,7.41,14.05
13,5,1981,19.35,11.29,17.28,18.22
14,5,1981,19.76,11.36,0,18.83
15,5,1981,19.23,11.27,0,17.08
16,5,1981,19.76,10.92,0.24,20.51
17,5,1981,20.05,10.98,12.78,18.46
18,5,1981,20.37,11.32,15.04,18.76
19,5,1981,20.43,10.96,2.61,20.1
20,5,1981,19.64,11.35,1.33,18.79
