day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.44,15.2,0,16.7
2,1,1981,24.39,14.82,0,18.63
3,1,1981,24.71,14.74,0.17,18.24
4,1,1981,24.72,15.6,0,16.92
5,1,1981,25.49,14.56,0,18.78
6,1,1981,24.87,16.03,0,18.72
7,1,1981,23.93,15.06,0,18.94
8,1,1981,26.33,14.16,0,20.02
9,1,1981,24.62,14.82,0,17.62
10,1,1981,25.78,14.35,0,19.62
11,1,1981,25.64,14.7,0,18.35
12,1,1981,26.57,15.22,0,18.71
13,1,1981,25.71,15.42,0,16.39
14,1,1981,26.38,15.5,0,17.97
15,1,1981,26.56,15.3,0,18.71
16,1,1981,26.62,16.19,0,19.5
17,1,1981,26.65,16.02,0,17.51
18,1,1981,26.43,15.9,0,17.66
19,1,1981,26.69,17.18,0,17.86
20,1,1981,27.22,15.69,0,20.17
21,1,1981,25.87,16.32,0,17.16
22,1,1981,25.73,15.72,0,18.97
23,1,1981,25.87,15.72,0,17.68
24,1,1981,25.65,15.26,0,18.87
25,1,1981,26.77,15.68,0,18.7
26,1,1981,25.89,15.83,0,18.13
27,1,1981,26.37,15.85,0,20.16
28,1,1981,26.66,15.13,0,19.34
29,1,1981,25.77,15.73,0,19.19
30,1,1981,25.38,15.49,7.17,19.51
31,1,1981,26.72,15.01,1.59,20.27
1,2,1981,27.25,15.18,0,21.89
2,2,1981,27.65,15.17,0,22.65
3,2,1981,28.61,14.37,0,23.34
4,2,1981,27.97,16.3,0,21.05
5,2,1981,27.57,15.5,0,19.69
6,2,1981,28.22,16.3,0,21.05
7,2,1981,27.16,15.93,0,18.85
8,2,1981,27.07,15.72,0,18.27
9,2,1981,26.38,16.44,0,17.22
10,2,1981,26.64,16.35,0,19.25
11,2,1981,26.78,15.68,0,17.89
12,2,1981,27.9,14.68,0,22.27
13,2,1981,28.38,14.63,0,23.18
14,2,1981,28.63,15.34,0,23.28
15,2,1981,28.23,15.4,0,21.74
16,2,1981,28.83,15.98,0,23.09
17,2,1981,28.47,15.91,0,23.45
18,2,1981,29.05,16.02,0,23.61
19,2,1981,29.36,15.5,0,21.87
20,2,1981,28.36,16.5,0,21.12
21,2,1981,29.99,16.98,0.76,21.37
22,2,1981,30.37,16.26,0,21.95
23,2,1981,29.44,16.45,0,20.87
24,2,1981,28.69,16.62,0.15,19.8
25,2,1981,29.44,16.83,0,21.3
26,2,1981,28.2,16.63,8.08,20.43
27,2,1981,26.63,16.23,1.1,18.37
28,2,1981,27.16,15.82,0,19.54
1,3,1981,28.7,16.56,0,20.48
2,3,1981,27.97,17.35,1.44,19.98
3,3,1981,26.52,16.08,0,20.7
4,3,1981,27.12,16.55,0,19.81
5,3,1981,26.96,16.63,0,20.65
6,3,1981,27.87,15.87,0,21.75
7,3,1981,27.78,15.22,0.41,21.85
8,3,1981,26.64,16.45,0,19.32
9,3,1981,26.39,16.17,0,19
10,3,1981,25.87,15.64,0,18.74
11,3,1981,26.13,16.83,0,18.58
12,3,1981,26.78,15.96,5.89,18.77
13,3,1981,23.29,16.09,7.98,14.12
14,3,1981,25,16.37,7.06,19.2
15,3,1981,25.84,15.43,10.34,19.45
16,3,1981,27.59,15.38,8.66,24.39
17,3,1981,27.54,15.33,0.29,23.46
18,3,1981,26.44,16.86,2.53,20.12
19,3,1981,24.98,15.62,0,18.29
20,3,1981,25.24,15.42,2.66,18.89
21,3,1981,24.95,15.67,8.11,19.95
22,3,1981,25.95,15.19,3.16,20.58
23,3,1981,25.64,15.51,0.19,19.33
24,3,1981,25.11,15.25,3.03,18.08
25,3,1981,21.66,15.53,8.57,14.02
26,3,1981,24.45,15.16,4.92,18.15
27,3,1981,23.97,15.15,6.46,17.88
28,3,1981,24.4,15.3,2.81,19.01
29,3,1981,24.17,15.77,8.5,18.66
30,3,1981,26.16,15.02,1.72,22.29
31,3,1981,26.71,16.37,0,24.18
1,4,1981,26.61,14.97,0,24.98
2,4,1981,26.48,15,0,24.71
3,4,1981,27.16,15,0,25.13
4,4,1981,27.17,15.15,0,23.83
5,4,1981,27.43,15.6,0,24.85
6,4,1981,27.22,15.95,0,23.41
7,4,1981,27.15,15.71,0,22.04
8,4,1981,27.97,15.65,0,24.58
9,4,1981,28.07,15.54,0,24.36
10,4,1981,28.17,15.08,0,24.24
11,4,1981,28.37,15.8,0,25.02
12,4,1981,28.19,15.43,0,24.92
13,4,1981,27.8,14.89,0,24.75
14,4,1981,28.48,15.22,0,24.94
15,4,1981,28.52,16.29,0,23.51
16,4,1981,29.51,16.78,0,25.04
17,4,1981,29.66,15.5,0,25.11
18,4,1981,28.82,15.52,0,22.29
19,4,1981,26.64,16.08,0,20.09
20,4,1981,26.83,15.7,5.96,20.65
21,4,1981,24.64,15.92,0,18.77
22,4,1981,22.75,15.76,8.81,16.39
23,4,1981,23.61,14.99,4.73,18.17
24,4,1981,23.58,14.75,4.32,19.65
25,4,1981,24.48,14.9,5.46,20.74
26,4,1981,24.61,14.48,1.29,20.93
27,4,1981,25.29,14.74,10.43,20.31
28,4,1981,26.51,14.61,0,21.79
29,4,1981,27.19,15.39,0,22.63
30,4,1981,25.31,15.79,0,20.25
1,5,1981,23.24,15.19,0,17.89
2,5,1981,25.82,15.1,0,21.53
3,5,1981,26.39,14.87,0,22.25
4,5,1981,26.79,14.75,0,23.02
5,5,1981,26.12,15.23,0,22.33
6,5,1981,25.55,15.27,3.04,20.74
7,5,1981,23.69,15.34,2.66,18.01
8,5,1981,22.13,15.5,3.53,15.53
9,5,1981,24.72,15.06,5.79,20.64
10,5,1981,23.15,15,5.32,17.51
11,5,1981,24.07,14.86,8.76,17.85
12,5,1981,21.4,15.46,10.91,13.1
13,5,1981,23.98,15.04,6.22,19.15
14,5,1981,22.53,14.7,5.57,16
15,5,1981,22.92,14.99,0,17.45
16,5,1981,23.39,14.71,6.08,19.87
17,5,1981,23.12,14.64,31.22,18.08
18,5,1981,23.17,14.97,6.4,17.61
19,5,1981,24.22,14.74,9.76,20.02
20,5,1981,24.11,14.95,7.32,19.33
21,5,1981,23.47,14.94,6,19.34
22,5,1981,23.7,14.86,6.92,19.25
23,5,1981,23.68,14.6,0,19.06
24,5,1981,22.39,15.23,28.17,15.86
25,5,1981,23.26,14.57,19.63,18.73
26,5,1981,23.72,14.39,5.44,19.32
27,5,1981,24.6,14.66,6.23,19.47
28,5,1981,23.55,14.75,1.53,19.39
29,5,1981,23.72,14.35,0,19.12
30,5,1981,23.2,14.95,4.9,17.75
31,5,1981,23.43,14.77,0,16.95
1,6,1981,23.81,14.95,0,18.8
2,6,1981,23.8,14.67,4.39,19.3
3,6,1981,22,14.69,22.52,16.59
4,6,1981,23.35,14.39,6.5,18.51
5,6,1981,22.31,14.52,4.56,16.31
6,6,1981,22.99,14.25,8.04,18.47
7,6,1981,23.18,14.18,7.88,17.57
8,6,1981,23.63,14.29,12.16,18.6
9,6,1981,23.49,14.73,0.52,18.72
10,6,1981,22.86,14.4,7.07,17.94
11,6,1981,23.46,13.97,4.06,18.99
12,6,1981,23.38,14.64,5.98,18.7
13,6,1981,22.02,14.3,7.38,17.38
14,6,1981,22.59,14.05,6.17,18.28
15,6,1981,22.45,13.38,7.13,18.79
16,6,1981,22.55,13.64,14.18,17.99
17,6,1981,23.02,14.16,9.76,18.4
18,6,1981,23.47,13.85,0,18.74
19,6,1981,23.07,14.14,10.12,17.71
20,6,1981,22.61,14.09,8.73,16.99
21,6,1981,22.25,14.25,10.09,16.99
22,6,1981,22.65,13.94,3.27,18.82
23,6,1981,23.18,13.87,5.57,18.66
24,6,1981,23.46,13.5,0,18.35
25,6,1981,21.98,14.29,16.2,16.17
26,6,1981,21.77,14.66,6.34,16.17
27,6,1981,22.27,13.5,11.02,18.43
28,6,1981,21.15,14.09,9.15,15.12
29,6,1981,22.04,14.36,26.13,16.61
30,6,1981,23.39,13.45,20,19.1
1,7,1981,22.75,13.96,12.68,17.43
2,7,1981,22.3,14.22,21.33,18.08
3,7,1981,22.11,14.73,0,16.33
4,7,1981,21.82,14.06,1.77,16.27
5,7,1981,22.3,14.35,0.48,17.62
6,7,1981,22.59,13.89,5.31,18.44
7,7,1981,21.75,13.49,7.51,16.47
8,7,1981,21.2,14.09,16.16,16.02
9,7,1981,21.81,13.49,11.9,17.26
10,7,1981,21.59,13.79,6.53,16.66
11,7,1981,20.05,13.75,3.28,14.38
12,7,1981,22.04,13.41,13.7,17.64
13,7,1981,22.8,14.01,11.51,18.82
14,7,1981,22.77,13.82,12.04,17.73
15,7,1981,22.02,13.81,6.9,17.64
16,7,1981,20.96,14.23,3.72,14.28
17,7,1981,19.65,13.82,2.23,11.75
18,7,1981,21.67,13.56,3.5,17.56
19,7,1981,21.2,14.14,5.01,15.89
20,7,1981,20.65,13.75,9.53,13.57
21,7,1981,21.12,13.6,14.3,16.21
22,7,1981,22.62,13.16,9.23,17.51
23,7,1981,21.74,14.15,5.79,17.17
24,7,1981,21.83,13.94,11.37,17.23
25,7,1981,20.46,14.23,18.83,13.58
26,7,1981,20.46,14.2,8.11,15.82
27,7,1981,21.34,13.88,5.26,17.53
28,7,1981,21.41,13.23,7.08,17.25
29,7,1981,22.07,13.63,13.68,18.45
30,7,1981,21.64,13.77,16.5,16.34
31,7,1981,22.19,13.83,13.53,18.3
1,8,1981,21.65,13.19,7.43,18.36
2,8,1981,22.97,13.92,7.67,20.18
3,8,1981,22.45,14.75,11.91,17.29
4,8,1981,21.64,14.42,18.41,15.95
5,8,1981,22.09,14.06,16.66,16.56
6,8,1981,21.12,13.8,10.85,16.64
7,8,1981,22.26,13.83,2.61,17.52
8,8,1981,21.23,14.18,7.48,14.64
9,8,1981,22.55,13.68,5.31,18.99
10,8,1981,22.43,13.77,0.7,18.75
11,8,1981,23.06,14.34,8.96,18.91
12,8,1981,22.36,13.73,6.12,17.32
13,8,1981,22.32,14.13,7.3,17.3
14,8,1981,21.73,14.04,23.44,16.92
15,8,1981,22.73,13.59,9.49,18.59
16,8,1981,23.03,14.16,34.99,19.02
17,8,1981,21.02,13.73,15.59,15.04
18,8,1981,22.69,13.43,9.22,18.18
19,8,1981,22.39,13.86,0,18.76
20,8,1981,22.11,13.5,0,18.99
21,8,1981,19.55,14.1,3.86,11.74
22,8,1981,21.51,13.59,4.57,16.65
23,8,1981,22.26,13.2,7.44,19.03
24,8,1981,21.58,13.56,16.68,17.92
25,8,1981,21.58,13.08,3.4,18.31
26,8,1981,22.71,13.23,24.98,19.58
27,8,1981,22.79,13.99,9.19,19.64
28,8,1981,22.68,13.09,11.53,19.53
29,8,1981,22.55,13.68,6.44,18.79
30,8,1981,23.13,13.24,12.61,20.19
31,8,1981,21.39,13.52,13.26,16.38
1,9,1981,21.86,13.52,27.22,18.5
2,9,1981,22.84,13.52,6.38,19.98
3,9,1981,21.91,13.35,11.11,18.89
4,9,1981,22.01,13.43,13.15,18.99
5,9,1981,22.14,13.43,17.84,20.03
6,9,1981,22.72,13.64,13.06,18.14
7,9,1981,22.16,13,14.11,18.72
8,9,1981,21.5,13.76,24.55,17.05
9,9,1981,22.07,13.19,1.19,18.28
10,9,1981,22.49,13.48,8.66,19.62
11,9,1981,22.51,13.44,12.51,18.87
12,9,1981,21.28,14.15,5.28,17.08
13,9,1981,22.78,13.42,3.35,20.11
14,9,1981,22.64,14.15,3.36,19.13
15,9,1981,22.54,14.03,13.13,18.86
16,9,1981,22.59,13.69,6.3,19.17
17,9,1981,21.82,13.99,2.11,16.46
18,9,1981,20.77,14.06,7.18,15.81
19,9,1981,22.23,13.59,13.2,18.31
20,9,1981,21.2,13.75,8.92,15.82
21,9,1981,23.55,13.39,12.04,20.9
22,9,1981,23.08,14.12,31.93,18.89
23,9,1981,23.5,13.78,1.38,20.2
24,9,1981,22.92,13.66,8.37,18.76
25,9,1981,20.59,14.05,5.52,13.83
26,9,1981,22.01,14.08,9.28,15.06
27,9,1981,22.8,13.66,37.16,18.55
28,9,1981,23.79,13.91,1.18,20.18
29,9,1981,23.52,14.47,0,19.11
30,9,1981,23.96,14.06,3.97,20.63
1,10,1981,23.59,13.75,7.4,19.48
2,10,1981,23.51,14.54,7.14,19.28
3,10,1981,23.76,14.86,10.04,19.08
4,10,1981,22.92,14.17,7.61,18.61
5,10,1981,23.06,14.21,1.8,18.81
6,10,1981,23.66,13.45,14.65,20.4
7,10,1981,23.99,13.67,7.07,19.16
8,10,1981,24.07,14.16,11.63,20.02
9,10,1981,22.85,13.78,0,17.76
10,10,1981,23.11,13.85,0,19.56
11,10,1981,23.21,13.64,4.18,19.14
12,10,1981,23.06,13.26,0,19.91
13,10,1981,22.99,13.57,0,19.62
14,10,1981,23.11,13.76,0,19.89
15,10,1981,23.5,13.51,0,20.38
16,10,1981,24.61,13.68,0,22.12
17,10,1981,25.11,13.67,0,22.36
18,10,1981,25.13,14.03,0,22.55
19,10,1981,25.07,13.46,0,23.5
20,10,1981,24.3,13.78,0,21.74
21,10,1981,23.88,13.9,0,20.93
22,10,1981,23.33,14.18,0,20.14
23,10,1981,22.74,13.29,1.26,20.02
24,10,1981,23.01,13.51,0,18.76
25,10,1981,22.78,13.71,0,17.61
26,10,1981,23.55,14.01,0,19.27
27,10,1981,24.35,13.67,0,21.62
28,10,1981,24.66,13.08,0,22.24
29,10,1981,24.06,13.67,0,20.64
30,10,1981,23.79,13.79,0,19.88
31,10,1981,23.53,13.42,0.75,20.08
1,11,1981,22.84,13.5,0,18.72
2,11,1981,23.04,13.72,0,19
3,11,1981,22.55,13.24,10.83,18.82
4,11,1981,22.95,14.14,10.75,17.91
5,11,1981,23.27,13.97,0,19.41
6,11,1981,23.43,13.77,0,19.7
7,11,1981,23.39,14.27,0,19.31
8,11,1981,24.19,14.11,0,20.32
9,11,1981,24.68,13.73,0,21.61
10,11,1981,23.65,13.35,0,19.4
11,11,1981,23.74,13.37,0,19.37
12,11,1981,25.21,13.51,0,21.64
13,11,1981,25.63,13.7,0,21.81
14,11,1981,25.92,13.42,0,22.39
15,11,1981,25.6,12.93,0,22.23
16,11,1981,25.64,13.51,0,21.79
17,11,1981,24.68,13.47,0,19.36
18,11,1981,24.66,14,0,19.02
19,11,1981,23.94,14.11,0,18.37
20,11,1981,22.99,14.34,0,17.35
21,11,1981,23.2,14.22,0.71,17.67
22,11,1981,23.29,14.29,1.86,17.99
23,11,1981,22.59,13.91,6.07,17.21
24,11,1981,22.6,13.81,7.68,17.92
25,11,1981,24.27,14.11,0,20.15
26,11,1981,23.81,14.13,1.75,18.57
27,11,1981,23.44,14.57,0,17.28
28,11,1981,23.13,14.07,0,17.91
29,11,1981,23.25,13.37,0,18.86
30,11,1981,25.35,13.97,0,20.69
1,12,1981,25.26,13.9,0,21.48
2,12,1981,25.28,13.03,0,21.62
3,12,1981,25.55,13.13,0,20.95
4,12,1981,25.56,13.31,0,21.05
5,12,1981,25.6,13.5,0,20.73
6,12,1981,25.82,13.38,0,20.73
7,12,1981,25.9,14.26,0,19.01
8,12,1981,25.95,14.57,0,19.79
9,12,1981,24.93,14.33,0,19.28
10,12,1981,25.97,13.86,0,20.22
11,12,1981,25.59,13.93,0,19.87
12,12,1981,25.75,13.87,0,20.5
13,12,1981,26.32,13.94,0,20.29
14,12,1981,25.78,14.28,0,19.72
15,12,1981,26.26,14.57,0,21.17
16,12,1981,25.82,15.67,0,18.55
17,12,1981,26.23,15.39,0,18.43
18,12,1981,26.47,15.48,0,18.25
19,12,1981,25.2,15.21,0,16.08
20,12,1981,23.5,15.74,2.05,16.52
21,12,1981,22.6,15.28,0,12.89
22,12,1981,24.06,15.16,0,17.26
23,12,1981,23.98,14.37,0,18.51
24,12,1981,24.73,14.32,0,19.19
25,12,1981,24.95,15.04,0,18.84
26,12,1981,25.4,14.84,0,19.16
27,12,1981,25.15,14.67,0,18.54
28,12,1981,24.05,14.83,1.45,16.94
29,12,1981,24.61,14.77,0,17.45
30,12,1981,24.72,14.39,0,18.1
31,12,1981,24.89,15.59,4.25,18.45
1,1,1982,24.02,16.06,1.56,17.22
2,1,1982,24.41,15.19,2.31,17.94
3,1,1982,24.15,14.99,12.65,17.77
4,1,1982,23.71,14.67,0,17.35
5,1,1982,22.7,14.51,0,15.52
6,1,1982,23.41,15.26,0,17.04
7,1,1982,24.78,14.34,0,19.22
8,1,1982,25.62,14.11,0,20.18
9,1,1982,24.65,14.46,0,19.31
10,1,1982,24.37,15.08,0,18.83
11,1,1982,24.9,14.72,2.59,19.31
12,1,1982,24.22,13.65,2.17,18.3
13,1,1982,23.55,14.12,1.79,18.6
14,1,1982,23.78,13.78,0,18.3
15,1,1982,24.59,14.1,0,19.93
16,1,1982,24.69,15.51,8.05,18.3
17,1,1982,25.08,14.6,0,20.65
18,1,1982,24.75,15.97,5.58,19.79
19,1,1982,24.99,15.74,0,19.44
20,1,1982,24.74,15.73,0,19.28
21,1,1982,25.87,15.11,0,20.38
22,1,1982,24.84,14.92,0,18.67
23,1,1982,25.84,14.96,0,20.49
24,1,1982,25.95,15.69,0,18.82
25,1,1982,24.51,15.18,0,18.35
26,1,1982,27.75,14.33,0,22.06
27,1,1982,25.47,15.94,0,19.04
28,1,1982,26.34,15.21,0,20.21
29,1,1982,27.64,15.21,0,21.86
30,1,1982,25.6,15.27,0,19.66
31,1,1982,25.44,15.02,0,19.95
1,2,1982,26.9,15.44,0,21.7
2,2,1982,25.28,15.99,0,17.65
3,2,1982,26.05,14.89,0,20.46
4,2,1982,25.52,14.87,0,19.45
5,2,1982,26.26,15.35,0,19.54
6,2,1982,23.67,14.77,0,16.78
7,2,1982,24.26,15.14,0,18.71
8,2,1982,24.46,14.8,1.08,19.16
9,2,1982,25.09,14.32,0.8,19.49
10,2,1982,25.47,14.12,0,19.95
11,2,1982,26.53,14.79,0,21.56
12,2,1982,24.97,15.81,0,18.2
13,2,1982,24.08,15.51,0,15.1
14,2,1982,26.63,13.92,0,21.03
15,2,1982,27.02,14.28,0,21.02
16,2,1982,26.4,14.75,0,20.32
17,2,1982,27.44,14.81,0,20.75
18,2,1982,26.31,15.32,0,20.39
19,2,1982,25.82,16.59,5.82,17.49
20,2,1982,27.05,15.51,0,19.41
21,2,1982,25.71,15.38,0,18.51
22,2,1982,25.86,15.66,0,19.2
23,2,1982,26.66,14.9,0,19.91
24,2,1982,27.05,16.07,11.35,20.44
25,2,1982,26.5,16.65,0,19.05
26,2,1982,27.64,15.56,0,20.64
