day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.84,13.68,0,17.9
2,1,1981,26.81,13.79,0,21.14
3,1,1981,27.53,14.67,0,20.54
4,1,1981,26.41,15.35,0,18.64
5,1,1981,27.85,14.3,2.2,20.83
6,1,1981,26.85,15.22,0,19.88
7,1,1981,27,14.71,0,20.84
8,1,1981,27.98,13.91,0,22.11
9,1,1981,28.09,12.69,0,21.78
10,1,1981,28.02,13.57,0,22.04
11,1,1981,28.09,13.87,0,20.38
12,1,1981,28.3,14.29,0,20.89
13,1,1981,27.94,14.81,0,18.08
14,1,1981,28.22,15.61,0,19.52
15,1,1981,28.49,14.64,0,20.92
16,1,1981,28.15,15.59,0,20.24
17,1,1981,27.69,16.07,0,19.89
18,1,1981,28.15,14.78,0,19.43
19,1,1981,28.4,16.59,0,20.36
20,1,1981,29.06,14.49,0,22.13
21,1,1981,27.37,16.16,0,18.89
22,1,1981,27.48,15.22,0,19.71
23,1,1981,27.72,14.93,0,19.61
24,1,1981,28.28,14.48,0,21.22
25,1,1981,29.28,13.95,0,22.18
26,1,1981,28.45,15.14,0,21.69
27,1,1981,28.32,15.03,0,22.08
28,1,1981,29.43,14.23,0,22.61
29,1,1981,27.64,15.68,0,20.05
30,1,1981,28.14,15.09,4.89,21.26
31,1,1981,28.83,14.83,0,22.5
1,2,1981,29.15,14.13,0,24.44
2,2,1981,29.02,13.27,0,24.84
3,2,1981,29.49,14.13,0,25.26
4,2,1981,29.6,12.6,0,23.77
5,2,1981,29.05,14.91,0,21.81
6,2,1981,29.51,13.34,0,23.19
7,2,1981,28.99,14.48,0,21.66
8,2,1981,28.73,14.5,0,20.23
9,2,1981,27.77,16.35,0,19.34
10,2,1981,27.99,15.74,0,20.06
11,2,1981,28.32,14.76,0,19.52
12,2,1981,29.97,14.01,0,24.07
13,2,1981,30.07,13.61,0,24.87
14,2,1981,30.28,13.57,0,24.45
15,2,1981,29.48,15.69,0,22.81
16,2,1981,30.23,15.34,0,24.73
17,2,1981,30.28,14.64,0,25.22
18,2,1981,30.61,15.03,0,25.32
19,2,1981,29.86,15.24,2.27,22.18
20,2,1981,29.35,15.42,0,22.22
21,2,1981,30.68,16.17,0,23.67
22,2,1981,31.27,16.43,0,24.42
23,2,1981,31.24,15.42,0,23.79
24,2,1981,30.77,16.54,3.05,22.9
25,2,1981,31.29,16.5,0,23.19
26,2,1981,30.75,16,0,23.49
27,2,1981,28.36,17.36,5.63,19.75
28,2,1981,28.73,16.82,0,20.21
1,3,1981,30.24,15.63,0,23.05
2,3,1981,29.47,17.06,10.58,20.93
3,3,1981,28.4,16.63,0,21.21
4,3,1981,27.56,16.02,0,20.89
5,3,1981,27.71,16.16,0.92,20.87
6,3,1981,28.19,15.63,0,21.83
7,3,1981,28.48,15.28,0,22.64
8,3,1981,28.03,16.05,0,21.67
9,3,1981,27.45,15.73,0,20.85
10,3,1981,27.5,15.93,0,20.77
11,3,1981,28.36,16.07,0,21.42
12,3,1981,27.98,15.7,6.97,21.4
13,3,1981,25.35,16.35,7.85,16.08
14,3,1981,27.89,16.93,5.74,20.52
15,3,1981,27.17,16.75,9.56,19.79
16,3,1981,28.82,15.37,6.38,23.49
17,3,1981,29.03,14.62,2.97,25.44
18,3,1981,28.38,15.84,1.87,22.79
19,3,1981,27.66,15.85,0,20.13
20,3,1981,27.67,15.46,3.99,21.35
21,3,1981,27.27,16.05,12.92,20.67
22,3,1981,28.09,15.37,3.12,21.4
23,3,1981,27.98,16.38,2.11,21.64
24,3,1981,27.46,15.95,3.21,19.13
25,3,1981,25.13,16.37,3.95,15.75
26,3,1981,26.92,15.86,5.4,19.49
27,3,1981,26.03,15.54,7.22,18.7
28,3,1981,26.61,15.94,3.15,20.44
29,3,1981,24.8,16.86,10.52,16.73
30,3,1981,27.76,15.67,0,22.89
31,3,1981,28.36,17.14,0,25.61
1,4,1981,28.2,14.47,0,26.62
2,4,1981,28.16,13.75,4.38,26.86
3,4,1981,28.5,13.2,0,25.64
4,4,1981,28.12,14.89,0,21.6
5,4,1981,28.66,15.78,0,24.9
6,4,1981,28.36,16.63,0,22.88
7,4,1981,28.37,16.26,9.63,22.11
8,4,1981,29.09,16.48,0,24.97
9,4,1981,29.38,15.5,0,25.09
10,4,1981,29.2,15.43,0,24.48
11,4,1981,29.66,16.22,0,26.39
12,4,1981,29.29,16.5,4.18,26
13,4,1981,28.97,14.99,0,24.55
14,4,1981,29.42,16.33,0,24.13
15,4,1981,29.75,15.39,0,24.35
16,4,1981,30.18,15.43,0,27.05
17,4,1981,30.2,15.25,0,26.15
18,4,1981,29.82,15.58,3.38,23.38
19,4,1981,28.21,16.57,2.78,22.28
20,4,1981,27.63,16.41,4.62,22.39
21,4,1981,26.62,16.34,6.74,20.96
22,4,1981,24.28,16.27,7.27,17.65
23,4,1981,25.87,15.81,6.08,20.16
24,4,1981,26.05,15.13,5.13,21.32
25,4,1981,26.34,15.63,1.03,22.49
26,4,1981,26.76,14.99,4.66,22.3
27,4,1981,26.93,15.57,5.74,21.86
28,4,1981,27.66,15.31,0,24.33
29,4,1981,28.2,17.29,0,25.09
30,4,1981,27.63,15.7,0,22.48
1,5,1981,26.92,16.73,0,20.33
2,5,1981,27.29,15.95,0,23.21
3,5,1981,27.81,15.88,0,23.36
4,5,1981,27.97,15.22,0,25.18
5,5,1981,27.89,15.54,0,24.58
6,5,1981,27.69,16.14,0,23
7,5,1981,25.9,16.51,0,19.83
8,5,1981,24.43,15.91,5.18,17.45
9,5,1981,26.83,16.14,4.4,22.91
10,5,1981,25.77,15.96,5.54,18.75
11,5,1981,26.07,15.95,12.09,19.48
12,5,1981,25.35,16.5,4.31,16.81
13,5,1981,25.62,15.76,5.06,20.36
14,5,1981,24.63,15.29,4.75,18.53
15,5,1981,25.27,15.39,0,19.04
16,5,1981,25.63,14.8,7.73,21.57
17,5,1981,25.66,15.4,41.18,20.92
18,5,1981,25.67,15.99,5.59,20.04
19,5,1981,26.05,15.21,10.05,21.41
20,5,1981,25.74,16.42,3.54,20.51
21,5,1981,25.53,16.46,7.4,20.02
22,5,1981,25.56,15.12,0,20.01
23,5,1981,25.49,15.73,0,20.63
24,5,1981,24.16,15.84,27.69,17.32
25,5,1981,25.17,15.91,14.97,19.31
26,5,1981,25.66,15.41,8.58,20.91
27,5,1981,26.52,15.37,3.64,22.08
28,5,1981,25.65,15.77,0,21.47
29,5,1981,25.66,15.07,0,21.23
30,5,1981,25.64,15.18,4.59,19.38
31,5,1981,25.76,16.04,0,19.57
1,6,1981,26.35,15.6,0,21.16
2,6,1981,25.95,15.97,3.54,21.33
3,6,1981,24.48,15.25,23.77,18.81
4,6,1981,25.07,15.12,6.35,20.26
5,6,1981,23.93,15.52,6.06,17.55
6,6,1981,24.53,15.49,6.63,18.47
7,6,1981,25.19,15.42,6.02,18.42
8,6,1981,25.09,15.81,8.47,19.66
9,6,1981,25.04,16,0,20.35
10,6,1981,24.32,14.87,3.73,18.9
11,6,1981,25.23,14.74,3.12,20.93
12,6,1981,25.26,15.14,5.09,20.89
13,6,1981,23.92,15.36,5.15,18.67
14,6,1981,23.96,15.21,4.97,18.75
15,6,1981,24,13.21,6.93,20.53
