day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.9,13.1,0.19,17.25
2,1,1981,24.75,13.2,0,19.64
3,1,1981,24.97,13.72,0.81,19.2
4,1,1981,24.15,13.62,0,16.79
5,1,1981,25.49,13.17,0,18.89
6,1,1981,24.59,14.2,0,18.61
7,1,1981,23.65,13.99,0,17.97
8,1,1981,25.18,13.08,0,18.74
9,1,1981,24.07,13.2,0,17.28
10,1,1981,24.96,13.65,0,18.94
11,1,1981,25.14,13.27,0,18.27
12,1,1981,25.56,13.28,0,18.86
13,1,1981,25.25,13.34,0,17.01
14,1,1981,25,14.67,0,16.9
15,1,1981,25.47,13.81,0,18.29
16,1,1981,24.9,14.65,0,18.4
17,1,1981,25.44,14.24,0,17.74
18,1,1981,25.69,14.07,0,17.57
19,1,1981,25.35,15.77,0,18.39
20,1,1981,25.89,13.58,0,18.89
21,1,1981,24.45,14.5,0,16.89
22,1,1981,24.95,14.73,0,18.83
23,1,1981,24.89,14.32,0,18.28
24,1,1981,25.01,14.46,0,18.5
25,1,1981,25.88,13.92,0,19.08
26,1,1981,24.83,14.84,0,17.5
27,1,1981,24.87,14.24,0,18.81
28,1,1981,26.17,13.59,0,19.4
29,1,1981,24.26,14.71,0,17.6
30,1,1981,24.59,13.66,11.27,19.07
31,1,1981,25.65,13.29,3.22,20.16
1,2,1981,25.85,12.67,0,20.61
2,2,1981,26.32,12.82,0,22.23
3,2,1981,27.07,12.18,0,23.97
4,2,1981,25.72,13.32,0,18.85
5,2,1981,25.97,13.77,0,18.65
6,2,1981,26.31,13.41,0,19.48
7,2,1981,25.54,13.1,0,18.54
8,2,1981,25.76,13.31,0,18.39
9,2,1981,24.97,13.56,0,17.53
10,2,1981,25.75,14.02,0,19.84
11,2,1981,25.77,13.2,0,19.26
12,2,1981,26.43,14.17,2.47,22.25
13,2,1981,26.59,12.78,0,22.73
14,2,1981,26.84,12.63,0,22.41
15,2,1981,25.74,13.81,0,19.75
16,2,1981,26.57,12.4,1.1,23.1
17,2,1981,26.58,12.69,0,23.6
18,2,1981,26.91,13.01,0,23.72
19,2,1981,27.07,13.38,1.07,20.37
20,2,1981,26.55,15.26,0,20.97
21,2,1981,27.98,15.09,1.03,21.83
22,2,1981,27.95,14.86,0,21.52
23,2,1981,27.28,14.98,0,20.63
24,2,1981,26.65,15.44,0.48,20.83
25,2,1981,27.41,15.51,0,20.99
26,2,1981,26.79,15.1,0.61,20.04
27,2,1981,25.69,14.99,10.38,19.27
28,2,1981,26.32,15.14,0,19.69
1,3,1981,27.29,15.6,0,21.1
2,3,1981,27.08,16.34,0.44,20.4
3,3,1981,26.25,15.03,0,20.83
4,3,1981,25.55,15.07,0,19.58
5,3,1981,26.24,14.8,11.16,20.34
6,3,1981,26.81,14.32,0,22.23
7,3,1981,27.12,14.17,0,22.93
8,3,1981,25.9,14.97,0,19.12
9,3,1981,25.45,14.71,0,19.34
10,3,1981,25.62,14.72,0,19.61
11,3,1981,25.42,14.65,0,19.99
12,3,1981,25.82,14.91,5.55,19.68
13,3,1981,22.67,15.44,10.61,14.06
14,3,1981,24.71,15.43,10.53,19.27
15,3,1981,24.72,14.36,9.18,19.86
16,3,1981,26.22,13.84,11.33,24.23
17,3,1981,26.24,13.73,1.45,23.23
18,3,1981,25.2,14.17,3.08,20.37
19,3,1981,25.39,14.32,1.49,19.45
20,3,1981,25.13,14.49,1.82,18.86
21,3,1981,24.74,14.89,3.52,18.91
22,3,1981,25.32,14.41,0.64,18.98
23,3,1981,24.97,14.4,3.15,18.88
24,3,1981,23.88,14.26,6.99,16.78
25,3,1981,21.75,15.01,10.75,13.6
26,3,1981,23.84,14.67,7.08,19.74
27,3,1981,23.27,14.32,7.17,17.38
28,3,1981,23.63,14.49,1.45,17.73
29,3,1981,22.98,14.92,7.4,15.45
30,3,1981,24.39,14.45,3.25,20.77
31,3,1981,25.07,15,0,24.36
1,4,1981,25.03,12.74,0,25.38
2,4,1981,25.01,12.3,2.87,24.95
3,4,1981,25.74,12.49,0,25.67
4,4,1981,25.7,13.16,0,23.88
5,4,1981,25.98,13.3,0,23.59
6,4,1981,25.89,14.49,0,21.84
7,4,1981,26.11,14.71,0,21.44
8,4,1981,26.43,14.5,2.52,24.06
9,4,1981,26.73,13.87,0,23.77
10,4,1981,26.57,13.51,0,22.89
11,4,1981,26.7,14,0,24.38
12,4,1981,26.73,14.37,0,24.67
13,4,1981,26.14,13.52,0,23.22
14,4,1981,26.87,14.23,2.35,24.83
15,4,1981,26.73,14.12,0,22.5
16,4,1981,27.52,14.18,0,25.24
17,4,1981,27.69,14.19,0,24.53
18,4,1981,26.92,14.32,1.97,23.16
19,4,1981,25.81,15.12,0,20
20,4,1981,25.97,14.86,8.05,20.21
21,4,1981,24.72,15.2,3.08,19.04
22,4,1981,22.96,15.19,7.69,17.42
23,4,1981,23.42,14.8,5.34,19.05
24,4,1981,22.62,14.33,5.58,18.88
25,4,1981,23.65,14.01,5.88,19.93
26,4,1981,24.14,13.85,6.62,20.58
27,4,1981,24.81,14.28,9.79,20.41
28,4,1981,25.34,13.45,0,22.96
29,4,1981,26.18,14,0,23.93
30,4,1981,24.91,14.3,0,21.14
1,5,1981,23.19,14.76,0,17.67
2,5,1981,24.48,14.49,0.34,20.27
3,5,1981,25,14.16,0.26,23.09
4,5,1981,25.08,14.27,0,22.6
5,5,1981,24.41,14.28,5.17,21.77
6,5,1981,24.73,14.16,3.82,20.68
7,5,1981,22.26,14.23,4.81,17.07
8,5,1981,21.87,14.87,4.67,15.93
9,5,1981,23.29,14.04,4.38,20.31
10,5,1981,22.13,14.48,4.42,15.72
11,5,1981,23.27,14.17,6.91,18.09
12,5,1981,21.68,14.7,8.52,15.11
13,5,1981,23.34,13.84,9.98,19.62
14,5,1981,21,13.89,7.59,15.55
15,5,1981,22.08,14.11,2.62,17.22
16,5,1981,22.67,13.46,8.7,19.39
17,5,1981,22.89,13.62,26.76,19.19
18,5,1981,22.74,14.52,8.86,18.38
19,5,1981,23.66,13.91,7.8,19.78
20,5,1981,23.02,14.21,7.18,19.73
21,5,1981,22.18,14.57,9.16,18.61
22,5,1981,22.76,13.89,9.91,19.47
23,5,1981,22.52,13.78,0,19.06
24,5,1981,22.08,13.98,11.97,18.02
25,5,1981,22.54,13.85,27.73,18.88
26,5,1981,22.76,14.05,6.44,19.45
27,5,1981,23.48,13.52,6.68,20.12
28,5,1981,22.87,13.74,3.47,20.7
29,5,1981,23.02,13.83,1.15,20.25
30,5,1981,22.49,14.51,7.43,18.01
31,5,1981,22.26,14.22,3.06,17.3
1,6,1981,22.88,13.83,1.58,19.97
2,6,1981,22.71,13.91,3.68,19.24
3,6,1981,21.62,13.94,13.67,18.01
4,6,1981,22.34,13.34,9.32,18.96
5,6,1981,22.05,14.15,2.57,17.45
6,6,1981,22.07,13.24,7.32,18.58
7,6,1981,22.33,13.32,5.94,18.06
8,6,1981,22.35,13.93,10.4,18.46
9,6,1981,22.51,13.97,0,19.14
10,6,1981,21.6,13.66,7.38,18.51
11,6,1981,22.49,13.04,5.08,19.71
12,6,1981,22.27,13.71,4.87,18.29
13,6,1981,21.44,13.55,3.83,17.84
14,6,1981,21.68,13.15,2.94,19.51
