day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.72,14.12,1.32,17.95
2,1,1981,27.84,14.01,0,19.89
3,1,1981,28.11,14.96,0,19.79
4,1,1981,27.66,15.38,0,18.28
5,1,1981,28.67,14.25,0,19.87
6,1,1981,28.1,15.83,0,19.33
7,1,1981,26.98,15.18,0,19
8,1,1981,28.28,13.67,0,19.91
9,1,1981,27.06,14.37,0,17.82
10,1,1981,28.55,14.24,0,20.12
11,1,1981,28.32,14.17,0,19.15
12,1,1981,29,13.96,0,19.44
13,1,1981,28.36,14.29,0,17.93
14,1,1981,28.71,15.71,0,18.13
15,1,1981,29.23,14.94,0,19.6
16,1,1981,29.07,15.81,0,19.89
17,1,1981,29.01,15.37,0,18.76
18,1,1981,29.47,15.61,0,18.54
19,1,1981,28.93,16.81,0,18.71
20,1,1981,29.58,14.47,0,20.35
21,1,1981,28.33,15.87,0,18.16
22,1,1981,28.59,15.97,0,19.83
23,1,1981,28.79,15.28,0,19.11
24,1,1981,28.59,15.61,0,19.4
25,1,1981,29.41,15.29,0,19.83
26,1,1981,28.08,15.55,0,18.25
27,1,1981,28.5,14.65,0,20.02
28,1,1981,29.06,14.41,0,20.19
29,1,1981,28.66,15.1,0,19.61
30,1,1981,28.16,14.47,5.75,20.04
31,1,1981,29.2,14.26,5.54,21.07
1,2,1981,29.17,15.06,0,21.26
2,2,1981,30.27,13.51,0,22.84
3,2,1981,31.2,13.44,0,24.4
4,2,1981,29.72,14.58,0,20.34
5,2,1981,30.24,14.61,0,20.72
6,2,1981,30.28,14.12,0,21.3
7,2,1981,29.27,14.11,0,19.3
8,2,1981,29.69,13.85,0,19.68
9,2,1981,28.86,15.01,0,17.5
10,2,1981,29.74,15.04,0,20.57
11,2,1981,29.69,15.07,0,19.58
12,2,1981,30.14,14.2,0,23.06
13,2,1981,30.51,13.87,0,23.85
14,2,1981,30.53,13.67,0,23.87
15,2,1981,29.53,14.71,0,21.72
16,2,1981,30.47,12.98,0,23.93
17,2,1981,30.47,13.31,0,24.45
18,2,1981,30.66,13.8,0,24.16
19,2,1981,31.13,14.06,2.26,22.53
20,2,1981,30.88,16.56,0,21.86
21,2,1981,31.99,16.95,3.25,22.35
22,2,1981,31.44,16.69,0,21.91
23,2,1981,31.39,16.79,0,20.95
24,2,1981,30.93,17.02,0,21.16
25,2,1981,31.02,16.72,0,21.77
26,2,1981,30.22,16.27,3.3,20.75
27,2,1981,29.5,16.79,3.38,19.73
28,2,1981,30.31,16.71,0,20.76
1,3,1981,31.47,17.49,0,20.91
2,3,1981,31.32,18.55,1.59,21.59
3,3,1981,30.59,17.11,0,22.13
4,3,1981,29.62,16.3,0,21.26
5,3,1981,30.61,16.49,0,22.59
6,3,1981,31.24,15.8,0,23.94
7,3,1981,31.26,14.79,0.44,23.58
8,3,1981,29.49,16.83,0,19.82
9,3,1981,29.14,16.14,0,20.55
10,3,1981,29,16.09,0,20.76
11,3,1981,29.01,16.97,0,20.22
12,3,1981,30.05,16.74,1.39,20.18
13,3,1981,26.23,17.16,11.51,15.34
14,3,1981,27.67,16.7,14.98,19.8
15,3,1981,29.08,15.65,9.14,20.46
16,3,1981,30.15,14.83,15.7,25.21
17,3,1981,30.01,15.02,0.4,24.01
18,3,1981,28.35,16.1,1.39,20.26
19,3,1981,28.08,16.07,0,19.29
20,3,1981,27.69,15.86,0.49,18.53
21,3,1981,28.48,16.14,1.61,20.31
22,3,1981,29.07,15.41,0.74,20.32
23,3,1981,28.24,15.45,0.52,19.74
24,3,1981,27.99,15.91,5.85,17.59
25,3,1981,24.18,15.9,17.54,14.34
26,3,1981,27.29,15.51,5.79,19.17
27,3,1981,26.93,15.04,6.06,18.26
28,3,1981,27.42,15.56,0.68,19.22
29,3,1981,26.66,15.91,8.77,18.23
30,3,1981,28.57,16.14,3.65,22.03
31,3,1981,29.48,16.71,0,25.11
1,4,1981,29.37,14.69,0,25.95
2,4,1981,29.04,13.5,2.32,25.1
3,4,1981,30.04,14.13,0,26.62
4,4,1981,29.95,14.34,0,25.48
5,4,1981,29.93,15,0,25.46
6,4,1981,29.95,15.87,0,24.45
7,4,1981,30.34,16.03,0,23.41
8,4,1981,30.71,16.13,0,25.5
9,4,1981,30.61,15.6,0,24.68
10,4,1981,30.57,15.15,0,24.58
11,4,1981,30.84,16.71,0,25.52
12,4,1981,30.95,16.02,0,25.65
13,4,1981,30.23,15,0,25.39
14,4,1981,31.05,15.56,0.52,26.09
15,4,1981,30.9,15.89,0,23.79
16,4,1981,32.18,16.93,0,25.66
17,4,1981,32.36,16.25,0,26.08
18,4,1981,31.21,16.11,0,23.24
19,4,1981,29.48,17.51,0,20.3
20,4,1981,29.25,16.65,6.32,20.64
21,4,1981,27.79,16.83,0,19.39
22,4,1981,26.48,16.48,6.8,17.93
23,4,1981,26.72,15.84,3.92,19.83
24,4,1981,26.11,15.37,5.94,19.61
25,4,1981,26.77,14.98,4.42,21.25
26,4,1981,27.46,15.14,4.13,21.69
27,4,1981,27.79,15.3,9,21.09
28,4,1981,28.91,14.64,0,23.28
29,4,1981,29.64,16.05,0,23.71
30,4,1981,27.71,16.19,0,21.86
1,5,1981,25.55,15.92,0,18.53
2,5,1981,27.91,16.04,1.8,21.8
3,5,1981,28.51,15.82,0,23.33
4,5,1981,28.44,15.86,0,22.96
5,5,1981,27.26,15.75,0.57,22.12
6,5,1981,27.8,15.24,2.41,21.68
7,5,1981,26.11,15.95,4.17,18.22
8,5,1981,24.8,16.78,3.12,16.83
9,5,1981,26.94,15.76,4.2,20.51
10,5,1981,25.41,16.07,5.45,17.57
11,5,1981,26.59,15.79,7.1,18.77
12,5,1981,23.55,15.97,10.11,14.59
13,5,1981,26.75,15.48,7.34,20.07
14,5,1981,24.11,15.02,6.34,16.96
15,5,1981,25.4,15.75,0,18.37
16,5,1981,25.69,15.21,0.75,20.54
17,5,1981,25.74,15.15,29.84,19.82
18,5,1981,25.8,15.78,7.84,18.66
19,5,1981,26.71,15.37,5.47,21.08
20,5,1981,26.1,15.78,8.92,20.67
21,5,1981,25.55,15.86,1.05,19.74
22,5,1981,26.05,15.68,1.23,20.82
23,5,1981,25.79,15.16,0,19.9
24,5,1981,25.38,16.13,19.49,18.85
25,5,1981,25.86,15.41,35.03,20.13
26,5,1981,26.13,15.5,7.43,20.33
27,5,1981,26.44,14.71,8.6,20.78
28,5,1981,25.87,15.4,0,21.04
29,5,1981,26.11,14.95,0,20.69
30,5,1981,25.47,16.73,5.62,19.16
31,5,1981,24.88,15.82,0,17.95
1,6,1981,25.75,15.48,0,20.18
2,6,1981,25.67,15.48,4.42,20.24
3,6,1981,24.13,15.78,16.31,17.44
4,6,1981,25.42,14.58,8.39,19.88
5,6,1981,24.94,16.14,0.77,17.93
6,6,1981,25.18,14.43,5.65,19.42
7,6,1981,25.37,14.91,4.86,19.33
8,6,1981,25.74,15.29,16.97,20.11
9,6,1981,25.54,15.65,0,20.21
10,6,1981,25.08,15.3,5.18,19.64
11,6,1981,25.14,14.56,3.36,19.76
12,6,1981,24.79,15.38,4.27,19.31
13,6,1981,24.17,15.12,5.83,18.84
14,6,1981,24.54,14.78,3.85,19.74
15,6,1981,25.01,14.18,5.61,20.21
16,6,1981,24.71,14.38,11.1,19.91
17,6,1981,25.4,15.14,6.74,19.97
18,6,1981,25.39,14.47,2.83,20.14
19,6,1981,25,14.83,7.95,19.49
20,6,1981,24.96,15.25,7.47,19.17
21,6,1981,24.41,15.17,13.88,18.66
22,6,1981,24.73,13.89,0.58,20.72
23,6,1981,25.28,14.12,0.85,20.46
24,6,1981,25.25,13.96,0,19.49
25,6,1981,23.59,15.51,13.43,18.09
26,6,1981,23.16,15.58,6.26,16.8
27,6,1981,24.27,14.38,8.13,20.04
28,6,1981,23.63,14.67,8.71,17.13
29,6,1981,24.09,14.79,12.41,18.68
