day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.04,14.75,0,18.19
2,1,1981,28.31,15.34,0,21.52
3,1,1981,28.9,15.78,0,20.96
4,1,1981,27.82,16.19,0,19.54
5,1,1981,29.1,15.82,3.96,21.4
6,1,1981,28.02,16.22,0,19.81
7,1,1981,28.48,15.57,0,21.44
8,1,1981,28.92,15.56,0,22.74
9,1,1981,29.21,14.66,0,23.36
10,1,1981,29.49,15.44,0,22.76
11,1,1981,29.3,15.1,0,21.03
12,1,1981,29.46,15.56,0,21.25
13,1,1981,29.21,15.77,0,19.08
14,1,1981,29.24,16.29,0,20.22
15,1,1981,29.65,15.88,0,21.78
16,1,1981,29.15,15.99,0,20.44
17,1,1981,29.03,17.06,0,20.87
18,1,1981,29.08,16.47,0,20.15
19,1,1981,30.01,17.17,0,21.08
20,1,1981,30.52,16.16,0,22.9
21,1,1981,28.37,17,0,19.77
22,1,1981,28.09,15.98,0,19.74
23,1,1981,28.77,15.91,0,20.26
24,1,1981,29.37,15.3,0,21.91
25,1,1981,30.4,15.69,0,23.4
26,1,1981,30.37,16.1,0,23.01
27,1,1981,29.74,16.16,0,22.6
28,1,1981,30.39,15.84,0,23.77
29,1,1981,28.75,16.55,0,20.77
30,1,1981,29.32,16.54,3.13,21.79
31,1,1981,29.69,16.25,0.13,23.14
1,2,1981,29.72,15.04,0,24.9
2,2,1981,29.58,14.26,0,24.77
3,2,1981,30.22,16.43,0,24.94
4,2,1981,30.35,14.37,0,24.8
5,2,1981,29.87,15.74,0,22.97
6,2,1981,30.29,15.53,0,24.1
7,2,1981,30.07,14.79,0,22.78
8,2,1981,29.95,14.96,0,21.04
9,2,1981,28.5,16.21,0,19.82
10,2,1981,28.92,15.97,0,20.1
11,2,1981,29.51,16.61,0,19.99
12,2,1981,30.63,15.73,0,23.92
13,2,1981,30.93,15.39,0,24.54
14,2,1981,30.68,15.15,0,24.24
15,2,1981,30.66,16.91,0,23.14
16,2,1981,31.12,16.1,0,24.31
17,2,1981,30.8,15.42,0,24.87
18,2,1981,31.03,15.31,0,24.59
19,2,1981,30.81,16.84,3.22,22.24
20,2,1981,29.98,15.94,0,22.08
21,2,1981,31.65,16.87,0,23.97
22,2,1981,31.99,17.61,0,24.64
23,2,1981,32.29,16.91,0,24.32
24,2,1981,31.86,17.7,2.89,23.59
25,2,1981,31.96,17.79,0,23.47
26,2,1981,31.55,17.23,0,24.31
27,2,1981,29.13,17.74,4.88,20.04
28,2,1981,29.5,17.46,0,20.31
1,3,1981,31.29,16.9,0,23.27
2,3,1981,30.22,16.74,8.43,21.16
3,3,1981,28.97,16.6,0,21.23
4,3,1981,29.19,15.6,0,21.36
5,3,1981,28.43,15.87,5.22,21.25
6,3,1981,28.94,16.85,0,21.7
7,3,1981,29.22,16.34,0,22.2
8,3,1981,29.04,15.91,0,22.31
9,3,1981,27.87,16.04,0,21.63
10,3,1981,28.27,16.56,0.48,21.39
11,3,1981,29.57,17.22,0,22.29
12,3,1981,28.94,17.17,6.47,22.04
13,3,1981,25.76,16.54,6.84,17.58
14,3,1981,27.85,16.72,5.69,20.69
15,3,1981,27.12,16.52,10.1,19.64
16,3,1981,28.7,16.32,6.22,21.94
17,3,1981,29.89,15.52,4.32,25.26
18,3,1981,29.79,15.97,1.66,23.17
19,3,1981,28.25,16.41,0,20.39
20,3,1981,27.89,16.03,4.59,21.73
21,3,1981,27.19,16.04,14.77,20.86
22,3,1981,28.24,16.5,3.68,21.62
23,3,1981,27.94,16.24,2.06,22.43
24,3,1981,27.3,16.2,3.37,19.66
25,3,1981,25.4,16.37,3.36,16.73
26,3,1981,26.38,15.87,6.81,19.02
27,3,1981,25.96,16,7.83,18.84
28,3,1981,26.71,16.31,2.75,21.11
29,3,1981,23.58,16.64,10.98,16.65
30,3,1981,27.55,15.24,0.13,22.53
31,3,1981,28.72,17.63,0.34,24.8
1,4,1981,28.74,14.51,0,25.78
2,4,1981,28.86,14.09,5.43,26.15
3,4,1981,28.57,13.94,0,24.29
4,4,1981,27.85,17.03,0,19.97
5,4,1981,29.01,16.61,0,24
6,4,1981,28.47,18,0,22.56
7,4,1981,28.42,16.97,14.19,21.96
8,4,1981,29.08,17.12,0.7,24.18
9,4,1981,30.43,17.44,0,24.33
10,4,1981,29.88,16.55,0,23.82
11,4,1981,30.45,16.39,0,25.63
12,4,1981,30.16,17.01,6.35,25.03
13,4,1981,29.62,16.1,0,23.82
14,4,1981,29.99,17.39,0,22.73
15,4,1981,30.77,16.26,0,23.99
16,4,1981,31.25,15.85,0,26.38
17,4,1981,31.02,16.12,0,25.54
18,4,1981,30.35,17.13,6,22.68
19,4,1981,28.86,16.4,3.24,22.56
20,4,1981,28,16.81,4.29,22.49
21,4,1981,27.1,16.32,7.72,21.42
22,4,1981,25.04,16.06,7.45,17.88
23,4,1981,26.2,16.03,5.36,20.67
24,4,1981,26.38,16.35,7.72,21.52
25,4,1981,26.73,16.18,1.58,22.96
26,4,1981,27.12,15.37,3.31,22.39
27,4,1981,27.19,15.96,5.8,21.98
28,4,1981,28.51,15.48,0,24.46
29,4,1981,29.07,16.64,0,24.79
30,4,1981,28.84,16.1,0,22.91
1,5,1981,27.89,17.24,0,21.38
2,5,1981,28.4,16.55,0,23.48
3,5,1981,28.54,16.53,0,22.67
4,5,1981,29.21,16.32,0,24.95
5,5,1981,29.12,16.76,0.87,24.49
6,5,1981,29.16,17.11,0,23.38
7,5,1981,27.37,16.72,0,20.62
8,5,1981,25.34,15.99,5.3,18.51
9,5,1981,27.87,16.7,2.68,22.96
10,5,1981,27.3,16.15,3.37,19.85
11,5,1981,26.78,16.35,10.23,19.88
12,5,1981,26.06,16.48,4.43,17.97
13,5,1981,26.55,16.95,5.27,20.17
14,5,1981,26.16,15.91,3.43,19.88
15,5,1981,26,16.34,0,19.76
16,5,1981,26.95,15.31,7.29,21.94
17,5,1981,26.73,15.99,41.57,21.6
18,5,1981,26.5,16.59,5.67,20.57
19,5,1981,26.49,15.9,7.99,21.6
20,5,1981,26.27,16.35,2.56,20.51
21,5,1981,26.13,16.93,7.24,19.97
22,5,1981,26.25,16,0,20.02
23,5,1981,26.62,16.26,0,20.79
24,5,1981,24.87,16.35,20.43,17.61
25,5,1981,25.85,16.6,12.88,19.32
26,5,1981,26.79,15.93,11.6,21.09
27,5,1981,27.51,16.07,1.03,22.44
28,5,1981,26.64,15.87,0,21.55
29,5,1981,26.05,15.72,0,21.18
30,5,1981,26.31,15.91,0,19.64
31,5,1981,27.34,16.08,0,20.4
1,6,1981,27.15,16.04,0,21.28
2,6,1981,27.2,16.54,4.28,21.54
3,6,1981,25.13,15.83,20.17,18.61
4,6,1981,25.64,15.54,5.57,20.34
5,6,1981,24.67,16.09,5.67,17.66
6,6,1981,24.67,16.09,5.1,17.9
7,6,1981,25.77,16.13,4,18.52
8,6,1981,25.84,16.58,8.18,19.82
9,6,1981,25.63,16.32,0,20.41
10,6,1981,24.97,15.32,3.11,18.84
11,6,1981,26.04,15.67,2.16,20.7
12,6,1981,25.83,15.84,3.53,21.21
13,6,1981,24.62,16.09,5.26,18.62
14,6,1981,24.18,15.9,4.21,17.94
15,6,1981,25.06,14.1,6.6,19.99
16,6,1981,25.15,15.12,10.54,19.44
17,6,1981,25.34,15.38,5.68,19.4
18,6,1981,26.24,16.48,0,20.5
19,6,1981,25.61,15.48,6.21,18.83
20,6,1981,24.74,15.28,10.32,18.51
21,6,1981,24.3,16.09,2.8,18.73
22,6,1981,24.84,15.27,4.32,19.25
23,6,1981,25.51,15.11,10.77,19.5
24,6,1981,25.7,15.31,0,20.23
25,6,1981,24.71,16.54,18.39,19.25
26,6,1981,23.85,16.03,5.29,18.59
27,6,1981,24.69,14.56,0,19.36
28,6,1981,23.57,15.38,5.17,16.96
29,6,1981,24.2,15.39,25.78,18.93
30,6,1981,24.69,15.6,15.15,19.63
1,7,1981,24.31,15.45,8.15,18.99
2,7,1981,24.44,15.38,24.2,18.08
3,7,1981,23.6,15.97,2.08,17.93
4,7,1981,23.3,15.97,3.15,18.15
5,7,1981,24.19,15.69,1.11,18.75
6,7,1981,24.09,15.41,3.46,19.04
7,7,1981,23.61,16.08,4.77,18.48
8,7,1981,23.6,15.4,15.7,18.14
9,7,1981,23.8,15.34,25.62,17.61
10,7,1981,23.24,15.01,8.58,18.36
11,7,1981,22.45,15.63,0.75,17.29
12,7,1981,24.49,14.25,21.29,19.81
13,7,1981,23.79,15.47,12.98,19.17
14,7,1981,24.26,15.47,8.23,19.9
15,7,1981,23.6,15.01,7.31,17.84
16,7,1981,22.98,16.44,9.2,16.42
17,7,1981,22.3,15.79,0,15.18
18,7,1981,23.35,14.94,5.64,17.14
19,7,1981,23.18,15.47,9.24,17.52
20,7,1981,21.2,15.74,18.91,12.87
21,7,1981,23.48,14.36,15.11,18.9
22,7,1981,24.22,14.89,3.7,17.58
23,7,1981,24.41,15.52,4.15,19.01
24,7,1981,23.67,16.08,11.97,19.27
25,7,1981,22.24,15.74,23.68,16.27
26,7,1981,23.35,15.43,6.38,18.79
27,7,1981,23.09,15.33,4.97,18.52
28,7,1981,23.48,14.73,24.43,18.79
29,7,1981,24.05,15.04,9.98,19.54
30,7,1981,22.93,15.76,17.85,17.17
31,7,1981,23.84,15.56,9.39,18.82
1,8,1981,23.96,14.42,4.27,20.51
2,8,1981,24.65,15.84,8.32,19.2
3,8,1981,24.11,15.54,12.34,18.76
4,8,1981,23.93,15.87,16.9,18.57
5,8,1981,24.13,15.93,26.6,18.73
6,8,1981,23.15,15.97,17.78,16.58
7,8,1981,23.57,15.47,3.58,18.27
8,8,1981,22.86,15.82,7.21,17.57
9,8,1981,23.86,14.97,3.72,19.76
10,8,1981,24.23,15.1,0,20.55
11,8,1981,24.6,15.51,8.44,19.82
12,8,1981,23.48,16.05,8.3,17.15
13,8,1981,23.71,15.98,19.19,18.59
14,8,1981,23.98,16.14,25.91,19.22
15,8,1981,23.96,15.86,9.03,18.04
16,8,1981,24.17,15.48,10.3,19.92
17,8,1981,23.02,15.33,11.14,17.65
18,8,1981,23.73,14.73,5.83,18.98
19,8,1981,24.18,15.53,0,19.73
20,8,1981,23.99,14.65,0,20.66
21,8,1981,20.4,15.9,14.08,11.58
22,8,1981,21.95,14.82,11.06,16.27
23,8,1981,23.69,14.4,1.58,19.75
24,8,1981,23.39,14.72,22.17,20.08
25,8,1981,23.59,14.81,0,19.93
26,8,1981,24.21,15.14,30.61,20.23
27,8,1981,24.02,15.07,5.49,21.18
28,8,1981,24.74,14.7,3.08,20.45
29,8,1981,23.76,14.14,4.2,19.35
30,8,1981,24.43,14.31,6.26,21.1
31,8,1981,23.42,14.53,24.88,18.28
1,9,1981,23.24,14.28,22.99,19.75
2,9,1981,23.91,14.4,0,20.32
3,9,1981,24.21,13.6,5.96,20.68
4,9,1981,23.98,15.67,6.81,20.39
5,9,1981,23.55,14.67,34.68,20.74
6,9,1981,24.14,15.23,12.38,20.33
7,9,1981,23.55,15.32,13.32,20.21
8,9,1981,22.64,14.98,8.46,17.48
9,9,1981,23.63,13.68,0,20.79
10,9,1981,24.13,14.83,7.91,19.74
11,9,1981,24.39,14.76,28.91,21.12
12,9,1981,22.69,15.11,6.9,18.41
13,9,1981,24.17,14.11,2.6,21.32
14,9,1981,24.17,15.24,0,19.03
15,9,1981,24.01,14.57,7.19,20.37
16,9,1981,23.3,15.17,4.18,17.58
17,9,1981,23.94,15.21,0,17.85
18,9,1981,23.51,15.09,5.48,18.95
19,9,1981,23.58,14.72,14.64,19.74
20,9,1981,23.5,15.31,26.85,19.27
21,9,1981,24.83,14.9,6.08,21.02
22,9,1981,24.55,15.33,25.94,20.25
23,9,1981,24.65,15.08,0,20.61
24,9,1981,24.19,15.22,5.79,19.85
25,9,1981,23.16,14.97,18.74,16.71
26,9,1981,24.51,14.99,13.6,20.21
27,9,1981,24.8,14.88,31.89,20.48
28,9,1981,24.89,14.64,0.71,22.19
29,9,1981,25.21,15.09,0,22.06
30,9,1981,25.06,15.42,0,20.44
1,10,1981,25.21,14.93,5.59,21.77
2,10,1981,24.32,15.46,8.3,20.42
3,10,1981,24.59,15.09,4.9,19.47
4,10,1981,24.61,14.47,1.67,20.93
5,10,1981,24.97,15.5,0,20.39
6,10,1981,25.37,14.78,13.96,21.72
7,10,1981,25.84,14.79,8.59,22.76
8,10,1981,25.99,14.6,12.76,23.06
9,10,1981,24.44,14.64,0,19.85
10,10,1981,24.66,15.3,0,19.64
11,10,1981,24.82,14.92,0,21.38
12,10,1981,25.37,14.32,0,22.55
13,10,1981,25.97,14.28,0,23.48
14,10,1981,25.35,14.25,0,21.59
15,10,1981,25.37,14.37,0.99,22.4
16,10,1981,26.47,14.39,0,23.98
17,10,1981,26.18,14.54,0,23.56
18,10,1981,26.61,13.93,0,24.67
19,10,1981,26.36,15.45,0,25.02
20,10,1981,26.35,12.79,0,24.47
21,10,1981,25.9,13.52,0,23.16
22,10,1981,25.74,14.63,0,21.76
23,10,1981,26.69,14.66,0,22.88
24,10,1981,26.15,14.53,0,22.01
25,10,1981,26.46,14.28,0,21.62
26,10,1981,26.62,14.56,0,23.76
27,10,1981,26.65,13.3,0,24.57
28,10,1981,26.64,14.05,0,23.62
29,10,1981,27.5,14.72,0,24.2
30,10,1981,27.28,14.52,0,23.07
31,10,1981,27.03,14.52,0.88,22.37
1,11,1981,27.06,14.97,0,22.44
2,11,1981,26.71,14.74,0,21.71
3,11,1981,25.78,14.77,13.06,20.97
4,11,1981,25.74,15.4,14.74,20.78
5,11,1981,25.97,15.43,0,21.2
6,11,1981,27.14,15.37,0,22.42
7,11,1981,27.3,14.78,0,22.35
8,11,1981,27.6,14.76,0,23.14
9,11,1981,27.32,14.38,0,24.19
10,11,1981,27.74,13.71,0,23.5
11,11,1981,28.17,14.61,0,23.91
12,11,1981,28.18,14.41,0,24.09
13,11,1981,28.34,14.05,0,24.05
14,11,1981,28.18,14.62,0,24.02
15,11,1981,28.24,15.13,0,24.17
16,11,1981,28.17,13.29,0,24.15
17,11,1981,28.05,13.59,0,22.69
18,11,1981,27.79,13.87,0,22.45
19,11,1981,26.84,14.9,0,21.05
20,11,1981,26.43,15.51,0,19.23
21,11,1981,26,15.55,0,19.7
22,11,1981,26.36,15.37,0,20.28
23,11,1981,25.19,15.17,14.06,18.99
24,11,1981,25.37,14.76,0,19.32
25,11,1981,27.23,14.56,0,22.75
26,11,1981,27.34,14.68,0,22.39
27,11,1981,27.25,15.09,0,21.05
28,11,1981,26.95,14.84,0,20.62
29,11,1981,26.79,14.84,0,20.28
30,11,1981,27.77,15.19,0,23.26
1,12,1981,27.39,14.3,0,23.68
2,12,1981,27.58,14.1,0,23.19
3,12,1981,28.06,13.65,0,23.22
4,12,1981,28.08,13.53,0,23.38
5,12,1981,28.36,13.14,0,23.37
6,12,1981,28.15,13.67,0,22.84
7,12,1981,27.59,16.02,0,21.37
8,12,1981,28.57,16.26,0,22.84
9,12,1981,28.66,14.45,0,23.32
10,12,1981,28.57,13.55,0,23.29
11,12,1981,28.55,12.79,0,23.38
12,12,1981,28.73,12.55,0,23.25
