day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.38,17.07,0.12,18.2
2,1,1981,29.39,17.19,0,19.68
3,1,1981,29.57,17.46,0,19.84
4,1,1981,29.15,17.89,0,18.74
5,1,1981,29.63,16.9,0,19.86
6,1,1981,29.83,17.85,0,18.92
7,1,1981,28.62,18.23,0,18.69
8,1,1981,29.08,16.46,0,19.51
9,1,1981,28.26,17.6,0,17.77
10,1,1981,29.7,16.49,0,19.8
11,1,1981,29.29,16.89,0,19.11
12,1,1981,30.6,16.85,0,19.27
13,1,1981,29.8,17.14,0,18.54
14,1,1981,30.23,18.34,0,18.22
15,1,1981,30.6,17.81,0,19.75
16,1,1981,30.22,18.14,0,19.62
17,1,1981,30.7,18.73,0,19.09
18,1,1981,30.54,18.18,0,18.68
19,1,1981,29.92,17.98,0,18.52
20,1,1981,30.45,17.29,0,20.15
21,1,1981,29.71,18.47,0,18.66
22,1,1981,29.9,18,0,19.61
23,1,1981,30.25,18.35,0,19.25
24,1,1981,30.03,18.09,0,19.23
25,1,1981,30.37,17.53,0,19.82
26,1,1981,29.12,18.93,0,18.15
27,1,1981,29.79,17.85,0,19.51
28,1,1981,29.65,17.27,0,20.18
29,1,1981,29.9,17.97,0,19.68
30,1,1981,29.5,17.09,6.6,19.71
31,1,1981,30.49,17.24,2.2,20.82
1,2,1981,29.61,17.25,0,20.2
2,2,1981,31.23,16.94,0,21.75
3,2,1981,32.17,16.54,0,23.5
4,2,1981,30.73,17.42,0,20
5,2,1981,31.46,17.4,0,21.19
6,2,1981,30.92,16.84,0,21.35
7,2,1981,30.65,16.62,0,19.29
8,2,1981,31.37,16.71,0,19.96
9,2,1981,30.21,17.67,0,17.01
10,2,1981,31.06,17.64,0,20.55
11,2,1981,31.04,17.28,0,19.95
12,2,1981,31.34,16.44,0,22.5
13,2,1981,31.73,16.62,0,23.19
14,2,1981,31.79,16.5,0,23.33
15,2,1981,30.04,17.46,0,21.52
16,2,1981,31.26,16.53,0,23.03
17,2,1981,31.67,18.16,0,23.63
18,2,1981,31.53,17.55,0,23.02
19,2,1981,31.7,17.79,0.28,22.41
20,2,1981,32.41,18.53,0,21.33
21,2,1981,33.23,19.01,1.07,21.89
22,2,1981,32.04,19.44,0,20.97
23,2,1981,32.49,19.04,0,20.32
24,2,1981,32.19,19.53,0,20.91
25,2,1981,31.99,19.46,0,21.23
26,2,1981,30.86,19.52,8.85,20.38
27,2,1981,30.64,19.03,0.88,19.64
28,2,1981,31.89,18.69,0,20.71
1,3,1981,32.61,19.38,0,20.17
2,3,1981,32.5,20.33,0,21.75
3,3,1981,31.83,18.97,0,22.08
4,3,1981,30.62,18.87,0,21.63
5,3,1981,32.11,18.67,0,23.15
6,3,1981,32.69,17.91,0,24.01
7,3,1981,32.07,17.51,0,23.09
8,3,1981,30.62,19.56,0,19.68
9,3,1981,30.57,18.64,0,20.62
10,3,1981,30.39,18.52,0,20.88
11,3,1981,30.41,19.15,0,20.27
12,3,1981,31.49,19.03,2.97,20.11
13,3,1981,28.11,18.93,8.11,16.06
14,3,1981,28.9,18.39,15.34,19.49
15,3,1981,29.92,18.38,7.8,20.04
16,3,1981,30.83,17.83,20.36,24.05
17,3,1981,30.62,18.1,0,23.21
18,3,1981,28.9,19.37,0.17,19.53
19,3,1981,28.82,18.77,0,19.17
20,3,1981,27.81,18.33,0,17.84
21,3,1981,29.59,18.23,0,20.08
22,3,1981,29.94,18.46,0,19.86
23,3,1981,29.08,17.84,0,19.7
24,3,1981,28.66,18.49,1.19,17.38
25,3,1981,24.76,18.03,24.25,14.25
26,3,1981,28.42,17.87,8.45,18.43
27,3,1981,28.1,17.22,6.88,18.2
28,3,1981,28.87,18.39,0,19.27
29,3,1981,27.85,17.94,5.02,18.19
30,3,1981,30.07,17.78,5.23,21.42
31,3,1981,30.04,18.81,0,24.08
1,4,1981,30.05,18.36,0,24.83
2,4,1981,29.52,17.29,0.18,23.73
3,4,1981,30.8,17.48,0,25.75
4,4,1981,30.58,17.98,0,24.95
5,4,1981,30.51,18.51,0,24.58
6,4,1981,30.38,18.18,0,24.3
7,4,1981,30.73,17.94,0,23.56
8,4,1981,31.22,18.64,0,24.91
9,4,1981,30.97,19.09,0,23.73
10,4,1981,30.84,18.86,0,23.87
11,4,1981,30.5,18.52,0,24.36
12,4,1981,30.98,18.54,0,24.48
13,4,1981,30.43,18.01,0,24.82
14,4,1981,31.39,18.71,0,25.25
15,4,1981,31.28,18.85,0,23.21
16,4,1981,32.34,19.19,0,24.55
17,4,1981,32.81,18.84,0,25.44
18,4,1981,30.75,19.58,0,22.39
19,4,1981,29.88,19.29,0,19.81
20,4,1981,30.18,18.79,6.25,20.01
21,4,1981,28.12,18.7,0,19.34
22,4,1981,27.79,18.3,7.75,18.05
23,4,1981,27.51,17.84,5.06,20.04
24,4,1981,26.99,18.18,8.7,19.33
25,4,1981,27.51,17.57,3.36,21.18
26,4,1981,28,17.71,1.22,21.41
27,4,1981,28.95,17.88,16.22,20.8
28,4,1981,29.83,17.13,0,22.9
29,4,1981,30.28,19.04,0,22.72
30,4,1981,28.06,18.72,0,21.9
1,5,1981,26.26,18.91,0,18.71
2,5,1981,28.08,18.01,0,21.48
3,5,1981,29.21,18.03,0,22.35
4,5,1981,28.67,18.31,0,21.91
5,5,1981,27.68,18.32,17.15,21.16
6,5,1981,28.72,17.67,1.89,21.38
7,5,1981,26.35,18.26,6.23,18.12
8,5,1981,25.28,18.38,0.79,17.33
9,5,1981,27.39,18.19,7.84,19.8
10,5,1981,26.06,18.4,9.97,17.9
11,5,1981,27.38,17.95,14.27,18.83
12,5,1981,24.18,18.01,2.78,14.81
13,5,1981,26.88,17.7,6.93,19.65
14,5,1981,24.4,17.24,14.05,17.47
15,5,1981,25.69,17.83,6.63,18.42
16,5,1981,25.97,17.24,3.08,20.49
17,5,1981,26.24,17.07,26.25,19.87
18,5,1981,26.22,17.5,11.3,18.72
19,5,1981,26.92,17.29,5.69,21.12
20,5,1981,26.72,17.7,7.87,20.73
21,5,1981,26.07,17.55,0,19.62
22,5,1981,26.48,18.06,0,21.03
23,5,1981,26.13,17.2,0,19.67
24,5,1981,26.01,17.5,10.21,19.72
25,5,1981,26.47,17.37,53.53,20.42
26,5,1981,26.67,17.34,8.81,20.19
27,5,1981,26.57,16.8,8.27,20.85
28,5,1981,26.36,17.63,0,21.03
29,5,1981,26.48,16.98,0,20.71
30,5,1981,25.88,18.22,1.01,19.51
31,5,1981,24.2,17.68,3.9,17.98
1,6,1981,25.64,17.5,2.26,19.87
2,6,1981,25.82,17.52,3.42,20.27
3,6,1981,24.34,17.61,6.76,17.1
4,6,1981,25.86,16.56,12.09,20.12
5,6,1981,25.26,17.68,0,18.2
6,6,1981,25.06,16.41,1.13,19.24
7,6,1981,25.51,16.94,1.4,19.77
8,6,1981,26.08,17.39,23.23,20.52
9,6,1981,25.97,17.65,8.66,20.31
10,6,1981,25.43,17.28,1.07,19.97
11,6,1981,25.17,16.68,3.07,19.41
12,6,1981,24.76,17.16,2.75,19.38
13,6,1981,24.29,17,4.63,19.24
14,6,1981,24.79,17.04,3.52,19.55
15,6,1981,25.18,16.73,5.1,19.91
16,6,1981,24.81,16.84,15.33,20.65
17,6,1981,25.62,16.92,4.64,20.26
18,6,1981,25.39,16.85,0.41,20.3
19,6,1981,25.09,16.99,6.58,19.67
20,6,1981,25.23,17.35,5.4,19.52
21,6,1981,24.09,16.76,9.12,18.73
22,6,1981,24.7,15.89,0.19,20.76
23,6,1981,25.99,16.4,1.19,20.68
24,6,1981,25.05,16.57,0,19.46
25,6,1981,23.26,17.34,18.79,18.45
26,6,1981,22.69,17.14,8.54,16.5
27,6,1981,24.34,16.23,0.75,20.06
28,6,1981,23.77,16.35,1.51,17.85
29,6,1981,24.39,16.69,12.85,19.16
30,6,1981,25.5,15.99,22.02,20.69
1,7,1981,24.5,16.82,0,19.3
2,7,1981,24.3,16.68,20.04,19.25
3,7,1981,24.17,16.93,0,18.21
4,7,1981,24.35,17.08,12.71,18.11
5,7,1981,24.25,17.01,0,19.48
6,7,1981,25.08,16.73,1.29,21.11
7,7,1981,23.97,16.41,13.78,19.04
8,7,1981,23.21,17.17,1.7,17.58
9,7,1981,24.47,16.11,0,19.36
10,7,1981,22.83,16.97,13.58,17.09
11,7,1981,22.21,16.76,3.56,16.76
12,7,1981,24.35,15.93,5.71,21.94
13,7,1981,23.87,16.42,7.27,20.24
14,7,1981,24.61,17.39,1.09,20.53
15,7,1981,23.7,17.14,24.07,18.88
16,7,1981,22.98,17.01,0,17.38
17,7,1981,21.3,16.18,7.65,13.88
18,7,1981,23.64,16.17,1.28,19.96
19,7,1981,23.07,16.92,6.6,17.13
20,7,1981,22.78,16.45,1.05,15.57
21,7,1981,23.35,16.58,7.04,18.8
22,7,1981,24.47,16.05,17.57,20.73
23,7,1981,23.18,17.07,6.38,18.56
24,7,1981,23.55,16.55,1.37,18.56
25,7,1981,22.45,17.02,13.17,16.87
26,7,1981,22.38,17.15,13.89,15.62
27,7,1981,22.53,16.11,0.32,18.51
28,7,1981,22.43,15.86,0.73,19.35
29,7,1981,23.67,16.32,19.41,20.1
30,7,1981,23.89,16.1,9.13,19.42
31,7,1981,23.45,16.17,16.37,19.94
1,8,1981,23.05,15.66,0.87,19.71
2,8,1981,24.74,16.33,10.25,21.43
3,8,1981,24.04,16.42,5.27,19.46
4,8,1981,23.2,17.27,13.62,17.95
5,8,1981,23.8,16.52,13.9,18.46
6,8,1981,22.9,17.05,9.35,17.6
7,8,1981,23.41,16.8,2.68,19.54
8,8,1981,22.37,16.99,1.15,15.81
9,8,1981,24.19,15.71,0.9,20.72
10,8,1981,24.02,16.23,3.38,19.66
11,8,1981,24.63,16.62,5.51,20.67
12,8,1981,23.86,16.25,5.14,18.97
13,8,1981,22.93,16.44,7.56,18.17
14,8,1981,22.5,16.74,13.86,16.55
15,8,1981,24.5,16.56,3.56,20.86
16,8,1981,24.68,15.95,20.26,20.53
17,8,1981,22.06,16.3,27.86,16.67
18,8,1981,23.64,16.08,1.12,19.55
19,8,1981,24.06,16.34,0,19.71
20,8,1981,23.5,16.21,5.74,18.26
21,8,1981,21.96,16.52,0.66,16.27
22,8,1981,24.12,15.93,0,19.86
23,8,1981,24.06,16.09,4.51,19.7
24,8,1981,23.01,16.49,13.01,18.34
25,8,1981,22.93,16.2,0,18.47
26,8,1981,24.33,15.89,30.57,21.48
27,8,1981,24.85,16.25,8.81,21.69
28,8,1981,24.87,15.99,5.11,21.51
29,8,1981,24.63,16.23,0.27,21.18
30,8,1981,24.4,15.76,4.1,20.76
31,8,1981,22.67,15.82,11.91,18.61
1,9,1981,23.78,16.25,6.94,19.73
2,9,1981,24.35,16.09,0.84,21.34
3,9,1981,23.68,15.61,1.38,19.77
4,9,1981,23.96,15.45,29.82,19.93
5,9,1981,23.9,16.74,8.24,20.04
6,9,1981,24.18,15.86,11.56,19.74
7,9,1981,24,15.74,7.08,20.08
8,9,1981,23.22,15.97,17.59,18.7
9,9,1981,24.12,15.33,4.01,20.51
10,9,1981,24.39,15.72,4.19,21.31
11,9,1981,24.04,15.81,3.33,19.96
12,9,1981,23.57,16.23,8.14,18.03
13,9,1981,24.68,15.41,0,21.18
14,9,1981,24.54,16.6,0.51,19.79
15,9,1981,24.06,16.56,17.41,19.95
16,9,1981,24.44,16,0.66,19.45
17,9,1981,23.68,16.16,2.87,17.42
18,9,1981,22.9,16.71,0.65,16.17
19,9,1981,24.76,15.16,3.85,21.03
20,9,1981,23.56,16.46,16.9,17.88
21,9,1981,24.98,15.12,1.56,21.02
22,9,1981,25.08,16.04,17.52,20.43
23,9,1981,25.36,16.44,0,21.01
24,9,1981,25.22,16.69,9.09,20.88
25,9,1981,22.22,16.91,5.3,15.25
26,9,1981,24.74,16.09,6.5,19.68
27,9,1981,24.94,16.11,16.04,19.81
28,9,1981,25.29,15.76,4.76,20.15
29,9,1981,25.73,16.47,9.54,21.09
30,9,1981,25.52,16.16,4.93,20.73
1,10,1981,25.8,16.29,7.14,20.76
2,10,1981,25.23,16.9,13.08,19.9
3,10,1981,25.49,16.56,12.4,20.41
4,10,1981,25.32,16.46,13.62,20.31
5,10,1981,25.44,16.59,3.26,20.6
6,10,1981,25.82,15.93,3.53,21.2
7,10,1981,26.24,16.34,0.19,20.74
8,10,1981,26.52,16.27,13.54,21.9
9,10,1981,24.86,16.63,3.75,18.9
10,10,1981,25.17,16.14,6.64,19.68
11,10,1981,25.46,15.51,6.36,20.28
12,10,1981,25.4,15.83,0.68,20.86
13,10,1981,25.66,15.93,0,20.26
14,10,1981,25.88,15.7,0,20.44
15,10,1981,26.58,15.94,0,20.74
16,10,1981,26.5,15.78,0.08,20.72
