day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.32,17.63,0,18.4
2,1,1981,30.43,17.96,0,20.02
3,1,1981,30.9,17.21,0.56,19.84
4,1,1981,30.46,18.21,0,18.79
5,1,1981,30.81,17.23,0,20.07
6,1,1981,30.41,17.97,0,20.01
7,1,1981,30.4,17.83,0,20.64
8,1,1981,31.4,16.87,0,22.17
9,1,1981,31.19,16.43,0,20.56
10,1,1981,31.39,16.6,0,21.33
11,1,1981,31.4,17.05,0,19.99
12,1,1981,31.37,17.14,0,20.75
13,1,1981,30.48,17.05,0,18.52
14,1,1981,31.75,17.37,0,20.55
15,1,1981,31.72,17.46,0,20.47
16,1,1981,31.69,17.92,0,20.78
17,1,1981,31.38,18.79,0,19.4
18,1,1981,31.54,17.96,0,19.83
19,1,1981,31.65,18.05,0,20.01
20,1,1981,32.5,17.92,0,21.94
21,1,1981,31.1,18.98,0,19.09
22,1,1981,31.47,18.4,0,20.54
23,1,1981,31.35,18.26,0,19.42
24,1,1981,31.49,17.81,0,20.8
25,1,1981,32.52,17.29,0,20.98
26,1,1981,31.79,18.07,0,20.52
27,1,1981,31.47,17.81,0,22.05
28,1,1981,32.15,17.75,0,21.46
29,1,1981,31.39,18.89,0,20.91
30,1,1981,31.29,17.94,1.54,20.91
31,1,1981,31.35,17.77,0,21.64
1,2,1981,32.29,17.29,0,23.92
2,2,1981,31.87,16.02,0,23.76
3,2,1981,32.76,16.74,0,24.17
4,2,1981,32.89,15.64,0,23.59
5,2,1981,32.02,17.33,0,21.77
6,2,1981,32.61,16.15,0,23.09
7,2,1981,31.91,16.54,0,21.43
8,2,1981,31.83,17.24,0,19.97
9,2,1981,31.32,18.16,0,19.58
10,2,1981,31.33,18.95,0,20.37
11,2,1981,31.28,17.89,0,20.15
12,2,1981,31.93,17.27,0,23.62
13,2,1981,32.61,18.58,0,24.32
14,2,1981,33.06,16.75,0,24.47
15,2,1981,32.78,16.94,0,23.62
16,2,1981,33.25,16.76,0,24.03
17,2,1981,32.82,16.71,0,24.44
18,2,1981,33.3,16.78,0,24.58
19,2,1981,33.49,17.81,0,23.21
20,2,1981,32.99,18.18,0,22.02
21,2,1981,33.72,19.72,0.36,22.63
22,2,1981,34.52,18.94,0,23.6
23,2,1981,34.33,19.12,0,22.99
24,2,1981,34.02,19.97,0.63,21.9
25,2,1981,34.23,20.05,0,23.08
26,2,1981,33.57,19.27,0,22.65
27,2,1981,31.7,19.96,0.53,20.36
28,2,1981,32.04,19,0,20.55
1,3,1981,33.81,18.93,0,22.01
2,3,1981,32.9,20.56,0,21.36
3,3,1981,32.15,19.31,0,22.21
4,3,1981,31.39,18.73,0,20.84
5,3,1981,32.05,18.9,0,21.9
6,3,1981,32.92,18.31,0,22.78
7,3,1981,32.82,17.89,0.16,22.58
8,3,1981,32.16,18.84,0,21.24
9,3,1981,31.55,18.57,0,20.51
10,3,1981,30.72,18.9,0,19.43
11,3,1981,31.7,19.69,0,20.6
12,3,1981,31.72,19.04,0,19.98
13,3,1981,29.2,17.97,2.43,16.26
14,3,1981,30.9,19.12,2.2,21.27
15,3,1981,31.13,19.04,10.2,21.55
16,3,1981,32.24,17.79,6.09,24.88
17,3,1981,32.33,17.37,0.46,24.74
18,3,1981,32.28,18.56,0,22.7
19,3,1981,30.89,18.83,0,20.8
20,3,1981,30.65,18.3,1.85,20.7
21,3,1981,30.81,17.89,2.1,21.53
22,3,1981,31.31,17.77,0,22.53
23,3,1981,31.05,18,0,21.96
24,3,1981,30.76,18.39,0,20.38
25,3,1981,27.91,18.48,9.26,16.27
26,3,1981,29.13,16.95,6.15,19.06
27,3,1981,29.36,17.23,5.77,19.66
28,3,1981,29.71,18.44,0.58,20.76
29,3,1981,29.76,18.91,4.16,20.93
30,3,1981,31.28,17.39,0.01,24.07
31,3,1981,31.71,19.49,0,25.29
1,4,1981,31.62,16.92,0,26.07
2,4,1981,31.53,16.14,0,25.95
3,4,1981,32.09,16.54,0,26.11
4,4,1981,32.08,17.53,0,24.15
5,4,1981,32.63,17.69,0,26.04
6,4,1981,32.53,19,0,24.83
7,4,1981,32.45,19.23,0,23.47
8,4,1981,33.32,19.56,0,25.6
9,4,1981,33.67,18.65,0,26.03
10,4,1981,33.59,18.46,0,25.79
11,4,1981,33.62,18.28,0,26.19
12,4,1981,33.19,18.28,0,26.26
13,4,1981,33.1,17.77,0,25.98
14,4,1981,33.53,18.64,0,25.74
15,4,1981,33.78,18.79,0,25.69
16,4,1981,34.17,18.65,0,26.46
17,4,1981,34.35,18.68,0,26.53
18,4,1981,33.99,19.39,0,24.43
19,4,1981,32.59,20.18,0.85,22.59
20,4,1981,32.34,19.35,3.82,23.32
21,4,1981,31.28,19,1.78,21.51
22,4,1981,27.36,18.35,8.94,17.17
23,4,1981,29.34,17.27,0,20.24
24,4,1981,29.08,17.19,0,22.01
25,4,1981,29.65,17.53,12.25,22.86
26,4,1981,30.33,16.83,5.21,22.99
27,4,1981,29.95,17.39,3.86,21.9
28,4,1981,31.02,18.13,0,23.55
29,4,1981,31.62,18.75,0,24.14
30,4,1981,30.94,19.04,0,22.26
1,5,1981,29.37,19.27,0,20.32
2,5,1981,31.22,18.28,0,23.49
3,5,1981,30.83,18.33,0,23.1
4,5,1981,31.45,18.14,0,24.72
5,5,1981,31.15,18.66,0.26,24.43
6,5,1981,30.8,18.71,2.8,22.68
7,5,1981,29.37,18.47,3.55,20.49
8,5,1981,26.96,18.11,3.77,17.55
9,5,1981,30.08,18.68,6.49,22.83
10,5,1981,28.22,17.78,4.22,20
11,5,1981,28.87,17.83,5.05,19.9
12,5,1981,26.75,18.21,12.61,15.32
13,5,1981,28.68,18.18,7.47,20.26
14,5,1981,28.04,17.32,5.25,18.83
15,5,1981,27.89,17.68,1.22,19.47
16,5,1981,28.29,17.38,11.28,21.74
17,5,1981,28.21,17.48,30.55,19.66
18,5,1981,27.64,17.76,4.01,19.64
19,5,1981,28.89,17.8,9.58,21.93
20,5,1981,28.36,18.11,8.29,21.21
21,5,1981,28.47,18,5.64,21.26
22,5,1981,27.8,17.33,4.77,20.73
23,5,1981,28.37,17.73,0,20.85
24,5,1981,26.77,17.97,35.15,17.19
25,5,1981,28.18,17.11,14.1,20.42
26,5,1981,28.06,16.93,1.44,21.25
27,5,1981,28.82,17.07,6.92,21.87
28,5,1981,28.41,17.5,5.93,21.01
29,5,1981,28.35,17,0,20.47
30,5,1981,28.09,17.6,0,19.71
31,5,1981,28.63,17.36,0,19.64
1,6,1981,28.49,17.72,0,20.08
2,6,1981,28.57,17.33,4.23,21.31
3,6,1981,26.46,17.44,26.06,18.59
4,6,1981,27.61,16.66,3.68,20.56
5,6,1981,26.57,17.19,3.89,18.33
6,6,1981,26.81,16.82,4.52,20.17
7,6,1981,27.55,16.57,7.39,19.24
8,6,1981,27.36,16.74,12.69,20.26
9,6,1981,27.49,17.42,0.99,20.78
10,6,1981,26.79,16.69,5.12,19.5
11,6,1981,27.75,16.62,3.34,21.12
12,6,1981,27.92,17.15,5.67,21.45
13,6,1981,26.53,17.29,7.37,18.62
14,6,1981,26.51,16.64,7.69,20.01
15,6,1981,26.83,15.89,6.83,20.75
16,6,1981,26.57,15.66,12.54,20.07
17,6,1981,26.91,16.6,7.27,20.23
18,6,1981,27.49,16.22,0,20.78
19,6,1981,27.18,16.82,8.77,19.9
20,6,1981,26.56,17.12,12.2,18.78
21,6,1981,26.39,16.94,9.96,19.47
22,6,1981,26.53,16.52,3.22,20.57
23,6,1981,27.02,15.99,8.95,20.48
24,6,1981,26.96,16.15,0,20.58
25,6,1981,26.09,17.07,15.43,18.11
26,6,1981,25.69,17.17,4.05,19.17
27,6,1981,25.76,15.19,4.31,20.2
28,6,1981,25.05,16.6,4.93,17.57
29,6,1981,25.52,17,39.51,18.22
30,6,1981,26.81,15.86,17.71,20.91
1,7,1981,25.59,16.78,7.71,19.28
2,7,1981,25.76,16.98,15.54,19.39
3,7,1981,25.56,17.6,0,18.71
4,7,1981,24.43,16.88,7.57,18.11
5,7,1981,25.63,17.11,0,19.36
6,7,1981,25.55,16.66,3.29,19.86
7,7,1981,24.74,16.51,5.33,18.36
8,7,1981,25.14,16.74,23.17,18.57
9,7,1981,25.34,15.81,17.75,18.89
10,7,1981,25.25,16.21,3.87,19.36
11,7,1981,24.38,16.82,0,16.8
12,7,1981,25.44,15.66,5.39,19.65
13,7,1981,25.48,16.21,18.05,20.27
14,7,1981,25.83,16.64,18.1,19.22
15,7,1981,25.14,16.5,7.21,19.53
16,7,1981,24.57,16.97,9,15.83
17,7,1981,23.22,16.62,2.72,14.1
18,7,1981,25.49,15.68,0.68,19.49
19,7,1981,25.03,17.15,5.79,17.81
20,7,1981,23.4,16.18,12.57,15.2
21,7,1981,24.6,15.83,13.26,18.32
22,7,1981,25.85,15.69,5.39,18.87
23,7,1981,25.59,16.93,4.47,19.02
24,7,1981,25.3,16.74,10.04,19.23
25,7,1981,22.5,17.05,32.36,14.1
26,7,1981,24.72,16.61,7.3,19.24
27,7,1981,24.96,16.36,4.16,19.32
28,7,1981,24.98,15.67,6.38,19.17
29,7,1981,25.43,16.19,9.61,20.82
30,7,1981,24.64,16.71,13.33,18.05
31,7,1981,25.88,16.64,15.97,20.41
1,8,1981,25.35,15.64,0.15,20.59
2,8,1981,25.7,16.44,7.81,21.45
3,8,1981,25.68,17.39,4.8,19.9
4,8,1981,25.13,17.34,25.98,17.67
5,8,1981,25.59,16.71,22.37,18.69
6,8,1981,25.23,16.36,13.31,18.7
7,8,1981,25.63,16.58,0,19.58
8,8,1981,23.97,16.9,4.18,15.48
9,8,1981,25.51,15.9,3.61,20.88
10,8,1981,26.01,16.47,1.68,21.16
11,8,1981,25.86,16.94,8.62,20.46
12,8,1981,25.54,16.78,9.31,19.45
13,8,1981,26,16.57,4.87,19.73
14,8,1981,25.64,17,13.83,19.49
15,8,1981,25.53,16.11,9.15,19.79
16,8,1981,25.83,16.88,29.54,21.12
17,8,1981,24.16,16.39,13.39,17.42
18,8,1981,25.31,16.14,0,19.79
19,8,1981,26.1,16.45,0,21.06
20,8,1981,25.15,16.14,0,21.48
21,8,1981,22.52,16.75,5.29,12.66
22,8,1981,24.03,15.94,2.74,17.67
23,8,1981,25.57,15.65,5.48,21.28
24,8,1981,25.05,16.18,21.35,20
25,8,1981,24.71,15.46,0,20.79
26,8,1981,25.94,15.75,21.94,21.35
27,8,1981,25.69,16.4,6.27,21.37
28,8,1981,25.75,15.46,8.8,21.59
29,8,1981,25.4,15.81,5.95,20.24
30,8,1981,26.28,15.29,12.74,22.3
31,8,1981,24.89,15.7,10.3,18.56
1,9,1981,24.78,15.63,24.39,20.43
2,9,1981,25.7,15.62,4.22,22.01
3,9,1981,25.93,15.85,12.14,21.13
4,9,1981,25.74,16.26,8.11,20.87
5,9,1981,25.5,15.95,20.77,21.95
6,9,1981,25.87,15.97,5.53,20.13
7,9,1981,24.91,15.64,8.21,20.63
8,9,1981,25.05,16.37,23.39,19.72
9,9,1981,24.74,15.34,4.48,19.9
10,9,1981,25.65,15.83,7.51,21.02
11,9,1981,25.92,15.85,17.05,21.34
12,9,1981,24.64,16.63,6.78,18.34
