day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.26,13.48,0,17.31
2,1,1981,25.2,13.57,0,19.76
3,1,1981,25.45,14.06,0,19.31
4,1,1981,24.52,13.97,0,16.83
5,1,1981,26.03,13.55,0,18.99
6,1,1981,25.02,14.52,0,18.7
7,1,1981,23.96,14.32,0,18.05
8,1,1981,25.67,13.47,0,18.83
9,1,1981,24.43,13.58,0,17.33
10,1,1981,25.43,14.01,0,19.04
11,1,1981,25.63,13.65,0,18.35
12,1,1981,26.09,13.67,0,18.95
13,1,1981,25.75,13.73,0,17.04
14,1,1981,25.47,14.98,0,16.93
15,1,1981,25.99,14.17,0,18.36
16,1,1981,25.35,14.97,0,18.48
17,1,1981,25.95,14.58,0,17.8
18,1,1981,26.23,14.42,0,17.62
19,1,1981,25.85,16.02,0,18.47
20,1,1981,26.46,13.96,0,18.98
21,1,1981,24.85,14.83,0,16.92
22,1,1981,25.41,15.04,0,18.92
23,1,1981,25.34,14.66,0,18.35
24,1,1981,25.47,14.79,0,18.58
25,1,1981,26.45,14.29,0,19.17
26,1,1981,25.27,15.16,0,17.55
27,1,1981,25.31,14.58,0,18.9
28,1,1981,26.77,13.97,0,19.5
29,1,1981,24.63,15.03,0,17.65
30,1,1981,25,14.04,11.36,19.16
31,1,1981,26.18,13.69,0,20.28
1,2,1981,26.4,13.11,0,20.74
2,2,1981,26.93,13.24,0,22.41
3,2,1981,27.76,12.64,0,24.2
4,2,1981,26.26,13.72,0,18.93
5,2,1981,26.53,14.14,0,18.73
6,2,1981,26.92,13.81,0,19.58
7,2,1981,26.05,13.51,0,18.61
8,2,1981,26.3,13.71,0,18.45
9,2,1981,25.42,13.94,0,17.56
10,2,1981,26.29,14.37,0,19.94
11,2,1981,26.3,13.6,0,19.35
12,2,1981,27.04,14.51,3.09,22.42
13,2,1981,27.21,13.2,0,22.92
14,2,1981,27.49,13.07,0,22.58
15,2,1981,26.27,14.17,0,19.85
16,2,1981,27.19,12.85,4.04,23.29
17,2,1981,27.2,13.11,0,23.81
18,2,1981,27.58,13.41,0,23.94
19,2,1981,27.75,13.76,1.15,20.48
20,2,1981,27.16,15.53,0,21.11
21,2,1981,28.76,15.37,0,21.98
22,2,1981,28.73,15.15,0,21.67
23,2,1981,27.98,15.26,0,20.75
24,2,1981,27.27,15.69,0.32,20.95
25,2,1981,28.12,15.75,0,21.12
26,2,1981,27.43,15.36,1.89,20.14
27,2,1981,26.2,15.26,6.55,19.35
28,2,1981,26.9,15.4,0,19.78
1,3,1981,27.99,15.83,0,21.23
2,3,1981,27.75,16.52,1.62,20.51
3,3,1981,26.82,15.29,0,20.95
4,3,1981,26.04,15.32,0,19.67
5,3,1981,26.8,15.07,11.82,20.45
6,3,1981,27.44,14.61,0,22.39
7,3,1981,27.78,14.46,0,23.11
8,3,1981,26.43,15.22,0,19.19
9,3,1981,25.92,14.96,0,19.41
10,3,1981,26.11,14.97,0,19.7
11,3,1981,25.88,14.9,0,20.09
12,3,1981,26.33,15.15,6.66,19.77
13,3,1981,22.82,15.64,10.58,13.98
14,3,1981,25.09,15.62,8.06,19.35
15,3,1981,25.1,14.62,8.28,19.95
16,3,1981,26.77,14.12,5.69,24.45
17,3,1981,26.8,14.01,2.79,23.42
18,3,1981,25.63,14.43,3.36,20.47
19,3,1981,25.84,14.56,1.92,19.53
20,3,1981,25.55,14.72,1.94,18.92
21,3,1981,25.12,15.09,4.61,18.98
22,3,1981,25.76,14.64,2.98,19.05
23,3,1981,25.37,14.62,3.51,18.94
24,3,1981,24.15,14.48,5.33,16.78
25,3,1981,21.78,15.18,5.08,13.51
26,3,1981,24.11,14.86,5.49,19.82
27,3,1981,23.47,14.53,8.38,17.4
28,3,1981,23.87,14.68,0.55,17.76
29,3,1981,23.14,15.08,8.01,15.41
30,3,1981,24.72,14.64,3.21,20.88
31,3,1981,25.48,15.15,0,24.58
1,4,1981,25.44,13.02,0,25.62
2,4,1981,25.41,12.6,5.43,25.19
3,4,1981,26.22,12.77,0,25.93
4,4,1981,26.18,13.4,0,24.08
5,4,1981,26.49,13.53,0,23.79
6,4,1981,26.39,14.64,0,21.98
7,4,1981,26.63,14.85,0,21.57
8,4,1981,26.98,14.64,2.17,24.27
9,4,1981,27.32,14.05,0,23.97
10,4,1981,27.14,13.7,0,23.06
11,4,1981,27.29,14.15,0,24.6
12,4,1981,27.32,14.49,0,24.9
13,4,1981,26.66,13.7,0,23.41
14,4,1981,27.47,14.36,3.41,25.06
15,4,1981,27.31,14.25,0,22.66
16,4,1981,28.19,14.3,0,25.48
17,4,1981,28.38,14.3,0,24.75
18,4,1981,27.53,14.42,4.74,23.34
19,4,1981,26.29,15.17,0,20.09
20,4,1981,26.46,14.92,7.26,20.31
21,4,1981,25.06,15.23,0.7,19.1
22,4,1981,23.11,15.22,7.84,17.44
23,4,1981,23.61,14.84,6.31,19.12
24,4,1981,22.72,14.4,5.58,18.94
25,4,1981,23.88,14.09,7.32,20.02
26,4,1981,24.42,13.93,6.56,20.69
27,4,1981,25.16,14.33,8.77,20.52
28,4,1981,25.75,13.55,0,23.14
