day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.19,14.72,0,16.67
2,1,1981,24.31,14.82,0,19.08
3,1,1981,24.67,14.59,0.17,18.57
4,1,1981,24.22,15.32,0,17.09
5,1,1981,25.02,14.55,0,18.89
6,1,1981,24.45,15.19,0,18.93
7,1,1981,24.36,15,0,19.48
8,1,1981,25.56,14.49,0,20.95
9,1,1981,25,14.33,0,18.89
10,1,1981,25.61,14.42,0,20.33
11,1,1981,25.52,14.55,0,18.41
12,1,1981,25.56,14.74,0,19.19
13,1,1981,24.82,14.75,0,16.41
14,1,1981,25.77,15.07,0,18.62
15,1,1981,25.61,14.77,0,19.14
16,1,1981,25.83,15.24,0,19.5
17,1,1981,25.32,15.49,0,17.72
18,1,1981,25.37,15.09,0,17.84
19,1,1981,25.74,15.51,0,18.39
20,1,1981,26.14,14.85,0,20.71
21,1,1981,24.94,15.7,0,17.22
22,1,1981,25.09,15.2,0,18.97
23,1,1981,25.18,15.21,0,17.79
24,1,1981,25.37,14.98,0,19.72
25,1,1981,26.17,14.79,0,19.61
26,1,1981,25.36,15.05,0,19.25
27,1,1981,25.33,15.17,0,21.02
28,1,1981,26.16,14.67,0,19.99
29,1,1981,25.05,15.69,0,19.24
30,1,1981,24.97,14.96,7.17,19.86
31,1,1981,25.6,15.1,1.59,20.76
1,2,1981,26.23,14.3,0,23.13
2,2,1981,26.05,14.45,0,23.39
3,2,1981,26.78,14.43,0,23.94
4,2,1981,26.77,14.41,0,22.32
5,2,1981,25.98,15.09,0,20.01
6,2,1981,26.47,14.54,0,21.75
7,2,1981,25.71,14.94,0,19.63
8,2,1981,25.51,14.75,0,18.39
9,2,1981,25.19,15.48,0,17.86
10,2,1981,25.32,15.71,0,18.95
11,2,1981,25.35,15.13,0,18.06
12,2,1981,26.29,15.13,0,22.84
13,2,1981,26.73,14.97,0,23.77
14,2,1981,27.06,14.35,0,23.77
15,2,1981,26.65,15.04,0,22.23
16,2,1981,27.08,14.83,0,23.51
17,2,1981,26.67,14.76,0,23.99
18,2,1981,27.18,14.91,0,24.24
19,2,1981,27.16,15.02,0,21.76
20,2,1981,26.74,15.53,0,21.03
21,2,1981,27.66,15.97,0.76,21.75
22,2,1981,28.29,15.4,0,22.8
23,2,1981,28.04,15.53,0,21.99
24,2,1981,27.34,15.91,0.15,20.65
25,2,1981,28.24,15.92,0,21.94
26,2,1981,27.34,15.65,8.08,21.29
27,2,1981,25.44,16.3,1.1,18.68
28,2,1981,25.91,15.8,0,19.25
1,3,1981,27.4,15.48,0,21.3
2,3,1981,26.62,16.64,1.44,19.69
3,3,1981,25.61,15.88,0,20.46
4,3,1981,25.43,15.73,0,19.53
5,3,1981,25.53,15.69,0,19.95
6,3,1981,26.32,15.55,0,21.13
7,3,1981,26.38,15.29,0.41,21.45
8,3,1981,25.76,15.52,0,20.04
9,3,1981,25.27,15.56,0,19.14
10,3,1981,24.59,15.51,0,18.91
11,3,1981,25.47,15.95,0,18.87
12,3,1981,25.59,15.6,5.89,18.98
13,3,1981,22.9,15.63,7.98,13.99
14,3,1981,24.92,16,7.06,19.34
15,3,1981,24.64,15.75,10.34,19.31
16,3,1981,26.35,14.97,8.66,23.96
17,3,1981,26.5,14.79,0.29,23.85
18,3,1981,25.75,15.52,2.53,21.2
19,3,1981,24.44,15.4,0,18.67
20,3,1981,24.92,15.08,2.66,19.47
21,3,1981,24.76,15.42,8.11,19.79
22,3,1981,25.38,15.08,3.16,20.86
23,3,1981,25.11,15.29,0.19,19.92
24,3,1981,24.85,15.25,3.03,18.31
25,3,1981,21.96,15.38,8.57,14.22
26,3,1981,23.59,14.96,4.92,18
27,3,1981,23.49,14.95,6.46,17.84
28,3,1981,23.5,15.32,2.81,18.89
