day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.4,14.56,1.25,17.57
2,1,1981,26.45,14.48,0,19.5
3,1,1981,26.7,15.26,0,19.4
4,1,1981,26.28,15.61,0,17.9
5,1,1981,27.23,14.68,0,19.47
6,1,1981,26.69,15.99,0,18.94
7,1,1981,25.64,15.46,0,18.61
8,1,1981,26.85,14.21,0,19.52
9,1,1981,25.7,14.79,0,17.44
10,1,1981,27.11,14.69,0,19.73
11,1,1981,26.88,14.63,0,18.76
12,1,1981,27.52,14.47,0,19.05
13,1,1981,26.92,14.74,0,17.55
14,1,1981,27.25,15.91,0,17.74
15,1,1981,27.74,15.28,0,19.21
16,1,1981,27.58,16,0,19.5
17,1,1981,27.53,15.63,0,18.37
18,1,1981,27.96,15.83,0,18.15
19,1,1981,27.45,16.83,0,18.32
20,1,1981,28.06,14.9,0,19.95
21,1,1981,26.88,16.05,0,17.78
22,1,1981,27.12,16.14,0,19.44
23,1,1981,27.31,15.57,0,18.72
24,1,1981,27.13,15.83,0,19.01
25,1,1981,27.89,15.57,0,19.44
26,1,1981,26.64,15.79,0,17.86
27,1,1981,27.04,15.05,0,19.62
28,1,1981,27.56,14.85,0,19.79
29,1,1981,27.19,15.43,0,19.21
30,1,1981,26.72,14.9,5.17,19.65
31,1,1981,27.69,14.73,6.9,20.67
1,2,1981,27.66,15.39,0,20.86
2,2,1981,28.69,14.12,0,22.43
3,2,1981,29.56,14.05,0,23.98
4,2,1981,28.17,14.99,0,19.95
5,2,1981,28.66,15.02,0,20.33
6,2,1981,28.69,14.61,0,20.9
7,2,1981,27.75,14.6,0,18.91
8,2,1981,28.14,14.39,0,19.28
9,2,1981,27.35,15.34,0,17.12
10,2,1981,28.18,15.37,0,20.18
11,2,1981,28.14,15.39,0,19.19
12,2,1981,28.55,14.67,0,22.66
13,2,1981,28.9,14.4,0,23.44
14,2,1981,28.91,14.23,0,23.46
15,2,1981,27.98,15.09,0,21.32
16,2,1981,28.86,13.67,0,23.53
17,2,1981,28.86,13.94,0,24.04
18,2,1981,29.03,14.34,0,23.75
19,2,1981,29.48,14.54,0.53,22.13
20,2,1981,29.23,16.6,0,21.46
21,2,1981,30.28,16.92,4.14,21.95
22,2,1981,29.76,16.71,0,21.52
23,2,1981,29.71,16.79,0,20.56
24,2,1981,29.28,16.97,0,20.77
25,2,1981,29.36,16.72,0,21.37
26,2,1981,28.61,16.35,1.86,20.36
