day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.76,12.12,0,18.34
2,1,1981,24.24,11.92,0,19.92
3,1,1981,23.97,12.48,0,19.48
4,1,1981,23.41,12.42,0,18.1
5,1,1981,23.84,12.24,0,18.1
6,1,1981,23.39,12.85,0,17.28
7,1,1981,22.89,12.67,0,17.7
8,1,1981,23.13,11.58,0,18.06
9,1,1981,23.35,12.16,0,17.25
10,1,1981,23.83,12.22,0,18.34
11,1,1981,23.77,11.85,0,18.44
12,1,1981,24.54,11.82,0,18.76
13,1,1981,23.86,12.31,0,18.33
14,1,1981,23.89,13.4,0,17.47
15,1,1981,24.21,12.98,0,18.73
16,1,1981,23.71,13.15,0,18.13
17,1,1981,24.46,13.13,0,17.78
18,1,1981,24.38,13.08,0,17.67
19,1,1981,24.05,13.15,0,17.53
20,1,1981,24.26,12.4,0,18.62
21,1,1981,24.25,13.79,0,18.66
22,1,1981,24.11,13.23,0,18.75
23,1,1981,24.3,13.41,0,17.97
24,1,1981,24.26,12.85,0,19.19
25,1,1981,24.58,12.7,0,19.33
26,1,1981,23.98,13.21,0,17.98
27,1,1981,23.73,12.77,0,17.95
28,1,1981,24,12.88,0,19.05
29,1,1981,23.77,13.1,0,17.9
30,1,1981,24.1,12.24,4.29,18.54
31,1,1981,24.61,12.2,14.83,19.82
1,2,1981,23.54,12.27,4.88,19.56
2,2,1981,24.57,11.88,0,19.78
3,2,1981,26.17,11.24,0,23.24
4,2,1981,24.48,12.4,0,19.59
5,2,1981,25.05,12.81,0,20.16
6,2,1981,24.81,12.4,0,20.67
7,2,1981,24.72,11.85,0,18.81
8,2,1981,24.98,12.05,0,19.29
9,2,1981,24.45,12.75,0,16.7
10,2,1981,24.96,12.31,0,19.24
11,2,1981,24.66,11.63,0,20.61
12,2,1981,25.35,11.2,0.92,22.16
13,2,1981,25.69,11.17,0,22.26
14,2,1981,25.52,11.29,0,22.23
15,2,1981,24,13.79,0,19.16
16,2,1981,24.48,12.93,0,21.64
17,2,1981,25.32,13.1,0,22.67
18,2,1981,25.2,14.33,0,21.52
19,2,1981,25.05,13.85,0,20.11
20,2,1981,25.55,13.49,0,19.43
21,2,1981,25.95,13.88,0,20.2
22,2,1981,25.64,13.66,0,19.83
23,2,1981,26.07,13.92,0,19.38
24,2,1981,25.87,14.23,0.74,20.49
25,2,1981,25.56,13.83,2.34,20.86
26,2,1981,25.17,14.42,9.07,19.15
27,2,1981,25.44,13.56,1.84,20.91
28,2,1981,25.83,14.25,0,20
1,3,1981,26.38,14.13,0,19.89
2,3,1981,25.97,14.5,0,20.67
3,3,1981,25.4,13.63,0,21.55
4,3,1981,25.22,13.43,0,21.24
5,3,1981,25.34,13.54,2.29,21.1
6,3,1981,26.33,13.07,0,22.74
7,3,1981,25.81,13.22,0,21.31
8,3,1981,24.89,13.66,0,20.33
9,3,1981,24.89,13.53,0,20.38
10,3,1981,25.14,13.5,6.48,21.46
11,3,1981,24.69,13.96,0,20.17
12,3,1981,24.95,14.07,13.76,19.04
13,3,1981,22.13,14.27,7.54,14.32
14,3,1981,23.62,14.1,15.21,18.42
15,3,1981,23.99,13.49,3.59,17.98
16,3,1981,24.91,13,27.59,21.82
17,3,1981,24.7,13.07,0.45,21.13
18,3,1981,24.48,13.69,0.84,19.78
19,3,1981,24.47,13.93,0.46,18.9
20,3,1981,23.92,13.59,0.54,17.35
21,3,1981,24.26,14.28,0.86,18
22,3,1981,23.96,13.65,0,18.49
23,3,1981,24.11,14.06,0.81,18.14
24,3,1981,23.75,14.08,10.08,16.45
25,3,1981,21.17,14.04,20.63,11.06
26,3,1981,23.86,13.54,15.58,17.9
27,3,1981,23.74,13.52,9.69,17.45
28,3,1981,23.76,13.74,0.46,16.58
29,3,1981,23.55,13.82,5.03,16.72
30,3,1981,24.75,13.64,3.98,18.92
31,3,1981,24.47,13.73,0,21.77
1,4,1981,24.52,13.11,0,22.5
2,4,1981,24.29,13.5,0.2,21.05
3,4,1981,25.46,12.61,0,24.27
4,4,1981,24.89,13.7,0,22.57
5,4,1981,24.67,13.29,0,21.67
6,4,1981,24.49,13.98,0,21.65
7,4,1981,24.86,13.63,1.96,21.28
8,4,1981,25.48,13.77,1.18,22.66
9,4,1981,25,13.9,0,21.9
10,4,1981,24.79,13.7,0,21.13
11,4,1981,24.48,14.32,0,21.76
12,4,1981,24.8,13.9,0,21.75
13,4,1981,24.54,13.72,0,21.81
14,4,1981,25.72,13.57,0.53,22.67
15,4,1981,25.54,13.66,2.85,21.93
16,4,1981,26.19,14.39,0,22.81
17,4,1981,26.61,14.08,0,23.11
18,4,1981,25.44,14.24,0.26,21.86
19,4,1981,24.88,13.92,0,19.42
20,4,1981,24.57,14.45,13.35,19.29
21,4,1981,23.94,14.58,3.08,19.2
22,4,1981,23.07,14.12,10.04,16.56
23,4,1981,23.08,13.98,10.17,18.4
24,4,1981,22.65,13.89,16,18.39
25,4,1981,23.7,13.37,1.29,19.78
26,4,1981,23.81,13.44,2.33,20.05
27,4,1981,24.31,13.8,22.59,19.63
28,4,1981,25.26,13.74,0,22.1
29,4,1981,25.54,14.04,0,21.74
30,4,1981,24.41,14.49,0,20.53
1,5,1981,22.68,14.68,5.96,16.16
2,5,1981,23.79,14.2,6.14,19.13
3,5,1981,24.43,14.09,0,19.97
4,5,1981,24.04,13.89,0,18.74
5,5,1981,23.44,13.7,7.74,18.09
6,5,1981,23.84,13.8,1.43,18.35
7,5,1981,22.24,14.27,7.95,14.51
8,5,1981,21.92,14.61,6.99,13.72
9,5,1981,23.32,13.83,8.39,16.8
10,5,1981,21.98,14.6,9.43,14.46
11,5,1981,23.29,13.7,17.66,17.59
12,5,1981,21.75,14.39,2.08,13.05
13,5,1981,23.28,14.09,11.48,17.6
14,5,1981,21.24,13.61,12.54,13.68
15,5,1981,22.25,14.26,8.21,15.29
16,5,1981,22.66,13.3,15.52,18.25
17,5,1981,22.74,13.75,13.99,16.08
18,5,1981,23.18,13.97,10.94,16.84
19,5,1981,23.38,13.77,12.39,18.59
20,5,1981,23.45,14.03,5.07,17.44
21,5,1981,22.58,14.15,6.85,17.73
22,5,1981,23.27,14.04,13.34,18.57
23,5,1981,23.21,13.67,0,17.77
24,5,1981,22.64,13.69,11.82,17.51
25,5,1981,22.9,13.7,23.78,18.04
26,5,1981,23.46,13.96,12.43,18.49
27,5,1981,23.2,13.54,10.85,18.29
28,5,1981,23.38,13.61,1.12,19.55
29,5,1981,23.41,14.12,0,18.92
30,5,1981,22.94,14.51,1.58,17.09
31,5,1981,22.15,14.6,4.53,15.17
1,6,1981,22.75,13.83,2.91,16.63
2,6,1981,22.87,13.76,4.44,18.18
3,6,1981,21.64,14.02,5.55,16.23
4,6,1981,22.51,13.29,16.4,17.52
5,6,1981,22.02,13.9,0.54,16.04
6,6,1981,22.3,13.33,1.4,17
7,6,1981,22.54,13.22,1.18,16.86
8,6,1981,22.97,13.51,21.98,17.46
9,6,1981,22.38,13.95,0,17.25
10,6,1981,22.31,13.69,6.86,17.78
11,6,1981,22.27,13.52,5.47,16.26
12,6,1981,22,13.22,3.36,16.91
13,6,1981,21.65,13.85,4.43,16.62
14,6,1981,22.25,13.74,0,18.34
15,6,1981,22.04,13.15,0.71,18.4
16,6,1981,21.99,13.15,10.98,17.7
17,6,1981,22.38,13.38,0.78,17.47
18,6,1981,21.9,13.15,5.21,17.09
19,6,1981,22.06,13.33,9.45,17.04
20,6,1981,22.27,13.64,5.26,18.06
21,6,1981,21.58,13.46,4.41,15.94
22,6,1981,21.88,12.84,0.58,19.04
23,6,1981,22.71,12.75,6.53,18.75
24,6,1981,22.07,13.61,6.05,16.71
25,6,1981,21.11,13.71,15.37,15.88
26,6,1981,20.94,13.52,3.64,15.4
27,6,1981,21.59,12.39,1.65,17.83
28,6,1981,21.17,12.47,8.03,15.73
29,6,1981,21.66,13.08,26.23,16.43
30,6,1981,22.44,12.93,7.58,18.56
1,7,1981,21.88,13.93,16.69,16.26
2,7,1981,21.82,13.11,10.93,17.44
3,7,1981,21.69,13.14,0,16.47
4,7,1981,21.94,13.65,2.96,15.7
5,7,1981,21.62,13.39,0,16.58
6,7,1981,22.5,12.81,2.79,17.98
7,7,1981,21.7,13.12,14.94,17.29
8,7,1981,20.8,13.06,6.95,15.98
9,7,1981,21.32,12.93,0,15.9
10,7,1981,20.01,13.1,0,13.99
11,7,1981,19.9,12.58,4.69,14.57
12,7,1981,21.47,11.85,10.5,18.75
13,7,1981,21.11,12.4,13.1,17.06
14,7,1981,21.71,13.43,4.77,17.33
15,7,1981,21.56,13.02,19.56,16.52
16,7,1981,20.43,13.33,0,14.87
17,7,1981,19.35,12.75,0,11.22
18,7,1981,21.34,12.52,9.77,17.98
19,7,1981,21.06,13.12,9.71,14.61
20,7,1981,20.31,12.93,0,12.69
21,7,1981,20.85,12.84,9.65,16.82
22,7,1981,22.03,12.49,17.41,18.57
23,7,1981,20.8,13.1,3.92,15.47
24,7,1981,21.26,13.09,1.07,17.33
25,7,1981,21.1,12.98,8.12,16.22
26,7,1981,20.35,12.8,13.99,13.29
27,7,1981,20.72,12.65,7.04,16.39
28,7,1981,20.45,12.68,3.34,16.14
29,7,1981,21.18,12.4,28.15,18.07
30,7,1981,21.36,12.78,19.5,16.94
31,7,1981,21.14,12.79,27.56,17.6
1,8,1981,20.89,12.02,6.5,18.34
2,8,1981,22.15,12.19,2.84,17.85
3,8,1981,21.56,12.87,11.78,17.87
4,8,1981,20.54,13.59,9.22,13.25
5,8,1981,21.62,12.91,25.29,15.98
6,8,1981,20.52,13.22,3.97,13.88
7,8,1981,21.28,13.5,10.53,15.83
8,8,1981,20.18,13.31,5.42,12.88
9,8,1981,21.98,12.13,5.19,18.77
10,8,1981,21.73,12.5,0,17.17
11,8,1981,22.11,13.01,6.85,17.35
12,8,1981,21.62,13.08,5.13,15.55
13,8,1981,20.62,13.29,8.91,14.35
14,8,1981,20.36,13.31,10.96,14.37
15,8,1981,22.1,12.56,10,17.54
16,8,1981,22.06,12.59,25.24,18.51
17,8,1981,20.88,13.13,9.89,14.97
18,8,1981,21.5,12.66,1.71,17.24
19,8,1981,21.42,12.25,1.51,16.91
20,8,1981,21.14,12.55,14.38,16.28
21,8,1981,20.19,12.96,4.02,13.83
22,8,1981,20.99,12.53,0,16.02
