day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.26,11.77,0,16
2,1,1981,24.25,11.8,0,18.85
3,1,1981,24.44,12.16,0,18.25
4,1,1981,23.61,12.88,0,16.1
5,1,1981,24.9,11.82,0,18.47
6,1,1981,24.26,12.81,0,18.31
7,1,1981,23.96,12.65,0,18.45
8,1,1981,25.39,11.77,0,19.51
9,1,1981,24.51,11.57,0,17.92
10,1,1981,25.01,11.73,0,19.34
11,1,1981,25.33,11.6,0,17.95
12,1,1981,25.44,11.94,0,18.57
13,1,1981,24.82,12.08,0,15.68
14,1,1981,25.21,12.85,0,17.06
15,1,1981,25.3,12.16,0,18.17
16,1,1981,25.32,12.83,0,18.41
17,1,1981,25.08,12.85,0,17.23
18,1,1981,25.1,12.4,0,17.04
19,1,1981,25.45,13.94,0,17.9
20,1,1981,25.72,12.15,0,19.45
21,1,1981,24.44,13.15,0,16.29
22,1,1981,24.62,12.68,0,18.13
23,1,1981,24.76,12.59,0,17.34
24,1,1981,24.86,12.38,0,18.63
25,1,1981,25.73,11.92,0,18.92
26,1,1981,24.92,12.72,0,18.28
27,1,1981,24.86,12.56,0,19.7
28,1,1981,26.32,11.91,0,19.44
29,1,1981,24.23,13.35,0,17.75
30,1,1981,24.41,12.33,8.2,19.07
31,1,1981,25.83,12.26,0.74,20.09
1,2,1981,26.21,11.19,0,21.82
2,2,1981,26.24,11.63,0,22.87
3,2,1981,26.91,11.61,0,23.64
4,2,1981,26.62,11.85,0,20.54
5,2,1981,26,12.82,0,18.79
6,2,1981,26.61,11.73,0,20.32
7,2,1981,25.54,12.18,0,18.74
8,2,1981,25.25,11.91,0,17.76
9,2,1981,24.96,13.27,0,17.11
10,2,1981,25.22,13.34,0,18.68
11,2,1981,25.32,12.23,0,17.66
12,2,1981,26.66,11.84,0,22.25
13,2,1981,26.83,11.24,0,23.05
14,2,1981,27.21,11.34,0,22.73
15,2,1981,26.19,12.85,0,20.62
16,2,1981,26.94,12.48,0,23.27
17,2,1981,26.72,12.03,0,23.57
18,2,1981,27.19,12.2,0,23.97
19,2,1981,26.9,12.02,0.98,20.51
20,2,1981,26.39,13.51,0,20.75
21,2,1981,27.93,13.49,0,21.62
22,2,1981,28.55,13.08,0,22.23
23,2,1981,27.77,12.92,0,21.27
24,2,1981,26.7,13.39,0,20.4
25,2,1981,28.13,13.35,0,21.15
26,2,1981,27.29,13.08,11.27,20.61
27,2,1981,25.17,13.93,0,18.18
28,2,1981,25.75,13.84,0,18.86
1,3,1981,27.12,13.11,0,21.14
2,3,1981,26.62,14.46,7.85,19.4
3,3,1981,25.52,13.94,0,19.93
4,3,1981,25.22,13.85,0,18.93
5,3,1981,25.08,13.65,0,19.29
6,3,1981,25.68,13.54,0,20.79
7,3,1981,26.19,13.09,0,21.69
8,3,1981,25.66,13.51,0,19.34
9,3,1981,24.94,13.39,0,18.67
10,3,1981,24.75,13.06,0,18.77
11,3,1981,25.13,13.31,0,19.01
12,3,1981,25.23,13.14,5.77,19.16
13,3,1981,21.94,13.98,7.74,13.53
14,3,1981,24.83,14.49,6.73,18.97
15,3,1981,23.84,13.64,7.86,18.83
16,3,1981,26.13,12.47,7.38,23.67
17,3,1981,26.2,11.97,0.56,23.68
18,3,1981,25.1,13.29,2.86,20.72
19,3,1981,24.43,13.12,0,18.57
20,3,1981,25,12.85,2.18,19.39
21,3,1981,24.39,13.66,7.47,19.13
22,3,1981,25.21,13.06,3.41,19.81
23,3,1981,25.16,13.36,0.77,19.26
24,3,1981,24.2,13.22,3.28,17.34
25,3,1981,21.44,13.85,5.4,13.63
26,3,1981,23.85,13.53,3.62,18.8
27,3,1981,23.8,13.16,4.96,17.35
28,3,1981,23.5,13.39,2.52,18.27
29,3,1981,22.99,14.14,7.68,15.83
30,3,1981,24.84,13.06,1.83,21.66
31,3,1981,25.26,13.84,0,24.59
1,4,1981,25.04,11.9,0,25.51
2,4,1981,25.04,11.56,2.56,25.53
3,4,1981,25.53,11.16,0,25.19
4,4,1981,25.18,12.16,0,22.43
5,4,1981,25.51,12.32,0,24.1
6,4,1981,25.66,13.28,0,21.9
7,4,1981,25.52,13.09,0,20.96
8,4,1981,26.26,13.1,0,24.17
9,4,1981,26.53,12.33,0,24.21
10,4,1981,26.24,12.23,0,23.51
11,4,1981,26.54,13.25,0,25.25
12,4,1981,26.32,13.19,0,25.14
13,4,1981,25.98,12.01,0,23.79
14,4,1981,26.68,12.45,0,24.36
15,4,1981,26.3,12.16,0,23.12
16,4,1981,27.16,12.77,0,25.85
17,4,1981,27.27,11.91,0,25.01
18,4,1981,26.63,12.28,0,22.73
19,4,1981,25.19,13.43,0,20.54
20,4,1981,25.19,13.73,7.25,20.82
21,4,1981,24.41,13.79,0,19.15
22,4,1981,21.32,13.8,7.42,16.6
23,4,1981,22.97,13.28,4.99,18.38
24,4,1981,22.85,12.88,4.96,19.62
25,4,1981,23.79,12.73,3.99,20.62
26,4,1981,24.49,12.63,0,20.85
27,4,1981,24.61,13.04,11.95,20.49
28,4,1981,25.05,12.81,0,22.69
29,4,1981,25.84,13.48,0,23.94
30,4,1981,25.2,13.09,0,20.86
1,5,1981,23.82,13.52,0,18.05
2,5,1981,24.88,13.19,1.69,21.41
3,5,1981,25.41,13.09,0,22.85
4,5,1981,25.39,12.61,0,23.75
5,5,1981,25.39,12.82,0,23.03
6,5,1981,25.12,13.34,2.4,21.17
7,5,1981,22.68,13.38,1.61,17.78
8,5,1981,21.39,13.26,3.03,15.44
9,5,1981,24.36,13.07,4.79,21.3
10,5,1981,22.53,13.3,4.82,16.7
11,5,1981,23.51,12.94,8.34,18.06
12,5,1981,21.89,13.6,8.67,14.44
13,5,1981,23.28,13.02,5.04,19.38
14,5,1981,21.69,12.7,4.7,15.85
15,5,1981,22.48,12.9,0,17.33
16,5,1981,22.94,12.48,4.12,19.9
17,5,1981,22.82,12.42,28.46,18.89
18,5,1981,22.79,13.01,6.13,18.28
19,5,1981,23.92,12.7,8.61,19.94
20,5,1981,23.63,13.32,6.15,19.37
21,5,1981,22.77,13.52,5.29,19.03
22,5,1981,23.1,12.73,6.21,19
23,5,1981,22.88,12.54,0,19.31
24,5,1981,21.77,13.4,23.2,16.27
25,5,1981,23.05,13.01,18.12,18.38
26,5,1981,23.35,12.79,6.03,19.55
27,5,1981,23.71,12.89,6.63,20.28
28,5,1981,23.24,12.99,0,20.25
29,5,1981,23.45,12.66,0,19.95
30,5,1981,22.86,12.66,6.71,17.91
31,5,1981,22.78,12.99,0,17.52
1,6,1981,23.77,12.83,0,19.76
2,6,1981,23.43,12.93,3.72,19.68
3,6,1981,21.8,12.72,18.19,17.79
4,6,1981,22.67,12.37,6.07,18.87
5,6,1981,21.72,13.01,3.94,16.56
6,6,1981,22.41,12.52,6.95,18.25
7,6,1981,22.92,12.56,6.03,17.39
8,6,1981,22.49,12.88,9.42,18.33
9,6,1981,22.94,13,0,19.02
10,6,1981,21.89,12.59,5.8,17.92
11,6,1981,23.26,12.11,2.99,19.85
12,6,1981,23.04,12.61,4.51,19.05
13,6,1981,21.54,12.59,5.5,17.63
14,6,1981,21.74,12.36,4.33,18.58
15,6,1981,21.79,11.37,5.53,19.86
16,6,1981,21.64,11.6,11.41,17.85
17,6,1981,22.39,12.74,8.15,18.47
18,6,1981,22.77,12.36,0,19.15
19,6,1981,22.36,12.41,8.18,18.11
20,6,1981,22.35,12.25,6.51,17.81
21,6,1981,21.53,12.74,7.97,17.71
22,6,1981,22.02,12.02,2.77,19.26
23,6,1981,22.79,12.24,4.07,18.95
24,6,1981,23.1,11.81,0,18.82
25,6,1981,22.2,12.84,13.58,17.09
26,6,1981,21.58,12.48,0.45,17.53
27,6,1981,21.68,11.91,10.32,18.87
28,6,1981,20.35,12.51,8.18,15.25
29,6,1981,21.41,12.46,19.17,17.18
30,6,1981,22.63,11.94,16.86,19.31
1,7,1981,22.07,11.86,13.23,18.04
2,7,1981,21.89,11.99,22.99,18.63
3,7,1981,21.2,12.96,0,17.1
4,7,1981,21.44,12.38,0,17
5,7,1981,21.71,12.37,0,17.79
6,7,1981,22.03,12.07,5.02,18.38
7,7,1981,21.3,11.83,6.78,17.29
8,7,1981,20.85,12.49,12.3,16.7
9,7,1981,21.21,12.01,9.09,16.79
10,7,1981,20.88,11.81,5.81,16.53
11,7,1981,20.02,11.89,3.62,14.96
12,7,1981,21.5,11.42,14.08,18.1
13,7,1981,21.99,12.03,8.86,18.75
14,7,1981,22.22,12.22,8.98,18.67
15,7,1981,21.32,12.18,6.06,17.93
16,7,1981,20.29,12.63,0,14.95
17,7,1981,19.16,12.48,0,12.47
18,7,1981,20.82,11.81,5.03,17.17
19,7,1981,20.81,12.2,5.82,16.51
20,7,1981,19.12,12.14,10.2,12.76
21,7,1981,20.26,12,12.17,17.02
22,7,1981,21.66,11.73,8.37,18.01
23,7,1981,21.62,12.35,5.21,17.85
24,7,1981,21.46,12.3,9.74,18.52
25,7,1981,20.08,12.42,13.36,15.31
26,7,1981,19.97,12.44,7.95,15.85
27,7,1981,21.29,12.18,5.51,18.21
28,7,1981,21.09,12.03,7.41,17.58
29,7,1981,21.6,12.14,14.4,18.98
30,7,1981,21.14,12.53,17.36,16.77
31,7,1981,21.33,12.28,12.23,18.47
1,8,1981,21.16,10.96,8.22,19.8
2,8,1981,22.48,12.12,6.72,20.49
3,8,1981,21.31,13.02,12.12,17.48
4,8,1981,21.42,12.64,14.32,17.02
5,8,1981,21.52,12.34,13.47,17.37
6,8,1981,19.84,12.33,10.04,16.45
7,8,1981,21.19,12.07,1.89,17.28
8,8,1981,20.94,12.32,8.14,16
9,8,1981,21.89,12.19,5.54,18.99
10,8,1981,21.97,11.8,0,19.41
11,8,1981,22.44,12.5,8.47,19.42
12,8,1981,20.99,11.95,4.61,16.9
13,8,1981,21.66,12.63,8.04,17.56
14,8,1981,21.16,12.46,24.91,17.61
15,8,1981,21.88,12.28,9.08,18.38
16,8,1981,22.04,12.21,28.62,19.29
17,8,1981,20.66,12.05,13.07,16.23
18,8,1981,21.87,11.97,8.64,18.38
19,8,1981,21.48,12.07,0,18.89
20,8,1981,21.91,11.66,0,19.75
21,8,1981,18.34,12.4,3.33,10.64
22,8,1981,20.44,11.92,4.49,15.53
23,8,1981,21.53,11.45,7.11,18.57
24,8,1981,21.24,11.73,13.88,18.66
25,8,1981,20.87,11.57,3.87,19.44
26,8,1981,22.23,11.6,22.82,19.51
27,8,1981,22.13,12.35,8.89,20.04
28,8,1981,21.94,11.49,10.69,19.62
29,8,1981,22.06,11.35,5.91,19.06
30,8,1981,22.54,11.65,11.2,20.32
31,8,1981,20.29,11.76,12.66,16.58
1,9,1981,21.2,11.64,23.35,18.83
2,9,1981,22.2,11.99,5.56,20.31
3,9,1981,21.75,11.35,8.95,19.01
4,9,1981,21.58,11.64,11.64,19.45
5,9,1981,21.88,11.58,15.02,20.43
6,9,1981,22.17,11.92,12.51,18.81
7,9,1981,21.74,11.72,13.1,19.07
8,9,1981,20.34,11.81,19.7,16.33
9,9,1981,21.48,11.48,0,19.07
10,9,1981,22.25,11.31,7.24,19.65
11,9,1981,21.9,11.34,10.88,19.38
12,9,1981,21.11,12.18,4.31,18
13,9,1981,22.1,11.4,3.21,19.91
14,9,1981,22.01,12.2,3.38,18.7
15,9,1981,21.81,12.19,14.2,18.25
16,9,1981,22.02,11.82,6.99,18.92
17,9,1981,21.62,12.35,1.31,16.93
18,9,1981,20.13,12.3,6.96,16.65
19,9,1981,21.56,11.74,10.75,18.75
20,9,1981,21.3,12.06,9.74,16.76
21,9,1981,22.78,11.75,10.01,21.43
22,9,1981,21.86,12.15,27.11,18.68
23,9,1981,22.69,11.99,0,20.12
24,9,1981,22.44,11.76,7.49,18.46
25,9,1981,19.55,12.18,6.16,14.07
26,9,1981,21.43,12.19,9.3,15.57
27,9,1981,21.87,11.83,35.1,18.16
28,9,1981,22.97,12.35,0,19.82
29,9,1981,22.92,12.67,0,19.02
30,9,1981,23.28,12.46,4.21,19.94
1,10,1981,23.33,12.12,8.78,19.4
2,10,1981,22.74,12.49,7.64,18.81
3,10,1981,23,12.98,11.14,19
4,10,1981,22.59,12.06,8.66,18.23
5,10,1981,22.98,12.63,0,18.54
6,10,1981,23.11,11.58,12.72,20.39
7,10,1981,23.56,11.88,6.4,19.58
8,10,1981,23.47,12.39,11.93,20.15
9,10,1981,22.28,11.96,0,17.41
10,10,1981,22.51,12.02,0,18.95
11,10,1981,22.41,11.55,5.02,19.12
12,10,1981,22.62,11.5,0,20.55
13,10,1981,22.8,12.02,0,20.26
14,10,1981,22.52,11.6,0,20.29
15,10,1981,22.7,11.76,0,21.19
16,10,1981,23.89,11.01,0,22.72
17,10,1981,23.81,11.43,0,23
18,10,1981,24.04,11.59,0,23.71
19,10,1981,24.07,10.98,0,24.62
20,10,1981,23.66,10.78,0,23.32
21,10,1981,23.14,11.09,0,21.49
22,10,1981,23.04,11.58,0,20.22
23,10,1981,23.02,11.11,0.49,20.16
24,10,1981,22.51,11.54,0,19.15
25,10,1981,22.5,11.72,0,17.89
26,10,1981,23.31,12.41,0,20.98
27,10,1981,23.64,11.83,0,23.08
28,10,1981,23.91,10.77,0,22.68
29,10,1981,23.96,10.87,0,21.41
30,10,1981,23.26,11.12,0,20.55
