day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.47,13.55,0,17.77
2,1,1981,24.48,13.68,0,21.2
3,1,1981,24.7,14.17,0,20.43
4,1,1981,24.78,14.11,2.83,20.22
5,1,1981,25.52,14.16,2.83,22.68
6,1,1981,24.96,15.1,0,20.24
7,1,1981,25.03,14.1,0,23.24
8,1,1981,25.07,13.13,0,24.12
9,1,1981,24.88,12.9,0,23.47
10,1,1981,25.19,13.55,0,23.39
11,1,1981,25.24,14.4,0,21.92
12,1,1981,24.8,14.49,0,19.61
13,1,1981,25.36,14.55,0,21.83
14,1,1981,25.03,14.55,0,20.45
15,1,1981,25.32,14.35,0,21.41
16,1,1981,25.11,14.23,0,21.18
17,1,1981,25.55,14.65,0,22.52
18,1,1981,25.46,14.59,0,21.09
19,1,1981,25.74,14.7,0,22.34
20,1,1981,26.14,14,0,23.89
21,1,1981,24.83,14.41,0,19.19
22,1,1981,24.99,14.73,0,20.07
23,1,1981,25.13,14.8,0,21.07
24,1,1981,25.68,13.84,0,22.17
25,1,1981,26.21,13.87,0,23.87
26,1,1981,26.17,14.31,0,23.25
27,1,1981,26.22,14.07,0,23.85
28,1,1981,26.31,14.07,0,24.62
29,1,1981,25.6,14.18,0,22.23
30,1,1981,25.84,14.24,0,23.56
31,1,1981,26.19,13.73,0,24.82
1,2,1981,25.82,12.36,0,25.49
2,2,1981,26.1,12.76,0,25.15
3,2,1981,26.47,12.61,0,25.33
4,2,1981,26.07,12.91,0,24.66
5,2,1981,25.86,13.35,0,22.99
6,2,1981,26.23,13.37,0,24.36
7,2,1981,25.8,13.14,0,24.29
8,2,1981,25.51,13.82,0,20.9
9,2,1981,24.97,14.44,0,18.69
10,2,1981,25.66,14.43,1.32,20.91
11,2,1981,25.39,15.09,0,20.87
12,2,1981,25.14,15.5,0,21.52
13,2,1981,25.37,14.38,0,20.77
14,2,1981,25.65,14.02,0,22.05
15,2,1981,25.54,14.51,7.54,21.9
16,2,1981,26.15,15.31,0,23.11
17,2,1981,25.61,14.73,0,22.21
18,2,1981,24.9,14.78,0,20.63
19,2,1981,26.09,14.51,2.38,21.74
20,2,1981,25.84,14.45,0,22.25
21,2,1981,27.41,14.27,0,24.89
22,2,1981,27.49,14.39,0,24.74
23,2,1981,27.67,14.54,0,24.38
24,2,1981,27.35,14.53,1.44,23.89
25,2,1981,27.49,14.89,0,23.88
26,2,1981,26.53,14.67,0,23.07
27,2,1981,25.86,14.94,1.62,21.43
28,2,1981,26.41,14.95,0,21.38
1,3,1981,27.07,15.2,19.34,24.02
2,3,1981,26.44,15.54,0,21.82
3,3,1981,24.99,14.57,0,21.3
4,3,1981,24.32,13.61,0,19.88
5,3,1981,24.46,14.52,13.21,21.69
6,3,1981,24.85,13.91,0.38,22.45
7,3,1981,25.1,14.21,0,21.65
8,3,1981,24.68,14.61,0,21.71
9,3,1981,25.09,14.86,0,22.55
10,3,1981,25.26,14.95,0,22.01
11,3,1981,25.94,14.79,0,23.03
12,3,1981,24.95,14.98,6.23,20.68
13,3,1981,24.32,14.66,11.51,19.63
14,3,1981,23.87,14.48,0,20.67
15,3,1981,23.76,14.46,6.71,20.74
16,3,1981,23.61,13.85,1.02,19.86
17,3,1981,24.42,14.55,10.89,22.55
18,3,1981,24.92,14.39,3.94,23.4
19,3,1981,24.06,13.99,2.9,21.04
20,3,1981,23.82,13.29,0,22.14
21,3,1981,23.2,14.29,26.74,20.38
22,3,1981,24.05,13.36,0,21.84
23,3,1981,23.88,13.87,0,21.8
24,3,1981,23.56,13.7,0,20.17
25,3,1981,22.66,14.03,0,17.18
26,3,1981,22.31,14.38,8.82,19.02
27,3,1981,21.48,14.14,8.52,17.58
28,3,1981,22.32,13.46,6.4,19.58
29,3,1981,21.28,13.91,6.16,15.83
30,3,1981,22.53,13.94,0,19.86
31,3,1981,23.28,14.27,6.53,20.54
1,4,1981,23.3,13.24,0,21.19
2,4,1981,23.35,13.59,6.69,21.9
3,4,1981,22.73,14.45,0,18.93
4,4,1981,23.25,14.39,0,20.28
5,4,1981,22.85,14.47,0,19.48
6,4,1981,23.36,14.53,0,20.61
7,4,1981,23.18,14.41,16.37,20.35
8,4,1981,23.37,13.94,0,21.01
9,4,1981,23.73,14.18,0,21.83
10,4,1981,23.85,13.9,0,20.59
11,4,1981,23.63,13.92,0,21.25
12,4,1981,23.5,14.13,0.52,20.57
13,4,1981,23.12,14.21,8.55,21
14,4,1981,23.53,14.7,0,21.21
15,4,1981,24.56,13.97,0,21.99
16,4,1981,25.27,13.88,0,23.92
17,4,1981,24.75,14.07,0,22.1
18,4,1981,24.35,14.36,15.6,21.54
19,4,1981,24.11,13.86,0,22.62
20,4,1981,24.25,14.46,0,21.78
21,4,1981,23.41,13.57,26.39,20.62
22,4,1981,22.32,13.75,0,18.84
23,4,1981,22.17,14.46,0,19.7
24,4,1981,22.12,14.02,0,19.52
25,4,1981,22.9,13.18,0,22.29
26,4,1981,23.41,13.46,4.69,21.45
27,4,1981,23.98,12.9,0,22.38
28,4,1981,24.93,12.92,0,24.85
29,4,1981,25.1,13.47,0,25.85
30,4,1981,25.01,13.65,0,24.62
1,5,1981,24.99,14.19,0,23.18
2,5,1981,24.93,13.88,0,22.46
3,5,1981,25.32,13.44,2.03,23.66
4,5,1981,25.5,14.01,0,24.34
