day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.83,12.62,0,19.6
2,1,1981,23.88,13.3,0,21.75
3,1,1981,23.71,13.75,0,20.75
4,1,1981,22.54,13.4,0,18.39
5,1,1981,24.34,13.01,3.32,21.43
6,1,1981,22.76,12.65,3.6,19.35
7,1,1981,22.82,12.67,0,21.07
8,1,1981,24.15,12.93,0,23.52
9,1,1981,24.32,13.38,0,22.67
10,1,1981,24.33,13.48,0,22.33
11,1,1981,23.82,13.2,0,20.76
12,1,1981,23.68,12.8,0,20.48
13,1,1981,24.74,13.5,0,20.64
14,1,1981,24.54,14.62,0,18.94
15,1,1981,24.31,13.85,0,19.42
16,1,1981,24.5,13.63,0,19.96
17,1,1981,23.34,13.81,0,20.52
18,1,1981,23.93,13.03,0,21.02
19,1,1981,24.16,13.52,0,19.42
20,1,1981,25.26,13.99,0,21.77
21,1,1981,23.98,13.69,0,19.84
22,1,1981,23.51,13.38,0,20.04
23,1,1981,23.64,13.19,0,20.18
24,1,1981,23.8,12.51,0,21.02
25,1,1981,25.75,13.57,0,23.86
26,1,1981,24.24,13.62,0,21.19
27,1,1981,24.53,12.94,0,22.22
28,1,1981,25.42,13.01,0,24.68
29,1,1981,23.79,12.88,0,20.01
30,1,1981,22.58,13,0,19.54
31,1,1981,24.89,12.94,0,23.2
1,2,1981,25.02,12.3,0,26.07
2,2,1981,25.12,12.8,0,24.82
3,2,1981,25.42,12.34,0,26.03
4,2,1981,25.38,13.09,0,24.06
5,2,1981,25.32,13.79,0,21.9
6,2,1981,25.69,13.56,0,24.28
7,2,1981,24.87,13.7,0,21.59
8,2,1981,24.45,13.03,0,19.25
9,2,1981,23.75,14.14,0,18.02
10,2,1981,24.03,13.62,0,17.82
11,2,1981,23.75,13.84,0,18.44
12,2,1981,23.73,13.56,0,20.66
13,2,1981,24.28,13.92,0,20.55
14,2,1981,24.57,13.19,1.12,21.58
15,2,1981,23.82,13.17,8.49,20.58
16,2,1981,23.09,13.9,4.58,18.93
17,2,1981,24.28,12.97,3.53,20.61
18,2,1981,23.67,13.25,6.74,21.24
19,2,1981,23.52,13.39,0,20.06
20,2,1981,23.8,13.01,0,21.82
21,2,1981,25.74,13.77,0,23.38
22,2,1981,26.14,14.28,0,24.26
23,2,1981,26.26,14.03,0,24.23
24,2,1981,25.61,15.06,2.95,23.5
25,2,1981,25.51,14.4,0,22.69
26,2,1981,25.79,14.37,0,24.14
27,2,1981,23.62,14.27,0,20.96
28,2,1981,24.61,13.37,4.15,21.67
1,3,1981,25.32,14.42,0,22.58
2,3,1981,24.72,14,12.49,21.13
3,3,1981,23.25,13.58,0,19.9
4,3,1981,23.91,13.56,0,20.32
5,3,1981,23.72,13.31,7.73,20.08
6,3,1981,23.74,14.13,0,21.68
7,3,1981,23.25,13.79,0,20.63
8,3,1981,23.08,13.41,0,21.31
9,3,1981,24.33,13.39,0,22.29
10,3,1981,23.65,13.18,0,21.71
11,3,1981,23.8,14.61,0,21.63
12,3,1981,24.19,13.82,8.85,21.16
13,3,1981,21.84,13.98,10.86,17.74
14,3,1981,22.79,13.21,33.67,19.86
15,3,1981,23.04,13.77,15.33,20.88
16,3,1981,22.04,13.98,3.42,18.36
17,3,1981,23.28,14.06,6.05,22.2
18,3,1981,22.38,13.55,6.12,19.46
19,3,1981,22.23,13.12,2.06,20.57
20,3,1981,22.57,13.07,5.27,20.86
21,3,1981,20.58,13.65,13.19,16.52
22,3,1981,22.72,13.49,5.81,19.78
23,3,1981,20.29,13.55,6.54,17.62
24,3,1981,22.4,13.12,4.96,18.43
25,3,1981,19.32,13.68,5.99,13
26,3,1981,21.71,14.03,11.39,18
27,3,1981,20.51,13.54,9.51,15.53
28,3,1981,21.84,12.63,6.02,19.92
29,3,1981,21.32,14.09,7.32,17.85
30,3,1981,22.51,13.19,8.19,21.02
31,3,1981,21.73,14,4.01,18.41
1,4,1981,23,14.19,4.78,21.15
2,4,1981,22.95,13.35,6.17,21.34
3,4,1981,22,13.46,0,20.92
4,4,1981,22.69,14.16,0,21.04
5,4,1981,22.35,13.39,6.67,20.58
6,4,1981,22.01,14.42,2.86,19.46
7,4,1981,22.23,13.41,2.97,20.07
8,4,1981,22.81,13.33,3.34,21.45
9,4,1981,22.84,13.45,1.82,21.32
10,4,1981,22.78,13.59,3.65,21.25
11,4,1981,22.49,13.68,3.26,19.72
12,4,1981,22.36,13.91,2.32,19.26
13,4,1981,22.3,13.94,1.48,20.93
14,4,1981,22.47,13.92,6.03,21.17
15,4,1981,23.01,13.45,3.6,21.74
16,4,1981,24,14.38,3.14,24.19
17,4,1981,22.86,14.39,0,22.12
18,4,1981,22.24,13.68,18.45,20.83
19,4,1981,21.64,13.62,6.94,21.15
20,4,1981,21.5,13.84,5.79,20.33
21,4,1981,20.75,13.93,5.14,18.17
22,4,1981,19.97,13.93,6.52,14.64
23,4,1981,20.99,13.46,2.93,17.53
24,4,1981,21.43,12.63,4.06,19.97
25,4,1981,21.47,12.65,7.06,20.2
26,4,1981,21.98,12.43,6.36,21.11
27,4,1981,22.22,13,5.22,20.51
28,4,1981,22.79,12.16,0,23.13
29,4,1981,22.66,13.41,0,23.75
30,4,1981,22.14,13.4,0,21.54
1,5,1981,22.11,12.55,0,20.58
2,5,1981,22.19,12.58,0,21.81
3,5,1981,22.36,12.48,0,22.53
4,5,1981,22.33,12.84,0,22.45
5,5,1981,22.36,12.89,0,21.39
6,5,1981,22.25,12.93,0,20.02
7,5,1981,21.42,13.42,0,18.95
8,5,1981,20.9,13.8,4.52,18.09
9,5,1981,21.32,13.1,1.81,19.32
10,5,1981,21.18,13.2,1.64,18.61
11,5,1981,20.83,12.68,4.75,18.2
12,5,1981,20.29,13.08,8.96,18.3
13,5,1981,21,13.4,9.18,18.51
14,5,1981,20.69,12.32,4.97,18.43
15,5,1981,20.87,13.18,0,18.71
16,5,1981,21.27,12.88,8.96,20.85
17,5,1981,21.72,12.47,29.23,21.3
18,5,1981,21.28,12.81,5.12,20.91
19,5,1981,21.11,12.47,4.65,21.66
20,5,1981,20.7,12.72,3.25,20.3
21,5,1981,20.76,13.06,12.08,18.79
22,5,1981,20.98,12.84,0,18.9
23,5,1981,20.21,12.53,0,19.25
24,5,1981,20.54,12.84,15.08,18.11
25,5,1981,20.24,12.97,10.03,18.06
26,5,1981,21.11,12.96,5.23,19.44
27,5,1981,20.96,12.15,5.61,19.81
28,5,1981,21.68,12.12,0,21.4
29,5,1981,21.37,12.03,10.49,20.28
30,5,1981,19.88,12.35,7.26,17.07
31,5,1981,20.69,13.08,0,17.8
1,6,1981,21.23,13.22,2.39,20.01
2,6,1981,20.52,12.73,6.64,18.08
3,6,1981,19.78,12.77,4.13,17.65
4,6,1981,20.78,12.09,4.79,18.25
5,6,1981,20.32,12.57,7.26,16.16
6,6,1981,19.88,12.29,7.83,16.52
7,6,1981,20.06,12.54,3.95,17.09
8,6,1981,20.15,12.66,1.87,17.2
9,6,1981,20.08,12.39,0,16.14
10,6,1981,19.98,12.17,0,17.7
11,6,1981,19.99,12.1,0,18.51
12,6,1981,19.76,12.23,0,16.33
