day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.21,9.75,0.13,15.7
2,1,1981,21.5,9.81,0,19.37
3,1,1981,22.22,10.68,0.45,18.6
4,1,1981,20.94,10.91,0,16.01
5,1,1981,22.32,10.22,0.06,18.9
6,1,1981,20.97,10.85,0,17.36
7,1,1981,21.16,10.56,0,18.32
8,1,1981,22.25,10.05,0,19.31
9,1,1981,22.55,9.62,0,19.53
10,1,1981,21.7,10.11,0,19.43
11,1,1981,22.24,10.22,0,18.78
12,1,1981,22.54,10.18,0,18.9
13,1,1981,22.31,10.74,0,15.75
14,1,1981,22.14,11.25,0,16.23
15,1,1981,22.57,10.62,0,18.52
16,1,1981,22.07,11.11,0,17.92
17,1,1981,21.75,11.18,0,17.86
18,1,1981,22.16,10.41,0,17.2
19,1,1981,22.04,11.63,0,17.93
20,1,1981,22.88,10.49,0,19.32
21,1,1981,21.47,11.33,0,16.72
22,1,1981,21.61,10.86,0,17.51
23,1,1981,21.54,10.52,0,17.29
24,1,1981,22.02,10.59,0,18.39
25,1,1981,23.25,10.28,0,19.93
26,1,1981,22.49,11.2,0,19.2
27,1,1981,22.11,10.91,0,19.04
28,1,1981,23.57,10.5,0,20.7
29,1,1981,21.65,11.29,0,17.25
30,1,1981,21.95,10.96,6.85,18.78
31,1,1981,22.91,10.33,1.02,20.31
1,2,1981,23.23,9.91,0,22.24
2,2,1981,23.13,10.13,0,22.92
3,2,1981,23.45,10.32,0,23.64
4,2,1981,23.53,9.6,0,21.17
5,2,1981,23.21,10.72,0,19.46
6,2,1981,23.64,9.86,0,20.8
7,2,1981,23.18,10.3,0,19.22
8,2,1981,22.97,10.8,0,17.9
9,2,1981,21.91,11.81,0,16.26
10,2,1981,22.26,10.97,0,17.56
11,2,1981,22.54,10.52,0,17.18
12,2,1981,24.12,10.23,1.82,21.99
13,2,1981,23.99,9.82,0,22.63
14,2,1981,24.21,10.06,0,21.91
15,2,1981,22.93,11.11,0,19.49
16,2,1981,24.67,11.09,3.29,22.66
17,2,1981,24.77,10.79,0,23.18
18,2,1981,24.92,11.1,0,23.19
19,2,1981,23.6,10.95,0.87,19.72
20,2,1981,23.18,10.82,0,20.53
21,2,1981,24.73,11.32,0,22.06
22,2,1981,25.29,11.05,0,22.72
23,2,1981,25.05,11.11,0,21.65
24,2,1981,24.52,11.6,0.53,21.03
25,2,1981,24.84,11.34,0,21.06
26,2,1981,24.76,11.39,1.12,21.57
27,2,1981,22.39,11.56,5.15,17.5
28,2,1981,22.85,11.27,0,18.47
1,3,1981,23.72,11.11,0,20.97
2,3,1981,23.58,11.56,3.06,19.33
3,3,1981,22.68,11.39,0,19.23
4,3,1981,22.13,11.25,0,18.91
5,3,1981,21.71,11.29,10.1,18.87
6,3,1981,22.28,10.86,0,20.04
7,3,1981,22.48,10.77,0,20.94
8,3,1981,22.31,11.02,0,19.5
9,3,1981,21.59,10.98,0,18.7
10,3,1981,21.78,11.02,0,18.82
11,3,1981,22.09,11.15,0,20.07
12,3,1981,22.14,11.17,7.31,19.6
13,3,1981,19.8,11.44,10.47,13.78
