day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.11,13.47,0,18.33
2,1,1981,26.23,13.69,0,20.66
3,1,1981,26.15,13.57,0,19.94
4,1,1981,25.02,14.3,0,17.46
5,1,1981,26.54,13.13,4.25,20.13
6,1,1981,24.81,13.6,2.62,18.21
7,1,1981,25.19,13.3,0,19.86
8,1,1981,26.82,12.81,0,22.01
9,1,1981,26.85,11.85,0,21.76
10,1,1981,26.23,14.24,0,20.8
11,1,1981,26.05,13.99,0,19.1
12,1,1981,26.35,13.87,0,19.37
13,1,1981,26.69,13.88,0,18.3
14,1,1981,26.41,15.02,0,16.97
15,1,1981,26.99,14.98,0,19.15
16,1,1981,26.22,15.2,0,18.58
17,1,1981,25.82,14.97,0,18.97
18,1,1981,26.2,14,0,19.1
19,1,1981,26.31,15.08,0,18.23
20,1,1981,27.37,13.98,0,19.65
21,1,1981,26.43,14,0,18.43
22,1,1981,26.08,14.76,0,18.88
23,1,1981,25.64,14.59,0,18.88
24,1,1981,25.8,13.65,0,19.87
25,1,1981,28.09,13.09,0,22.3
26,1,1981,26.26,14.53,0,19.5
27,1,1981,25.8,13.63,0,19.78
28,1,1981,28.02,13.27,0,23.18
29,1,1981,25.62,14.89,0.4,18.35
30,1,1981,24.58,14.63,0.31,19.04
31,1,1981,26.83,13.46,0,21.23
1,2,1981,27.67,11.71,0,25.04
2,2,1981,27.35,12.54,0,23.47
3,2,1981,28.16,11.61,0,25.17
4,2,1981,28.16,12.13,0,22.88
5,2,1981,27.58,13.8,0,20.41
6,2,1981,28.32,12.7,0,22.73
7,2,1981,26.95,12.99,0,19.19
8,2,1981,27.44,14.3,0,18.79
9,2,1981,26.4,14.93,0,16.6
10,2,1981,26.59,15.15,0,16.59
11,2,1981,26.2,14.87,0,18.16
12,2,1981,26.73,14.75,0,20.96
13,2,1981,26.95,14.03,0,21.32
14,2,1981,27.12,13.26,0,20.9
15,2,1981,25.92,14.37,4.53,18.92
16,2,1981,27.85,14.24,4.83,20.48
17,2,1981,27.77,13.26,0.08,21.01
18,2,1981,27.29,13.59,3.57,21.43
19,2,1981,26.98,14.65,0.09,19.78
20,2,1981,26.48,13.79,0,21.07
21,2,1981,28.49,13.59,0,22.78
22,2,1981,29.41,13.82,0,24.04
23,2,1981,29.1,14.2,0,22.96
24,2,1981,28.31,15.1,1.54,22.41
25,2,1981,28.13,15.02,0,21.79
26,2,1981,28.84,14.36,0,23.29
27,2,1981,26.26,15.26,1.37,18.85
28,2,1981,27.05,14.66,4.94,20.07
1,3,1981,27.89,14.7,0,21.73
2,3,1981,27.32,14.81,10.45,20.52
3,3,1981,26.29,14.19,0,19
4,3,1981,26.56,14.37,0,19.74
5,3,1981,25.96,14.19,10.92,18.82
6,3,1981,26.61,14.95,0,20.6
7,3,1981,26.11,13.9,0,20.15
8,3,1981,25.83,14.77,0,20.2
9,3,1981,26.59,13.96,0,20.95
10,3,1981,25.6,14.86,0,20.49
11,3,1981,26.05,14.68,0,20.79
12,3,1981,26.07,14.48,12.62,19.9
13,3,1981,23.76,14.67,12.88,16.32
14,3,1981,25.68,15.17,23.11,19.15
15,3,1981,24.84,15.05,11.48,19.32
16,3,1981,25.83,14.51,3.03,19.42
17,3,1981,27.17,14.9,5.64,22.85
18,3,1981,25.34,13.97,3.66,19.11
19,3,1981,24.84,13.89,2.19,19.42
20,3,1981,25.4,14.04,3.44,20.6
21,3,1981,24.09,14.5,11.37,18.69
22,3,1981,25.17,14.37,4.8,18.39
23,3,1981,23.7,14.5,4.95,17.8
24,3,1981,24.88,13.9,5.23,17.32
25,3,1981,21.69,14.82,5.25,12.16
26,3,1981,24.7,14.95,9.01,18.53
27,3,1981,23.26,14.81,9.58,15.74
28,3,1981,24.02,13.61,3.78,19.12
29,3,1981,23.26,15.34,6.74,16.06
30,3,1981,25.37,14.22,6.2,20.73
31,3,1981,25.07,15.28,5.4,19.45
1,4,1981,26.33,14.58,3.26,23.48
2,4,1981,26.22,13.45,8.13,23.4
3,4,1981,25.63,13.42,0,21.14
4,4,1981,25.16,15.13,0,19.98
5,4,1981,26.18,14.09,4.72,20.3
6,4,1981,24.89,15.2,1.81,18.29
7,4,1981,25.15,14.41,4.94,19.68
8,4,1981,26.12,14.39,3.5,21.82
9,4,1981,26.34,14.46,0,21.21
10,4,1981,26.65,14.84,2.17,21.26
11,4,1981,26.85,14.45,2.15,20.97
12,4,1981,26.84,14.78,1.73,20.61
13,4,1981,26.04,15.34,0.44,20.88
14,4,1981,26.47,15.07,6.02,20.25
15,4,1981,26.71,14.28,3.04,21.95
16,4,1981,27.61,15.23,3.74,25.2
17,4,1981,27.33,15.49,2.97,22.86
18,4,1981,25.54,14.58,13.08,20.01
19,4,1981,25.01,14.49,6.62,20.79
20,4,1981,24.34,14.84,5.11,19.42
21,4,1981,23.98,14.68,5.07,18.16
22,4,1981,21.76,14.86,6.32,13.69
23,4,1981,23.42,14.45,4.13,18.61
24,4,1981,23.61,13.92,4.64,18.97
