day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.16,7.89,0,17.12
2,1,1981,21.56,7.98,0,19.94
3,1,1981,21.82,8.39,0,19.06
4,1,1981,20.73,8.79,0,15.96
5,1,1981,22.21,8.02,0,18.94
6,1,1981,21.19,8.59,0,17.5
7,1,1981,20.91,8.67,0,17.35
8,1,1981,21.9,8.18,0,18.71
9,1,1981,21.36,8.46,0,18.3
10,1,1981,20.97,8.45,0,18.76
11,1,1981,21.36,8.42,0,18.09
12,1,1981,21.81,8.05,0,18.44
13,1,1981,22,8.49,0,16.95
14,1,1981,21.35,9.45,0,16.02
15,1,1981,21.81,8.63,0,18.16
16,1,1981,21.12,9.33,0,17.54
17,1,1981,21.4,8.97,0,17.22
18,1,1981,21.55,9.01,0,17.15
19,1,1981,21.55,9.54,0,18
20,1,1981,22.2,8.58,0,18.72
21,1,1981,21.08,10.21,0,16.98
22,1,1981,21.46,8.85,0,18.14
23,1,1981,20.91,8.71,0,17.76
24,1,1981,21.48,8.85,0,18.05
25,1,1981,22.26,8.52,0,19.54
26,1,1981,21.41,9.56,0,17.28
27,1,1981,20.86,8.89,0,17.63
28,1,1981,23,8.91,0,20.03
29,1,1981,20.69,9.05,0,16.77
30,1,1981,20.71,8.56,11.32,18.73
31,1,1981,22.48,7.89,0.14,20.03
1,2,1981,22.87,8.81,0,21.3
2,2,1981,22.85,7.48,0,22
3,2,1981,23.55,6.79,0,24.05
4,2,1981,22.31,8.64,0,18.87
5,2,1981,21.89,8.84,0,18.28
6,2,1981,22.17,9.62,0,19.18
7,2,1981,21.53,7.94,0,18.25
8,2,1981,22.08,8.59,0,17.86
9,2,1981,20.93,9.1,0,17
10,2,1981,21.92,8.51,0,18.82
11,2,1981,21.94,7.61,0,18.58
12,2,1981,23.28,7.39,3.36,21.48
13,2,1981,22.79,8.21,0,21.97
14,2,1981,23.72,8.74,0,21.48
15,2,1981,21.82,9.59,0,18.64
16,2,1981,23.28,9.05,6.2,21.32
17,2,1981,23.77,7.81,0,22.75
18,2,1981,24.19,9.23,0,22.76
19,2,1981,22.95,9.17,0,19.2
20,2,1981,22.53,8.85,0,20.48
21,2,1981,24.74,9.03,0,22
22,2,1981,24.84,10.04,0,21.9
23,2,1981,23.98,9.91,0,20.97
24,2,1981,23.21,10.71,1.25,20.57
25,2,1981,23.97,9.67,0,20.74
26,2,1981,23.63,9.81,0,20.71
27,2,1981,22.05,9.79,6.97,17.82
28,2,1981,22.61,9.12,0,19
1,3,1981,23.35,9.34,0,21.17
2,3,1981,23.02,10.24,6.92,19.56
3,3,1981,22.43,9.5,0,19.07
4,3,1981,21.63,10.07,0,18.85
5,3,1981,21.69,9.7,15.05,19
6,3,1981,22.81,9.04,0,20.62
7,3,1981,23.14,9.1,0,21.96
8,3,1981,22.3,9.08,0,18.35
9,3,1981,21.82,8.93,0,18.75
10,3,1981,22.2,9.36,0,18.85
11,3,1981,22.17,9.29,0,20.15
12,3,1981,22.32,9.62,9.88,19.37
13,3,1981,19.47,9.99,14.44,13.21
14,3,1981,21.98,10.46,11.92,18.38
15,3,1981,21.36,9.95,10.59,18.3
16,3,1981,22.92,9.47,5.87,22.6
17,3,1981,23.02,9.18,3.92,23.29
18,3,1981,22.15,9.3,3.98,19.5
19,3,1981,21.73,9.67,2.84,18.87
20,3,1981,22.12,9.37,2.38,19.63
21,3,1981,22.68,10.38,6.67,18.25
22,3,1981,22.54,9.77,4.08,17.77
23,3,1981,22.76,10.02,4.82,18.58
24,3,1981,20.8,9.66,7.42,16.36
25,3,1981,19.35,10.66,6.06,12.07
26,3,1981,21.81,10.73,7.77,18.8
27,3,1981,21.24,10.09,11.44,16.05
28,3,1981,21.5,10.08,1.52,17.52
29,3,1981,20.45,10.67,9.67,13.69
30,3,1981,21.87,10.23,4.27,20.11
31,3,1981,22.56,10.35,0.47,22.98
1,4,1981,22.27,9.01,0,25.31
2,4,1981,22.37,8.85,9.5,25.36
3,4,1981,22.96,8.42,0,24.44
4,4,1981,22.74,9.91,1.22,21.89
5,4,1981,22.98,10.26,0,22
6,4,1981,22.86,10.76,0,19.96
7,4,1981,22.75,10.11,3.25,20.6
8,4,1981,23.55,10.4,3.71,23.38
9,4,1981,23.82,9.98,0,22.92
10,4,1981,23.3,9.57,0,22.05
11,4,1981,23.7,9.93,0,23.11
12,4,1981,23.68,10.49,0,23.44
13,4,1981,23.29,9.91,0,21.6
14,4,1981,24.02,10.17,7.86,23.15
15,4,1981,23.49,10.43,0,21.65
16,4,1981,24.52,10.44,0,25.11
17,4,1981,24.87,10.86,0,23.74
18,4,1981,23.65,11.14,9.42,21.8
19,4,1981,22.55,11.05,1.78,19.75
20,4,1981,22.79,10.38,8.87,19.63
21,4,1981,21.01,10.43,2.59,18.34
22,4,1981,19.79,10.87,8.19,15.47
23,4,1981,20.87,10.7,6.58,18.39
24,4,1981,20.63,10.15,6.03,18.37
25,4,1981,21.8,9.55,7.82,19.22
26,4,1981,21.52,9.84,6.54,19.66
27,4,1981,22.4,10,9.34,20.34
28,4,1981,23.03,9.62,0,23.45
29,4,1981,23.37,10.86,0,23.99
30,4,1981,22.24,11.16,0,20.46
1,5,1981,21.72,10.38,1.47,18.08
2,5,1981,22.24,10.46,0,19.99
3,5,1981,22.91,10.09,0,22.99
4,5,1981,22.45,10.38,0,23.08
5,5,1981,22.58,9.85,14.02,22.2
6,5,1981,22.5,10.51,2.48,20.63
7,5,1981,20.61,9.88,1.92,17.45
8,5,1981,19.97,10.89,3.24,16.37
9,5,1981,21.54,10.36,3.65,20.67
10,5,1981,20.35,11.02,4.76,15.24
11,5,1981,21.56,10.27,6.48,17.35
12,5,1981,20.01,10.83,8.41,15.96
13,5,1981,21.75,10.37,10.53,19.48
14,5,1981,19.3,10.17,6.2,15.81
15,5,1981,20.13,10.72,0,17.33
16,5,1981,21.27,10.04,7.97,19.46
17,5,1981,21.47,10.11,39.93,19.97
18,5,1981,21.19,10.25,5,19.39
19,5,1981,21.74,10.42,6.64,19.79
20,5,1981,21.69,10.64,5.29,19.95
21,5,1981,20.74,10.98,9.71,17.99
22,5,1981,21.48,10.19,6.81,18.93
23,5,1981,20.94,10.24,0,18.58
24,5,1981,20.24,10.34,12.18,17
25,5,1981,21.06,10.51,21.48,18.74
