day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.95,12.03,0,17.79
2,1,1981,25.63,12.36,0,21.36
3,1,1981,25.73,13.25,0,19.37
4,1,1981,25.37,12.86,0,19.02
5,1,1981,26.14,13.26,3.61,21.78
6,1,1981,25.45,13.56,3.44,19.61
7,1,1981,25.54,12.16,0,22.45
8,1,1981,25.67,12.28,0,23.83
9,1,1981,25.52,11.97,0,22.79
10,1,1981,25.85,12.23,0,22.86
11,1,1981,25.92,13.19,0,21.76
12,1,1981,26.11,13.13,0,21.26
13,1,1981,26.49,14.08,0,21.49
14,1,1981,25.98,14.44,0,20.46
15,1,1981,26.34,14.01,0,21.25
16,1,1981,25.88,13.57,0,20.1
17,1,1981,26.42,13.2,0,22.61
18,1,1981,26.1,14.42,0,21.52
19,1,1981,26.14,14.68,0,20.55
20,1,1981,26.81,13.22,0,23.58
21,1,1981,26.19,13.55,0,19.28
22,1,1981,25.74,13.41,0,19.78
23,1,1981,25.84,13.34,0,20.21
24,1,1981,26.25,13.41,0,21.34
25,1,1981,26.78,13.25,0,23.79
26,1,1981,26.59,13.3,0,22.57
27,1,1981,26.77,12.65,0,23.54
28,1,1981,26.87,13.43,0,24.62
29,1,1981,25.95,13.37,0,21.92
30,1,1981,25.95,13.52,0,21.81
31,1,1981,26.54,12.88,0,24.76
1,2,1981,26.3,11.49,0,25.31
2,2,1981,26.3,11.64,0,24.93
3,2,1981,26.75,11.04,0,25.13
4,2,1981,26.58,11.87,0,24.05
5,2,1981,26.21,12.11,0,22.9
6,2,1981,26.73,12.35,0,24.53
7,2,1981,26.65,12.46,0,23.75
8,2,1981,25.95,13.48,0,19.38
9,2,1981,25.44,14,0,16.94
10,2,1981,26.18,13.65,0,19.05
11,2,1981,26.31,14.9,0,18.33
12,2,1981,25.39,15.02,0,20.26
13,2,1981,25.85,14.53,0,19.67
14,2,1981,26.39,14.03,0,21.52
15,2,1981,26.42,14.48,13.02,21.84
16,2,1981,26.02,14.03,5.38,19.75
17,2,1981,26.35,13.82,0,20.71
18,2,1981,25.76,14.14,0,20.19
19,2,1981,26.47,14.72,0,21.06
20,2,1981,26.4,13.61,0,22.39
21,2,1981,27.9,14.12,0,24.01
22,2,1981,27.53,13.98,0,23.87
23,2,1981,28.1,14.3,0,24.52
24,2,1981,28.29,14.25,0,24.15
25,2,1981,28.23,14.6,0,24.13
26,2,1981,27.37,14.26,0,23.42
27,2,1981,26.77,15.18,0.94,21.32
28,2,1981,27.15,15.38,0,21.53
1,3,1981,27.76,15.87,0,22.71
2,3,1981,26.98,15.64,0,21.35
3,3,1981,25.36,14.19,0,20.49
4,3,1981,25.34,12.24,0,19.96
5,3,1981,24.54,13.95,29.89,20.56
6,3,1981,25.02,13.2,0,21.59
7,3,1981,25.29,13.89,0,21.03
8,3,1981,24.97,14.47,4.37,21.61
9,3,1981,25.89,13.77,0,22.75
10,3,1981,25.45,14.37,0,21.02
11,3,1981,25.9,14.91,6.85,22.47
12,3,1981,25.39,13.47,0,20.85
13,3,1981,24.22,13.86,14.54,17.94
14,3,1981,24.71,13.22,7.6,19.66
15,3,1981,24.46,13.42,0,20.77
16,3,1981,24.04,13.41,1.7,18.38
17,3,1981,24.77,13.57,5.79,21.36
18,3,1981,24.94,13.37,9.12,20.9
19,3,1981,24.58,13.52,0.27,20.76
20,3,1981,24.61,12.49,0,22.18
21,3,1981,23.15,13.55,13.81,18.19
22,3,1981,24.46,12.47,0.67,20.53
23,3,1981,23.65,13.37,9.52,19.86
24,3,1981,24.24,12.37,0,19.58
25,3,1981,22.32,13.52,4.14,15.55
26,3,1981,23.24,13.62,4.94,17.67
27,3,1981,22.14,13.24,4.25,15.79
28,3,1981,22.56,11.93,7.17,18.56
29,3,1981,22.2,13.06,4.38,17
30,3,1981,23.5,12.97,4.89,20.75
31,3,1981,23.05,14.19,3.91,19.07
1,4,1981,23.25,12.97,0,19.38
2,4,1981,23.52,12.54,7.26,20.67
3,4,1981,23.05,13.53,0,19.58
4,4,1981,23.07,13.92,0,20.57
5,4,1981,23.49,13.97,0,20.07
6,4,1981,24.01,14.57,5.63,21.22
7,4,1981,23.57,13.36,10.93,20.78
8,4,1981,23.73,12.8,0,20.96
9,4,1981,23.94,14.54,0,21.59
10,4,1981,23.9,13.43,0,20.22
11,4,1981,23.88,13.43,3.84,20.44
12,4,1981,23.23,14.06,0,18.85
13,4,1981,23.58,13.89,0.63,20.61
14,4,1981,23.82,14.24,3.68,21.17
15,4,1981,24.75,13.49,3.05,21.93
16,4,1981,25.36,14.11,0,22.67
17,4,1981,24.57,13.69,0,21.19
18,4,1981,24.14,14.04,14.09,20.75
19,4,1981,23.94,13.36,0,20.9
20,4,1981,24.35,13.6,0,21.15
21,4,1981,23.29,13.44,6.46,18.74
22,4,1981,22.57,13.11,1.73,17.25
23,4,1981,22.77,13.87,7.84,18.45
24,4,1981,23.18,12.79,6.3,20.79
25,4,1981,22.96,11.73,0.77,21.92
26,4,1981,23.52,13.1,0,21.29
27,4,1981,23.92,12.65,4.72,21.54
28,4,1981,25.41,12.46,0,25.29
29,4,1981,24.99,13.38,0,25.38
30,4,1981,25.35,13.73,0,24.2
1,5,1981,25,14.6,0,23.09
2,5,1981,24.86,13.34,0,22.92
3,5,1981,25.28,12.88,0,23.3
4,5,1981,25.38,14.79,0,24.7
5,5,1981,25.9,14.5,0,24.54
6,5,1981,25.51,13.78,0,22.8
7,5,1981,24.87,14.06,0,21.38
8,5,1981,23.58,13.33,0,20.51
9,5,1981,24.88,13.89,0,21.58
10,5,1981,24.68,14.59,0,21.57
11,5,1981,24.59,13.36,0,20.41
12,5,1981,23.27,13.69,13.01,18.79
13,5,1981,23.24,13.51,0,19.61
14,5,1981,23.25,13.57,0,20.64
15,5,1981,24.12,12.62,0,22.88
16,5,1981,23.87,12.86,0,22.3
17,5,1981,23.46,13.12,36.49,20.83
18,5,1981,23.54,13.52,0,19.72
19,5,1981,23.51,13.01,0,20.38
20,5,1981,23.53,12.61,4.67,21.05
21,5,1981,23.1,13.13,0,20.28
22,5,1981,23.05,13.55,0,19.85
23,5,1981,23.75,12.96,0,21.7
24,5,1981,22.55,14.65,12.17,17.44
25,5,1981,22.9,13.16,8.06,19.3
26,5,1981,23.75,12.94,3.96,21.47
27,5,1981,23.62,13.07,0,22.14
28,5,1981,24.31,12.85,0,21.77
29,5,1981,23.57,13.5,5.59,19.95
30,5,1981,23.1,13.49,0,18.09
31,5,1981,23.66,13.27,0,20.99
1,6,1981,24.15,13.29,0,21.67
2,6,1981,23.13,14.34,0.78,19.77
3,6,1981,22.27,13.85,8.57,17.79
4,6,1981,22.46,13.06,11.29,18.15
5,6,1981,21.89,14.64,0,16.84
6,6,1981,22.1,14.12,5.3,17.99
7,6,1981,22.12,13.78,0,17.71
8,6,1981,22.11,13.33,5.24,18.48
9,6,1981,22.2,12.96,0,18.69
10,6,1981,21.79,12.4,0,17.62
11,6,1981,22.68,12.95,3.78,20.29
12,6,1981,22.02,12.7,0,19.35
13,6,1981,21.5,13.35,4.98,17.34
14,6,1981,21.2,13.07,0,17.26
15,6,1981,22.12,11.87,0,19.09
16,6,1981,22.19,13.02,7.07,19.2
17,6,1981,21.75,13.01,0,17.63
18,6,1981,22.54,12.84,6.99,19.35
19,6,1981,22.86,13.73,7.57,19.76
20,6,1981,22.25,13.83,0,18.89
21,6,1981,21.27,14.32,3.66,16.75
22,6,1981,21.88,13.48,0,18.95
23,6,1981,22.26,12.41,8.12,19.14
24,6,1981,22.49,12.99,22.16,19.52
25,6,1981,21.75,14.08,13.88,17.06
26,6,1981,20.95,13.57,5.38,17.62
27,6,1981,21.44,12.86,14.26,18.54
28,6,1981,20.78,13.58,0,16.09
29,6,1981,21.48,12.72,6.26,18.39
30,6,1981,21.1,12.17,8.73,18.19
1,7,1981,21.26,12.74,9.08,17.08
2,7,1981,21.01,13.75,21.01,17.57
3,7,1981,20.96,13.73,0,16.43
4,7,1981,20.65,13.35,0,17.06
5,7,1981,20.97,12.56,0,17.95
6,7,1981,21.21,12.76,0,18.42
7,7,1981,21.18,12.66,0,17.78
8,7,1981,20.63,13.3,0,16.85
9,7,1981,21.04,12.15,40.59,17.82
10,7,1981,20.6,12.7,2.61,16.63
11,7,1981,19.91,13.42,4.43,14.79
