day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.47,16.51,0.55,18.24
2,1,1981,28.39,16.25,0,19.17
3,1,1981,28.5,17.44,0,19.28
4,1,1981,28.54,17.06,0,18.17
5,1,1981,29.19,16.38,0,20.72
6,1,1981,28.43,17.34,0,18.74
7,1,1981,28.01,17.17,0,19.45
8,1,1981,28.92,16.91,0,19.87
9,1,1981,28.03,17.42,0,18.59
10,1,1981,29.27,16.14,0,20.23
11,1,1981,29.29,16.39,0,19.97
12,1,1981,29.91,16.99,0,19.44
13,1,1981,29.19,17.19,0,18.31
14,1,1981,29.47,17.24,0,18.28
15,1,1981,29.97,17.23,0,19.35
16,1,1981,30.29,17.16,0,19.95
17,1,1981,29.94,18.05,0,18.82
18,1,1981,29.97,17.83,0,19
19,1,1981,30.01,17.04,0,19.17
20,1,1981,30.63,17.16,0,21.72
21,1,1981,29.08,18.4,0,18.65
22,1,1981,29.01,17.63,0,18.94
23,1,1981,29.25,18.2,0,19.29
24,1,1981,29.04,18.22,0,19.08
25,1,1981,29.78,17.72,0,19.75
26,1,1981,29.28,17.48,0,18.71
27,1,1981,29.21,17.24,0,20.28
28,1,1981,30.09,16.9,0,21.7
29,1,1981,29.69,17.2,0,20.57
30,1,1981,29.35,17.55,5.36,20.32
31,1,1981,30.19,17.37,0,21.5
1,2,1981,30.11,17.34,0,21.26
2,2,1981,30.64,17.48,0,22.63
3,2,1981,31.34,16.52,0,23.5
4,2,1981,31.13,16.99,0,20.94
5,2,1981,30.99,17.11,0,21.23
6,2,1981,31.34,17,0,22.3
7,2,1981,30.42,16.94,0,19.93
8,2,1981,30.6,16.85,0,19.92
9,2,1981,29.58,18.48,0,18.38
10,2,1981,30.51,17.6,0,21.54
11,2,1981,30.53,16.47,0,20.29
12,2,1981,30.65,15.71,0,22.84
13,2,1981,31,16.3,0,23.77
14,2,1981,31.24,16.69,0,23.98
15,2,1981,31.01,16.55,0,23.66
16,2,1981,31.41,16.71,0,23.78
17,2,1981,31.11,16.58,0,23.89
18,2,1981,31.69,16.76,0,24.04
19,2,1981,32.01,17.7,0,23.36
20,2,1981,31.68,18.43,0,22.02
21,2,1981,32.61,19.15,0.71,23.04
22,2,1981,32.43,18.97,0,21.92
23,2,1981,32.21,19.07,0,20.9
24,2,1981,31.39,19.26,1.7,19.94
25,2,1981,32.23,19.12,0,21.47
26,2,1981,31.29,18.23,1.13,21.48
27,2,1981,29.78,18.72,3.66,18.29
28,2,1981,30.7,17.96,0,20.16
1,3,1981,31.84,17.82,0,20.88
2,3,1981,31.53,19.25,0,21.83
3,3,1981,31.65,18.29,0,22.27
4,3,1981,30.92,17.46,0,22.22
5,3,1981,31.54,17.57,0,23.85
6,3,1981,31.71,17.6,0,24.23
7,3,1981,32.09,17.64,0,24.25
8,3,1981,30.28,18.29,0,19.79
9,3,1981,28.95,17.48,0,19.32
10,3,1981,29,17.68,0,17.56
11,3,1981,29.42,18.85,0,19.94
12,3,1981,30.27,18.22,2.63,20.14
13,3,1981,26.97,18.2,5,15.39
14,3,1981,29.05,17.98,7.21,19.67
15,3,1981,30.44,17.59,6.64,22.3
16,3,1981,30.74,16.7,8.13,24.95
17,3,1981,30.84,17.37,0,24.75
18,3,1981,29.41,18.3,0,20.54
19,3,1981,28.53,18.28,0,18.82
20,3,1981,28.12,18.33,0,18.48
21,3,1981,28.75,17.52,0,20.04
22,3,1981,29.01,17.3,4.69,20.03
23,3,1981,28.35,17,0,20.08
24,3,1981,28.23,17.86,0.12,17.87
25,3,1981,25.42,17.83,11.66,15.21
26,3,1981,27.67,17.21,6.76,17.88
27,3,1981,27.18,16.66,7.27,17.93
28,3,1981,28.26,18.07,1.22,21.33
29,3,1981,27.04,17.77,0.5,18.68
30,3,1981,29.77,17.86,3.31,22.87
31,3,1981,29.72,18.39,0,24.56
1,4,1981,29.59,16.53,0,25.37
2,4,1981,29.82,16.06,0,25.29
3,4,1981,30.31,16.23,0,25.58
4,4,1981,30.78,16.58,0,25.63
5,4,1981,30.8,16.39,0,25.68
6,4,1981,30.82,16.87,0,25.14
7,4,1981,31.35,17.22,0,24.86
8,4,1981,31.6,17.25,0,25.75
9,4,1981,31.52,17.8,0,25.01
10,4,1981,31.98,17.36,0,25.46
11,4,1981,32.18,17.53,0,25.67
12,4,1981,31.65,17.5,0,25.4
13,4,1981,31.64,16.6,0,25.93
14,4,1981,32,17.24,0,25.75
15,4,1981,31.97,18.18,0,24.43
16,4,1981,32.38,18.01,0,25.44
17,4,1981,32.75,17.55,0,25.91
18,4,1981,31.87,19.12,0,22.45
19,4,1981,29.39,19.06,0,19.21
20,4,1981,30,17.77,1.29,20.31
21,4,1981,28.87,17.59,0,19.32
22,4,1981,27.3,17.33,3.94,18.46
23,4,1981,27.61,16.7,3.81,19.97
24,4,1981,27.03,16.51,6.47,20.24
25,4,1981,27.69,17.08,7.64,21.74
26,4,1981,27.78,16.9,11.92,21.73
27,4,1981,28.02,17.06,7.35,20.46
28,4,1981,28.99,17.08,0,21.86
29,4,1981,29.26,17.7,0,21.9
30,4,1981,28.32,17.75,0,20.74
1,5,1981,26.67,17.25,0,19.88
2,5,1981,28.63,17.19,2.73,21.46
3,5,1981,28.51,16.86,0,22.15
4,5,1981,28.95,17.07,0,23.2
5,5,1981,28.09,16.97,11.44,21.84
6,5,1981,27.57,17.09,5.63,21.51
7,5,1981,27.02,16.92,7.19,19.42
8,5,1981,25.87,16.94,1.91,18.73
9,5,1981,27.8,17.37,5.92,21.79
10,5,1981,26.49,16.88,10.65,18.81
11,5,1981,27.11,16.83,11.05,18.59
12,5,1981,24.03,17.08,17.78,13.42
13,5,1981,27.4,16.64,6.68,20.7
14,5,1981,25.92,16.92,12.48,18.68
15,5,1981,26.03,16.94,11.65,17.92
16,5,1981,26.67,16.76,8.7,21.37
17,5,1981,26.39,16.26,19.59,20.71
18,5,1981,25.9,16.68,7.67,18.75
19,5,1981,26.89,16.64,10.4,21.54
20,5,1981,26.51,16.69,12.54,20.94
21,5,1981,26.61,16.38,11.61,19.71
22,5,1981,26.86,17.42,8.91,21.05
23,5,1981,26.3,16.29,8.52,19.61
24,5,1981,26.06,16.67,16.06,18.42
25,5,1981,26.01,16.45,32.6,19.83
26,5,1981,26.44,16.4,5.31,19.72
27,5,1981,26.87,15.76,5.28,20.82
28,5,1981,26.37,15.97,5.06,20.67
29,5,1981,26.38,15.91,0,20.87
30,5,1981,26.25,17.1,2.83,19.73
31,5,1981,25.02,16.7,5.09,17.03
1,6,1981,26.42,16.54,5.48,20.58
2,6,1981,26.45,16.22,6.49,20.91
3,6,1981,24.33,16.43,6.91,15.94
4,6,1981,25.87,15.74,5.3,20.19
5,6,1981,25.02,16.08,3.02,18.28
6,6,1981,25.64,16.01,5.07,19.5
7,6,1981,25.8,16.24,8.07,20.05
8,6,1981,25.61,16.36,22.35,20.17
9,6,1981,25.87,16.3,10.46,20.08
10,6,1981,25.34,16.04,6.66,19.4
11,6,1981,25.61,15.51,4.74,20.07
12,6,1981,25.42,16.03,5.88,19.41
13,6,1981,24.8,15.66,7.29,19.72
14,6,1981,24.27,15.63,11.94,18.77
15,6,1981,24.81,15.41,5.42,19.34
16,6,1981,24.72,15.29,19.06,20.12
17,6,1981,25.42,15.78,7.29,20.47
18,6,1981,25.91,15.71,5.1,20.58
19,6,1981,25.6,15.73,10.58,20.06
20,6,1981,24.66,15.93,7.01,18
21,6,1981,23.98,15.61,7.55,17.92
22,6,1981,24.85,14.92,4.03,20.21
23,6,1981,25.32,15.49,1.73,20.58
24,6,1981,25.11,15.42,2.28,18.72
25,6,1981,23.49,15.58,20.66,16.57
26,6,1981,23.6,15.66,11.52,16.47
27,6,1981,24.5,14.65,7.9,19.74
28,6,1981,23.47,15.36,10.18,17.42
29,6,1981,24.15,15.89,17.77,18.61
30,6,1981,25.37,15.03,16.87,20.21
1,7,1981,24.59,15.23,0.86,18.57
2,7,1981,24.28,16.06,18.79,18.38
3,7,1981,23.75,16,0,17.2
4,7,1981,23.59,15.62,13.88,16.2
5,7,1981,23.95,15.75,9.28,18.96
6,7,1981,24.44,15.76,7.81,20.55
7,7,1981,23.1,15.29,7.71,17.33
8,7,1981,22.52,15.39,12.17,16.13
9,7,1981,23.73,15.27,8.02,18.13
10,7,1981,22.94,14.98,8.59,16.67
11,7,1981,22.18,15.67,7.96,14.19
12,7,1981,24.11,14.67,8.51,20.83
13,7,1981,23.64,14.81,5.87,20.49
14,7,1981,24.57,15.51,8.36,19.1
15,7,1981,24.01,15.56,20.3,19.59
16,7,1981,22.92,15.49,2.2,16.95
17,7,1981,21.36,15.05,7,12.85
18,7,1981,23.56,15.16,0.13,18.82
19,7,1981,22.95,15.34,5.23,16.58
20,7,1981,22.14,15.22,6.88,14.79
21,7,1981,23.37,15.29,10.17,17.75
22,7,1981,24.1,15.11,13.52,19.63
23,7,1981,23.66,15.96,9.64,18.95
24,7,1981,23.43,15.3,7.81,16.75
25,7,1981,22.79,15.32,25.53,14.98
26,7,1981,22.6,15.6,14.56,15.65
27,7,1981,23,15.34,5.29,18.43
28,7,1981,23.22,14.71,5.34,19.88
29,7,1981,23.86,14.88,11.76,19.13
30,7,1981,23.99,15.15,7.86,18.31
31,7,1981,23.8,14.93,10.66,18.83
1,8,1981,23.31,14.73,5.36,18.51
2,8,1981,24.66,14.87,16.58,21.13
3,8,1981,24.05,15.03,11.02,18.11
4,8,1981,23.42,16.02,14.86,17.54
5,8,1981,24.02,15.57,9.08,18.78
6,8,1981,23.63,15.65,9.16,18.12
7,8,1981,24.36,15.49,2.64,19.78
8,8,1981,21.79,15.32,3.46,12.92
9,8,1981,24.45,14.71,4.18,20.76
10,8,1981,24.63,15.23,3.99,19.81
11,8,1981,24.53,15.53,9.87,20.78
12,8,1981,24.33,15.49,8.44,19.06
13,8,1981,23.87,15.62,9.51,18.64
14,8,1981,22.93,15.5,8.59,17
15,8,1981,24.55,14.3,6.56,20.67
16,8,1981,24.36,15.16,23.72,20.03
17,8,1981,22.53,15.56,23.83,15.64
18,8,1981,24.1,15.03,6.07,19.38
19,8,1981,24.4,14.91,5.51,20.02
20,8,1981,23.3,15.1,21.47,18.96
21,8,1981,21.87,15.44,5.06,15.56
22,8,1981,23.44,15.2,0.27,18.89
23,8,1981,24.05,14.81,5.45,21.02
24,8,1981,23.77,14.98,5.72,19.39
25,8,1981,23.22,15.21,3.42,18.23
26,8,1981,24.22,14.67,26.09,21.05
27,8,1981,24.65,14.98,11.88,22.01
28,8,1981,24.5,14.95,11.47,21.11
29,8,1981,24.69,14.91,6.39,21.13
30,8,1981,24.77,15.27,5.82,21.57
31,8,1981,23.29,14.58,11.67,18.7
1,9,1981,23.59,15.28,8.14,18.77
2,9,1981,24.22,15.15,6.6,20.84
3,9,1981,23.82,15.22,8.31,19.92
4,9,1981,23.76,15.06,23.68,20.01
5,9,1981,23.86,15.04,10.5,21.05
6,9,1981,24.2,14.68,17.67,20.24
7,9,1981,24.12,14.87,6.44,19.6
8,9,1981,23.57,14.7,15.95,18.94
9,9,1981,24.01,14.88,13.03,19.9
10,9,1981,24.05,15.26,9.08,21.35
11,9,1981,24.06,14.82,7.55,19.71
12,9,1981,22.97,14.96,8.74,16.4
13,9,1981,24.62,14.69,3.64,21.92
14,9,1981,24.62,15.52,4.14,20.77
15,9,1981,24.26,15.48,8.79,20.85
16,9,1981,24.28,15.17,0.94,19.48
17,9,1981,24.01,15.65,2.89,17.49
18,9,1981,22.55,15.82,3.94,15.6
19,9,1981,24.02,14.76,12.21,20.56
20,9,1981,23.32,15.35,7.79,16.6
21,9,1981,25.15,14.59,5.64,22.1
22,9,1981,24.5,15.45,19.12,19.71
23,9,1981,25.21,15.49,0,21.65
24,9,1981,25.16,15.69,12.45,20.75
25,9,1981,22.77,15.71,7,16.13
26,9,1981,24.07,15.74,9.47,17.34
27,9,1981,24.91,15.31,11.2,19.67
28,9,1981,25.28,14.87,5.87,21.41
29,9,1981,25.35,15.57,7.48,21.56
30,9,1981,25.28,15.17,6.01,21.29
1,10,1981,25.63,15.45,8.76,21.26
2,10,1981,25.05,15.78,11.68,20.63
3,10,1981,25.56,15.44,12.01,21.16
4,10,1981,24.97,15.4,13.87,20.39
5,10,1981,25.02,15.7,8.8,19.96
6,10,1981,25.4,15.49,8.73,21.56
7,10,1981,25.8,15.58,7.52,21.61
8,10,1981,26.13,16.15,8.98,22.16
9,10,1981,24.83,15.44,2.52,19.57
10,10,1981,25.16,15.5,6.08,19.96
11,10,1981,25.13,15.22,3.54,20.6
12,10,1981,25.12,15.13,3.42,20.95
13,10,1981,24.94,15.07,0,19.98
14,10,1981,25.27,15.14,0,21.33
15,10,1981,25.97,14.99,0,21.37
16,10,1981,25.85,15.1,0,21.94
17,10,1981,26.04,15.23,0,21.37
18,10,1981,26.1,15.13,0,21.43
19,10,1981,26.56,15.1,0,23.63
