day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.75,12.51,0,23.01
2,1,1981,24.5,14.35,1.25,22.19
3,1,1981,25.63,13.26,0,23.66
4,1,1981,25.06,13.82,3.11,23.11
5,1,1981,25.52,14.66,2.94,23.18
6,1,1981,24.19,13.55,0,22.24
7,1,1981,24.5,13.49,0,24.11
8,1,1981,24.47,12.48,0,24.42
9,1,1981,24.94,12.89,0,24.34
10,1,1981,25.23,13.56,0,24.16
11,1,1981,25.7,14.03,0,24.22
12,1,1981,25.16,14.42,0,23.1
13,1,1981,25.13,13.45,0,23.83
14,1,1981,24.75,13.58,0,23.57
15,1,1981,24.7,13.21,0,23.41
16,1,1981,24.85,12.87,0,24.02
17,1,1981,25.77,14.48,0,24.42
18,1,1981,25.89,14.01,0,24.39
19,1,1981,25.9,14.02,0,24.58
20,1,1981,25.76,13.25,0,24.73
21,1,1981,25.82,14.41,0,24.18
22,1,1981,25.37,14.78,0,23.38
23,1,1981,25.45,14.28,0,22.76
24,1,1981,25.73,14.69,0,23.8
25,1,1981,26.39,14.39,0,24.72
26,1,1981,26.5,14.05,0,25.15
27,1,1981,26.43,13.58,0,25.2
28,1,1981,26.03,13.4,0,25.18
29,1,1981,25.34,12.28,0,25.01
30,1,1981,24.91,12.77,0,24.93
31,1,1981,25.09,12.66,0,25.51
1,2,1981,24.99,10.54,0,25.49
2,2,1981,25.55,11.27,0,25.4
3,2,1981,25.79,11.29,0,25.44
4,2,1981,26.03,11.65,0,25.37
5,2,1981,25.63,12.61,0,24.76
6,2,1981,26.44,13.31,0,25.38
7,2,1981,25.93,13.43,0,25.7
8,2,1981,26.43,14.14,0,25.51
9,2,1981,26.07,13.27,0.48,23.75
10,2,1981,25.83,16.26,0.64,22.23
11,2,1981,24.55,16.46,1,21.4
12,2,1981,24.68,15.94,1.19,21.29
13,2,1981,24.97,16.01,1,21.24
14,2,1981,25.07,14.95,13.69,22.31
15,2,1981,25.36,14.58,0,23.64
16,2,1981,24.35,15.43,0.07,20.76
17,2,1981,24.96,16,7.69,21.51
18,2,1981,25.32,16.46,0.57,22.25
19,2,1981,26.12,16.15,0,23.12
20,2,1981,26.53,16.06,0,23.84
21,2,1981,27.13,15.34,0,24.57
22,2,1981,27.23,15.24,0,24.54
23,2,1981,28.08,15.22,0,25.64
24,2,1981,28.01,15,0.38,25.25
25,2,1981,27.77,15.35,0,25.06
26,2,1981,26.93,14.81,0,25.02
27,2,1981,26.94,15.22,0,24.58
28,2,1981,27.12,16.67,0,24.32
1,3,1981,27.5,16.66,0,24.94
2,3,1981,27.05,16.52,4.33,22.41
3,3,1981,25.41,17.58,37.89,19.6
4,3,1981,23.94,17.91,1,20.46
5,3,1981,24.18,17.14,1.57,20.45
6,3,1981,24.63,17.55,4.05,21.61
7,3,1981,24.72,16.35,0,22.16
8,3,1981,25.15,14.93,0,24.25
9,3,1981,25.35,15.81,0,24.19
10,3,1981,25.73,16.82,0.97,23.79
11,3,1981,25.11,16.9,0,22.23
12,3,1981,24.33,16.54,3.77,22.03
13,3,1981,25.14,17.08,5.94,21.65
14,3,1981,24.84,17.33,0,21.35
15,3,1981,24.42,17.26,7.74,21.12
16,3,1981,24.05,17.9,2.5,18.67
17,3,1981,24.88,16.87,0,22.2
18,3,1981,24.92,16.66,17.15,21.87
19,3,1981,23.79,16.25,7.7,20.52
20,3,1981,24.64,16.31,4.72,23.37
21,3,1981,23.42,16.76,32.73,22.42
22,3,1981,24.67,16.22,5.36,22.74
23,3,1981,24.4,17.15,0,20.94
24,3,1981,25.06,17.75,6.46,21.37
25,3,1981,24.34,18.03,3.4,19.7
26,3,1981,23.81,17.22,13.58,20.33
27,3,1981,22.26,17.79,0,17.91
28,3,1981,22.69,17.07,0,18.65
29,3,1981,22.81,17.52,3.19,18.99
30,3,1981,24.31,17.54,6.04,21.01
31,3,1981,24.32,17.49,4.77,20.59
1,4,1981,24.04,17.37,6.78,20.09
2,4,1981,23.6,17.07,9.62,19.96
3,4,1981,24.12,16.98,0,22
4,4,1981,24.51,17.22,0,23.45
5,4,1981,24.32,16.67,0,20.93
6,4,1981,24.4,16.56,0,22.12
7,4,1981,24.98,16.17,1.97,23.22
8,4,1981,25.13,16.92,0,23.21
9,4,1981,25.61,17.56,0,23.7
10,4,1981,25.09,17.31,0,21.74
11,4,1981,24.57,18.23,0,20.85
12,4,1981,23.93,17.74,0,20.75
13,4,1981,24.84,17.61,0,22.16
14,4,1981,25.28,17.2,3.29,22.46
15,4,1981,25.89,17.75,13.28,22.96
16,4,1981,25.78,17.07,0,23.73
17,4,1981,25.65,18.1,0,22.7
18,4,1981,24.61,17.46,0,22
19,4,1981,24.08,16.51,10.23,21.11
20,4,1981,23.86,17.57,2.56,19.96
21,4,1981,23.99,17.37,0,19.65
22,4,1981,24.01,16.97,0,18.11
23,4,1981,23.65,17.68,0,20.38
24,4,1981,23.78,16.61,44.21,20.13
25,4,1981,22.96,17.08,0,20.55
26,4,1981,23.53,16.84,0,21.14
27,4,1981,23.91,16.36,8.66,19.6
28,4,1981,25.5,15.71,0,22.77
29,4,1981,25.22,15.28,0,24.52
30,4,1981,26.38,15.19,0,24.9
1,5,1981,25.82,15.73,0,24.39
2,5,1981,25.18,16.02,0,21.68
3,5,1981,26.12,17.1,2.01,23.33
4,5,1981,24.78,17.43,0,21.16
5,5,1981,25.83,17.69,0,22.11
6,5,1981,26.54,17.28,0,23.3
7,5,1981,25.32,16.85,0,20.98
8,5,1981,25.07,16.24,0,22.69
9,5,1981,25.27,16.58,0,21.5
10,5,1981,24.59,17.51,0,20.94
11,5,1981,25.43,17.48,0,21.49
12,5,1981,24.46,17.38,0,19.53
13,5,1981,25.52,16.48,0,21.78
14,5,1981,26.07,15.7,0,22.72
15,5,1981,25.21,15.72,2.08,23.06
16,5,1981,24.65,15.8,0,22.35
17,5,1981,25.46,15.95,12.49,22.9
18,5,1981,24.32,16.62,0,21.46
19,5,1981,24.07,16.43,0,21.1
20,5,1981,24.53,16.65,0,21.44
21,5,1981,24.39,15.87,0,21.03
22,5,1981,24.3,16.28,0,21.16
23,5,1981,24.59,15.88,0,21.2
24,5,1981,24.93,16.48,1.45,20.88
25,5,1981,24.85,16.25,8.17,20.6
26,5,1981,24.31,15.85,6.25,21.36
27,5,1981,25.19,15.57,0,21.87
28,5,1981,25.28,15.07,0,22.49
29,5,1981,25.38,15.85,0,21.77
30,5,1981,24.8,16.24,0,20.15
31,5,1981,26.1,15.78,0,20.81
1,6,1981,26.09,15.53,0,22.02
2,6,1981,24.9,15.89,0,20.42
3,6,1981,25.03,16.46,0,20.45
4,6,1981,24.95,16.85,0,19.77
5,6,1981,24.73,17.11,0,19.99
6,6,1981,24.91,16.35,1.24,19.87
7,6,1981,24.59,16.56,0,19.31
8,6,1981,24.22,16.62,0,18.26
9,6,1981,23.98,16.28,0,18.57
10,6,1981,24.26,15.65,0,20.04
11,6,1981,24.47,15.75,0,19.74
12,6,1981,24.84,15.64,0,20.48
13,6,1981,24.45,16.31,0,19.68
14,6,1981,23.61,15.89,0,18.94
15,6,1981,24.54,14.9,0,20.9
16,6,1981,24.71,16.15,0,20.09
17,6,1981,23.87,16.94,0,18.5
18,6,1981,24.81,15.65,0.46,20.18
19,6,1981,25.51,16,0,20.68
20,6,1981,25.09,17.02,0,19.42
21,6,1981,24.06,17.29,0.45,19.22
22,6,1981,24.68,16.49,0,19.89
23,6,1981,25.24,16.41,0,20.25
24,6,1981,25.1,15.87,7.25,20.28
25,6,1981,24.02,17.2,15.34,18.47
26,6,1981,24.01,16.98,0,18.45
27,6,1981,24.41,16.08,19.21,19.65
28,6,1981,23.69,16.5,0,17.67
29,6,1981,24.29,16.01,2.63,20.17
30,6,1981,23.64,16.45,0,18.98
1,7,1981,24.05,15.86,0,19.89
2,7,1981,23.04,17.17,9.67,16.92
3,7,1981,21.6,16.45,0,14.46
4,7,1981,22.49,14.68,0,17.12
5,7,1981,22.96,15.65,0,18.32
6,7,1981,23.89,15.56,0,20.11
7,7,1981,23.51,16.29,0,18.97
8,7,1981,22.8,16.11,0,17.53
9,7,1981,23.57,15.87,11.13,18.73
10,7,1981,23.08,16.48,0,18.34
11,7,1981,21.84,16.51,0,16.18
12,7,1981,23.48,15.4,16.82,18.97
13,7,1981,22.66,16.09,10.51,17.63
14,7,1981,23.27,16.35,11.19,18.47
15,7,1981,22.97,15.95,1.66,17.76
16,7,1981,21.75,15.31,0,15.86
17,7,1981,22.13,16.46,0,16.81
18,7,1981,21.9,16.45,0,15.55
19,7,1981,22.08,16.66,8.81,15.27
20,7,1981,21.3,16.3,5.43,13.62
21,7,1981,22.83,16.27,0,17.25
22,7,1981,21.91,16.47,0,15.46
23,7,1981,23.33,16.58,7.9,18.38
24,7,1981,22.49,16.72,0,16.34
25,7,1981,22.63,16.05,0,18.55
26,7,1981,21.84,16.03,8.65,14.61
27,7,1981,22.46,15.67,2.23,19.15
28,7,1981,23.29,15,0,18.96
29,7,1981,23.43,16.4,0,19.05
30,7,1981,20.98,16.42,25.97,13.71
31,7,1981,22.74,16.23,2.92,18.54
1,8,1981,24,16.67,0,19.81
2,8,1981,23.88,16.66,7.72,18.38
3,8,1981,23.02,16.6,15.48,17.65
4,8,1981,22.66,16.49,1.03,17.69
5,8,1981,23.19,16.86,0,18.47
6,8,1981,22.81,17.18,19.6,16.07
7,8,1981,22.18,17.21,0,14.46
8,8,1981,22.94,16.92,0,17.79
9,8,1981,23.27,16.1,0,20.66
10,8,1981,23.94,16.47,0,19.9
11,8,1981,24.41,16.8,1.39,19.59
12,8,1981,22.68,17,14.4,17.12
13,8,1981,21.52,16.64,16.62,15.82
14,8,1981,23.47,16.06,1.15,20.41
15,8,1981,22.87,16.42,9.89,19.15
16,8,1981,22.26,15.59,7.06,20.19
17,8,1981,21.97,15.77,0,18.52
18,8,1981,23.94,15.56,1.94,20.69
19,8,1981,24.26,15.85,0,22.16
20,8,1981,23.07,15.72,0,20.58
21,8,1981,21.97,16.18,9.72,19.39
22,8,1981,21.67,16.29,1.04,19.19
23,8,1981,22.28,15.1,0,19.26
24,8,1981,22.34,15.26,0,19.28
25,8,1981,22.8,15.93,0,20.83
26,8,1981,22.31,15.75,25.97,19.35
27,8,1981,23.11,15.7,0,19.3
28,8,1981,22.67,15.76,0,21.01
29,8,1981,22.23,15.68,0,19.27
30,8,1981,23.48,14.84,3.16,21.24
31,8,1981,22.47,15.25,2.99,18.82
1,9,1981,22.47,15.7,20.25,19.98
2,9,1981,22.69,15.45,0,21.43
3,9,1981,22.36,15.54,0,19.96
4,9,1981,22.47,15.35,0,18.7
5,9,1981,21.34,15.8,0,18.37
6,9,1981,22.46,15.53,15.26,20.9
7,9,1981,22.43,15.86,0,18.74
8,9,1981,21.77,15.84,0,19.9
9,9,1981,22.54,14.91,6.41,20.92
10,9,1981,23.31,15.6,0,20.74
11,9,1981,23.46,14.93,21.88,22.04
12,9,1981,21.93,15.86,1.77,19.23
13,9,1981,23.35,15.19,0,21.46
14,9,1981,22.45,16.53,1.78,19.4
15,9,1981,22.35,15.95,0,19.82
16,9,1981,22.95,15.8,0,20.19
17,9,1981,23.46,16.33,6.68,20.06
18,9,1981,22.26,15.56,0.97,19.55
19,9,1981,22.57,15.88,13.86,19.49
20,9,1981,22.58,16.5,5.25,18.14
21,9,1981,23.43,15.43,0,21.42
22,9,1981,22.82,15.93,6.18,19.8
23,9,1981,24.45,15.98,0,21.42
24,9,1981,23.36,15.55,1.46,20.92
25,9,1981,22.8,17.19,13.85,16.49
26,9,1981,22.48,16.32,9.21,19.29
27,9,1981,23.47,15.81,8.16,21.25
28,9,1981,23.35,16.28,0,21.49
29,9,1981,23.61,14.78,0,21.5
30,9,1981,23.84,15.13,0,22.65
1,10,1981,23.42,16.06,0,20.54
2,10,1981,22.29,16.36,2.2,19.72
3,10,1981,23.94,15.88,7.75,21.23
4,10,1981,23.36,15.54,0,21.35
5,10,1981,23.54,16.46,0,21.47
6,10,1981,23.57,16.03,14.4,21.45
7,10,1981,23.8,16.03,1.71,21.51
8,10,1981,23.71,15.68,0,21.85
9,10,1981,23.51,16.2,0,20.77
10,10,1981,23.94,15.8,0,21.59
11,10,1981,23.99,15.48,0,23.98
12,10,1981,23.59,15.79,0,22.93
13,10,1981,23.79,16.88,0,21.76
14,10,1981,23.81,16.64,0,21.86
15,10,1981,24.07,15.33,0,21.78
16,10,1981,24.49,15.09,0,23.18
17,10,1981,24.41,14.61,0,22.02
18,10,1981,24.44,14.35,0,23.79
19,10,1981,24.65,13.22,0,24.94
20,10,1981,23.81,15.14,0,21.6
21,10,1981,24.13,14.99,0,22.09
22,10,1981,24.13,15.75,0,22.42
23,10,1981,24.21,15.16,0,22.46
24,10,1981,24.39,14.33,0,23.29
25,10,1981,24.24,14.59,0,22.92
26,10,1981,24.38,12.72,0,24.82
27,10,1981,24.13,11.68,0,24.64
28,10,1981,23.96,12.36,0,23.39
29,10,1981,24.99,13.33,0,25.19
30,10,1981,25,13.88,0,24.74
31,10,1981,24.89,14.51,0,23.94
1,11,1981,24.68,15.14,0,22.59
2,11,1981,24.28,16.04,0,22.14
3,11,1981,23.94,14.71,7.09,21.79
4,11,1981,24.03,15.13,1.17,21.5
5,11,1981,24.67,16.21,0,21.82
6,11,1981,24.53,14.68,0,22.06
7,11,1981,24.4,12.99,0,22.49
8,11,1981,23.83,12.32,0,23.93
9,11,1981,24.22,10.97,0,25.07
10,11,1981,24.49,12.93,0,24.28
11,11,1981,25,13.55,0,24.88
12,11,1981,25.06,13.39,0,24.66
13,11,1981,24.58,12.98,0,23.79
14,11,1981,24.5,11.57,0,24.68
15,11,1981,24.53,11.76,0,24.83
16,11,1981,24.38,11.98,0,24.48
17,11,1981,24.38,12.34,0,24.35
18,11,1981,24.36,12.58,0,23.91
19,11,1981,24.37,12.83,0,23.76
20,11,1981,24.59,13.68,0,23.61
21,11,1981,24.09,14.16,0,22.49
22,11,1981,24.21,15.37,0,21.29
23,11,1981,24.23,14.67,0,21.36
24,11,1981,23.67,14.37,0,20.42
25,11,1981,23.77,13.72,0,21.69
26,11,1981,24.43,13.11,0,23.04
27,11,1981,25.07,12.82,0,23.91
28,11,1981,24.4,13,0,24.01
29,11,1981,24.78,12.79,0,24.31
30,11,1981,23.75,10.36,0,24.35
1,12,1981,23.94,11.05,0,23.72
2,12,1981,24.57,13.6,0,23.22
3,12,1981,24.07,11.49,0,23.43
4,12,1981,24.2,11.76,0,24.04
5,12,1981,24.66,12.91,0,23.93
6,12,1981,24.85,12.08,0,21.38
7,12,1981,24.27,14.48,0,19.08
8,12,1981,24.45,13.77,0,22.71
9,12,1981,24.51,11.11,0,24.05
10,12,1981,24.25,10.98,0,24.19
11,12,1981,24.74,11.35,0,24.21
12,12,1981,24.92,12.16,0,24.15
13,12,1981,24.73,11.44,0,24.05
14,12,1981,24.81,11.59,0,23.8
15,12,1981,25.36,12.15,0,23.74
16,12,1981,24.82,12.81,0,23.08
17,12,1981,25.17,13.25,0,22.37
18,12,1981,24.44,13.34,0,21.73
19,12,1981,24.05,14.13,0,21.71
20,12,1981,24.04,14.57,0,22.07
21,12,1981,23.5,15.11,0,19.41
22,12,1981,24.29,13.37,0,22.39
23,12,1981,24.58,13.15,0,22.86
24,12,1981,24.82,13.01,0,23.37
25,12,1981,25.41,13.61,0,23.11
26,12,1981,24.79,13.7,0.02,22.26
27,12,1981,24.66,13.6,0.02,22.97
28,12,1981,24.84,14.81,0.02,22.53
29,12,1981,25.42,14.71,0.02,22.7
30,12,1981,25.06,14.57,1.69,22.02
31,12,1981,24.83,14.76,2.71,20.82
1,1,1982,24.32,15.93,14.52,20.06
2,1,1982,23.64,16.72,0,19.05
3,1,1982,23.6,16.18,0,18.79
4,1,1982,23.63,14.87,0,19.49
5,1,1982,24.06,15.4,0,22.39
6,1,1982,23.89,15.24,5.09,21.3
7,1,1982,24.66,13.41,0,22.94
8,1,1982,24.21,12.65,0,22.61
9,1,1982,24.55,13.47,0,23.06
10,1,1982,24.31,14.43,0,22.06
11,1,1982,24.41,13.24,22.6,23.18
12,1,1982,24.59,14.1,0,22.77
13,1,1982,24.47,15.07,0,22.35
14,1,1982,23.63,15.39,0,20.9
15,1,1982,23.76,16.05,0,20.93
16,1,1982,22.12,15.76,0,18.26
17,1,1982,23.55,16.14,0,20.71
18,1,1982,22.99,15.17,0,19.97
19,1,1982,23.21,13.7,0,22.17
20,1,1982,23.29,13.46,0,20.86
21,1,1982,24.04,14.09,0,22.98
22,1,1982,24.05,13.9,0,23.49
23,1,1982,24.5,13.09,0,23.26
24,1,1982,24.91,13.03,0,23.95
25,1,1982,24.63,13.13,0,23.93
26,1,1982,25.29,13.07,0,24.02
27,1,1982,25.62,13.39,0,24.54
28,1,1982,26.27,13.87,0,24.87
29,1,1982,26.95,13.54,0,25.08
30,1,1982,25.28,13.37,0.25,23.93
31,1,1982,25.66,14.11,0,24.12
1,2,1982,26.07,13.55,0,24.28
2,2,1982,25.08,13.3,0,23.74
3,2,1982,25.17,14.7,0,22.87
4,2,1982,25.06,14.04,0,22.83
5,2,1982,25.16,14.67,0,23.48
6,2,1982,24.36,15.01,0,21.73
7,2,1982,24.27,14.72,0,21.31
8,2,1982,25.05,15.01,0,23.06
9,2,1982,24.16,15.14,0,21.38
10,2,1982,23.89,14.46,0,21.85
11,2,1982,25.61,14.82,0,22.96
12,2,1982,24.29,15.23,0,21.24
13,2,1982,22.85,16.67,0,17.11
14,2,1982,24.78,16.56,0,21.06
15,2,1982,23.28,16.41,25.72,18.48
16,2,1982,23.41,15.28,11.74,21.88
17,2,1982,23.76,16.25,0,21.04
18,2,1982,24.17,16.77,0,20.54
19,2,1982,23.94,15.53,0,21.46
20,2,1982,25.58,16.3,0,24.09
21,2,1982,25.45,14.92,0,24.8
22,2,1982,25.51,14.59,0,24.9
23,2,1982,26.53,14.24,0,25.47
24,2,1982,25.73,15.07,0,24.24
25,2,1982,25.93,16.29,0,24.61
26,2,1982,25.62,15.05,0,21.45
27,2,1982,24.47,15.84,3.97,21.35
28,2,1982,26.27,15.57,6.08,24.05
1,3,1982,25.95,16.72,0,23.13
2,3,1982,26.02,16.03,5.82,23.51
3,3,1982,25.4,16.07,0,22.57
4,3,1982,24.15,16.38,5.82,20.46
5,3,1982,24.47,16.59,0,20.69
6,3,1982,24.53,15.8,0,23.19
7,3,1982,25.24,15.41,0,23.22
8,3,1982,25.04,14.53,0,23.99
9,3,1982,25.67,15.85,0,23.9
10,3,1982,27.1,14.92,0,25.45
11,3,1982,27.92,14.6,0,25.85
12,3,1982,26.8,13.67,0,26.06
13,3,1982,26.66,14.7,0,25.05
14,3,1982,26.55,15.26,0,25.18
15,3,1982,27.17,14.44,0,24.33
