day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,16.65,6.62,0,20.87
2,1,1981,17.24,6.62,7.41,22.08
3,1,1981,17.46,6.7,0,22.52
4,1,1981,17.72,6.53,1.46,22.58
5,1,1981,17.96,6.16,0,23.17
6,1,1981,17.07,6.16,0,20.84
7,1,1981,17.26,5.87,0,23.58
8,1,1981,17.51,5.83,0,24.39
9,1,1981,17.33,5.58,0,24.59
10,1,1981,17.23,5.7,0,23.82
11,1,1981,17.55,5.82,0,23.94
12,1,1981,17.27,6.03,0,21.76
13,1,1981,17.74,6.33,0,23.29
14,1,1981,18.07,6.27,0,21.67
15,1,1981,18.12,6.5,0,22.66
16,1,1981,17.7,6.13,0,24.07
17,1,1981,17.97,5.64,0,24.71
18,1,1981,18.04,5.92,0,23.88
19,1,1981,18.06,5.74,0,25.29
20,1,1981,18.15,5.82,0,25.05
21,1,1981,18.08,6.58,0,23.34
22,1,1981,18.05,7.31,0,22.21
23,1,1981,18.14,6.69,0,22.49
24,1,1981,18.36,6.07,0,24.15
25,1,1981,18.75,6.41,0,25.16
26,1,1981,18.34,5.74,0,25.44
27,1,1981,18.53,5.46,0,26.04
28,1,1981,18.71,5.86,0,26.21
29,1,1981,18.29,5.89,0,25.34
30,1,1981,18.26,6.31,0,24.39
31,1,1981,18.34,5.78,0,25.86
1,2,1981,17.68,5.79,0,26.37
2,2,1981,17.9,6.19,0,25.78
3,2,1981,18.33,6.11,0,26.34
4,2,1981,18.37,5.76,0,25.79
5,2,1981,18.26,5.99,0,24.98
6,2,1981,18.54,5.89,0,25.85
7,2,1981,18.37,5.6,0,26.4
8,2,1981,18.52,5.62,0,26.39
9,2,1981,17.32,6.97,0,22.96
10,2,1981,17.52,8.25,0,21.94
11,2,1981,16.72,8.77,7.74,19.45
12,2,1981,16.41,7.9,11.91,19.41
13,2,1981,15.43,7.85,1.77,16.75
14,2,1981,16.3,7.09,1.41,18.23
15,2,1981,17.25,7.72,7.66,20.23
16,2,1981,15.08,7.89,0,16.19
17,2,1981,16.53,7.55,5.22,17.97
18,2,1981,16.4,7.84,3.86,19.96
19,2,1981,17.35,7.53,0,22.35
20,2,1981,17.71,6.35,0,24
21,2,1981,17.97,6.4,0,24.73
22,2,1981,18.28,6.39,0,24.97
23,2,1981,18.58,6.1,0,26.19
24,2,1981,18.82,6.07,0.31,25.92
25,2,1981,18.92,6.22,0.69,25.39
26,2,1981,18.63,6.55,0,25.58
27,2,1981,18.41,6.14,0,24.69
28,2,1981,18.26,7.24,0,23.43
1,3,1981,18.17,7.04,0,23.14
2,3,1981,17.05,8.41,11.35,20.4
3,3,1981,16.53,8.05,0,17.87
4,3,1981,16.52,8.45,6.29,18.51
5,3,1981,15.62,7.62,2.85,19.09
6,3,1981,16.22,8.32,3.47,18.08
7,3,1981,15.78,7.78,0,19.76
8,3,1981,16.83,6.41,0,25.78
9,3,1981,16.45,6.15,0,24.5
10,3,1981,16.22,6.85,0.78,22.65
11,3,1981,15.02,7.86,8.07,17.62
12,3,1981,15.84,7.05,0.6,21.61
13,3,1981,16.14,7.43,4.62,21.57
14,3,1981,15.42,7.55,0,19.24
15,3,1981,16.24,7.9,0,19.44
16,3,1981,15.56,8.59,0,15.47
17,3,1981,16.26,7.96,1.02,18.69
18,3,1981,15.57,7.95,0.53,18.91
19,3,1981,15.68,8.08,14.26,16.73
20,3,1981,15.74,7.83,25.82,17.9
21,3,1981,15.42,7.72,20.38,18.12
22,3,1981,15.11,7.65,10.62,16.53
23,3,1981,15.03,7.6,9.09,16.71
24,3,1981,15.68,7.72,6.54,19.47
25,3,1981,14.94,8.74,11.27,13.22
26,3,1981,14.64,8.34,2.43,16.66
27,3,1981,15.35,8.39,7.48,16.53
28,3,1981,15.3,7.74,3.31,18.27
29,3,1981,15.87,8.09,6.18,20.01
30,3,1981,16.01,8.16,20.84,19.95
31,3,1981,15.7,8.57,5.17,18.43
1,4,1981,14.99,8.33,0,15.27
2,4,1981,15.72,8.72,0,16.42
3,4,1981,16.66,7.98,0,21.54
4,4,1981,16.73,6.77,9.77,22.5
5,4,1981,15.32,8.26,0,17.85
6,4,1981,16.22,8.01,11.64,19.21
7,4,1981,16.96,7.25,0,23.69
8,4,1981,16.92,7.47,0,22.89
9,4,1981,16.87,7.53,0,21.94
10,4,1981,16.6,8.32,0,18.68
11,4,1981,15.86,8.04,0,17.57
12,4,1981,16.93,8.01,8.53,18.57
13,4,1981,15.5,8.31,2.04,16.65
14,4,1981,15.58,7.81,6.38,19.11
15,4,1981,16.87,8.4,0.84,19.91
16,4,1981,16.53,8.29,0,20.91
17,4,1981,16.57,7.74,0.83,20.78
18,4,1981,15.41,8.91,0,15.87
19,4,1981,15.46,8.33,0.83,16.87
20,4,1981,16.18,8.31,12.56,18.16
21,4,1981,14.37,8.59,6.9,13.85
22,4,1981,14.68,8.18,15.42,14
23,4,1981,15.04,8.34,17.04,16.05
24,4,1981,14.84,7.45,16.59,17.83
25,4,1981,15.72,8.05,0,18.41
26,4,1981,15.88,7.92,0.52,17.43
27,4,1981,15.34,7.38,6.73,16.48
28,4,1981,16.47,7.86,0.63,20.43
29,4,1981,16.68,7.78,0,23.57
30,4,1981,16.76,7.24,0,24.21
1,5,1981,16.64,6.84,0,23.12
2,5,1981,15.94,8.41,0,18.63
3,5,1981,16.3,8.23,13.99,22.08
4,5,1981,15.75,7.59,0,18.16
5,5,1981,16.05,7.63,0.59,20.75
6,5,1981,16.49,8.17,0,22
7,5,1981,16.76,8.33,0,19.5
8,5,1981,16.66,8.18,0,21.47
9,5,1981,16.75,8.27,10.39,19.91
10,5,1981,15.31,8.22,0,14.66
11,5,1981,16.99,7.71,2.58,20.96
12,5,1981,15.3,9.04,0,12.71
13,5,1981,16.37,7.96,0,18.45
14,5,1981,17.21,7.29,0,22.59
15,5,1981,16.79,7.85,9.88,20.78
16,5,1981,16.25,8.25,0,19.58
17,5,1981,17.12,7.8,0,21.64
18,5,1981,16.58,8.1,0,19.59
19,5,1981,17.05,8.1,0,19.73
20,5,1981,17.33,8.14,0,21.27
21,5,1981,17.33,8.15,0,20.85
22,5,1981,17.03,7.93,0,19.65
23,5,1981,16.59,8.25,0,17.37
24,5,1981,15.66,8.69,8.7,17.49
25,5,1981,15.79,8.28,0,17.08
26,5,1981,17.4,8.09,0,20.46
27,5,1981,17.3,7.02,0,21.23
28,5,1981,17.26,7.26,0,22.43
29,5,1981,16.86,7.89,1.45,20.05
30,5,1981,16.58,8.19,0,16.8
31,5,1981,17.01,7.88,0,18.14
1,6,1981,17.21,8.7,0,18.96
2,6,1981,17.72,8.26,0,18.28
3,6,1981,15.69,8.22,0,17.32
4,6,1981,16.29,7.89,0,16.52
5,6,1981,15.95,8.68,0,16.11
