day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.28,8.25,0,22.57
2,1,1981,21.6,8.68,5.13,23.08
3,1,1981,21.81,8.46,0,24.09
4,1,1981,22.08,8.64,2.36,23.9
5,1,1981,22.29,8.15,0,24.04
6,1,1981,21.15,8.37,0,22.44
7,1,1981,21.75,7.69,0,24.9
8,1,1981,21.91,7.79,0,25.32
9,1,1981,21.61,7.64,0,25.35
10,1,1981,21.9,7.87,0,25.07
11,1,1981,22.05,7.77,0,25.12
12,1,1981,21.61,8.06,0,23.06
13,1,1981,22.52,8.45,0,24.75
14,1,1981,22.3,8.48,0,23.43
15,1,1981,22.3,8.69,0,23.87
16,1,1981,22.28,8.32,0,25.22
17,1,1981,22.54,7.61,0,25.68
18,1,1981,22.77,7.94,0,25.36
19,1,1981,22.77,7.67,0,25.95
20,1,1981,22.85,7.7,0,25.97
21,1,1981,22.99,8.62,0,25.18
22,1,1981,22.56,9.36,0,23.84
23,1,1981,22.67,8.58,0,24.13
24,1,1981,22.98,8.03,0,25.16
25,1,1981,23.34,8.69,0,25.96
26,1,1981,23.06,7.91,0,26.46
27,1,1981,23.24,7.39,0,26.77
28,1,1981,23.45,7.85,0,26.81
29,1,1981,22.76,8.1,0,26.36
30,1,1981,22.63,8.1,0,26.03
31,1,1981,22.96,7.28,0,26.84
1,2,1981,22.59,7.68,0,27.01
2,2,1981,22.45,8.08,0,26.74
3,2,1981,22.88,8.02,0,27
4,2,1981,22.84,7.94,0,26.78
5,2,1981,22.71,8.12,0,26.14
6,2,1981,23.22,8.04,0,26.82
7,2,1981,23.14,7.67,0,27.21
8,2,1981,23.37,7.51,0,27.15
9,2,1981,22.32,9.03,0,24.77
10,2,1981,21.68,10.85,0.12,22.02
11,2,1981,20.79,11.42,7.5,20.86
12,2,1981,20.42,10.04,11.59,20.89
13,2,1981,19.83,10.23,3.38,18.6
14,2,1981,20.46,9.79,1.34,21
15,2,1981,21.5,9.29,5.9,23.27
16,2,1981,19.37,9.97,0,18.52
17,2,1981,20.74,9.52,5.21,20.38
18,2,1981,20.81,10.19,3.78,21.62
19,2,1981,21.35,9.27,0,24.3
20,2,1981,22.05,8.61,0,25.32
21,2,1981,22.27,8.56,0,26.12
22,2,1981,22.52,8.63,0,26.13
23,2,1981,23.25,8.36,0,27.25
24,2,1981,23.26,8.08,0.57,26.96
25,2,1981,23.26,8.24,0.11,26.66
26,2,1981,23.1,8.73,0,26.73
27,2,1981,22.52,8.01,0,25.9
28,2,1981,22.19,9.33,0,24.43
1,3,1981,22.41,9.16,0,24.78
2,3,1981,22,10.54,15.98,21.37
3,3,1981,20.62,9.94,1.57,17.8
4,3,1981,21.25,11.18,8.09,18.43
5,3,1981,20.04,9.88,4.93,20.4
6,3,1981,21.79,10.85,3.27,19.65
7,3,1981,20.51,9.94,0,20.7
8,3,1981,21.48,8.48,0,25.58
9,3,1981,21.28,8.12,0,25.17
10,3,1981,21.06,8.93,1.69,24.52
11,3,1981,20.21,9.95,5.7,20.79
12,3,1981,20.5,9.52,3.26,23
13,3,1981,21.56,9.77,5.34,21.94
14,3,1981,20.1,10.14,0,21.05
15,3,1981,22.22,10.52,0.99,20.14
16,3,1981,20.77,11.25,0.75,16.54
17,3,1981,21.71,10.21,1.21,20.71
18,3,1981,20.29,10.02,2.77,20.28
19,3,1981,20.26,9.91,13.64,18.38
20,3,1981,21.11,9.87,22.55,21.13
21,3,1981,21.23,9.99,24,21.32
22,3,1981,20.39,9.37,8.21,21.59
23,3,1981,19.87,9.87,6.98,19.74
24,3,1981,20.68,10.17,5.03,21.12
25,3,1981,20.49,11.25,11.91,16.46
26,3,1981,20.16,10.57,1.91,19.73
27,3,1981,19.91,11.19,6.22,17.47
28,3,1981,21.03,10.24,2.04,18.68
29,3,1981,20.97,11.07,5.87,19.35
30,3,1981,20.93,10.68,21.38,20.6
31,3,1981,21.52,10.93,5.55,19.73
1,4,1981,21.74,10.26,1.54,18.02
2,4,1981,21.27,11.04,0,18.23
3,4,1981,20.99,10.37,0,23.99
4,4,1981,21.36,8.76,3.62,23.79
5,4,1981,20.66,10.77,0,20.29
6,4,1981,20.64,10.57,5.04,22.26
7,4,1981,20.99,9.34,1.19,25.43
8,4,1981,20.9,9.43,0,24.39
9,4,1981,21.12,9.21,0,23.56
10,4,1981,22.1,10.92,0,20.61
11,4,1981,20.14,10.35,0,20.26
12,4,1981,22.61,9.95,8.37,20.26
13,4,1981,20.36,10.11,0,21.26
14,4,1981,21.2,10.01,2.1,21.44
15,4,1981,22.09,10.8,0,22.29
16,4,1981,20.95,10.38,0,22.17
17,4,1981,20.43,9.58,0,22.72
18,4,1981,21.24,11.19,0,19.46
19,4,1981,20.73,10.35,0,19.08
20,4,1981,21.85,10.84,8.65,18.98
21,4,1981,19.47,10.83,1.99,17.01
22,4,1981,19.87,10.5,10.05,15.5
23,4,1981,20.33,10.52,11.51,18.48
24,4,1981,20.13,9.86,16.6,17.99
25,4,1981,20.87,10.53,0.99,18.98
26,4,1981,21.34,10.3,0,19.33
27,4,1981,19.82,9.39,5.9,18.48
28,4,1981,20.9,9.59,0,23.4
29,4,1981,21.31,9.2,0,26.16
30,4,1981,20.6,8,0,26.06
1,5,1981,20.65,8.34,0,25.06
2,5,1981,20.14,10.18,0,21.43
3,5,1981,20.68,9.94,10.53,24.02
4,5,1981,20.31,9.72,0,20.72
5,5,1981,20.56,9.67,0,22.57
6,5,1981,20.81,9.77,0,24.14
7,5,1981,21.16,9.84,0,21.74
8,5,1981,20.86,9.7,0,23.28
9,5,1981,21.01,9.67,6.41,22.64
10,5,1981,19.61,9.49,0,19.26
11,5,1981,20.61,9.68,0.89,21.94
12,5,1981,19.75,10.91,0,17.33
13,5,1981,20.42,9.49,0,21.72
14,5,1981,21.35,8.56,0,24.42
15,5,1981,21.03,8.86,7.64,23.89
16,5,1981,20.16,9.54,0,22.17
17,5,1981,21.12,8.94,0,24.01
18,5,1981,21.11,9.36,0,22.01
19,5,1981,21.69,9.59,0,22.29
20,5,1981,21.75,9.5,0.18,23.76
21,5,1981,21.23,9.36,0,22.82
22,5,1981,20.52,9.46,0,21.6
23,5,1981,20.1,9.27,0,20.13
24,5,1981,20.59,10.16,5.35,19.92
25,5,1981,19.76,9.47,0,20.03
26,5,1981,21.09,9.08,0,22.45
27,5,1981,21,8.64,0,23.2
28,5,1981,20.41,8.45,0,23.7
29,5,1981,20.23,8.75,0.83,21.66
30,5,1981,21.18,9.67,0,19.25
31,5,1981,21.02,9.15,0,21.03
1,6,1981,21.37,9.75,0,22.72
2,6,1981,21.44,8.97,0,21.31
3,6,1981,19.85,9.22,0,19.88
4,6,1981,20.73,9.49,0,19.03
5,6,1981,19.39,10.44,0,19.5
6,6,1981,20.37,9.65,0.62,20.78
7,6,1981,21.2,9.91,0,18.35
8,6,1981,19.86,10.27,0,18.35
9,6,1981,19.87,9.31,0,18.69
10,6,1981,20.47,8.7,0,20.3
11,6,1981,20.99,8.71,0,20.93
12,6,1981,20.83,9.09,0,20.68
13,6,1981,19.67,9.32,0,19.65
14,6,1981,18.61,9.03,0,18.91
15,6,1981,19.49,8.52,0,21.87
16,6,1981,20.53,9.17,0,20.2
17,6,1981,19.53,9.56,0.73,18.8
18,6,1981,20.48,9.16,0,21.01
19,6,1981,21.04,9.15,0,21.63
20,6,1981,20.74,10.14,0,20.19
21,6,1981,18.95,10.35,0,19.04
22,6,1981,19.34,9.86,0,20.83
23,6,1981,19.71,9.93,0.99,20.64
24,6,1981,19.76,8.73,2.99,20.82
25,6,1981,20.02,10.41,12.04,18.75
26,6,1981,18.4,10.22,0.31,18.61
27,6,1981,20.12,9.48,2.14,20.16
28,6,1981,20.15,9.76,0,18.13
29,6,1981,20.18,9.16,2.07,20.59
30,6,1981,18.3,9.31,16.45,18.63
1,7,1981,18.78,9.03,4.66,19.94
2,7,1981,19.1,10.23,6.03,17.35
3,7,1981,17.79,9.8,0,14.11
4,7,1981,17.43,9.07,0,16.34
5,7,1981,17.93,9.63,0,16.95
6,7,1981,18.7,9.28,0,19.71
7,7,1981,19.09,9.9,0,19.41
8,7,1981,18.09,9.72,0,18.1
9,7,1981,18.43,9.3,8.85,18.6
10,7,1981,18,9.53,0,18.41
11,7,1981,17.03,9.85,6.44,15.75
12,7,1981,18.22,9.06,14.15,19.53
13,7,1981,18.33,9.17,13.55,17.68
14,7,1981,19.16,8.81,14.91,19.27
15,7,1981,18.27,9.5,0.7,17.66
16,7,1981,17.37,9.5,0,15.3
17,7,1981,18.01,9.85,2.44,16.85
18,7,1981,17.65,9.86,2.68,15.31
19,7,1981,17.85,10.04,3.72,14.96
20,7,1981,17.8,10.03,12.67,14.76
21,7,1981,18.35,9.8,0,18.46
22,7,1981,18.11,10.03,14.71,16.79
23,7,1981,19.06,9.78,0,18.85
24,7,1981,17.92,9.95,0.59,17.36
25,7,1981,17.87,10.09,0.64,18.54
26,7,1981,17.07,9.71,5.96,12.4
27,7,1981,18.04,9.22,8.02,18.94
28,7,1981,18.8,9.61,0,19.22
29,7,1981,18.46,10.06,7.29,18.87
30,7,1981,17.04,9.7,10.08,13.48
31,7,1981,18.07,9.39,15.29,17.76
1,8,1981,18.21,10.21,8.54,19.34
2,8,1981,18.05,9.96,8.33,17.96
3,8,1981,18.72,9.85,11.72,17.21
4,8,1981,18.93,9.8,1.46,18.04
5,8,1981,18.49,10.48,3.35,18.49
6,8,1981,18.91,10.78,29.94,15.16
7,8,1981,18.76,10.65,0,13.49
8,8,1981,17.77,9.88,0,17.27
9,8,1981,18.08,9.8,0,21.41
10,8,1981,18.41,9.96,0.72,19.52
11,8,1981,18.57,10.36,13.42,19.41
12,8,1981,17.89,10.32,28.84,16.73
13,8,1981,17.23,10.44,2.79,13.17
14,8,1981,18.79,9.21,11.47,21.64
15,8,1981,19.53,9.78,1.84,20.3
16,8,1981,19.64,9.29,0,21.03
17,8,1981,18.91,9.12,0,18.84
18,8,1981,18.65,9.08,2.23,21.82
19,8,1981,18.37,8.87,0,24.04
20,8,1981,17.77,9.42,7.26,20.41
21,8,1981,17.92,9.57,3.45,19.49
22,8,1981,17.7,9.42,14.49,19.89
23,8,1981,17.94,8.48,0,19.04
24,8,1981,17.55,8.95,0,18.76
25,8,1981,19.9,9.71,0,21.95
26,8,1981,19.34,8.59,8.77,20.92
27,8,1981,19.39,8.58,0,20.35
28,8,1981,18.69,8.64,0,22.28
29,8,1981,18.54,8.36,15.47,20.73
30,8,1981,20.16,8.22,3.03,22.79
31,8,1981,18.47,8.36,13.31,18.45
1,9,1981,18.51,8.37,3.85,20.23
2,9,1981,18.67,8.21,0,22.15
3,9,1981,17.87,8.72,0,20.48
4,9,1981,18.36,8.6,15.96,19.06
5,9,1981,17.43,8.94,0.33,18.04
6,9,1981,18.44,8.5,1.91,21.2
7,9,1981,19.28,9.06,0,19.75
8,9,1981,17.97,9.06,0,19.76
9,9,1981,18.69,9,0,21.96
10,9,1981,18.67,8.7,0.76,21.59
11,9,1981,19.33,8.16,18.23,22.45
12,9,1981,18.17,8.32,1.53,19.74
13,9,1981,18.82,8.07,0,22.11
14,9,1981,17.7,9.04,9.81,18.73
15,9,1981,18.08,9.26,3.7,18.9
16,9,1981,18.49,9.25,0.42,19.75
17,9,1981,19.23,9.76,2.61,19.85
18,9,1981,19.01,9.58,5.02,19.3
19,9,1981,19.04,9.69,28.52,19.97
20,9,1981,19.14,9.88,4.03,18.41
21,9,1981,19.21,8.36,0,23.81
22,9,1981,18.1,9.19,1.21,20.05
23,9,1981,19.6,9.25,0.2,21.9
