day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.43,6.37,0,21.31
2,1,1981,19.73,7.47,5.57,21.92
3,1,1981,20.81,7.17,0,22.69
4,1,1981,20.61,6.97,2.71,22.21
5,1,1981,20.77,7.19,0,23.13
6,1,1981,19.25,6.92,0,20.52
7,1,1981,20.09,6.8,0,24.08
8,1,1981,20.47,6.41,0,24.7
9,1,1981,20.78,6.37,0,24.78
10,1,1981,20.43,6.2,0,23.71
11,1,1981,20.35,6.56,0,23.9
12,1,1981,19.6,7.06,0,21.44
13,1,1981,20.88,7.98,0,22.73
14,1,1981,19.96,7.27,0,21.2
15,1,1981,20.48,7.66,0,22.13
16,1,1981,20.76,6.99,0,23.91
17,1,1981,21.35,6.74,0,24.63
18,1,1981,20.98,7.2,0,23.69
19,1,1981,21.3,7.04,0,25.47
20,1,1981,21.45,6.85,0,25.34
21,1,1981,20.74,6.92,0,23.27
22,1,1981,19.99,8.16,0,21.58
23,1,1981,20.51,8.21,0,21
24,1,1981,21.44,7.27,0,24.1
25,1,1981,22.05,7.33,0,25.5
26,1,1981,21.55,7.01,0,25.54
27,1,1981,22.34,6.61,0,26.25
28,1,1981,22.17,6.34,0,26.44
29,1,1981,20.84,6.7,0,25.25
30,1,1981,19.78,7.08,0,23.6
31,1,1981,20.75,6.39,0,25.7
1,2,1981,21.6,5.87,0,26.62
2,2,1981,21.26,6.33,0,25.89
3,2,1981,22.15,6.29,0,26.58
4,2,1981,22.11,6.33,0,26.09
5,2,1981,21.59,6.72,0,24.67
6,2,1981,22.53,6.77,0,25.81
7,2,1981,21.57,6.48,0,26.77
8,2,1981,21.35,6.69,0,26.39
9,2,1981,20.1,7.18,0,22.32
10,2,1981,20.47,8.89,1.43,22.19
11,2,1981,19.24,9.32,8.77,19.59
12,2,1981,18.61,8.96,10.11,20
13,2,1981,18.05,8.48,1.75,19.18
14,2,1981,19.66,7.16,0,20.87
15,2,1981,19.99,8.52,6.95,21.6
16,2,1981,17.45,8.45,0.34,17.65
17,2,1981,18.94,7.46,5.44,19.87
18,2,1981,18.87,8.56,3.65,20.66
19,2,1981,20.58,7.93,0,22.34
20,2,1981,21.16,7.87,0,23.88
21,2,1981,21.04,7.22,0,24.1
22,2,1981,21.65,7.36,0,24.94
23,2,1981,21.65,7.21,0,25.96
24,2,1981,22.45,7.17,1.92,25.83
25,2,1981,22.37,7.43,0.62,24.88
26,2,1981,22.09,7.41,0,25.3
27,2,1981,21.45,7.49,0,24.76
28,2,1981,21.11,8.88,0,23.7
1,3,1981,21.69,8.35,0,24.13
2,3,1981,20.92,9.58,16.68,21.79
3,3,1981,19.57,9.02,1.93,19.24
4,3,1981,18.67,9.93,7.4,19.32
5,3,1981,17.81,8.44,5.78,20.02
6,3,1981,18.75,9.46,3.98,20.49
7,3,1981,19.2,8.51,0,20.75
8,3,1981,20.37,6.72,0,25.99
9,3,1981,19.63,7.75,0,24.72
10,3,1981,18.87,8.43,1.05,22.49
11,3,1981,18.21,9,5.5,18.29
12,3,1981,18.78,7.99,4.37,21.91
13,3,1981,19.04,8.19,5.69,22.24
14,3,1981,18.66,7.82,0.13,19.78
15,3,1981,18.25,8.85,0.97,20.6
16,3,1981,17.81,9.92,1.13,16.18
17,3,1981,18.35,9.05,0.57,20.6
18,3,1981,18.5,8.25,2.23,20.46
19,3,1981,17.98,9.26,13.82,18.33
20,3,1981,18.32,8.49,25.42,20.23
21,3,1981,17.49,8.28,24.81,19.26
22,3,1981,18.29,7.64,10.06,19.79
23,3,1981,17.36,8.53,7.8,18.15
24,3,1981,17.9,8.37,5.79,20.01
25,3,1981,17.12,9.68,12.97,13.44
26,3,1981,17.63,9.34,4.69,18.46
27,3,1981,17.09,9.18,4.64,15.19
28,3,1981,17.92,8.52,3.38,17.44
29,3,1981,18.06,8.98,6.31,19.3
30,3,1981,18.51,9.19,17.73,20.12
31,3,1981,19.11,9.95,5.5,18.99
1,4,1981,18.13,9.2,2.45,17.44
2,4,1981,17.41,9.83,0,18.51
3,4,1981,18.25,9.54,0,20.58
4,4,1981,19.72,8.22,10.83,22.63
5,4,1981,17.97,8.92,0,18.57
6,4,1981,17.87,8.77,8.09,19.52
7,4,1981,19.29,7.84,2.02,23.93
8,4,1981,18.87,8.54,0,23.05
9,4,1981,19.23,8.43,0,22.34
10,4,1981,17.74,9.14,0,19.19
11,4,1981,18.12,9.17,0,18.71
12,4,1981,17.91,9.17,6.68,18.51
13,4,1981,17.89,8.81,1.05,18.16
14,4,1981,17.69,8.03,8.11,19.93
15,4,1981,19.46,9.88,0.14,21.56
16,4,1981,19.52,9.56,0,22.42
17,4,1981,19.24,9.52,0,22.08
18,4,1981,18.34,9.98,0,19.25
19,4,1981,17.43,8.86,0,18.71
20,4,1981,18.33,9.88,12.08,18.87
21,4,1981,17.13,9.74,6.07,16.42
22,4,1981,16.66,9.42,10.51,15.44
23,4,1981,16.82,9.3,10.03,18.19
24,4,1981,17.15,8.32,20.54,19.74
25,4,1981,17.19,8.71,0,19.7
26,4,1981,17.34,8.76,0,19.1
27,4,1981,17.78,7.82,6.98,17.22
28,4,1981,19.19,8.19,0.12,21.28
29,4,1981,19.48,8.3,0,23.37
30,4,1981,19.95,8.24,0,24.93
1,5,1981,19.57,8.12,0,24.21
2,5,1981,18.67,9.68,0,20.17
3,5,1981,19.17,9.35,19.9,23.14
4,5,1981,18.91,8.24,0,19.63
5,5,1981,18.89,8.14,0,20.92
6,5,1981,19.65,8.88,0,22.5
7,5,1981,18.67,9.77,0,18.28
