day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.22,5.84,0,21.93
2,1,1981,18.22,6.66,5.57,21.41
3,1,1981,19.41,6.36,0,23.05
4,1,1981,18.92,6.32,2.71,22.33
5,1,1981,19.05,6.5,0,22.69
6,1,1981,17.55,6.08,0,20.85
7,1,1981,18.31,5.79,0,23.75
8,1,1981,18.53,5.39,0,24.2
9,1,1981,18.77,5.57,0,24.16
10,1,1981,19.07,5.58,0,23.75
11,1,1981,19.16,6.07,0,23.83
12,1,1981,18.48,6.49,0,21.98
13,1,1981,19.37,7.08,0,23.1
14,1,1981,18.41,6.96,0,22.29
15,1,1981,18.52,6.7,0,22.44
16,1,1981,18.9,6.34,0,23.57
17,1,1981,19.78,6.23,0,24.32
18,1,1981,19.43,6.59,0,23.89
19,1,1981,19.53,6.38,0,24.64
20,1,1981,19.52,6.06,0,24.71
21,1,1981,19.35,6.4,0,23.6
22,1,1981,18.74,7.05,0,22.43
23,1,1981,18.94,7.12,0,21.31
24,1,1981,19.42,6.59,0,23.32
25,1,1981,20.06,6.48,0,24.71
26,1,1981,19.82,6.25,0,25.14
27,1,1981,20.27,5.93,0,25.38
28,1,1981,19.98,5.73,0,25.46
29,1,1981,18.94,5.8,0,24.98
30,1,1981,18.57,6.29,0,24.41
31,1,1981,18.69,5.43,0,25.41
1,2,1981,19.26,4.78,0,25.75
2,2,1981,19.16,5.43,0,25.44
3,2,1981,19.71,5.4,0,25.7
4,2,1981,19.79,5.43,0,25.46
5,2,1981,19.32,5.82,0,24.43
6,2,1981,20.2,6.07,0,25.36
7,2,1981,19.72,5.73,0,26.04
8,2,1981,19.93,5.87,0,25.74
9,2,1981,19.25,6.52,0,22.94
10,2,1981,18.8,8.35,1.43,21.47
11,2,1981,17.66,8.45,8.77,20.42
12,2,1981,17.41,8.24,10.11,20.31
13,2,1981,17.77,8.36,1.75,20.09
14,2,1981,18,7.34,0,21.18
15,2,1981,18.68,7.55,6.95,22.52
16,2,1981,17,7.83,0.34,18.99
17,2,1981,18.07,7.43,5.44,20.32
18,2,1981,18.02,8.26,3.65,21.28
19,2,1981,19.08,7.55,0,22.4
20,2,1981,19.57,7.5,0,23.32
21,2,1981,19.73,6.92,0,24
22,2,1981,20.17,6.96,0,24.43
23,2,1981,20.68,6.84,0,25.58
24,2,1981,21.16,6.78,1.92,25.28
25,2,1981,20.72,7.06,0.62,24.74
26,2,1981,20.31,6.82,0,24.8
27,2,1981,20.07,6.88,0,24.47
28,2,1981,20.16,8.07,0,23.84
1,3,1981,20.64,7.64,0,24.52
2,3,1981,20.3,8.67,16.68,21.82
3,3,1981,18.41,8.63,1.93,18.98
4,3,1981,17.74,9.56,7.4,18.93
5,3,1981,17.6,8.4,5.78,20.56
6,3,1981,18.1,9.18,3.98,21.12
7,3,1981,18.03,8.37,0,20.73
8,3,1981,19.24,7.17,0,24.1
9,3,1981,18.84,7.37,0,23.81
10,3,1981,18.56,8.06,1.05,22.96
11,3,1981,18.04,8.34,5.5,19.84
12,3,1981,17.61,8.3,4.37,21.6
13,3,1981,18.26,8.29,5.69,21.48
14,3,1981,17.79,8.16,0.13,20.3
15,3,1981,17.64,8.71,0.97,20.56
16,3,1981,16.93,9.57,1.13,16.53
17,3,1981,18.3,8.71,0.57,21.23
18,3,1981,17.71,7.97,2.23,20.93
19,3,1981,17.06,8.55,13.82,18.98
20,3,1981,17.99,8.15,25.42,21.96
21,3,1981,17.13,8.35,24.81,20.85
22,3,1981,17.77,7.81,10.06,21.18
23,3,1981,16.88,8.6,7.8,19.45
24,3,1981,17.34,8.7,5.79,20.05
25,3,1981,17.15,9.47,12.97,15.91
26,3,1981,16.83,8.96,4.69,18.85
27,3,1981,15.99,9.23,4.64,14.78
28,3,1981,16.85,8.7,3.38,16.49
29,3,1981,17.62,8.94,6.31,18.35
30,3,1981,17.21,9.14,17.73,19.36
31,3,1981,18.44,9.35,5.5,18.89
1,4,1981,16.98,8.93,2.45,18.25
2,4,1981,17.22,9.21,0,18.55
3,4,1981,17.37,8.85,0,20.89
4,4,1981,18.39,8.08,10.83,22.5
5,4,1981,16.95,8.89,0,19.05
6,4,1981,17.43,8.64,8.09,20.23
7,4,1981,18.05,8.05,2.02,22.65
8,4,1981,18.07,8.32,0,22.43
9,4,1981,18.08,8.15,0,22.71
10,4,1981,17.89,9,0,19.95
11,4,1981,17.58,8.84,0,19.53
12,4,1981,16.96,8.54,6.68,18.92
13,4,1981,17.5,8.61,1.05,19.77
14,4,1981,17.67,8.32,8.11,21
15,4,1981,18.94,9.46,0.14,22.33
16,4,1981,18.71,9.09,0,22.68
17,4,1981,18.3,8.55,0,21.97
18,4,1981,18.08,9.55,0,20.2
19,4,1981,17.07,8.45,0,19.06
20,4,1981,17.26,9.32,12.08,18.32
21,4,1981,16.86,9.13,6.07,17.87
22,4,1981,16.48,8.84,10.51,15.1
23,4,1981,16.56,9.09,10.03,18.95
24,4,1981,16.53,8.4,20.54,19.15
25,4,1981,16.41,8.7,0,19.44
26,4,1981,16.38,8.49,0,19.22
27,4,1981,16.53,8.11,6.98,16.92
28,4,1981,18.04,7.99,0.12,21.17
29,4,1981,18.17,7.46,0,23.55
30,4,1981,18.73,7.29,0,24.28
1,5,1981,18.24,7.69,0,23.84
2,5,1981,17.46,8.59,0,19.71
3,5,1981,18.34,8.69,19.9,22.49
4,5,1981,17.64,8.17,0,19.18
5,5,1981,17.92,8.24,0,20.78
6,5,1981,18.8,8.12,0,22.42
7,5,1981,17.48,8.78,0,18.32
8,5,1981,17.52,8.42,0,21.18
9,5,1981,18.28,8.52,7.39,20.03
10,5,1981,16.47,8.04,0,17.56
11,5,1981,17.9,8.34,0.76,20.51
12,5,1981,16.43,9.55,0,15.29
13,5,1981,16.85,8.57,0,19.31
14,5,1981,18.05,7.69,0,21.38
15,5,1981,17.75,8.29,4.56,21.53
16,5,1981,17.33,8.26,0,20.68
17,5,1981,17.9,8.14,0,21.59
18,5,1981,17.34,8.22,0,19.46
19,5,1981,17.53,8.41,0,19.76
20,5,1981,18.06,8.58,0,20.11
21,5,1981,17.41,8.33,0,19.56
22,5,1981,17.33,8.34,0,19.59
23,5,1981,16.99,8.23,0,19.07
24,5,1981,17.18,8.71,6.05,18.89
25,5,1981,16.85,8.67,0,18.21
