day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.21,11.7,0,21.91
2,1,1981,23.32,12.96,2.99,21.44
3,1,1981,23.92,12.22,0,22.4
4,1,1981,23.66,12.25,4.11,22.07
5,1,1981,23.77,12.75,0.58,22.66
6,1,1981,22.78,12,0,20.52
7,1,1981,22.95,11.71,0,23.61
8,1,1981,22.94,11.19,0,23.96
9,1,1981,23.33,11.25,0,23.85
10,1,1981,23.37,11.29,0,23.47
11,1,1981,24,11.89,0,23.58
12,1,1981,23.64,12.32,0,22.04
13,1,1981,23.71,12.61,0,22.92
14,1,1981,23.25,12.03,0,22.19
15,1,1981,23.3,12.01,0,22.43
16,1,1981,23.45,11.82,0,22.92
17,1,1981,24.23,12.05,0,23.89
18,1,1981,23.97,12.32,0,23.57
19,1,1981,24.14,12.27,0,24.13
20,1,1981,24.13,11.86,0,24.31
21,1,1981,24.92,12.24,0,22.66
22,1,1981,23.84,13.4,0,21.69
23,1,1981,24.01,13.13,0,20.45
24,1,1981,23.88,12.69,0,23.06
25,1,1981,24.52,12.78,0,24.33
26,1,1981,24.66,12.29,0,24.61
27,1,1981,24.83,11.91,0,24.8
28,1,1981,24.54,11.81,0,24.9
29,1,1981,23.81,11.7,0,24.52
30,1,1981,23.59,11.78,0,23.92
31,1,1981,23.29,11.45,0,24.93
1,2,1981,23.25,10.65,0,25.23
2,2,1981,23.55,10.91,0,24.97
3,2,1981,23.52,10.93,0,25.17
4,2,1981,24.17,10.88,0,24.97
5,2,1981,23.54,11.5,0,24.05
6,2,1981,24.37,11.44,0,24.84
7,2,1981,24.4,11.27,0,25.46
8,2,1981,25.07,11.84,0,24.78
9,2,1981,25.48,12.21,0.2,21.72
10,2,1981,25,14.82,0.61,21.54
11,2,1981,23.65,13.73,9.27,20.86
12,2,1981,22.98,13.5,1.57,20.67
13,2,1981,23.18,13.04,0.27,21.27
14,2,1981,23.21,12.57,3.75,22.03
15,2,1981,23.92,12.78,5.83,22.51
16,2,1981,22.94,13.57,0.08,19.79
17,2,1981,23.55,13.2,10.89,20.57
18,2,1981,23.37,13.78,0.92,21.4
19,2,1981,24.17,13.48,0,22.09
20,2,1981,24.4,13.49,0,22.82
21,2,1981,24.47,13.01,0,23.57
22,2,1981,24.9,12.75,0,24.02
23,2,1981,25.45,12.86,0,25.06
24,2,1981,25.87,12.65,2.23,24.86
25,2,1981,25.34,12.94,0.23,24.41
26,2,1981,24.93,12.85,0.39,24.44
27,2,1981,25.33,13.48,0,23.9
28,2,1981,25.39,14.62,0,23.83
1,3,1981,25.67,13.89,0,24.33
2,3,1981,25.31,14.75,6.78,22.19
