day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.42,11.2,0,21.35
2,1,1981,25.27,11.9,0,20.64
3,1,1981,26.2,12.69,0,20.7
4,1,1981,24.7,14.4,0.99,17.81
5,1,1981,24.33,13.42,0.99,18.42
6,1,1981,23.81,13.58,0,18.7
7,1,1981,23.46,12.35,0,23.3
8,1,1981,23.44,11.75,0,22.94
9,1,1981,24.07,11.08,0,22.21
10,1,1981,25.56,11.19,0,23.21
11,1,1981,25.81,11.95,0,23.15
12,1,1981,23.19,13.71,0,19.08
13,1,1981,24,12.14,0,22.81
14,1,1981,23.56,12.01,0,21.48
15,1,1981,24.81,12.26,0,22.55
16,1,1981,24.61,12.13,0,23.16
17,1,1981,25.58,12.04,0,22.91
18,1,1981,26.27,11.89,0,23.54
19,1,1981,25.24,12.9,0,22.93
20,1,1981,24.74,13.2,0,21.32
21,1,1981,26.49,12.54,0,23.58
22,1,1981,25.71,14.16,0,22.1
23,1,1981,26.49,14.29,0,21.17
24,1,1981,25.34,14.06,0,19.78
25,1,1981,26.71,12.76,0,23.86
26,1,1981,26.75,12.87,0,24.21
27,1,1981,25.73,12.36,0,24.05
28,1,1981,24.82,13.25,0,23.86
29,1,1981,22.62,12.86,0,18.54
30,1,1981,23.34,12.76,0,24.61
31,1,1981,23.18,11.58,0,25.18
1,2,1981,23.49,11.49,0,24.72
2,2,1981,22.9,11.94,0,24.49
3,2,1981,23.28,11.96,0,24.82
4,2,1981,25.04,12.1,0,23.41
5,2,1981,24.68,12.43,0,22.27
6,2,1981,25.86,12.5,0,24.3
7,2,1981,25.16,12.76,0,23.89
8,2,1981,25.91,12.78,0,24.85
9,2,1981,26.78,12.67,0,23.65
10,2,1981,26.08,13.78,0,21.86
11,2,1981,20.47,14.05,5.68,14
12,2,1981,20.37,13.89,5.36,12.11
13,2,1981,21.11,13.13,0,16.89
14,2,1981,20.97,13.81,1.47,15.25
15,2,1981,22.66,13.7,0,17.78
16,2,1981,23.7,14.34,0,18.19
17,2,1981,23.73,13.99,0,18.42
18,2,1981,22.22,14.1,0.12,18.34
19,2,1981,25.12,13.69,0,21.12
20,2,1981,25.72,14.76,0,21.54
21,2,1981,25.92,14.23,0,21.73
22,2,1981,26.58,14.65,0,20.77
23,2,1981,27.24,12.98,0,25.45
24,2,1981,28.48,13.76,0,25.11
25,2,1981,27.23,14.08,0,24.13
26,2,1981,26.86,15.03,0,23.92
27,2,1981,27.21,13.86,0,23.22
28,2,1981,27.87,14.75,0,22.54
1,3,1981,27.64,15.08,0,22.5
2,3,1981,26.79,15.69,5.25,20.22
3,3,1981,22.51,15.21,20.37,16.14
4,3,1981,22.71,14.66,4.47,18.49
5,3,1981,20.74,14.71,3.32,14.36
6,3,1981,21.63,14.33,0,17.94
7,3,1981,22.11,13.66,0,19.11
8,3,1981,23.48,13.35,0,23.82
9,3,1981,24.41,12.85,0,23.59
10,3,1981,24.42,13.06,1.04,22.91
11,3,1981,23.44,15.04,3.78,19.91
12,3,1981,24.3,14.81,0,22.73
13,3,1981,24.25,15.89,0,20.99
14,3,1981,22.82,14.8,0,18.82
15,3,1981,22.52,14.75,0,18.01
16,3,1981,21.49,14.83,2.95,14.5
17,3,1981,23.4,14.63,4.01,21.05
18,3,1981,23.07,15.3,0,18.66
19,3,1981,20.63,15.25,0.06,14.78
20,3,1981,22.09,14.87,8.76,18.93
21,3,1981,22.58,14.73,6.04,21.05
22,3,1981,22.59,14.68,3.82,19.57
23,3,1981,22.66,14.36,7.65,21.75
24,3,1981,22.53,13.76,5.5,20.46
25,3,1981,23.79,13.71,4.37,22.47
26,3,1981,23,15.33,3.13,21.74
27,3,1981,19.93,14.85,2.88,13.98
28,3,1981,19.67,14.61,4.21,14.24
29,3,1981,21.14,13.81,10.49,18.21
30,3,1981,20.23,14.51,23.57,16.84
31,3,1981,21.23,14.56,15.9,18.85
1,4,1981,21.27,13.95,0,19.71
2,4,1981,20.87,13.64,0,17.19
3,4,1981,23.44,13.59,25.5,24.75
4,4,1981,21.18,13.91,13.65,19.62
5,4,1981,22.48,14.28,0.73,19.77
6,4,1981,21.74,13.55,0.64,21.47
7,4,1981,22.95,13.45,0,23.47
8,4,1981,22.93,14.48,0,22.97
9,4,1981,22.45,13.49,0,22.65
10,4,1981,22.46,14.15,0,20.7
11,4,1981,22.56,14.03,0,21.88
12,4,1981,21.74,14.23,0,20.85
13,4,1981,21.78,13.79,10.17,19.82
14,4,1981,22.58,13.01,10.28,21.14
15,4,1981,23.29,13.76,0,23.03
16,4,1981,23.62,14.48,0,23.24
17,4,1981,22.96,15.22,7.08,20.82
18,4,1981,21.52,14.48,4,18.36
19,4,1981,21.76,14.6,14.59,18.29
20,4,1981,22.49,14.57,14.91,21.36
21,4,1981,22.16,14.36,12.46,21.7
22,4,1981,23,14.61,6.34,22.08
23,4,1981,22.3,15.11,9.73,19.51
24,4,1981,19.25,14.02,21.54,14.21
25,4,1981,19.89,13.37,26.2,19.99
26,4,1981,20.6,13.24,8.56,20.54
27,4,1981,21.31,14.11,3.63,19.94
28,4,1981,22.46,12.77,0,21.18
29,4,1981,23.19,12.79,0,24.28
30,4,1981,24.36,12.73,0,25.99
1,5,1981,23.38,14.62,4.23,22.68
2,5,1981,23.24,14.72,0,21.66
3,5,1981,23.52,15.51,3.88,21.31
4,5,1981,22.97,14.98,6.2,21.96
5,5,1981,23.72,15.51,7.1,22.09
6,5,1981,23.44,14.42,0.64,21.38
7,5,1981,24.87,14.55,0,25.21
8,5,1981,24.3,15.04,0.6,23.39
9,5,1981,23.84,14.45,9.19,22.72
10,5,1981,22.43,14.86,0,20.44
11,5,1981,23.41,14.25,0,20.87
12,5,1981,24.97,15.09,0,22.9
13,5,1981,24.95,13.43,0,24.35
14,5,1981,25.44,14.69,0,25.22
15,5,1981,24.93,15.03,4.6,24.72
16,5,1981,25.14,15.04,0,23.57
17,5,1981,25.21,16.34,0.9,22.96
18,5,1981,24.62,15.85,8.77,21.44
19,5,1981,24.38,15.64,0,21.29
20,5,1981,24.12,15.3,0,21.3
21,5,1981,24,16.09,0,20.56
22,5,1981,22.94,14.95,0,17.18
23,5,1981,23.78,16.25,0,20.2
24,5,1981,24.04,15.75,2.23,19.8
25,5,1981,24.36,15.06,0,20.8
26,5,1981,25.18,14.85,0,21.28
27,5,1981,24.51,14.62,0,20.98
28,5,1981,25.43,14.57,0,22.46
29,5,1981,25.42,14.72,0,21.12
30,5,1981,24.34,15.71,0,17.67
31,5,1981,25.05,15.08,0,18.52
1,6,1981,25.33,14.38,0,21.13
2,6,1981,24.81,14.94,0,21.39
3,6,1981,24.66,15.48,10.2,21.1
4,6,1981,24.54,16.09,0,18.49
5,6,1981,24.56,15.02,0,18.92
6,6,1981,25.3,15.29,0,20.81
7,6,1981,24.31,16.35,1.39,17.98
8,6,1981,24.2,15.81,0,17.46
9,6,1981,24.05,15.55,0,18.74
10,6,1981,24.36,15.6,0,18.48
11,6,1981,25.07,14.71,0,19.6
12,6,1981,24.49,15.4,0,18.53
13,6,1981,25.45,15.36,0,20.39
14,6,1981,26.89,14.59,0,21.33
15,6,1981,27.35,14.17,0,21.38
16,6,1981,27.14,14.86,0,20.55
17,6,1981,25.85,15.7,0,18.6
18,6,1981,26.42,15.14,0,19.99
19,6,1981,26.34,15.91,0,19.79
20,6,1981,26.34,15.57,0,20.62
21,6,1981,26.97,14.93,0,21.19
22,6,1981,26.95,15.65,0,20.51
23,6,1981,27.83,15.74,0,20.93
24,6,1981,27.93,15.73,7.7,21.31
25,6,1981,27.66,15.63,0,21.33
26,6,1981,27.88,15.51,0,20.96
27,6,1981,27.46,15.74,0,21.4
28,6,1981,26.7,15.92,1.73,20.26
29,6,1981,26.65,17.06,2.67,20.24
30,6,1981,25.94,16.51,0,19.97
1,7,1981,25.95,16.21,0,20.67
2,7,1981,26.03,15.59,0,19.86
3,7,1981,24.8,16.57,2.67,18.55
4,7,1981,23.45,15.23,0,16.06
5,7,1981,24.43,15.35,0,18.54
6,7,1981,24.83,14.7,0,19.6
7,7,1981,25.55,16.27,0,19.27
8,7,1981,25.55,15.38,0.27,19.92
9,7,1981,25.09,14.97,2.35,19.28
10,7,1981,23.57,15.38,4.13,18
11,7,1981,22.8,14.99,1.15,15.84
12,7,1981,22.79,14.08,5.45,16.42
13,7,1981,23.3,15.23,5.08,19.35
14,7,1981,24.25,13.81,8.41,20.14
15,7,1981,23.76,15.21,9.44,19.71
16,7,1981,22.71,15.17,2.07,16.11
17,7,1981,22.74,14.56,3.33,17.73
18,7,1981,22.51,14.6,7.09,16.38
19,7,1981,22.31,14.92,4.75,14.65
20,7,1981,21.88,14.75,5.3,12.22
21,7,1981,23.58,14.98,0.39,18.94
22,7,1981,23.54,13.8,1.54,19.66
23,7,1981,22.28,14.77,8.19,18.35
24,7,1981,24,14.28,6.68,20.13
25,7,1981,23.69,14.62,6.86,18.24
26,7,1981,23.22,14.85,5.33,15.48
27,7,1981,22.94,14.46,0,19.48
28,7,1981,23.9,14.44,0.43,20.29
29,7,1981,25.05,14.39,16.99,19.3
30,7,1981,23.36,14.82,9.97,17.29
31,7,1981,23.02,14.67,2.51,18.11
1,8,1981,25.44,14.57,1.09,20.6
2,8,1981,24.74,14.39,22.58,21.41
3,8,1981,23,14.59,0,19.34
4,8,1981,22.66,15.39,1.18,18.82
5,8,1981,23.94,15.04,0,21.23
6,8,1981,21.95,15.3,12.38,17.01
7,8,1981,21.93,14.86,0,17.9
8,8,1981,22.92,14.64,3.24,20.73
9,8,1981,23.76,15.41,0,18.99
10,8,1981,24.25,14.84,0,21.76
11,8,1981,24.9,14.68,0,21.01
12,8,1981,23.74,14.45,1.93,20.44
13,8,1981,21.89,14.63,13.1,18.59
14,8,1981,23.41,15.36,0,20.75
15,8,1981,22.86,14.41,10.47,19.9
16,8,1981,23.05,14.9,2.13,21.77
17,8,1981,23.45,14.22,4.3,22.28
18,8,1981,24,14.91,0,22.02
19,8,1981,23.23,14.85,0,19.73
20,8,1981,23.47,14.83,0,20.61
21,8,1981,23.39,14.4,1.13,21.7
22,8,1981,23.21,14.04,14.5,22.11
23,8,1981,22.04,13.92,0,19.06
24,8,1981,23.25,14.54,0,21.1
25,8,1981,24,14.16,0.97,22.34
26,8,1981,24.41,13.72,5.7,23.29
27,8,1981,23.82,14.55,5.17,21.65
28,8,1981,24.89,13.97,5.45,23.92
29,8,1981,24.59,14.56,10.21,23.34
30,8,1981,24.2,14.23,8.39,22.38
31,8,1981,22.77,14.67,14.36,19.81
1,9,1981,22.95,14.1,5.89,20.84
2,9,1981,22.19,14.04,8.71,19.48
3,9,1981,22.67,14.76,6.91,18.29
4,9,1981,23.44,14.21,5.09,21.18
5,9,1981,22.48,14.14,5.87,20.03
6,9,1981,22.94,14.08,7.29,21.25
7,9,1981,23.12,15.4,7.61,21.23
8,9,1981,21.01,14.41,2.47,13.73
9,9,1981,22.82,14.01,7.22,19.94
10,9,1981,23.46,14.46,7.08,22.08
11,9,1981,23.13,13.31,6.52,20.29
12,9,1981,22.12,13.33,3.26,19.67
13,9,1981,22.95,13.43,9.31,19.89
14,9,1981,22.24,13.77,12.51,18.9
15,9,1981,21.81,13.88,7.9,16.5
16,9,1981,22.02,15.08,7.15,17.68
17,9,1981,22.93,14.41,6.63,20.56
18,9,1981,22.45,14.5,12.67,18.5
19,9,1981,21.52,13.44,25.82,16.05
20,9,1981,21.64,13.67,4.01,18.75
21,9,1981,23.16,13.7,7.91,20.79
22,9,1981,22.91,14.57,9.33,19.49
23,9,1981,23.95,15.07,0.83,21.45
24,9,1981,24.02,14.87,0,21.63
25,9,1981,23.74,15.3,8.53,20.76
26,9,1981,23.35,15.12,14.25,19.12
27,9,1981,23.01,13.55,0,20.8
28,9,1981,23.86,13.63,0,21.47
29,9,1981,23.85,14.61,0,20.84
30,9,1981,23.52,14.27,0,20.81
1,10,1981,23.85,14.56,3.92,19.96
2,10,1981,22.55,14.79,5,18.89
3,10,1981,22.55,14.35,6.89,18.45
4,10,1981,22.13,15.02,4.82,15.66
5,10,1981,22.74,13.54,5.43,18.66
6,10,1981,22.81,13.31,5.18,20.09
7,10,1981,22.73,12.84,3.32,20.28
8,10,1981,22.83,13.47,0,19.79
9,10,1981,23.9,14.08,0,21.28
10,10,1981,23.75,13.12,0,24.68
11,10,1981,23.83,12.65,0,24.76
12,10,1981,24.29,11.55,0,24.71
13,10,1981,24.34,13.41,0,22.55
14,10,1981,25.18,13.74,0,23.3
15,10,1981,24.8,13.03,0,21.63
16,10,1981,24.61,13.11,0,21.33
17,10,1981,24.62,14.26,0,23.78
18,10,1981,24.55,12.81,0,25.41
19,10,1981,24.25,13.44,0,25.45
20,10,1981,22.09,13.79,0,17.88
21,10,1981,24.78,13.37,0,20.75
22,10,1981,24.24,13.3,0,20.86
23,10,1981,24.21,13.93,0,20.38
24,10,1981,23.78,13.18,0,19.87
25,10,1981,23.69,12.34,0,20.69
26,10,1981,23.51,12.63,0,24.63
27,10,1981,23.32,12.31,0,24.37
28,10,1981,23.73,14.05,0,21.58
29,10,1981,24.38,12.84,0,25.27
30,10,1981,24.25,12.43,0,24.83
31,10,1981,23.75,12.34,0,20.29
1,11,1981,24.56,13.34,0,21.7
2,11,1981,23.3,13.59,0,19.11
3,11,1981,23.37,14.07,10.95,19.29
4,11,1981,22.74,14.14,0,18.64
5,11,1981,24.28,13.44,0,21.2
6,11,1981,23.72,14.32,0,20.01
7,11,1981,22.85,14.09,0,18.44
8,11,1981,23.86,13.39,0,25.15
9,11,1981,23.7,11,0,24.13
10,11,1981,23.82,12.52,0,24.63
11,11,1981,24.86,13.28,0,24.41
12,11,1981,23.7,12.47,0,20.06
13,11,1981,23.79,12.84,0,22.86
14,11,1981,23.29,12.19,0,24.7
15,11,1981,22.93,12.46,0,24.15
16,11,1981,22.88,11.88,0,24
17,11,1981,23.08,12.55,0,23.64
18,11,1981,23.22,12.11,0,22.88
19,11,1981,23.47,11.43,0,22.03
20,11,1981,23.76,12.53,0,20.31
21,11,1981,23.69,12.36,0,19.16
22,11,1981,23.31,12.74,0,19.39
23,11,1981,24.03,13.12,0,20.47
24,11,1981,22.17,12.91,0.51,16.45
25,11,1981,22.28,12.41,0,20.14
26,11,1981,23.49,12.29,0,19
27,11,1981,22.74,13.07,0,22.3
28,11,1981,23.55,12.76,0,23.17
29,11,1981,22.78,11.89,0,23.39
30,11,1981,21.79,10.89,0,22.82
1,12,1981,20.73,11.11,0,18
2,12,1981,21.71,10.48,0,21.74
3,12,1981,22.31,11.14,0,23.02
4,12,1981,22.61,10.82,0,23.25
5,12,1981,23.5,11.97,0,22.62
6,12,1981,22.89,12.1,0,16.61
7,12,1981,23.46,12.91,0,19
8,12,1981,22.21,12.02,0,22.31
9,12,1981,22.37,11.56,0,23.11
10,12,1981,22.27,10.21,0,23.01
11,12,1981,23.23,10.26,0,22.88
12,12,1981,23.39,10.69,0,22.68
13,12,1981,22.77,9.91,0,22.39
14,12,1981,22.25,10.99,0,22.61
15,12,1981,23.89,11.13,0,22.6
16,12,1981,24.07,11.6,0,21.51
17,12,1981,24.01,12.5,0,20.6
18,12,1981,22.85,12.92,0,16.43
19,12,1981,20.89,12.16,0,13.56
20,12,1981,22.98,13.01,0,17.13
21,12,1981,22.22,12.65,0,16.21
22,12,1981,22.44,12.49,0,14.94
23,12,1981,22.72,12.38,0,18.1
24,12,1981,23.09,12.38,0,21.37
25,12,1981,24.45,11.95,0,21.76
26,12,1981,23.36,12.57,0,19.81
27,12,1981,24.21,11.88,0,22.28
28,12,1981,25.12,10.74,0,22.47
29,12,1981,24.58,11.73,0,19.62
30,12,1981,23.59,13.58,3.36,17.27
31,12,1981,21.14,14.54,2.72,14.56
1,1,1982,21,13.5,0,13.15
2,1,1982,20.7,13.16,0,15.09
3,1,1982,21.53,13.49,0,15.55
4,1,1982,23.88,12.66,0,19.71
5,1,1982,23.85,10.97,0,22.49
6,1,1982,22.75,12.28,0,17.94
