day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.92,12.23,0,21.66
2,1,1981,25.17,12.88,0,21.29
3,1,1981,25.92,13.5,0,20.91
4,1,1981,24.96,13.66,0.99,17.2
5,1,1981,25.15,13.53,0.99,17.75
6,1,1981,24.61,14.11,0,17.98
7,1,1981,24.38,12.8,0,23.67
8,1,1981,24.28,12.17,0,23.41
9,1,1981,24.68,11.24,0,23.6
10,1,1981,24.84,10.62,0,23.66
11,1,1981,25.25,11.22,0,23.63
12,1,1981,24.87,12.72,0,19.92
13,1,1981,25.43,12.38,0,22.99
14,1,1981,25.1,12.36,0,21.22
15,1,1981,26.57,12.53,0,22.61
16,1,1981,25.15,11.72,0,23.76
17,1,1981,25.6,11.76,0,23.76
18,1,1981,25.66,12.82,0,24.11
19,1,1981,25.71,12.68,0,23.93
20,1,1981,25.59,12.34,0,22.51
21,1,1981,25.97,12.52,0,24.05
22,1,1981,26.55,13.85,0,22.99
23,1,1981,26.41,13.61,0,21.68
24,1,1981,26.05,13.23,0,21.16
25,1,1981,26.64,12.69,0,24.33
26,1,1981,26.2,13.03,0,24.69
27,1,1981,26.48,13.56,0,24.59
28,1,1981,26.18,12.78,0,24.57
29,1,1981,24.25,13.06,0,19.1
30,1,1981,24.15,12.04,0,24.76
31,1,1981,24.05,11.68,0,25.53
1,2,1981,24.77,11.89,0,25.13
2,2,1981,24.01,12.45,0,24.9
3,2,1981,24.55,12.56,0,25.21
4,2,1981,25.89,12.31,0,23.92
5,2,1981,25.82,11.91,0,23.48
6,2,1981,26.3,12.49,0,25.18
7,2,1981,25.58,11.6,0,24.81
8,2,1981,26.29,11.34,0,25.35
9,2,1981,26.39,14.05,0,23.88
10,2,1981,26.91,14.49,0,22.34
11,2,1981,21.64,14.67,5.68,15.62
12,2,1981,21.29,14.04,5.36,14.71
13,2,1981,21.61,12.61,0,16.73
14,2,1981,21.38,14.04,1.47,15.81
15,2,1981,22.42,14.27,0,17.11
16,2,1981,22.32,13.9,0,18.07
17,2,1981,23.26,13.62,0,18.51
18,2,1981,24.11,13.55,0.12,20.05
19,2,1981,25.76,13.35,0,21.68
20,2,1981,26.73,14.48,0,22.17
21,2,1981,27.15,13.85,0,22.1
22,2,1981,27.2,14.46,0,20.77
23,2,1981,27.74,12.77,0,25.74
24,2,1981,28.31,14.14,0,25.68
25,2,1981,27.51,14.51,0,24.53
26,2,1981,27.62,14.71,0,24.98
27,2,1981,27.54,14.13,0,23.31
28,2,1981,27.68,14.8,0,21.76
1,3,1981,27.15,14.76,0,21.89
2,3,1981,25.66,15.79,5.25,19.47
3,3,1981,24.51,15.75,20.37,17.02
4,3,1981,23.77,14.79,4.47,19.47
5,3,1981,22.46,14.99,3.32,15.48
6,3,1981,22.61,14.43,0,19.04
7,3,1981,23.36,13.48,0,21.42
8,3,1981,24.23,12.7,0,25.66
9,3,1981,24.67,12.27,0,23.85
10,3,1981,24.82,14.14,1.04,23.12
11,3,1981,23.49,14.52,3.78,20.11
12,3,1981,23.81,14.41,0,22.02
13,3,1981,24.06,15.56,0,21.47
14,3,1981,23.38,14.47,0,18.83
15,3,1981,23.09,14.25,0,18.62
16,3,1981,21.28,14.68,2.95,14.03
17,3,1981,23.18,14.38,4.01,20.78
18,3,1981,23.12,15.25,0,17.66
19,3,1981,21.79,15.1,0.06,16.24
20,3,1981,21.96,14.72,8.76,18.65
21,3,1981,22.54,14.47,6.04,20.16
22,3,1981,22.3,14.48,3.82,19.02
23,3,1981,22.69,14.12,7.65,20.86
24,3,1981,22.94,14.11,5.5,20.26
25,3,1981,23.49,13.81,4.37,21.52
26,3,1981,23,15.01,3.13,20.66
27,3,1981,21.29,14.93,2.88,15.5
28,3,1981,20.79,14.77,4.21,15.31
29,3,1981,23.17,13.77,10.49,19.3
30,3,1981,21.64,14.75,23.57,17.15
31,3,1981,22.66,14.74,15.9,18.88
1,4,1981,22.39,13.95,0,18.9
2,4,1981,22.02,13.65,0,17.38
3,4,1981,23.5,13.69,25.5,24.85
4,4,1981,22.25,13.4,13.65,20.36
5,4,1981,22.89,14.53,0.73,19.62
6,4,1981,22.65,13.25,0.64,21.32
7,4,1981,23.86,13.78,0,23.67
8,4,1981,23.14,14.45,0,22.32
9,4,1981,22.93,13.86,0,21.95
10,4,1981,23.21,13.86,0,20.1
11,4,1981,23.51,13.76,0,21.9
12,4,1981,23.05,14.39,0,20.9
13,4,1981,22.6,13.69,10.17,19.5
14,4,1981,23.19,13.19,10.28,20.23
15,4,1981,23.71,13.8,0,22.23
16,4,1981,23.81,14.56,0,23.05
17,4,1981,23.22,15.27,7.08,20.34
18,4,1981,22.17,14.64,4,18.14
19,4,1981,22,14.53,14.59,18.09
20,4,1981,22.87,14.56,14.91,20.98
21,4,1981,21.74,14.51,12.46,20.5
22,4,1981,22.85,14.04,6.34,21.42
23,4,1981,22.01,14.84,9.73,18.49
24,4,1981,20.24,13.99,21.54,14.45
25,4,1981,20.71,13.57,26.2,17.75
26,4,1981,21.72,12.9,8.56,19.91
27,4,1981,21.59,14.17,3.63,18.55
28,4,1981,23.37,12.74,0,20.98
29,4,1981,23.98,13.27,0,23.95
30,4,1981,24.32,13.09,0,25.42
1,5,1981,23.91,14.72,4.23,22
2,5,1981,23.08,14.46,0,21.01
3,5,1981,23.41,15.22,3.88,20.66
4,5,1981,23.59,14.47,6.2,21.65
5,5,1981,24.02,15.23,7.1,22.03
6,5,1981,23.71,14.68,0.64,21.52
7,5,1981,25.51,14.39,0,24.93
8,5,1981,24.5,14.65,0.6,22.32
9,5,1981,24.01,14.41,9.19,21.53
10,5,1981,23.04,14.78,0,20.69
11,5,1981,23.59,13.71,0,20.45
12,5,1981,24.75,14.76,0,21.77
13,5,1981,25.34,13.19,0,23.63
14,5,1981,25.51,14.68,0,24.51
15,5,1981,24.91,14.93,4.6,23.46
16,5,1981,24.45,14.64,0,22.81
17,5,1981,24.76,15.72,0.9,22.43
18,5,1981,24.09,14.85,8.77,21.21
19,5,1981,24.11,14.66,0,21.5
20,5,1981,23.9,14.79,0,21.1
21,5,1981,23.12,15.5,0,20.36
22,5,1981,22.07,14.3,0,16.98
23,5,1981,22.98,16.02,0,19.13
24,5,1981,23.44,15.2,2.23,19.67
25,5,1981,23.16,14.45,0,20.06
26,5,1981,24.24,14.17,0,21.07
27,5,1981,23.4,13.91,0,21.36
28,5,1981,24.58,13.63,0,22.46
29,5,1981,24.41,13.74,0,21.49
30,5,1981,23.68,14.57,0,18.47
31,5,1981,23.75,14.74,0,18.31
1,6,1981,23.98,13.55,0,20.68
2,6,1981,23.68,13.58,0,21.04
3,6,1981,23.71,14.11,10.2,21.21
4,6,1981,23.52,15.2,0,18.06
5,6,1981,23.47,14.22,0,19.12
6,6,1981,24.23,14.03,0,20.73
7,6,1981,23.3,15.41,1.39,17.43
8,6,1981,23.09,14.54,0,17.29
9,6,1981,23.13,13.92,0,18.83
10,6,1981,23.88,14.35,0,19.11
11,6,1981,24.55,13.86,0,20.63
12,6,1981,24.05,14.13,0,18.45
13,6,1981,24.62,14.23,0,19.94
14,6,1981,26.57,13.27,0,21.66
15,6,1981,26.59,13.14,0,21.39
16,6,1981,26.41,13.88,0,21.12
17,6,1981,25.17,14.39,0,18.81
18,6,1981,25.29,13.94,0,19.66
19,6,1981,25.46,15.08,0,19.92
20,6,1981,25.37,14.51,0,20.15
21,6,1981,26.21,13.63,0,21.43
22,6,1981,26.61,13.89,0,20.78
23,6,1981,27.66,14.16,0,21.03
24,6,1981,26.82,14.64,7.7,21.41
25,6,1981,26.81,14.34,0,21.53
26,6,1981,27.95,14.03,0,21.13
27,6,1981,27.68,14.26,0,21.55
28,6,1981,26.03,15.18,1.73,20.47
29,6,1981,26.02,15.81,2.67,20.12
30,6,1981,25.5,15.65,0,19.88
1,7,1981,25.4,15.24,0,20.26
2,7,1981,25.37,14.67,0,20.1
3,7,1981,23.38,15.32,2.67,18.47
4,7,1981,22.6,14.01,0,15.66
5,7,1981,23.1,14.4,0,18.05
6,7,1981,23.96,14.28,0,19.25
7,7,1981,24.59,15.13,0,19.17
8,7,1981,24.9,14.88,0.27,20.01
9,7,1981,24.76,14.47,2.35,19.28
10,7,1981,23.15,15.25,4.13,17.03
11,7,1981,22.15,14.8,1.15,14.6
12,7,1981,22.05,13.88,5.45,15.46
13,7,1981,22.68,14.63,5.08,18.58
14,7,1981,23.57,13.65,8.41,19.68
15,7,1981,22.84,14.58,9.44,19.04
16,7,1981,21.48,14.39,2.07,15.21
17,7,1981,22.12,14.29,3.33,16.68
18,7,1981,21.8,14.43,7.09,15.22
19,7,1981,21.6,14.53,4.75,14.02
20,7,1981,21.63,14.97,5.3,12.87
21,7,1981,23.1,14.73,0.39,18.26
22,7,1981,23.11,13.85,1.54,19.34
23,7,1981,21.69,14.69,8.19,16.6
24,7,1981,23.34,14.21,6.68,19.35
25,7,1981,22.98,13.87,6.86,17.75
26,7,1981,23.34,14.74,5.33,15.27
27,7,1981,22.19,13.83,0,18.39
28,7,1981,23.5,14.01,0.43,19.19
29,7,1981,24.95,13.6,16.99,19.11
