day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.43,15.79,0,23.05
2,1,1981,27.43,16.15,0,23.09
3,1,1981,28.16,16.65,0,21.75
4,1,1981,26.63,16.14,2.58,16.99
5,1,1981,27.3,15.97,2.58,17.99
6,1,1981,27.39,16.76,0,19.73
7,1,1981,27.33,15.54,0,23.84
8,1,1981,27.03,15.19,0,23.77
9,1,1981,26.93,16,0,24.27
10,1,1981,27.46,15.4,0,23.75
11,1,1981,27.57,15.41,0,24.07
12,1,1981,28.08,15.74,0,22.81
13,1,1981,28.18,16.02,0,23.31
14,1,1981,27.94,16.08,0,21.53
15,1,1981,27.71,16.05,0,23.33
16,1,1981,27.84,15.75,0,24.31
17,1,1981,27.81,16.22,0,24.26
18,1,1981,27.72,15.84,0,24.44
19,1,1981,27.98,16.12,0,24.61
20,1,1981,28.05,15.65,0,24.31
21,1,1981,28.33,15.99,0,24.08
22,1,1981,28.34,16.6,0,24.17
23,1,1981,28.78,17.01,0,22.65
24,1,1981,28.45,16.59,0,22.77
25,1,1981,28.85,16.5,0,24.61
26,1,1981,28.5,15.79,0,24.92
27,1,1981,29.11,15.59,0,25.17
28,1,1981,29.18,15.1,0,25.35
29,1,1981,28.29,15.56,0,23.26
30,1,1981,28.83,15.75,0,24.85
31,1,1981,28.65,14.32,0,25.74
1,2,1981,28.4,14.49,0,25.46
2,2,1981,28.28,15.05,0,25.33
3,2,1981,29.44,14.8,0,25.66
4,2,1981,28.6,15.37,0,24.92
5,2,1981,28.19,16.37,0,24.57
6,2,1981,28.67,16.37,0,25.63
7,2,1981,27.98,15.67,0,25.75
8,2,1981,28.6,15.69,0,25.55
9,2,1981,28.56,16.61,0,24.86
10,2,1981,28.92,16.89,0,23.65
11,2,1981,27.5,17.99,0,18.72
12,2,1981,26.69,16.77,1.39,19.55
13,2,1981,24.02,16.68,0.8,14.19
14,2,1981,24.19,17.62,16.69,15.49
15,2,1981,23.87,17.05,0,15.34
16,2,1981,23.36,16.8,0,16.99
17,2,1981,24.87,16.86,0,18.26
18,2,1981,27.24,17.1,8,22.02
19,2,1981,28.24,17.23,0,22.69
20,2,1981,28.88,16.94,0,23.67
21,2,1981,28.84,17.26,0.09,23.85
22,2,1981,29.14,17.67,0,24.08
23,2,1981,29.73,17.12,0,25.95
24,2,1981,29.97,17.4,0,25.82
25,2,1981,29.91,17.04,0,25.71
26,2,1981,29.48,17.44,0,25.95
27,2,1981,29.14,17.34,0,24.39
28,2,1981,29.29,18.6,0,19.81
1,3,1981,29.05,17.53,0,19.24
2,3,1981,27.03,17.68,0,17.5
3,3,1981,26.5,17.86,10.65,17.27
4,3,1981,26.92,17.25,9.8,19.38
5,3,1981,24.17,17.45,0,16.03
6,3,1981,24.67,17.12,0,19.39
7,3,1981,26.72,16.75,0,25.67
8,3,1981,27.32,15.83,0,26.81
9,3,1981,27.17,15.65,0.53,21.51
10,3,1981,26.2,16.36,0.11,22.26
11,3,1981,24.71,16.44,4.17,19.35
12,3,1981,25.49,16.39,0,20.08
13,3,1981,25.98,16.88,0,21.69
14,3,1981,25.82,16.67,0,20.14
15,3,1981,25.17,16.79,0.92,18.13
16,3,1981,22.59,16.87,5.3,13.88
17,3,1981,25.55,16.1,0.6,20.2
18,3,1981,24.26,17.33,0,18.37
19,3,1981,23.26,17.07,3.36,17.42
20,3,1981,24.76,17.09,10.82,18.18
21,3,1981,24.84,16.74,13.2,19.95
22,3,1981,23.6,16.84,0,18.55
23,3,1981,24.93,16.34,1.58,18.54
24,3,1981,24.96,16.81,5.46,20.03
25,3,1981,24.85,16.49,4.9,20.28
26,3,1981,25.64,17.01,0,19.61
27,3,1981,25.14,16.9,0,18.97
28,3,1981,23.51,16.68,0,18.02
29,3,1981,25.08,15.85,4.91,21.23
30,3,1981,25.09,16.27,28.83,20.73
31,3,1981,25.77,16.97,25.3,21.69
