day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.39,14.9,0,22.62
2,1,1981,27,14.84,0,21.95
3,1,1981,27.73,15.69,0,20.73
4,1,1981,27.04,14.54,0,17.05
5,1,1981,27.24,13.84,0,17.41
6,1,1981,27.88,15.27,0,18.95
7,1,1981,27.57,12.38,0,24.28
8,1,1981,27.35,12.17,0,24.26
9,1,1981,27.02,15.34,0,24.28
10,1,1981,27.36,13.83,0,24.18
11,1,1981,27.24,14.76,0,24.08
12,1,1981,28.38,14.81,0,22.07
13,1,1981,28.04,12.92,0,22.9
14,1,1981,28.11,13.32,0,21.18
15,1,1981,27.76,13.15,0,23.27
16,1,1981,27.61,12.79,0,24.09
17,1,1981,27.35,15.17,0,24.43
18,1,1981,27.6,14.06,0,24.58
19,1,1981,27.83,15.07,0,24.56
20,1,1981,28.08,14.8,0,24.26
21,1,1981,27.96,14.95,0,24.25
22,1,1981,28.18,15.77,0,23.73
23,1,1981,28.38,16.42,0,22.03
24,1,1981,28.13,16.07,0,22.85
25,1,1981,28.56,16.25,0,24.84
26,1,1981,28.13,15.24,0,25.14
27,1,1981,28.87,15.21,0,25.32
28,1,1981,28.89,12.24,0,25.46
29,1,1981,27.31,13.36,0,19.23
30,1,1981,28.43,13.48,0,25.44
31,1,1981,28.13,11.32,0,26
1,2,1981,28.29,11.98,0,25.58
2,2,1981,27.67,12.84,0,25.3
3,2,1981,28.74,12.43,0,25.8
4,2,1981,28.21,13.02,0,24.66
5,2,1981,28.11,14.08,0,24.82
6,2,1981,28.27,15.46,0,25.56
7,2,1981,27.76,14.99,0,25.83
8,2,1981,28.18,16.68,0,25.59
9,2,1981,27.77,14.97,0,24.53
10,2,1981,28.75,15.55,0,23.4
11,2,1981,27.01,16.68,0.17,17.53
12,2,1981,25.59,16.31,4.77,18.22
13,2,1981,24.41,15.1,0,16.2
14,2,1981,24.17,15.38,7.51,17.34
15,2,1981,24.74,15.85,0,17.49
16,2,1981,23.51,15.84,0,17.76
17,2,1981,25.14,14.55,0,15.74
18,2,1981,27.44,14.95,1.98,21.53
19,2,1981,27.74,14.82,0,21.03
20,2,1981,28.66,16,0,23.27
21,2,1981,29.1,16.32,0,22.23
22,2,1981,29.49,15.9,0,22.79
23,2,1981,29.91,17.41,0,26.16
24,2,1981,30.26,16.95,0,26.35
25,2,1981,30.11,17.63,0,25.82
26,2,1981,29.59,16.2,0,25.89
27,2,1981,29.16,17.01,0,23.89
28,2,1981,28.95,17.87,0,21.54
1,3,1981,29.44,17.18,0,22.06
2,3,1981,28.19,17.56,0.97,19.66
3,3,1981,26.66,17.57,12.89,16.91
