day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.83,13.24,0,22.07
2,1,1981,25.05,13.67,0,21.13
3,1,1981,25.97,14.8,0,20.14
4,1,1981,25.26,14.51,0,17.31
5,1,1981,25.25,13.83,0,18.05
6,1,1981,25.52,13.86,0,19.37
7,1,1981,25.06,12.35,0,24.17
8,1,1981,25.1,11.91,0,24.02
9,1,1981,24.98,13.62,0,23.27
10,1,1981,25.54,13.08,0,23.88
11,1,1981,25.78,13.27,0,23.7
12,1,1981,25.9,14.01,0,21.81
13,1,1981,25.55,12.56,0,22.98
14,1,1981,25.93,12.41,0,21.46
15,1,1981,26.16,12.93,0,23.19
16,1,1981,26,11.96,0,23.57
17,1,1981,25.71,14.16,0,23.67
18,1,1981,25.98,13.43,0,24.08
19,1,1981,26.22,14.57,0,23.58
20,1,1981,26.59,14.3,0,23.17
21,1,1981,26.27,14.36,0,23.69
22,1,1981,26.62,15.05,0,22.68
23,1,1981,26.95,15.48,0,21.4
24,1,1981,26.44,15.26,0,21.36
25,1,1981,26.77,15.24,0,24.52
26,1,1981,26.4,14.75,0,24.94
27,1,1981,26.79,13.99,0,24.9
28,1,1981,26.45,13,0,24.58
29,1,1981,24.33,13.45,0,19.08
30,1,1981,25.15,11.79,0,25.61
31,1,1981,24.86,10.68,0,25.98
1,2,1981,25.59,11.11,0,25.48
2,2,1981,24.5,11.63,0,25.21
3,2,1981,25.72,11.37,0,25.69
4,2,1981,26.4,11.86,0,23.81
5,2,1981,26.28,12.47,0,23.85
6,2,1981,26.45,14.21,0,24.73
7,2,1981,25.89,13.95,0,25.09
8,2,1981,26.67,14.53,0,25.21
9,2,1981,26.24,14.51,0,24.03
10,2,1981,27.37,14.42,0,22.82
11,2,1981,23.46,15.59,0.47,15.37
12,2,1981,22.7,15.14,4.81,15.82
13,2,1981,22.14,14.01,0.91,16.22
14,2,1981,22.06,14.43,6.76,17.48
15,2,1981,22.67,15.27,0,17.23
16,2,1981,21.84,14.75,0,17.56
17,2,1981,22.76,13.65,0,16.17
18,2,1981,24.63,14.17,0,19.81
19,2,1981,25.54,14.14,0,20.39
20,2,1981,26.29,15.45,0,22.55
21,2,1981,26.89,15.22,0,21.47
22,2,1981,27.61,15.11,0,22.34
23,2,1981,27.78,15.91,0,25.74
24,2,1981,28.21,15.99,0,25.85
25,2,1981,27.8,16.96,0,25.29
26,2,1981,27.88,15.27,0,24.5
27,2,1981,26.83,15.88,0,23.48
28,2,1981,26.83,16.5,0,21.9
1,3,1981,27.47,16.5,0,22.42
2,3,1981,26.75,17.25,5.76,20.4
3,3,1981,25.11,17.17,16.87,16.08
4,3,1981,23.61,15.89,6.96,16.52
5,3,1981,23.19,16.5,0,15.45
6,3,1981,23.09,15.43,0,18.22
7,3,1981,24.76,14.91,0,22.96
8,3,1981,25.08,13.2,0,26
9,3,1981,25.34,15.57,0,23.4
10,3,1981,25.03,15.36,0,22.91
11,3,1981,23.56,15.42,0,18.18
12,3,1981,23.74,15.69,0,20.88
13,3,1981,24.62,16.04,0,20.91
14,3,1981,24.13,15.47,0,18.68
15,3,1981,23.17,16.04,0,17.63
16,3,1981,20.84,15.59,0.26,12.14
17,3,1981,23.42,15.29,4.18,20.05
18,3,1981,23.14,15.85,0,17.88
19,3,1981,21.58,15.67,0,13.57
20,3,1981,22.31,15.44,13.15,17.52
21,3,1981,22.98,15.56,6.26,21.49
22,3,1981,21.13,15.81,3.89,16.4
23,3,1981,22.95,15.01,5.64,21.05
24,3,1981,23.09,14.53,3.74,20
25,3,1981,24.05,14.83,2.01,21.31
26,3,1981,22.69,16.39,2.07,19.64
27,3,1981,23.02,16.24,0,16.07
28,3,1981,21.68,16.29,0,15.8
29,3,1981,22.93,14.47,10.47,18.58
30,3,1981,22.58,15.88,25.3,17.4
31,3,1981,23.26,15.15,11.41,19.6
1,4,1981,22.65,14.68,0,19.6
2,4,1981,22.05,14.44,0,17.89
3,4,1981,23.29,14.01,23.64,23.7
4,4,1981,22.23,14.29,13.21,19.04
5,4,1981,23.34,15.08,0,19.22
6,4,1981,22.74,14.33,0,19.95
7,4,1981,23.78,14.33,0,23.48
8,4,1981,23.32,15.79,0,22.25
9,4,1981,23.18,14.68,0,21.7
10,4,1981,23.24,14.95,0,20.93
11,4,1981,23.62,15.42,0,21.07
12,4,1981,23.43,15.29,0,20.95
13,4,1981,22.51,15.19,13.19,19.75
14,4,1981,22.9,14.55,17.84,20.35
15,4,1981,23.22,15.23,0,20.8
16,4,1981,23.81,15.52,0,22.03
17,4,1981,23.06,15.88,8.47,19.67
18,4,1981,21.69,15.66,0,16.76
19,4,1981,21.55,15.69,17.46,16.29
20,4,1981,22.27,15.98,18.7,19.5
21,4,1981,21.06,15.38,8.8,17.1
22,4,1981,22.58,15.37,5.09,20.84
23,4,1981,21.57,15.47,7.4,18.77
24,4,1981,20.84,15.5,13.43,14.15
25,4,1981,21.48,14.8,11.14,18.27
26,4,1981,22.7,14,7.38,20.23
27,4,1981,22.69,16.08,4.69,20.02
28,4,1981,23.67,13.34,0,22.11
29,4,1981,23.8,15.15,0,24.62
30,4,1981,24.85,14.92,0,25.4
1,5,1981,23.46,15.68,4.76,20.73
2,5,1981,22.87,14.98,0,20.59
3,5,1981,23.19,15.87,4.21,21.06
4,5,1981,23.54,15.02,5.35,21.91
5,5,1981,23.9,15.99,3.36,20.54
6,5,1981,23.7,15.19,2.48,20.81
7,5,1981,25.88,15.49,0,24.98
8,5,1981,25.3,15.6,1.48,23.11
9,5,1981,24.4,15.43,8.81,21.9
10,5,1981,22.62,16.39,0,19.39
11,5,1981,23.27,14.83,1.2,20.81
12,5,1981,24.88,15.49,0,21.97
13,5,1981,25.63,14.83,0,23.66
14,5,1981,25.88,15.31,0,24.26
15,5,1981,24.06,15.83,5.12,22.2
16,5,1981,25.32,15.98,0,22.7
17,5,1981,23.92,16.62,4.33,20.89
18,5,1981,23.63,15.25,6.85,19.87
19,5,1981,23.88,15.57,0,20.64
20,5,1981,23.87,16.13,0,21.52
21,5,1981,23,15.99,0,19.32
22,5,1981,21.81,15.82,0.71,15.52
23,5,1981,22.7,16.58,0,17.05
24,5,1981,22.29,16.06,0,17.75
25,5,1981,23.53,15.07,0,20.1
26,5,1981,23.88,15.05,0,19.43
27,5,1981,22.64,14.79,0,18.86
28,5,1981,23.72,14.35,0,20.5
29,5,1981,23.07,14.71,0.52,18.41
30,5,1981,23.48,15.53,0,15.83
31,5,1981,24.18,15.27,0,18.08
1,6,1981,23.52,14.37,0,20.12
2,6,1981,23.45,14.33,0,20.64
3,6,1981,22.43,15.02,14.71,18.92
4,6,1981,22.89,16.12,0,16.24
5,6,1981,22.85,15.35,0,17.23
6,6,1981,23.64,15.4,1.26,18.5
7,6,1981,21.67,16.14,0,13.83
8,6,1981,22.34,15.84,0,16.66
9,6,1981,22.98,15.24,0,18.17
10,6,1981,23.71,15.74,0,18.03
11,6,1981,23.67,14.95,0,17.91
12,6,1981,22.74,15.31,0,15.76
13,6,1981,23.29,15.37,0,17.43
14,6,1981,25.51,13.99,0,20.79
15,6,1981,26.31,14.48,0,20.7
16,6,1981,24.19,14.67,0,18.95
17,6,1981,23.38,15.25,0,16.28
18,6,1981,23.72,14.7,0,17.58
19,6,1981,24.13,15.48,0,17.11
20,6,1981,23.66,14.95,0,18.12
21,6,1981,24.53,14.2,0,19.49
22,6,1981,25.24,15.08,0,20.17
23,6,1981,26.87,15.19,0,20.06
24,6,1981,26.53,14.46,0,19.76
25,6,1981,24.98,14.68,0,19.94
26,6,1981,26.86,14.61,0,20.13
27,6,1981,26.6,15.08,0,20.3
28,6,1981,24.38,15.71,0,18.59
29,6,1981,24.55,16.6,4.13,17.66
30,6,1981,24.37,15.65,0,18.17
1,7,1981,24.9,16.67,0,18.12
2,7,1981,23.76,15.11,0,18.26
3,7,1981,22.92,16.16,0,16.35
4,7,1981,21.73,15.49,0,15.54
5,7,1981,22.7,15.05,0,15.6
6,7,1981,22.54,15.86,0,15.51
7,7,1981,23.22,15.72,0,15.77
8,7,1981,23.54,14.43,0.38,17.48
9,7,1981,24.69,15.12,0,18.71
