day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.95,13.39,0,21.85
2,1,1981,28.31,14.38,0,20.95
3,1,1981,29.42,15.32,0,21.45
4,1,1981,27.7,16.09,0.1,19.88
5,1,1981,27.45,14.52,0.1,20.64
6,1,1981,27.06,15.8,0,20.8
7,1,1981,26.63,13.77,0,23.03
8,1,1981,26.2,13.16,0,22.66
9,1,1981,26.05,14.23,0,20.86
10,1,1981,29.19,13.63,0,22.79
11,1,1981,29.37,14.61,0,22.78
12,1,1981,26.04,15.73,0,19.4
13,1,1981,26.8,13.52,0,22.83
14,1,1981,26.42,13.48,0,22.19
15,1,1981,26.91,14.55,0,22.64
16,1,1981,27.28,14.13,0,22.68
17,1,1981,28.03,14.06,0,22.11
18,1,1981,29.73,14.18,0,22.89
19,1,1981,27.96,15.24,0,21.88
20,1,1981,27.4,15.31,0,20.76
21,1,1981,29.9,15.44,0,23.02
22,1,1981,28.3,16.27,0,21.51
23,1,1981,29.5,17.1,0,21.34
24,1,1981,27.98,16.66,0,19.29
25,1,1981,29.69,15.32,0,23.28
26,1,1981,30.25,15.48,0,23.57
27,1,1981,28.5,15.14,0,23.44
28,1,1981,27.3,15.05,0,23.07
29,1,1981,25.83,14.86,0,20.18
30,1,1981,26.71,14.78,0,24.15
31,1,1981,26.55,12.85,0,24.51
1,2,1981,26.57,12.43,0,24.08
2,2,1981,25.98,12.98,0,23.9
3,2,1981,26.29,13.26,0,24.13
4,2,1981,27.26,14.1,0,22.86
5,2,1981,26.66,14.37,0,21.24
6,2,1981,28.12,14.62,0,23.06
7,2,1981,27.62,15.06,0,22.77
8,2,1981,28.74,14.88,0,24
9,2,1981,29.98,14.85,0,23.56
10,2,1981,28.75,15.91,0,21.81
11,2,1981,23.15,16.22,5.05,14.11
12,2,1981,23.25,16.27,4.77,11.88
13,2,1981,24.28,15.62,0,17.29
14,2,1981,23.93,15.8,4.4,15.75
15,2,1981,25.65,15.12,0,19.38
16,2,1981,27.37,16.1,0,18.63
17,2,1981,26.92,16.35,0,18.88
18,2,1981,24.15,16.04,0.4,17.11
19,2,1981,27.34,15.93,0,20.85
20,2,1981,27.62,16.17,0,21.48
21,2,1981,28.33,16.42,0,22.01
22,2,1981,29.33,16.27,0,22.17
23,2,1981,30.26,15.37,0,24.68
24,2,1981,31.86,16.54,0,24.01
25,2,1981,30.42,16.13,0,23.73
26,2,1981,29.15,17.05,0,22.65
27,2,1981,30.19,16.14,0,23.48
28,2,1981,31.14,17.13,0,23.21
1,3,1981,31.7,18.22,0,22.78
2,3,1981,30.48,17.42,5.64,21.13
3,3,1981,24.74,16.91,23.51,15.92
