day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.74,11.83,0,20.04
2,1,1981,22.87,10.94,2.14,19.06
3,1,1981,23.94,11.04,0,20.05
4,1,1981,24.41,10.79,3.79,22.32
5,1,1981,24.68,11.23,0,22.5
6,1,1981,24.25,11.84,0,20.9
7,1,1981,23.71,11.41,0,23.19
8,1,1981,23.65,9.28,0,23.88
9,1,1981,23.59,9.31,0,23.36
10,1,1981,23.89,9.89,0,23.52
11,1,1981,24.33,11.01,0,23.26
12,1,1981,23.27,11.66,0,18.4
13,1,1981,24.26,11.91,0,20.8
14,1,1981,24.52,12.55,0,21.47
15,1,1981,24.56,12.12,0,20.75
16,1,1981,24.98,12.22,0,22.07
17,1,1981,25.08,12.29,0,23.12
18,1,1981,24.86,11.98,0,23.36
19,1,1981,24.8,12.01,0,23.5
20,1,1981,25.19,11.38,0,24.12
21,1,1981,24.22,11.76,0,21.21
22,1,1981,24.68,12.02,0,21.09
23,1,1981,25.59,12.38,0,22.79
24,1,1981,25.19,11.85,0,21.24
25,1,1981,25.64,11.46,0,23.55
26,1,1981,25.57,11.37,0,23.12
27,1,1981,25.36,11.91,0,21.6
28,1,1981,25.42,11.4,0,24.16
29,1,1981,25.23,11.02,0,23.84
30,1,1981,24.92,11.5,0,22.36
31,1,1981,25.13,10.83,0,24.72
1,2,1981,25.12,9.04,0,25.16
2,2,1981,25.29,9.35,0,24.91
3,2,1981,25.75,9.43,0,25.12
4,2,1981,25.42,9.98,0,24.98
5,2,1981,25.16,10.27,0,23.29
6,2,1981,25.86,10.72,0,23.98
7,2,1981,25.88,10.4,0,24.42
8,2,1981,25.36,11.24,0,22.65
9,2,1981,24.09,11.81,0,20.29
10,2,1981,23.8,13.41,0.36,19.58
11,2,1981,23.75,12.88,0,21.15
12,2,1981,23.07,13.69,0,19.59
13,2,1981,24.29,11.87,0,22
14,2,1981,24.49,11.83,0,23.11
15,2,1981,24.46,12.07,10.73,22.87
16,2,1981,25.21,11.66,3.63,24.25
17,2,1981,24.68,11.83,0,21.8
18,2,1981,23.47,12.3,0,21.12
19,2,1981,25,12.67,0.37,21.88
20,2,1981,24.45,12.2,0,22.92
21,2,1981,26.62,12.02,0,24.79
22,2,1981,26.61,11.66,0,25.3
