day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.73,14.96,0,19.45
2,1,1981,24.39,15.17,0,19.84
3,1,1981,24.06,15.7,0,19.55
4,1,1981,24.54,15.14,0,19.1
5,1,1981,25.07,14.51,0,20.42
6,1,1981,24.18,14.98,0,19.1
7,1,1981,23.69,14.72,0,20.1
8,1,1981,24.45,14.76,0,20.3
9,1,1981,24.55,15.31,0,20.14
10,1,1981,24.9,15,0,20.09
11,1,1981,24.8,15.46,0,20.67
12,1,1981,25.4,14.71,0,20.94
13,1,1981,24.6,14.9,0,19.35
14,1,1981,25.44,14.77,0,19.98
15,1,1981,25.97,14.94,0,19.94
16,1,1981,26.03,15.72,0,20.52
17,1,1981,25.86,16.59,0,19.45
18,1,1981,25.87,15.61,0,20.36
19,1,1981,25.89,14.87,0,20.26
20,1,1981,26.29,14.97,0,21.49
21,1,1981,24.9,15.51,0,19.78
22,1,1981,25.02,15.3,0,19.93
23,1,1981,24.76,16.07,0,19.54
24,1,1981,24.83,15.59,0,19.89
25,1,1981,25.33,15.64,0,20.07
26,1,1981,25.98,16.03,0,20.61
27,1,1981,25.23,15.4,0,21.35
28,1,1981,26.01,14.6,0,22.2
29,1,1981,25.11,14.97,0.25,20.98
30,1,1981,24.99,15.4,2.79,20.39
31,1,1981,25.81,15.32,0,22
1,2,1981,26.28,14.81,0,22.36
2,2,1981,25.98,14.88,0,22.29
3,2,1981,26.94,14.64,0,23.05
4,2,1981,26.78,14.32,0,22.48
5,2,1981,26.49,14.63,0,21.42
6,2,1981,27.27,14.87,0,22.7
7,2,1981,26.53,15.24,0,21.51
8,2,1981,26.34,15.56,0,20.12
9,2,1981,25.51,16.13,0,21.06
10,2,1981,25.07,15.37,0,21.36
11,2,1981,25.79,14.39,0,21.91
12,2,1981,25.75,13.61,0,23.16
13,2,1981,26.37,13.64,0,23.3
14,2,1981,26.97,13.64,0,23.49
15,2,1981,26.59,13.96,0,23.4
16,2,1981,26.85,14.98,0,23.44
