day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.45,13.33,0,22.77
2,1,1981,26.38,13.63,0,22.27
3,1,1981,26.9,15.07,0,20.92
4,1,1981,26.45,15.5,2.15,18.57
5,1,1981,27.77,13.86,2.15,20.91
6,1,1981,27.62,14.08,0,23.13
7,1,1981,26.77,12.14,0,24.55
8,1,1981,26.76,12.08,0,24.27
9,1,1981,25.98,13.39,1.52,24.1
10,1,1981,26.54,12.81,1.52,24.01
11,1,1981,26.29,14.42,0,24.12
12,1,1981,27.61,14.91,0,23.67
13,1,1981,27.16,12.82,0,23.23
14,1,1981,28.04,13.37,0,23.42
15,1,1981,27.28,12.92,0,23.52
16,1,1981,26.91,13.03,0,23.57
17,1,1981,26.19,13.96,0,24.03
18,1,1981,26.84,13.83,0,24.39
19,1,1981,27.05,14.2,0,23.95
20,1,1981,27.41,14.63,0,23.74
21,1,1981,26.62,13.84,0,23.54
22,1,1981,27.46,14.4,0,22.75
23,1,1981,27.77,15.18,0,22.45
24,1,1981,27.43,14.83,0,23.22
25,1,1981,27.64,14.03,0,24.5
26,1,1981,27.42,14.52,0,25.33
27,1,1981,28.47,13.62,0,25.45
28,1,1981,28.29,12.2,0,24.71
29,1,1981,27.39,13.96,0,22.39
30,1,1981,27.57,12.77,0,26.35
31,1,1981,27.65,11.72,0,26.62
1,2,1981,28.06,13.11,0,26.01
2,2,1981,27.17,13.47,0,25.89
3,2,1981,28.14,13,0,26.14
4,2,1981,27.54,13.3,0,24.5
5,2,1981,27.01,13.82,0,23.76
6,2,1981,27.53,14.11,0,25.15
7,2,1981,26.73,13.84,0,24.9
8,2,1981,27.31,13.89,0,25.35
9,2,1981,26.19,14.83,0,24.82
10,2,1981,28.17,14.36,0,23.58
11,2,1981,26.56,15.99,0,15.12
12,2,1981,24.59,15.81,0,16.93
13,2,1981,22.75,13.81,6.52,13.1
14,2,1981,22.79,14.6,7.05,16.41
15,2,1981,22.29,15.17,0,16.86
16,2,1981,21.66,14.61,0,17.22
