day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.42,14.21,0,23.04
2,1,1981,27.2,13.59,0,22.35
3,1,1981,27.98,14.34,0,22.19
4,1,1981,27.08,16.02,3.39,18.96
5,1,1981,28.43,14.13,3.39,23.8
6,1,1981,28.3,13.28,0,25.02
7,1,1981,27.39,11.41,0,25.13
8,1,1981,27.31,12.51,0,24.73
9,1,1981,26.86,13.14,0,24.42
10,1,1981,27.79,13.71,0,24.47
11,1,1981,27.12,13.48,0,24.82
12,1,1981,27.59,14.7,0,24.62
13,1,1981,26.82,12.91,0,24.68
14,1,1981,27.28,13.73,0,24.82
15,1,1981,27.43,12.65,0,23.6
16,1,1981,27.47,12.72,0,23.71
17,1,1981,27.16,12.84,0,24.48
18,1,1981,27.84,13.38,0,25.01
19,1,1981,27.73,13.51,0,24.16
20,1,1981,28.12,14.69,0,24.08
21,1,1981,27.26,13.87,0,24.29
22,1,1981,27.54,14.65,0,22.51
23,1,1981,28.67,15.79,0,23.68
24,1,1981,28.5,14.52,0,23.19
25,1,1981,28.58,15.09,0,24.95
26,1,1981,28.39,13.8,0,25.89
27,1,1981,29.1,14.31,0,25.96
28,1,1981,28.53,12.98,0,25.37
29,1,1981,27.67,13.47,0,25.65
30,1,1981,27.52,11.36,0,26.77
31,1,1981,27.54,11.22,0,26.87
1,2,1981,28.23,12.42,0,26.52
2,2,1981,26.68,12.71,0,26.66
3,2,1981,27.62,12.72,0,26.41
4,2,1981,27.86,13.03,0,25.38
5,2,1981,27.76,13.35,0,23.83
6,2,1981,28.4,13.47,0,25.83
7,2,1981,28.34,13.1,0,24.88
8,2,1981,28.34,14.02,0,26.06
9,2,1981,27.47,13.69,0,25.1
10,2,1981,28.53,15.89,0,23.8
11,2,1981,25.58,16.69,0,17.04
12,2,1981,24.28,16.38,0,14.72
13,2,1981,21.56,14.57,8.58,13.48
14,2,1981,23.15,15.28,0,17.33
15,2,1981,23.72,15.92,0.07,18.26
16,2,1981,24.27,14.53,0,17.72
17,2,1981,26.22,14.99,0,21.13
18,2,1981,26.76,15.45,0,23.33
19,2,1981,27.07,14.73,0,21.19
20,2,1981,27.01,14.37,0,22.79
21,2,1981,28.58,15.7,0,24.14
22,2,1981,29.22,14.21,0,25.21
23,2,1981,29.7,15.4,0,26.15
24,2,1981,29.61,16.02,0,25.73
25,2,1981,29.78,15.42,0.75,25.29
26,2,1981,29.24,15.03,0,24.2
27,2,1981,29.03,15.95,0,24.9
28,2,1981,29.07,16.45,0,23.48
1,3,1981,28.54,16.33,0,24.14
2,3,1981,27.86,16.12,0,22.57
3,3,1981,26.13,17.19,13.34,18.39
4,3,1981,24.59,16.59,14.62,15.69
5,3,1981,23.49,16.54,0,12.63
6,3,1981,25.71,15.95,0,21.21
7,3,1981,27.34,13.33,0,24.37
8,3,1981,27.41,13.63,0,27.75
9,3,1981,27.95,14.63,3.36,24.59
10,3,1981,27.49,16.8,0,23.46
