day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.73,9.26,0,19.64
2,1,1981,20.08,9.15,0.21,18.45
3,1,1981,21.25,9.2,0,19.59
4,1,1981,21.58,9.1,0.21,21.27
5,1,1981,21.62,8.64,0,22.98
6,1,1981,21.19,8.14,0,21.18
7,1,1981,20.73,7.9,0,23.05
8,1,1981,20.58,6.7,0,23.8
9,1,1981,20.46,7.11,0,22.64
10,1,1981,21.28,7.58,0,23.07
11,1,1981,21.57,8.46,0,21.49
12,1,1981,19.86,9.2,0,15.48
13,1,1981,21.15,8.61,0,19.23
14,1,1981,20.94,8.75,0,19.86
15,1,1981,20.34,8.84,0,18.59
16,1,1981,21.41,8.56,0,21.01
17,1,1981,21.61,8.86,0,23
18,1,1981,21.87,8.75,0,23.64
19,1,1981,22.01,8.81,0,23.51
20,1,1981,22.19,8.1,0,24.1
21,1,1981,22.36,8.78,0,22.38
22,1,1981,21.83,9.45,0,19.92
23,1,1981,22.38,10.47,0,22.37
24,1,1981,21.75,8.93,0,20.36
25,1,1981,22.46,8.49,0,23.69
26,1,1981,22.63,8.61,0,22.53
27,1,1981,22.04,8.74,0,21.03
28,1,1981,22.19,8.45,0,24.25
29,1,1981,22,8.04,0,23.05
30,1,1981,21.72,8.24,0,23.48
31,1,1981,21.84,7.76,0,25.04
1,2,1981,21.55,6.6,0,25.19
2,2,1981,21.76,7.01,0,24.94
3,2,1981,22.27,6.91,0,25.14
4,2,1981,22,7.31,0,24.95
5,2,1981,21.72,7.7,0,22.54
6,2,1981,22.4,8.07,0,24.49
7,2,1981,22.24,7.97,0,24.62
8,2,1981,22.77,8.71,0,23.05
9,2,1981,21.97,9,0,20.56
10,2,1981,21.18,11.03,0,18.65
11,2,1981,20.59,10.21,1.26,18.85
12,2,1981,19.13,10.88,19.28,17.1
13,2,1981,20.85,9.92,0,20.69
14,2,1981,21.18,9.85,0,22.28
15,2,1981,20.9,9.97,0,21.8
16,2,1981,21.92,9.71,0,21.75
17,2,1981,21.26,9.93,0,20.95
18,2,1981,20.33,9.6,0,21.02
19,2,1981,21.5,9.84,0,20.92
20,2,1981,21.41,9.67,0,22.83
21,2,1981,23.09,8.84,0,24.33
22,2,1981,23.6,8.48,0,25.33
23,2,1981,23.95,8.97,0,24.38
24,2,1981,24.08,9.43,0,23.22
25,2,1981,24.14,9.33,0,23.91
26,2,1981,22.86,9.02,0,23.05
27,2,1981,22.38,9.57,0,21.17
28,2,1981,21.37,10.27,0,19.85
1,3,1981,22.85,10.21,14.33,22.01
2,3,1981,21.68,11.3,23.18,20.73
3,3,1981,20.27,10.87,2.55,19.5
4,3,1981,19.6,10.46,18.46,19.52
5,3,1981,19.8,10.9,21.24,17.76
6,3,1981,20.01,10.6,0.97,20.94
7,3,1981,20.54,10.47,0,21.2
8,3,1981,20.36,9.24,0,24.43
9,3,1981,21.56,9.06,0,24.34
10,3,1981,20.48,10.49,0,21.25
11,3,1981,21.01,9.71,7.19,22.62
12,3,1981,20.42,10.07,0,20.6
13,3,1981,20.27,10.44,3.68,19.23
14,3,1981,20.63,11.35,0.63,20.23
15,3,1981,20.34,11.28,0,18.29
16,3,1981,20.32,10.94,8.96,19.89
17,3,1981,21.24,10.59,4.1,23.68
18,3,1981,21.66,10.11,4.67,24.73
19,3,1981,21.68,10.99,0.63,22.61
20,3,1981,20.59,10.57,2.58,20.2
21,3,1981,20.91,10.9,1.17,21.99
22,3,1981,20.39,10.29,0,20.73
23,3,1981,20.83,10.36,12.03,21.77
24,3,1981,19.77,10.02,12,19.7
25,3,1981,19.5,10.56,13.06,20.08
26,3,1981,20.47,11.14,10.34,19.95
27,3,1981,18.62,11.5,0,15.97
28,3,1981,18.77,10.17,0,18.1
29,3,1981,18.21,10.51,0,16.96
30,3,1981,19.71,10.96,19.77,18.56
31,3,1981,19.62,11.17,0,19.16
1,4,1981,18.24,10.43,7.6,16.88
2,4,1981,18.66,11.07,0,17.95
3,4,1981,19.07,10.66,0,18.33
4,4,1981,19.86,10.01,3,20.73
5,4,1981,18.99,11.29,0,18.51
6,4,1981,19.63,10.43,0,20.05
7,4,1981,20,10.51,0,21.52
8,4,1981,19.65,10.5,0,19.74
9,4,1981,19.43,10.17,0,20.28
10,4,1981,20.02,10.17,0,21.21
11,4,1981,19.72,10.51,0,20.12
12,4,1981,19.42,10.54,0,19.84
13,4,1981,19.25,10.42,0,20.38
14,4,1981,19.36,10.3,0.8,21.04
15,4,1981,20.31,10.48,0,22.59
16,4,1981,21.42,10.6,0,24
17,4,1981,19.7,10.19,0,20.45
18,4,1981,20.2,10.63,14.78,22.69
19,4,1981,19.76,10.59,0,22.7
