day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.72,19.29,0,23.81
2,1,1981,31.76,19.67,0,23.84
3,1,1981,31.05,20.06,0,21.27
4,1,1981,30.52,20.03,0,19.62
5,1,1981,32.88,19.64,0,21
6,1,1981,32.13,21.58,0,19.51
7,1,1981,31.8,20.18,0,24.11
8,1,1981,31.43,19.4,0,24.35
9,1,1981,31.58,18.67,0,24.37
10,1,1981,32.03,19.01,0,23.3
11,1,1981,32.03,19.98,0,24.38
12,1,1981,31.22,19.39,0,24.26
13,1,1981,31.98,19.53,0,21.6
14,1,1981,32.71,19.58,0,23.32
15,1,1981,31.69,20.34,0,24.49
16,1,1981,31.82,19.77,0,21.94
17,1,1981,31.67,20.78,0,23.75
18,1,1981,31.48,20.16,0,24.69
19,1,1981,32.03,18.64,0,24.89
20,1,1981,32.18,19.28,0,24.79
21,1,1981,31.46,19.51,0,24.09
22,1,1981,32.6,19.43,0,23.82
23,1,1981,32.7,20.11,0,24.14
24,1,1981,32.91,20.35,0,24.83
25,1,1981,32.89,20.3,0,24.69
26,1,1981,32.23,19.25,0,25.06
27,1,1981,33.54,18.04,0,25.43
28,1,1981,32.15,18.48,0,25.36
29,1,1981,33.04,19.1,0,25.12
30,1,1981,32,21.43,0,25.15
31,1,1981,32.22,20.39,0,25.17
1,2,1981,32.1,19.7,0,25.37
2,2,1981,32.26,19.05,0,25.43
3,2,1981,33.6,18.88,0,25.63
4,2,1981,32.22,20.6,0,25.29
5,2,1981,31.82,20.68,0,24.36
6,2,1981,32.51,20.9,0,25.29
7,2,1981,32.02,20.08,0,25.68
8,2,1981,32.54,19.76,0,25.27
9,2,1981,32.24,20.5,0,25.63
10,2,1981,32.79,20.16,0,24.34
11,2,1981,32.62,21.15,0,21.82
12,2,1981,32.93,22.01,0,21.56
13,2,1981,31.27,22.95,3.96,20.16
14,2,1981,29.95,21.85,5.19,18.8
15,2,1981,30.25,22.54,0,20.41
16,2,1981,30.5,22.34,0,18.52
17,2,1981,31.09,22.09,0,17.72
18,2,1981,33.54,21.93,0,24.92
19,2,1981,33.47,22.07,0,23.05
20,2,1981,33.67,21.8,0,25.88
21,2,1981,33.77,21.99,0,25.93
22,2,1981,33.5,22.07,0,26.01
23,2,1981,33.83,20.64,0,26.03
24,2,1981,33.98,21.4,0,26.03
25,2,1981,33.77,21.43,0,26.07
26,2,1981,32.25,20.9,0,26.03
27,2,1981,33.43,20.33,0,26.17
28,2,1981,33.83,21.35,0,24.11
1,3,1981,31.88,21.85,0,22.55
2,3,1981,31.79,21.62,0,22.12
3,3,1981,31.58,21.04,0,23.14
4,3,1981,31.97,22.82,1.81,21.86
5,3,1981,32.39,22.79,0,19.74
6,3,1981,31.32,22.84,0,17.9
7,3,1981,33.11,21.56,0,26.28
8,3,1981,33.81,21.2,0,26.11
9,3,1981,32.34,22.96,0,22.88
10,3,1981,31.72,22.17,0,20.28
11,3,1981,28.55,20.82,0,15.79
12,3,1981,29.41,20.97,0,19.21
13,3,1981,29.44,21.06,2.27,21.17
14,3,1981,29.78,20.81,0,21.02
15,3,1981,29.88,21.35,0,20.71
16,3,1981,24.23,20.96,0,8.9
17,3,1981,28.93,20.28,0,20.81
18,3,1981,27.69,20.76,0,17.14
19,3,1981,25.74,20.91,42.81,12.87
20,3,1981,25.77,20.5,0,12.99
21,3,1981,29,20.04,0,22.56
22,3,1981,26.55,20.4,15.52,16.3
23,3,1981,28.32,20.23,28.64,18.79
24,3,1981,26.61,20.23,19.63,18.98
25,3,1981,29.6,20.41,0,23.6
26,3,1981,27.63,20.87,12.43,17.21
27,3,1981,29.38,20.37,15.92,23.06
28,3,1981,28.9,20.67,1.84,22.23
29,3,1981,28.89,20.69,0,22.09
30,3,1981,29.16,20.76,54.65,21.05
31,3,1981,28.44,20.81,0,19.27
1,4,1981,28.74,20.73,0,20.26
2,4,1981,28.83,20.68,0,21.92
3,4,1981,29.77,20.05,0,23.88
4,4,1981,29.2,21.08,12.63,20.41
5,4,1981,27.14,20.71,0,17.05
6,4,1981,29.29,19.65,0,23.33
7,4,1981,29.43,19.71,0,23.87
8,4,1981,30.51,20.04,0,24.54
9,4,1981,30.33,21.03,0,23.37
10,4,1981,28.94,20.81,8.5,20.53
11,4,1981,29.1,21.04,33.93,19.24
12,4,1981,29.89,21.26,16.97,21.84
13,4,1981,29.7,21.39,0,21.78
14,4,1981,28.9,20.89,0,20.07
15,4,1981,29.84,20.92,0.25,20.66
16,4,1981,28.63,20.76,0,19.78
17,4,1981,28.27,20.78,0,17.74
18,4,1981,27.84,20.92,11.17,17.36
19,4,1981,28.92,20.96,36.7,20.28
20,4,1981,28.38,20.8,22.45,20.89
21,4,1981,28.97,20.65,17.32,20.38
22,4,1981,26.83,21.1,15.46,15.08
23,4,1981,26.46,20.6,20.87,15.97
24,4,1981,26.92,20.59,9.95,16.24
25,4,1981,27.09,20.4,17.83,16
26,4,1981,27.23,20.34,16.95,17.43
27,4,1981,26.68,20.34,12.11,16.49
28,4,1981,28.96,20.36,0,20.29
29,4,1981,28.32,20.47,0,20.82
30,4,1981,29.57,20.15,0,23.49
1,5,1981,28.55,20.63,0,20.53
2,5,1981,27.65,20.65,28.25,18.02
3,5,1981,28.92,20.45,63.16,21.4
4,5,1981,27.78,20.51,0,17.76
5,5,1981,28.19,20.5,0,18.52
6,5,1981,29.01,20.69,0,21.2
7,5,1981,29.41,20.14,0,22.5
8,5,1981,29.43,20.82,0,21.94
9,5,1981,29.12,21.21,0,21.84
10,5,1981,28.52,20.4,0,20.27
11,5,1981,29.31,20.6,0,21.51
12,5,1981,27.89,21.1,5.3,16.87
13,5,1981,28.9,20.94,0,19.61
14,5,1981,28.3,20.52,0,17.82
15,5,1981,28.46,20.7,0,17.72
16,5,1981,30.07,20.38,0,21.7
17,5,1981,30.25,21.23,0.77,19.12
18,5,1981,30.04,21.3,0,19.37
19,5,1981,30.51,20.73,0,19.73
20,5,1981,30.53,21.41,0,21.13
21,5,1981,28.59,20.81,0,18.63
