day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.25,17.95,0,23.48
2,1,1981,31.19,18.61,0,22.67
3,1,1981,32.27,18.42,0,23.58
4,1,1981,31.39,18.62,0,22.59
5,1,1981,31.75,18.74,0,22.84
6,1,1981,32.26,18.25,0,23.79
7,1,1981,31.06,19.28,0,21.19
8,1,1981,31.33,17.91,0,24
9,1,1981,31.91,18.61,0,23.18
10,1,1981,32.71,18.24,0,23.98
11,1,1981,33.1,17.76,0,24.3
12,1,1981,30.89,19.24,0,22.08
13,1,1981,31.56,18.23,0,23.89
14,1,1981,32.17,17.91,0,24.36
15,1,1981,32.41,19.11,0,23.75
16,1,1981,32,19.94,0,24.08
17,1,1981,31.5,18.92,0,24.36
18,1,1981,32,17.65,0,24.76
19,1,1981,32.24,18.74,0,24.52
20,1,1981,31.5,19.38,0,23.05
21,1,1981,31.19,18.8,0,24.21
22,1,1981,32.01,19.11,0,24.06
23,1,1981,31.53,19.05,0,23.36
24,1,1981,31.84,18.38,0,24.02
25,1,1981,31.81,17.73,0,23.5
26,1,1981,32.28,16.81,0,25.26
27,1,1981,33.63,16.06,0,25.32
28,1,1981,32.4,18.2,0,24.96
29,1,1981,32.54,17.93,0,25.01
30,1,1981,32.26,18.73,0,25.05
31,1,1981,32.29,19.48,0,24.45
1,2,1981,32.9,17.48,0,25.5
2,2,1981,32.25,18.19,0,25.24
3,2,1981,33.49,17.34,0,25.31
4,2,1981,32.15,18.62,0,25.16
5,2,1981,32.78,19.39,0,25.52
6,2,1981,33.03,18.92,0,26.09
7,2,1981,31.8,18.32,0,25.27
8,2,1981,32.58,19.48,0,25.61
9,2,1981,32.58,19.68,0,25.2
10,2,1981,33.42,20.11,0,25.29
11,2,1981,33.02,21.71,0,20.96
12,2,1981,32.89,21.29,1.18,19.21
13,2,1981,31.7,21.52,7.37,18.35
14,2,1981,31.48,21.49,0,16.08
15,2,1981,32.43,20.48,0,16.7
16,2,1981,32.63,19.66,0,25.93
17,2,1981,33.18,18.79,0,26.04
18,2,1981,34.31,19.57,0,25.93
19,2,1981,32.57,19.58,0,25.62
20,2,1981,32.56,19.79,1.12,25.15
21,2,1981,34.19,19.04,0,26.24
22,2,1981,33.33,18.83,0,26
23,2,1981,33.52,19.15,0,26.23
24,2,1981,33.68,19.55,0,26.35
25,2,1981,33.77,18.83,0,26.57
26,2,1981,33.28,19.45,0,26.2
27,2,1981,33.2,19.84,0,25.85
28,2,1981,34.2,19.74,0,26.57
