day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.12,13.26,0,23.04
2,1,1981,26.72,14.77,0,22.03
3,1,1981,27.45,15.67,0,22.68
4,1,1981,27.41,15.1,0,20.74
5,1,1981,28.89,14.16,0,23.52
6,1,1981,28.78,13.02,0,24.7
7,1,1981,27.56,12.23,0,24.34
8,1,1981,27.2,13.28,0,24.18
9,1,1981,26.73,12.44,0.1,23.74
10,1,1981,27.65,13.01,0.1,24.03
11,1,1981,26.71,13.03,0,24.16
12,1,1981,27.78,13.32,0,23.77
13,1,1981,27.48,14,0,23.68
14,1,1981,27.71,13.82,0,24.21
15,1,1981,26.95,13.37,0,23.83
16,1,1981,27.11,13.43,0,23.74
17,1,1981,26.47,13.51,0,24.06
18,1,1981,27.18,14.04,0,24.34
19,1,1981,27.36,13.47,0,24.14
20,1,1981,28.17,14.07,0,24.17
21,1,1981,26.82,14.82,0,24.28
22,1,1981,27.28,15.27,0,23.47
23,1,1981,27.82,15.05,0,23.69
24,1,1981,28.24,14.37,0,23.83
25,1,1981,28.5,14.05,0,24.42
26,1,1981,27.97,13.34,0,25.28
27,1,1981,29.21,13.42,0,25.47
28,1,1981,29.15,12.97,0,25.29
29,1,1981,28.56,13.66,0,25.39
30,1,1981,28.48,11.63,0,26
31,1,1981,28.4,10.98,0,26.21
1,2,1981,28.68,13.01,0,25.91
2,2,1981,28.01,13.2,0,26.1
3,2,1981,28.82,13.15,0,25.88
4,2,1981,27.97,13.15,0,25.54
5,2,1981,27.6,13.45,0,24.67
6,2,1981,28.18,13.12,0,25.7
7,2,1981,27.45,12.84,0,25.29
8,2,1981,27.75,13.21,0,25.57
9,2,1981,27,14.19,0,25.1
10,2,1981,28.08,16.14,0,24.47
11,2,1981,27.3,17.37,2.7,19.44
12,2,1981,25.8,16.69,2.26,18.13
13,2,1981,23.53,15.46,7.16,15.44
14,2,1981,24.62,15.69,2.7,18.13
15,2,1981,24.16,16.2,0,17.21
16,2,1981,24.63,15.64,0,16.14
17,2,1981,26.87,15.24,0,22.84
18,2,1981,28,15.38,0,24.77
19,2,1981,28.4,15.18,0,21.58
20,2,1981,28.77,15.11,0.47,23.73
21,2,1981,29.89,15.34,0,24.74
22,2,1981,29.29,15,0,25.63
23,2,1981,29.99,15.55,0,26.06
24,2,1981,29.82,15.53,0,26.15
25,2,1981,30.41,15.11,0.51,25.48
26,2,1981,29.14,15.35,0,25.76
27,2,1981,29.34,16.72,0,25.17
28,2,1981,28.93,15.92,0,24.79
1,3,1981,28.87,16.54,0,23.93
2,3,1981,28.1,16.43,0,22.06
3,3,1981,26.66,17.02,3.33,20.18
4,3,1981,26.91,16.79,13.07,18.88
5,3,1981,25.25,17.55,0,14.96
6,3,1981,27.67,16.36,0,21.97
7,3,1981,28.81,14.84,0,24.72
8,3,1981,28.77,13.49,0,27.32
9,3,1981,29.16,15.33,0,24.51
10,3,1981,27.74,16.96,0.29,22.51
11,3,1981,26.14,16.82,0,17.86
12,3,1981,23.81,16.38,0,16.44
13,3,1981,25.69,16.6,0,20.77
14,3,1981,24.3,16.16,0,17.58
15,3,1981,23.84,16.81,19.88,15.04
16,3,1981,23.32,16.4,13.51,13.56
17,3,1981,24.22,16.32,5.99,18.24
18,3,1981,22.71,16.08,0,15.76
19,3,1981,22.38,16.03,10.39,10.37
20,3,1981,22.95,15.74,2.69,17.21
21,3,1981,23.88,16.08,0,20.88
22,3,1981,23.71,16.74,0,17.79
23,3,1981,23.29,15.2,7.95,17.72
24,3,1981,24.39,14.8,7.08,20.57
25,3,1981,24.56,14.91,0,20.61
26,3,1981,23.23,16.49,0,16.67
27,3,1981,23.67,16.57,0,18.42
28,3,1981,22.1,16.07,2.26,15.97
29,3,1981,24.93,16.05,23.12,21.01
30,3,1981,24.54,15.58,13.23,21.08
31,3,1981,26.56,15.72,0,25.84
1,4,1981,24.02,16.68,0,19.39
2,4,1981,25.72,15.87,0,23.68
3,4,1981,25.39,15.44,35.71,22.6
4,4,1981,25.32,15.85,0,21.18
5,4,1981,25.44,15.11,0,22.9
6,4,1981,26.14,15.43,0,27.01
7,4,1981,26.86,16.31,0,25.29
8,4,1981,25.06,15.86,0,22.59
9,4,1981,26.78,16.52,0,23.82
10,4,1981,25.05,16.33,3.92,20.96
11,4,1981,25.17,16.51,19.25,22.36
12,4,1981,25.93,16.6,0,21.49
13,4,1981,25.07,16.64,0,20.96
14,4,1981,25.47,16.32,0,21.02
15,4,1981,25.29,16.92,3.7,20.22
16,4,1981,24.31,16.72,1.72,18.9
17,4,1981,23.88,17.2,0,18.11
18,4,1981,23.78,16.89,0,17.59
19,4,1981,24.01,16.56,1.76,20.56
20,4,1981,24.37,15.73,3.39,20.96
21,4,1981,24.52,16.14,5.25,20.96
22,4,1981,23.87,15.58,8.1,19.71
23,4,1981,23.63,16.25,4.98,19.27
24,4,1981,23.93,16.4,4.76,18.26
25,4,1981,22.68,16.45,5.43,15.24
26,4,1981,24.46,15.38,13.68,20.2
27,4,1981,25.48,16.23,4.48,22.2
28,4,1981,27.61,16.3,0,25.88
29,4,1981,26.98,16.26,0,26.26
30,4,1981,27.17,16.46,0,23.94
1,5,1981,26.33,16.73,0,21.69
2,5,1981,24.41,17.16,2,19.04
3,5,1981,25.47,17.08,3.86,21.12
4,5,1981,25.47,16.3,2.85,21.21
5,5,1981,26,15.4,0,22.32
6,5,1981,27.25,16.71,1.68,23.21
7,5,1981,27.06,16.95,1.65,22.83
8,5,1981,26.86,15.9,2.64,22.14
9,5,1981,25.66,16.48,3.01,20.7
10,5,1981,25.1,16.88,0,18.86
11,5,1981,25.32,16.53,0,20.64
12,5,1981,26.86,16.24,0,20.91
13,5,1981,28.87,17.4,0,25.13
14,5,1981,28.73,17.35,0,24.36
15,5,1981,24.99,16.75,2.16,20.84
16,5,1981,26.89,17.46,0,20.8
17,5,1981,26.88,17.5,0,20.53
18,5,1981,25.54,17.82,5.26,18.58
19,5,1981,25.64,17,0,19.11
20,5,1981,26,16.58,0,20.2
21,5,1981,25.07,17.12,0,18.92
