day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.17,14.41,0,23.13
2,1,1981,27.95,13.83,0,22.44
3,1,1981,28.71,14.53,0,22.28
4,1,1981,27.84,16.12,1.22,19.04
5,1,1981,29.17,14.33,1.22,23.9
6,1,1981,29.03,13.53,0,25.12
7,1,1981,28.15,11.76,0,25.23
8,1,1981,28.06,12.8,0,24.83
9,1,1981,27.62,13.39,1.05,24.52
10,1,1981,28.54,13.92,1.05,24.58
11,1,1981,27.88,13.71,0,24.93
12,1,1981,28.34,14.85,0,24.72
13,1,1981,27.58,13.17,0,24.78
14,1,1981,28.04,13.93,0,24.93
15,1,1981,28.19,12.91,0,23.71
16,1,1981,28.22,12.98,0,23.82
17,1,1981,27.92,13.09,0,24.59
18,1,1981,28.59,13.6,0,25.12
19,1,1981,28.49,13.72,0,24.27
20,1,1981,28.87,14.83,0,24.19
21,1,1981,28.02,14.05,0,24.4
22,1,1981,28.3,14.79,0,22.62
23,1,1981,29.42,15.86,0,23.79
24,1,1981,29.25,14.66,0,23.3
25,1,1981,29.33,15.2,0,25.06
26,1,1981,29.14,13.98,0,26
27,1,1981,29.84,14.46,0,26.08
28,1,1981,29.28,13.2,0,25.49
29,1,1981,28.43,13.66,0,25.77
30,1,1981,28.28,11.67,0,26.89
31,1,1981,28.3,11.54,0,26.99
1,2,1981,28.98,12.67,0,26.64
2,2,1981,27.45,12.95,0,26.78
3,2,1981,28.38,12.95,0,26.53
4,2,1981,28.62,13.24,0,25.5
5,2,1981,28.52,13.54,0,23.95
6,2,1981,29.15,13.65,0,25.95
7,2,1981,29.09,13.3,0,25
8,2,1981,29.09,14.17,0,26.18
9,2,1981,28.23,13.86,0,25.22
10,2,1981,29.28,15.93,0,23.91
11,2,1981,26.36,16.68,0.55,17.13
12,2,1981,25.09,16.39,0.54,14.81
13,2,1981,22.4,14.69,6.86,13.56
14,2,1981,23.97,15.35,3.18,17.42
15,2,1981,24.54,15.96,3.18,18.35
16,2,1981,25.07,14.64,0,17.81
17,2,1981,26.99,15.08,0,21.22
18,2,1981,27.53,15.51,0,23.43
19,2,1981,27.83,14.83,0,21.29
20,2,1981,27.77,14.49,0.2,22.89
21,2,1981,29.32,15.75,0,24.24
22,2,1981,29.95,14.33,0,25.32
23,2,1981,30.42,15.47,0,26.26
24,2,1981,30.32,16.05,0,25.84
25,2,1981,30.49,15.48,0.08,25.39
26,2,1981,29.96,15.11,0,24.3
27,2,1981,29.75,15.98,0,25
28,2,1981,29.79,16.45,0,23.57
1,3,1981,29.27,16.33,0,24.23
2,3,1981,28.6,16.14,0,22.66
3,3,1981,26.88,17.14,3.28,18.47
4,3,1981,25.37,16.58,16.32,15.76
5,3,1981,24.28,16.54,0,12.68
6,3,1981,26.46,15.98,0,21.29
7,3,1981,28.07,13.51,0,24.46
8,3,1981,28.14,13.79,0,27.85
9,3,1981,28.67,14.73,0.53,24.67
10,3,1981,28.22,16.78,0,23.53
11,3,1981,26.45,16.43,0,18.47
12,3,1981,24.49,16.29,0,19.51
13,3,1981,26.41,16.4,0,21
14,3,1981,25.14,16.33,0,17.57
15,3,1981,24.36,16.68,14.56,16.75
16,3,1981,23.8,16.51,7.32,14.15
17,3,1981,25.08,16.66,2.5,19.52
18,3,1981,23.77,16.32,0,16.71
19,3,1981,22.9,16.15,5.78,11.67
20,3,1981,24.32,16.03,11.07,18.53
21,3,1981,24.76,16.14,0,20.51
22,3,1981,24.4,16.59,0,18.78
23,3,1981,24.44,15.23,10.09,19.03
24,3,1981,25.16,15.11,5.34,19.35
25,3,1981,25.74,15.13,0,20.52
26,3,1981,24.28,16.59,0,17.71
27,3,1981,24.89,16.9,0,16.99
28,3,1981,24.4,16.2,2.09,15.52
29,3,1981,25.82,16.2,16.82,20.3
30,3,1981,25.56,15.88,20.62,20.3
31,3,1981,27.78,16.57,0,25.99
1,4,1981,24.69,16.66,0,17.67
2,4,1981,26.19,16.71,0,22.46
3,4,1981,25.9,15.62,29.98,22.12
4,4,1981,26.06,15.97,0,20.26
5,4,1981,26.69,15.53,0,22.57
6,4,1981,27.53,16.97,0,24.26
7,4,1981,28.01,17.56,0,24.81
8,4,1981,25.94,16.42,0,22.28
9,4,1981,28.03,16.53,0,23.03
10,4,1981,26.66,16.69,3.6,21.62
11,4,1981,28.29,16.26,19.18,23.17
12,4,1981,27.16,17.34,0,21.92
13,4,1981,26.93,16.85,4.74,21.79
14,4,1981,26.28,16.86,0,21.16
15,4,1981,25.87,17.54,0.97,20.16
16,4,1981,25.62,17.01,2.06,20.42
17,4,1981,24.91,17.15,0,17.81
18,4,1981,23.83,16.91,2.03,16.94
19,4,1981,25.12,16.93,21.34,19.45
20,4,1981,24.66,16.48,3.78,18.94
21,4,1981,24.69,16.57,6.62,18.84
22,4,1981,24.99,16.53,7.33,17.43
23,4,1981,25,16.78,5.25,17.86
24,4,1981,24.99,16.37,6.48,17.56
25,4,1981,23.62,16.45,8.91,16.32
26,4,1981,26.43,15.31,11.03,21.08
27,4,1981,26.57,17.24,3.87,21.83
28,4,1981,28.19,16.26,0,25.18
29,4,1981,27.92,16.78,0,25.93
30,4,1981,28.73,16.34,2.13,25.23
1,5,1981,27.27,16.61,0,22.24
2,5,1981,25.69,17.36,0.4,21.03
3,5,1981,26.37,17.65,4.94,20.56
4,5,1981,26.45,16.99,4.05,21.04
5,5,1981,26.8,15.98,0,22.96
6,5,1981,27.87,17.54,2.31,20.97
7,5,1981,28.57,17.03,2.08,23.61
8,5,1981,29.03,16.02,2.58,23.37
9,5,1981,26.89,16.82,1.63,20.65
10,5,1981,25.78,17.26,0,19.63
11,5,1981,25.7,16.91,0,18.86
12,5,1981,28.69,16.43,0,22.34
13,5,1981,29.44,17.22,0,25.93
14,5,1981,29.54,17.07,0,24.93
15,5,1981,25.28,17.83,0.63,19.66
16,5,1981,28.56,17.78,0,21.76
17,5,1981,27.84,18.16,0,20.59
18,5,1981,26.41,17.96,5.6,17.99
19,5,1981,26.14,17.62,0,17.73
20,5,1981,27.51,16.48,0,20.37
21,5,1981,26.16,18.01,0,18.91
22,5,1981,22.99,17.76,1.94,12.67
23,5,1981,24.45,17.53,0,15.88
24,5,1981,23.19,17.77,0,12.59
25,5,1981,25.52,16.9,0,17.33
26,5,1981,26.21,17.63,0,18.06
27,5,1981,24.68,16.41,0,15.39
28,5,1981,25.71,15.86,0,17.06
29,5,1981,24.72,17.37,1.22,14.37
30,5,1981,26.57,17.35,1.97,17.82
31,5,1981,26.17,17.78,0,17.73
1,6,1981,25.98,16.34,0,18.16
2,6,1981,25.5,15.88,0,18.67
3,6,1981,23.8,17.39,0.78,13.54
4,6,1981,24.84,18.08,0,13.8
5,6,1981,24.51,17.66,0,13.04
6,6,1981,24.21,17.9,0,12.66
7,6,1981,23.3,17.75,0.76,11.77
8,6,1981,23.84,17.85,0,14.16
9,6,1981,25.19,17.48,0,15.63
10,6,1981,25.22,17.18,0,14.76
11,6,1981,25.67,16.67,0,15.65
12,6,1981,23.18,17.33,0,11.82
13,6,1981,24.25,17.31,0,14.45
14,6,1981,26.83,15.8,0,19.47
15,6,1981,28.48,15.72,0,19.61
16,6,1981,24.87,16.62,0,14.14
17,6,1981,24.27,17.43,0.09,12.47
18,6,1981,24.39,16.75,0,13.82
19,6,1981,25.28,17.21,0,14.48
