day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.53,18.4,0,23.78
2,1,1981,31.86,18.54,0,23.66
3,1,1981,32.51,18.87,0,23.69
4,1,1981,31.74,19.19,0,23.66
5,1,1981,32.04,19.1,0,23.46
6,1,1981,31.88,18.54,0,24.06
7,1,1981,30.96,18.75,0,23.49
8,1,1981,31.38,18.55,0,23.95
9,1,1981,31.78,18.58,0,23.92
10,1,1981,32.53,19,0,24.02
11,1,1981,32.88,18.36,0,24.51
12,1,1981,31.33,18.3,0,22.96
13,1,1981,31.67,18.51,0,24.11
14,1,1981,32.24,18.55,0,24.45
15,1,1981,32.27,19.05,0,23.72
16,1,1981,31.76,19.49,0,24.38
17,1,1981,31.48,18.69,0,24.66
18,1,1981,32.12,18.03,0,24.99
19,1,1981,32.55,18.77,0,24.77
20,1,1981,31.55,19.29,0,24.13
21,1,1981,31.53,18.98,0,24.56
22,1,1981,32.33,18.83,0,24.46
23,1,1981,32.39,18.97,0,25.04
24,1,1981,32.22,18.72,0,24.77
25,1,1981,32.04,18.58,0,24.34
26,1,1981,32.38,17.67,0,25.48
27,1,1981,33.71,17.77,0,25.59
28,1,1981,32.07,18.3,0,25.26
29,1,1981,32.37,18.36,0,25.32
30,1,1981,31.74,18.99,0,24.71
31,1,1981,32.01,19.32,0,24.18
1,2,1981,32.32,18.03,0,25.63
2,2,1981,31.91,18.54,0,25.47
3,2,1981,32.95,18.71,0,25.46
4,2,1981,31.82,19.13,0,25.43
5,2,1981,32.58,19.19,0,25.75
6,2,1981,33.01,18.96,0,26.23
7,2,1981,32.02,18.36,0,25.71
8,2,1981,32.85,19.79,0,25.92
9,2,1981,32.82,19.53,0,25.59
10,2,1981,33.46,19.82,0.07,25.37
11,2,1981,33.08,21.3,0,21.4
12,2,1981,33.27,21.24,0,22.82
13,2,1981,30.68,21.51,1.02,15.87
14,2,1981,30.87,20.96,0,16.19
15,2,1981,31.89,19.95,0,16.8
16,2,1981,32.35,19.91,0,25.33
17,2,1981,33.34,18.94,0,26.31
18,2,1981,34.26,19.58,0,26.1
19,2,1981,32.75,19.57,0,26.07
20,2,1981,32.45,19.38,0,26.02
21,2,1981,34.01,18.94,0,26.54
22,2,1981,33.65,18.77,0,26.46
23,2,1981,33.45,19.23,0,26.52
24,2,1981,33.69,19.63,0,26.59
25,2,1981,33.65,18.81,0,26.77
26,2,1981,33.71,19.33,0,26.65
27,2,1981,33.71,19.81,0,26.37
28,2,1981,34.41,19.78,0,26.64
1,3,1981,34.21,19.83,0,26.14
2,3,1981,34.34,19.99,0,26.42
