day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.16,16.85,0,23.2
2,1,1981,29.44,18.28,0,23.05
3,1,1981,30.14,18.52,0,22.34
4,1,1981,30.05,19.05,0,20.54
5,1,1981,31.17,18.15,0,23.09
6,1,1981,31.89,17.15,0,23.89
7,1,1981,30.58,17.28,0,23.69
8,1,1981,30.36,17.59,0,23.76
9,1,1981,29.74,16.41,3.13,23.65
10,1,1981,30.24,16.77,3.13,23.69
11,1,1981,29.54,16.47,0,23.82
12,1,1981,29.52,16.92,0,23.56
13,1,1981,29.92,17.33,0,21.54
14,1,1981,30.17,17.11,0,23.94
15,1,1981,30.12,17.48,0,24.07
16,1,1981,30.31,18.33,0,23.88
17,1,1981,28.86,18.23,0,23.87
18,1,1981,29,17.21,0,24.01
19,1,1981,29.31,16.84,0,24.21
20,1,1981,29.87,17.39,0,24.13
21,1,1981,28.69,17.91,0,23.6
22,1,1981,29.52,17.56,0,24.04
23,1,1981,29.94,19.23,0,24.09
24,1,1981,30.4,18.02,0,24.28
25,1,1981,30.55,17.44,0,24.01
26,1,1981,30.17,16.48,0,24.67
27,1,1981,31.5,15.86,0,25.08
28,1,1981,31.08,15.78,0,24.95
29,1,1981,32.31,17.79,0,24.52
30,1,1981,31.83,16.77,0,25.34
31,1,1981,31.49,16.25,0,25.48
1,2,1981,31.78,18.06,0,25.08
2,2,1981,31.89,17.68,0,25.17
3,2,1981,32.68,17.37,0,25.44
4,2,1981,31.41,17.5,0,25.01
5,2,1981,30.68,17.99,0,24.51
6,2,1981,30.96,17.78,0,25.12
7,2,1981,29.25,17.13,0,25.02
8,2,1981,29.5,17.56,0,24.87
9,2,1981,29.67,17.76,0,24.93
10,2,1981,30.66,18.96,0,24.49
11,2,1981,31.52,19.43,0.8,22.24
12,2,1981,29.55,20.92,0,20.94
13,2,1981,27.81,19.61,0.96,17.9
14,2,1981,27.35,20.52,1.68,18.13
15,2,1981,27.08,20.36,4.37,16.91
16,2,1981,27.54,20.84,0,18.04
17,2,1981,29.73,19.36,0,22.37
18,2,1981,31.01,19.6,0,25.15
19,2,1981,30.04,20.33,0,20.88
20,2,1981,31.08,18.76,0,24.63
21,2,1981,31.47,19.03,0,23.4
22,2,1981,31.34,19.28,0,25.45
23,2,1981,32.38,19.09,0,25.69
24,2,1981,32.03,19.11,0,25.76
25,2,1981,32.19,19.12,0,25.8
26,2,1981,31.16,18.98,0,25.98
27,2,1981,31.53,18.96,0,25.68
28,2,1981,31.73,19.83,0,25.07
1,3,1981,31.6,19.79,0,23.76
2,3,1981,30.96,19.56,0,21.93
3,3,1981,30.07,20.13,0,22.59
4,3,1981,29.98,20.24,22.85,20.37
5,3,1981,30.39,21.87,0,19.6
6,3,1981,30.68,21.49,0,21.44
7,3,1981,31.28,18.62,0,25.84
8,3,1981,31.37,17.59,0,26.44
9,3,1981,31.91,19.47,1.09,23.69
10,3,1981,30.23,20.3,0.86,22.66
11,3,1981,27.5,19.75,0,15.8
12,3,1981,26.08,19.34,0,14.3
13,3,1981,28.34,19.07,0,22.38
14,3,1981,27.2,18.93,0,20.99
15,3,1981,26.71,19.69,0,15.8
16,3,1981,26.16,19.03,8.1,15.33
17,3,1981,26,18.78,7.73,18.22
18,3,1981,25.76,18.28,0,16.11
19,3,1981,24.18,18.8,7.39,11.69
20,3,1981,25.7,18.07,9.66,17.42
21,3,1981,26.21,18.27,0,20.84
22,3,1981,25.72,18.95,1.56,17.79
23,3,1981,25.72,18.61,15.54,17.64
24,3,1981,26.66,18.03,0,20.98
25,3,1981,27.22,18.43,0,21.67
26,3,1981,26.16,19.02,0,18.96
27,3,1981,26.9,18.87,0,21.78
28,3,1981,25.8,18.84,0,15.43
29,3,1981,26.78,18.78,1.87,20.05
30,3,1981,27.69,18.75,30.92,20.92
31,3,1981,27.26,18.37,0,22.77
1,4,1981,25.01,19.3,0,13.38
2,4,1981,26.81,18.91,0,22.03
3,4,1981,27.35,17.86,22.83,22.11
4,4,1981,26.97,19.22,0,21.55
5,4,1981,27.17,18.9,0,21.81
6,4,1981,28.45,17.98,0,24.68
7,4,1981,29.19,17.31,0,23.92
8,4,1981,27.91,19.34,0,22.46
9,4,1981,27.54,19.37,0,20.73
10,4,1981,27.63,19.13,0.25,21.55
11,4,1981,26.8,19.07,35.15,21.29
12,4,1981,27.58,18.87,0,20.48
13,4,1981,26.74,19.55,0,19.91
14,4,1981,27.8,19.1,0,21.5
15,4,1981,27.3,19.51,0,22.05
16,4,1981,26.88,19.67,0,19.91
17,4,1981,26.22,19.1,1.66,19.02
18,4,1981,25.57,19.4,8.37,14.02
19,4,1981,26.71,18.83,8.39,21.01
20,4,1981,27.2,18.88,13.98,22.76
21,4,1981,26.82,18.56,9.62,21.57
22,4,1981,26.44,18.5,5.96,21.63
23,4,1981,26.09,18.5,0.54,19.89
24,4,1981,26.28,18.4,3.17,20.68
25,4,1981,25.6,19.21,5.26,15.64
26,4,1981,26.67,18.79,6.2,19.82
27,4,1981,26.84,18.86,3.84,19.5
28,4,1981,27.84,19.12,0,22.22
29,4,1981,28.36,19.54,0,22.46
30,4,1981,27.62,19.06,0,21.23
1,5,1981,27.42,19.46,0,20.59
2,5,1981,26.11,19.39,8.89,18.47
3,5,1981,27.74,18.55,8.94,21.88
4,5,1981,26.79,19.42,0,19.56
5,5,1981,27.25,19.23,0,21.34
6,5,1981,28.19,19.28,0,21.88
7,5,1981,28.19,18.99,1.7,21.11
8,5,1981,27.09,19.1,7.75,17.98
9,5,1981,27.34,18.81,8.57,20.65
10,5,1981,26.69,19.26,0,19.43
11,5,1981,26.8,18.45,6.42,19.8
12,5,1981,26.89,19.11,0,20.85
13,5,1981,26.29,19.7,0,19.82
14,5,1981,25.79,19.74,0,18.52
15,5,1981,26.18,18.95,0,18.52
16,5,1981,27.22,19.52,0,20.91
17,5,1981,27.06,19.18,0,16.74
18,5,1981,27.06,19.43,0,19.7
19,5,1981,27.15,19.49,0,18.28
20,5,1981,27.32,19.3,0,20.5
21,5,1981,26.5,18.83,0,18.65
22,5,1981,26.48,18.96,1.54,18.18
23,5,1981,25.02,19.55,0,15.53
24,5,1981,25.87,19.12,0,15.48
25,5,1981,26.15,18.54,0,18.42
26,5,1981,26.35,18.15,0,14.48
27,5,1981,24.86,17.95,0,13.3
28,5,1981,24.81,17.71,0,13.27
29,5,1981,25.69,18.36,0,14.1
30,5,1981,26.29,19.46,0.78,16.64
31,5,1981,25.51,19.37,0,13.27
1,6,1981,27.01,17.9,0,16.9
2,6,1981,27.73,17.63,0,19.48
3,6,1981,26.39,19.28,0,16.6
4,6,1981,25.51,19.35,0,11.66
5,6,1981,26.81,19.29,0,13.15
6,6,1981,26.31,18.94,0,12.38
7,6,1981,26.73,19.69,0,14.61
8,6,1981,26.44,19.58,0,14.12
9,6,1981,26.29,19.84,0,15.79
10,6,1981,26.38,19.11,0,13.7
11,6,1981,26.97,19.13,0,12.97
12,6,1981,25.16,19.01,0,10.6
13,6,1981,27.13,18.48,0,14.77
14,6,1981,28.56,16.91,0,20.54
15,6,1981,29.01,17.48,0,20.34
16,6,1981,26,18.41,0,10.92
17,6,1981,25.63,19.24,0,10.56
18,6,1981,24.88,18.94,0,9.57
19,6,1981,24.96,19.04,0,10.14
20,6,1981,25.19,18.14,0,12.79
21,6,1981,28.26,17.75,0,17.14
22,6,1981,28.87,17.48,0,18.47
23,6,1981,29.76,17.79,0,20.58
24,6,1981,26.79,18.78,7.16,12.93
25,6,1981,28.53,19.27,0,17.41
26,6,1981,29.3,18.53,1.31,20.8
27,6,1981,29.6,18.97,0,20.08
28,6,1981,28.18,19.22,0,14.14
29,6,1981,27.13,20.07,6.01,11.41
30,6,1981,27.82,19.8,0,12.79
1,7,1981,28.2,20.04,0,15.96
2,7,1981,28.47,19.07,0,16.76
3,7,1981,26.73,19.7,0,13.56
4,7,1981,26.15,19.13,0,12.89
5,7,1981,26.05,18.52,0,14.47
6,7,1981,25.62,19.43,0,11.2
7,7,1981,26.56,18.76,0,12.39
8,7,1981,26.96,18.78,0,10.96
9,7,1981,29.15,19.66,0,19.08
10,7,1981,26.73,19.09,0,11.13
11,7,1981,27.17,19.72,0,11.72
12,7,1981,25.47,19.76,0,11.1
13,7,1981,25.37,19.79,0,9.19
14,7,1981,25.69,19.68,0,10.31
15,7,1981,25.33,19.93,0,8.8
16,7,1981,24.48,18.94,0,8.84
17,7,1981,23.38,18.49,0,8.26
18,7,1981,23,18.48,0,7.27
19,7,1981,23.28,18.37,0,7.61
20,7,1981,23.03,18.65,0,8.09
21,7,1981,23.85,18.31,0,9.98
22,7,1981,24.12,18.94,0,9.78
23,7,1981,23.02,18.92,0,7.8
24,7,1981,26.04,18.46,0,11.75
25,7,1981,25.36,18.02,0,12.11
26,7,1981,23.72,19.61,0,9.91
27,7,1981,24.39,19.05,0,10.7
28,7,1981,25.28,18.63,0,11.03
29,7,1981,26.43,19.11,8.87,14.21
30,7,1981,23.59,18.9,0,10.17
31,7,1981,23.61,18.57,0,8.71
1,8,1981,25.7,18.78,0,12.02
2,8,1981,27.69,17.64,0,16.74
3,8,1981,24.61,19.22,0,8.89
4,8,1981,25.14,19.54,0,9.35
5,8,1981,24.76,19.21,0,9.55
6,8,1981,24.65,19.73,6.62,8.73
7,8,1981,25.75,19.35,3.77,10.8
8,8,1981,26.75,18.56,0.79,14.11
9,8,1981,27.87,18.77,0,12.95
10,8,1981,26.1,19.31,0,9.99
11,8,1981,25.65,19.33,0,11.32
12,8,1981,25.27,19.4,0,8.37
13,8,1981,24.81,19.83,0,10.43
14,8,1981,26.57,18.92,0,11.76
15,8,1981,28.35,19.16,0,15.35
16,8,1981,27.45,19.68,0,12.98
17,8,1981,27.6,19.48,0,17.13
18,8,1981,28.4,18.46,0,15.63
19,8,1981,27.91,19.68,0,15.19
20,8,1981,26.44,20.03,0,13.45
21,8,1981,25.84,19.63,0,12.7
22,8,1981,27.24,18.37,0,15.24
23,8,1981,25.32,19.72,0,11.04
24,8,1981,25.66,19.8,0,10.27
25,8,1981,25.96,18,0,12.94
26,8,1981,27.78,19.09,0.29,15.53
27,8,1981,27.64,18.71,0.99,14.2
