day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.81,20.69,0,23.94
2,1,1981,31.28,20.41,0,23.9
3,1,1981,31.37,20.99,0,23.53
4,1,1981,31.34,21.38,0,23.02
5,1,1981,32.42,21.12,0,23.72
6,1,1981,32.07,20.97,0,24.07
7,1,1981,31.92,20.64,0,24.14
8,1,1981,32.12,19.24,0,24.53
9,1,1981,32,19.19,0,24.4
10,1,1981,32.07,20.12,0,24.23
11,1,1981,31.79,20.26,0,24.45
12,1,1981,30.61,20.52,0,24.25
13,1,1981,31.35,20.28,0,22.69
14,1,1981,32.15,20.44,0,24.66
15,1,1981,31.38,19.82,0,24.51
16,1,1981,31.64,20.28,0,23.85
17,1,1981,31.37,20.78,0,24.53
18,1,1981,31,20.3,0,24.86
19,1,1981,31.25,20.24,0,24.72
20,1,1981,31.26,20.71,0,24.69
21,1,1981,31.14,20.29,0,24.02
22,1,1981,31.57,20.41,0,24.74
23,1,1981,31.95,21.42,0,24.69
24,1,1981,31.81,21.31,0,24.89
25,1,1981,32,20.36,0,24.57
26,1,1981,31.97,19.8,0,25.26
27,1,1981,33.41,19.61,0,25.64
28,1,1981,31.93,20.35,0,25.25
29,1,1981,33.32,20.5,0,24.98
30,1,1981,31.43,20.09,0,25.26
31,1,1981,32.54,20.17,0,25.38
1,2,1981,32.61,19.94,0,25.49
2,2,1981,32.4,19.77,0,25.38
3,2,1981,33.75,19.48,0,25.75
4,2,1981,32.46,19.76,0,25.5
5,2,1981,32.76,20.6,0,25.41
6,2,1981,32.87,20.68,0,25.6
7,2,1981,31.05,20.08,0,25.65
8,2,1981,31.58,21.21,0,25.32
9,2,1981,31.72,21.44,0,25.47
10,2,1981,32.38,21.81,0,25.39
11,2,1981,32.27,22.08,0.6,23.77
12,2,1981,32.93,23.37,0.5,23.89
13,2,1981,31.1,23.12,3.22,20.91
14,2,1981,30.38,22.92,0,17.65
15,2,1981,30.13,22.77,3.68,16.45
16,2,1981,31.39,21.9,0,22.16
17,2,1981,32.61,21.83,0,24.67
18,2,1981,33.51,21.99,0,25.3
19,2,1981,32.21,22.4,0.19,22.91
20,2,1981,32.67,21.79,0,25.71
21,2,1981,32.89,21.88,0,25.96
22,2,1981,32.69,22.33,0,26.08
23,2,1981,33.3,21.85,0,26.07
24,2,1981,33.18,22.17,0,25.99
25,2,1981,32.89,22.1,0,26.15
26,2,1981,32.13,21.95,0,26.09
27,2,1981,32.58,21.62,0,26.1
28,2,1981,33.29,22.81,0,25.71
1,3,1981,33.05,22.82,0,25.68
2,3,1981,32.63,22.2,0,25.74
3,3,1981,32.56,22.58,0,24.4
4,3,1981,31.63,23.18,0,22.56
5,3,1981,33.04,23.23,0,23.14
6,3,1981,33.43,23.08,0,24.48
7,3,1981,32.89,22.12,0,26.26
8,3,1981,33.08,21.15,0,26.38
9,3,1981,33.02,22.86,0,24.61
10,3,1981,31.65,22.6,0,20.48
11,3,1981,29.3,21.58,0,18.56
12,3,1981,28.66,21.01,0,19.66
13,3,1981,29.32,22.02,0,21.92
14,3,1981,29.6,21.64,0,18.29
15,3,1981,29.62,21.69,0.66,18.03
16,3,1981,27.55,21.23,0,16.76
17,3,1981,27.63,20.48,0,17.48
18,3,1981,27.21,20.53,0,16.57
19,3,1981,25.77,20.77,7.19,10.46
20,3,1981,26.78,20.41,8.23,18.52
21,3,1981,28.03,20.58,0,20.48
22,3,1981,27.44,21.4,0,19.4
23,3,1981,27.45,21.2,16.35,17.26
24,3,1981,27.61,20.83,21.11,20.37
25,3,1981,28.48,20.74,0,22.3
26,3,1981,26.75,20.6,18.35,15.32
27,3,1981,28.44,20.73,0,22.34
28,3,1981,27.52,20.67,0,17.18
29,3,1981,28.56,21,3.44,21.02
30,3,1981,27.13,21.3,23.35,17.97
31,3,1981,27.75,20.7,0,20.95
1,4,1981,28.07,20.34,0,20.14
2,4,1981,29.33,21.1,0,23.34
3,4,1981,29.1,21.55,1.62,22.72
4,4,1981,28.47,21.52,0,20.85
5,4,1981,27.92,20.75,7.8,22.03
6,4,1981,29.19,20.93,0,22.29
7,4,1981,29.05,20.54,0,23.09
8,4,1981,29.42,21.46,0,23.64
9,4,1981,28.97,22.12,0,20.74
10,4,1981,28.6,21.86,4.84,19
11,4,1981,26.92,21.43,24.96,13.58
12,4,1981,28,21.12,5.51,20.64
13,4,1981,24.85,21.36,0,8.73
14,4,1981,28.18,20.69,7.45,21.19
15,4,1981,27.32,21.21,0,17.5
16,4,1981,27.22,20.67,0,19.88
17,4,1981,27.28,20.89,0.97,17.88
18,4,1981,25.75,20.92,7.74,12.46
19,4,1981,27.77,20.25,13.08,21.21
20,4,1981,28.41,20.81,10.73,22.71
21,4,1981,28.6,21.38,13.45,22.1
22,4,1981,27.41,21.17,10.74,17.72
23,4,1981,26.81,21.08,4.63,16.89
24,4,1981,27.53,20.67,0,19.27
25,4,1981,27.32,20.31,3.89,19.27
26,4,1981,26.97,20.55,8.74,18.45
27,4,1981,26.24,20.64,5.99,15.78
28,4,1981,28.41,20.63,2.41,22.68
29,4,1981,28.24,20.78,0,22.27
30,4,1981,28.78,20.84,0,22.44
1,5,1981,28.53,21.35,0,21.19
2,5,1981,26.82,21.1,21.49,13.65
3,5,1981,27.94,20.95,18.29,20.44
4,5,1981,27.39,20.95,8.61,15.34
5,5,1981,27.71,20.79,0,16.86
6,5,1981,28.43,21.36,0,20.85
7,5,1981,28.71,21.03,0,21.12
8,5,1981,28.65,21.19,0,20.71
9,5,1981,28.69,21.54,4.07,20.95
10,5,1981,28.62,21.36,0,21.62
11,5,1981,28.9,21.01,5.42,21.49
12,5,1981,28.12,21.18,16,17.68
13,5,1981,27.36,20.88,0,16.87
14,5,1981,27.57,21.42,0,17.69
15,5,1981,28.35,20.7,0,19.23
16,5,1981,29.35,21.42,0,20.98
17,5,1981,29.36,21.41,0,18.47
18,5,1981,29.06,21.72,0,18.03
19,5,1981,29.57,21.42,0,19.68
20,5,1981,29.52,21.6,0,20.21
21,5,1981,28.24,21.5,0,18.32
22,5,1981,29.12,21.15,0,19.61
23,5,1981,27.87,21.91,0,10.6
24,5,1981,29.03,21.23,0,18.02
25,5,1981,27.92,21.33,0,16.15
26,5,1981,29.4,20.82,0,16.49
27,5,1981,27.58,20.78,0,11.68
28,5,1981,27.84,20.64,0,13.15
29,5,1981,28.58,20.8,0,13.42
30,5,1981,28.39,21.91,0,12.6
31,5,1981,27.88,21.69,0,11.7
1,6,1981,28.65,21.83,0,13.32
2,6,1981,30.11,20.55,0,19.39
3,6,1981,28.98,21.54,0,16.37
4,6,1981,29.24,21.56,0,14.07
5,6,1981,29.65,21.35,0,15.33
6,6,1981,28.46,21.84,0,11.92
7,6,1981,29.05,21.54,0,15.55
8,6,1981,29.15,21.76,0,16.5
9,6,1981,28.89,21.7,0,16.62
10,6,1981,29.4,21.83,0,16.27
11,6,1981,29.63,21.68,0,14.04
12,6,1981,28.14,21.33,0,12.89
13,6,1981,29.75,21.18,0,15.44
14,6,1981,30.69,20.8,0,19.23
15,6,1981,31.32,21.02,0,18.55
16,6,1981,28.56,21.5,0,10.93
17,6,1981,27.5,21.85,0,9.54
18,6,1981,27.69,22.06,0,8.56
19,6,1981,28.19,21.36,0,11.12
20,6,1981,28.12,20.96,0,11.22
21,6,1981,30.62,20.5,0,17.87
22,6,1981,30.75,20.98,0,17.15
23,6,1981,30.61,21.67,0,15.84
24,6,1981,28.26,21.86,0,10.39
25,6,1981,28.9,22.22,0,12.72
26,6,1981,30.7,21.76,0,15.98
27,6,1981,31.18,21.83,0,17.42
28,6,1981,29.48,22.46,0,11.5
