day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,32.9,20.62,0,23.91
2,1,1981,33.09,21.21,0,23.85
3,1,1981,33.3,21.87,0,23.79
4,1,1981,32.65,22.16,0,23.8
5,1,1981,33.57,22.24,0,23.89
6,1,1981,33.44,20.9,0,24.16
7,1,1981,32.8,20.86,0,23.81
8,1,1981,32.73,20.75,0,24.14
9,1,1981,33.26,20.7,0,24.27
10,1,1981,34.17,21.66,0,24.05
11,1,1981,34.09,20.91,0,24.41
12,1,1981,32.62,20.4,0,24.22
13,1,1981,33.03,21.19,0,24.18
14,1,1981,33.68,21.25,0,24.47
15,1,1981,33.61,20.99,0,24.36
16,1,1981,33.14,21.23,0,24.17
17,1,1981,33.15,20.82,0,24.62
18,1,1981,33.55,20.51,0,24.94
19,1,1981,33.88,20.77,0,24.8
20,1,1981,33.13,21.22,0,24.62
21,1,1981,32.56,20.96,0,24.49
22,1,1981,33.79,20.88,0,24.8
23,1,1981,34.07,21.68,0,24.82
24,1,1981,33.95,21.16,0,25.02
25,1,1981,33.81,20.97,0,24.96
26,1,1981,33.69,20.67,0,25.27
27,1,1981,35.14,19.8,0,25.63
28,1,1981,33.64,20.57,0,25.2
29,1,1981,33.9,20.84,0,25.29
30,1,1981,32.86,21.18,0,24.15
31,1,1981,33.35,21.33,0,24.43
1,2,1981,33.56,20.46,0,25.52
2,2,1981,33.33,20.8,0,25.48
3,2,1981,34.47,21.22,0,25.52
4,2,1981,33.38,21.54,0,25.46
5,2,1981,34.03,21.12,0,25.66
6,2,1981,34.71,21.24,0,26.01
7,2,1981,33.63,20.55,0,25.76
8,2,1981,34.06,22.19,0,25.75
9,2,1981,34.39,21.35,0,25.44
10,2,1981,34.69,22.3,0,25.42
11,2,1981,34.18,23.02,0,23.09
12,2,1981,34.83,23.52,0,24.49
13,2,1981,32.19,23.61,0,16.89
14,2,1981,31.87,22.69,0,15.89
15,2,1981,31.95,21.67,0,15.79
16,2,1981,33.78,21.95,0,24.93
17,2,1981,34.55,21.87,0,26.04
18,2,1981,35.46,22.2,0,25.84
19,2,1981,34.53,22.11,0,26.12
20,2,1981,34.3,21.91,0,26.18
21,2,1981,35.17,21.55,0,26.32
22,2,1981,35.08,21.54,0,26.29
23,2,1981,35.16,22.15,0,26.27
24,2,1981,35.34,22.32,0,26.35
25,2,1981,35.13,21.47,0,26.44
26,2,1981,34.97,21.63,0,26.45
27,2,1981,34.55,21.94,0,25.36
28,2,1981,35.63,22.57,0,26.34
1,3,1981,35.36,22.7,0,26.32
2,3,1981,35.48,22.84,0,26.67
3,3,1981,35.56,23.64,0,26.74
4,3,1981,34.59,23.76,0,22.45
5,3,1981,35.09,22.98,0,26.17
6,3,1981,34.95,22.71,0,26.43
7,3,1981,34.96,22.16,0,26.85
8,3,1981,35.13,22.58,0,26.28
9,3,1981,35.7,23.9,0,26.16
10,3,1981,33.64,24.83,0,19.99
11,3,1981,33.93,24.91,0,22.76
12,3,1981,31.36,23.73,0,21.04
13,3,1981,34.08,24.05,0,24.01
14,3,1981,33.89,24.61,0,22.56
15,3,1981,34.02,25.39,0,20.13
16,3,1981,30.77,24.17,0,17.78
17,3,1981,29.87,23.65,0,17.41
18,3,1981,30.53,23.25,0,20.32
19,3,1981,29.1,23.01,0,18.75
20,3,1981,28.28,22.27,0,17.35
21,3,1981,28.85,23.08,0,20.18
22,3,1981,29.82,22.91,0,21.85
23,3,1981,30.53,22.92,0,20.9
24,3,1981,28.55,23.28,0,16.03
25,3,1981,29.72,23.49,0,18.99
26,3,1981,28.24,22.83,0,16.65
27,3,1981,29.45,23.2,0,18.32
28,3,1981,30.38,22.75,0,20.43
29,3,1981,29.98,23.1,31.93,22.13
30,3,1981,30.23,23.56,10.34,19.35
31,3,1981,28.95,23.3,0,16.95
1,4,1981,30.09,23.08,0,20.36
2,4,1981,31.01,22.17,0,23.46
3,4,1981,31.82,23.75,0,25.15
4,4,1981,31.56,23.93,0,20.04
5,4,1981,32.15,23.83,0,20.91
6,4,1981,33.64,23.36,0,25.08
7,4,1981,34.21,23.29,0,24.41
8,4,1981,34.64,24.68,0,23.94
9,4,1981,34.04,25.74,0,22
10,4,1981,33.56,25.3,7.29,20.28
11,4,1981,33.25,25.68,19.36,18.08
12,4,1981,32.23,25.14,0,17.15
13,4,1981,29.76,24.44,0,16.99
14,4,1981,31.9,23.85,0,19.93
15,4,1981,29.59,23.22,0,15.57
16,4,1981,30.68,23.38,0,18.54
17,4,1981,30.39,23.33,0,18.31
18,4,1981,29.63,23.39,4.62,16.53
19,4,1981,30.38,22.26,13.91,20.98
20,4,1981,31.77,22.51,15.55,23.25
21,4,1981,31.76,23.16,6.83,21.94
22,4,1981,30.37,22.83,17.26,20.64
23,4,1981,28.97,23.91,24.02,16.01
24,4,1981,29.39,22.36,0.79,20.79
25,4,1981,29.06,22.77,0.92,18.39
26,4,1981,29.08,22.41,3.13,17.82
27,4,1981,28.46,22.61,4.59,16.07
28,4,1981,29.64,23.34,2.2,21.54
29,4,1981,29.88,22.77,0,21.7
30,4,1981,30.49,22.76,0,23.43
1,5,1981,30.25,23.22,0,21.43
2,5,1981,30.28,23.42,34.82,19.22
3,5,1981,29.77,22.36,0,19.9
4,5,1981,30.1,22.65,0,19.58
5,5,1981,29.45,22.42,0,19.18
6,5,1981,30.25,23.39,0,21.51
7,5,1981,31.61,23.75,0,20.65
