day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.1,15.05,0,21.91
2,1,1981,30.86,16.53,0,21.21
3,1,1981,32.19,17.88,0,20.82
4,1,1981,30.81,18.23,0.76,20.39
5,1,1981,30.52,17.81,0.82,22.13
6,1,1981,30.04,18.02,0,22.85
7,1,1981,29.63,15.35,0,23.74
8,1,1981,29.48,15.05,0,23.15
9,1,1981,29.2,15.43,0,21.38
10,1,1981,31.86,16.99,0,23.08
11,1,1981,32.03,17.08,0,22.96
12,1,1981,29.46,16.42,0,22.41
13,1,1981,29.21,15.88,0,23.3
14,1,1981,29.52,16.06,0,23.31
15,1,1981,29.82,16.49,0,23.5
16,1,1981,30.24,15.42,0,22.82
17,1,1981,30.77,16.03,0,22.08
18,1,1981,31.85,16.64,0,22.75
19,1,1981,30.61,17.94,1.11,21.35
20,1,1981,30.83,17.35,0.76,21.43
21,1,1981,32.73,17.16,0,22.55
22,1,1981,30.85,18.96,0,21.13
23,1,1981,31.84,18.96,0,21.37
24,1,1981,30.94,17.66,0,20.01
25,1,1981,32.39,17.82,0,23.6
26,1,1981,32.87,18.31,0,24.02
27,1,1981,31.22,18.65,0,23.68
28,1,1981,29.38,17.83,0,22.75
29,1,1981,28.97,17.02,0,22.5
30,1,1981,29.31,15.81,0,25.13
31,1,1981,29.14,14.7,0,25.19
1,2,1981,29.64,14.66,0,24.67
2,2,1981,28.92,15.12,0,24.58
3,2,1981,29.33,14.65,0,24.77
4,2,1981,28.98,16.36,0,21.46
5,2,1981,29.6,15.39,0,22.17
6,2,1981,30.7,15.98,0,22.65
7,2,1981,30.53,16.4,0,22.9
8,2,1981,31.72,16.15,0,24.08
9,2,1981,32.22,16.54,0,23.47
10,2,1981,32.02,17.75,0,22.4
11,2,1981,23.92,18.81,10.48,12.55
12,2,1981,25.16,18.14,4.17,13.92
13,2,1981,26.38,17.54,2.51,17.41
14,2,1981,26.99,18.69,1.67,18.12
15,2,1981,27.87,17.94,0,18.62
16,2,1981,28.87,17.5,0,19.21
17,2,1981,29.44,18.35,0,20.12
18,2,1981,27.52,18.42,0.79,18.32
19,2,1981,30.31,18.6,0,21.05
20,2,1981,30.44,17.58,0,22.16
21,2,1981,30.76,18.09,0,22.15
22,2,1981,31.54,19.49,0,23.26
23,2,1981,32.67,18.01,0,24.49
24,2,1981,33.61,18.73,0,24.26
25,2,1981,32.56,18.45,0,23.9
26,2,1981,30.94,18.88,0,22.24
27,2,1981,31.83,18.94,0,23.43
28,2,1981,33.06,18.71,0,23.22
1,3,1981,34.1,20.91,0,22.82
2,3,1981,33.57,19.96,11.67,22.38
3,3,1981,28.11,20.74,28.86,17.49
4,3,1981,27.35,19.84,5.08,16.02
5,3,1981,25.83,19.55,0,14.69
6,3,1981,26.89,19.66,1.31,17.83
7,3,1981,27.72,18.72,0,20.12
8,3,1981,28.84,17.87,0,22.91
9,3,1981,30.17,17.32,0,22.93
10,3,1981,30.65,19.39,0,23.02
11,3,1981,29.59,19.61,0,19.76
12,3,1981,31.93,19.59,0,23.95
13,3,1981,31.43,20.37,0,21.67
14,3,1981,29.47,19.6,4.37,20.51
15,3,1981,27.28,20.07,12.98,17.11
16,3,1981,28.66,20.2,4.29,17.95
17,3,1981,30.93,19.51,0,21.89
18,3,1981,30.07,19.77,0,21.22
19,3,1981,26.98,19.74,9.08,14.37
20,3,1981,28.3,18.8,4.42,19.84
21,3,1981,30.31,18.99,5.42,23.72
22,3,1981,29.64,19.69,3.85,21.12
23,3,1981,29.01,19.17,1.11,20.73
24,3,1981,28.8,19.37,6.11,19.24
25,3,1981,30.36,18.92,0,22.03
26,3,1981,30.55,19.99,3.73,22.12
27,3,1981,27.16,19.88,6.06,14.91
28,3,1981,25.73,19.84,17.32,13.16
29,3,1981,27.55,19.58,18.85,15.68
30,3,1981,27.25,20.05,12.43,17.83
31,3,1981,28.24,19.82,0,21.95
1,4,1981,27.88,18.85,0,20.78
2,4,1981,26.83,19.38,0.36,17.66
