day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.46,15.57,0,22.11
2,1,1981,26.55,16.24,0,21.47
3,1,1981,26.91,15.62,0,19.82
4,1,1981,25.44,15.9,6.28,18.16
5,1,1981,25.89,15.65,2.49,19.56
6,1,1981,24.42,15.65,5.52,18.1
7,1,1981,24.84,15.47,0,18.88
8,1,1981,25.97,15.15,0,20.88
9,1,1981,26.04,15.62,0,21.02
10,1,1981,26.92,15.16,0,21.86
11,1,1981,26.54,15.56,0,22.16
12,1,1981,26.47,16.56,0,20.35
13,1,1981,26.93,16.41,0,21.32
14,1,1981,26.09,16.7,0,19.54
15,1,1981,26.54,15.42,0,20.12
16,1,1981,25.55,15.61,0,19.55
17,1,1981,25.91,15.62,0,19.26
18,1,1981,26.55,16.3,0,21.33
19,1,1981,26.42,16.95,0,21.02
20,1,1981,27.27,16.62,0,23.15
21,1,1981,26.4,16.64,0,22.24
22,1,1981,25.94,16.94,0,21
23,1,1981,26.25,16.18,0,19.37
24,1,1981,26.3,16.53,0,20.14
25,1,1981,27.77,15.9,0,22.3
26,1,1981,26.74,16.72,0,21.24
27,1,1981,26.67,16.91,0,20.58
28,1,1981,28.06,17.44,0,22.7
29,1,1981,26.01,17.47,0,20.27
30,1,1981,25.46,15.55,0,19.65
31,1,1981,27.23,15.53,0,21.18
1,2,1981,26.78,16.09,0,22.37
2,2,1981,26.89,15.46,0,21.55
3,2,1981,28.65,16.07,0,23.67
4,2,1981,27.23,16.46,0,21.81
5,2,1981,28.03,16.79,0,22.75
6,2,1981,27.72,16.53,0,23.15
7,2,1981,26.79,16.86,0,22.79
8,2,1981,27.58,17.01,0,21.91
9,2,1981,27.7,16.48,0,21.4
10,2,1981,26.74,17.04,0,21.11
11,2,1981,25.89,16.49,0,20
12,2,1981,25.49,15.97,0,19.55
13,2,1981,26.23,16.23,0,18.81
14,2,1981,26.88,16.18,0.43,20.91
15,2,1981,25.77,15.75,22.95,18.6
16,2,1981,23.83,16.47,5.68,15.99
17,2,1981,25.69,15.65,1.03,19.57
18,2,1981,26.47,16.11,19.38,19.43
19,2,1981,24.73,16.05,0,17.11
20,2,1981,26.35,16.07,0,19.74
21,2,1981,27.01,16.13,0,20.6
22,2,1981,26.9,16.41,0,22.16
23,2,1981,28.01,16.85,0,20.88
24,2,1981,28.14,16.38,5.38,22.19
25,2,1981,28.23,17,0,22.42
26,2,1981,27.1,16.33,0,21.62
27,2,1981,26.32,16.68,0,20.23
28,2,1981,27.9,16.88,0.82,22.88
1,3,1981,28.09,17.18,0,22.83
2,3,1981,27.75,17.05,2.81,20.36
3,3,1981,25.52,17.37,0,18.82
4,3,1981,26.5,16.76,0,19.83
5,3,1981,26.64,16.63,13.18,20.64
6,3,1981,26.78,16.57,1.97,20.83
7,3,1981,26.86,16.65,0,20.05
8,3,1981,26.33,17,0,18.99
9,3,1981,27.55,16.26,0,22.58
10,3,1981,27.47,16.58,14.03,20.88
11,3,1981,25.92,16.51,0,19.65
12,3,1981,25.69,16.62,23.61,18.85
13,3,1981,24.43,16.42,5.08,17.81
14,3,1981,25.74,16.25,0,18.92
15,3,1981,24.55,16.8,0,18.16
16,3,1981,22.74,16.73,0.67,14.08
17,3,1981,25.65,17.15,10.59,18.52
18,3,1981,25.48,16.15,0.81,17.73
19,3,1981,24.63,16.61,15.59,15.81
20,3,1981,23.48,16.26,3.76,16.94
21,3,1981,25.25,16.29,29.28,16.47
22,3,1981,25.36,16.25,36.57,18.36
23,3,1981,22.62,16.43,19.9,13.58
24,3,1981,24.05,16.19,2.11,15.8
25,3,1981,20.63,16.27,10.62,8.07
26,3,1981,23.08,15.62,10.53,13.74
27,3,1981,22.84,16.56,29.86,14.46
28,3,1981,24.3,15.6,28.57,17.82
29,3,1981,24.19,16.24,9.05,16.2
30,3,1981,23.88,16.64,19.04,17.63
31,3,1981,24.94,16.25,31.62,16.48
1,4,1981,24.25,16.31,21.27,16.25
2,4,1981,24.29,16.13,1.56,16.94
3,4,1981,25.31,16.28,0,19.29
4,4,1981,25.53,16.28,7.97,20.86
5,4,1981,24.56,16.6,11.53,17.83
6,4,1981,24.36,16.95,12.95,18.05
7,4,1981,24.59,16.4,9.32,19.24
8,4,1981,24.71,16.57,0.22,19.38
9,4,1981,25.2,16.37,1.28,18.76
10,4,1981,25.47,16.74,13.33,19.74
11,4,1981,23.37,16.77,5.22,16.35
12,4,1981,24.06,16.83,10.24,15.64
13,4,1981,24.03,16.72,7.65,18.6
14,4,1981,24.59,16.89,12.89,18.2
15,4,1981,24.77,17.23,35.14,17.04
16,4,1981,24.67,16.44,9.28,19.06
17,4,1981,24.66,16.65,7.01,20.37
18,4,1981,24.52,17.05,11.06,20.03
19,4,1981,24.78,17.2,23.26,16.6
20,4,1981,24.22,16.79,9.16,15.46
21,4,1981,22.96,16.78,7.26,15.69
22,4,1981,22.33,16.57,20.79,14.62
23,4,1981,22.1,16.2,1.16,15.51
24,4,1981,23.6,15.53,13.17,19.61
25,4,1981,23.66,16.09,24.67,19.28
26,4,1981,24.21,16.14,9.22,19.66
27,4,1981,24.27,16.2,16.09,17.69
28,4,1981,25.6,16.15,9.71,21.18
29,4,1981,25.83,16.61,0,20.81
30,4,1981,24.87,16.16,0,18.43
1,5,1981,24.11,16.32,0.55,17.1
2,5,1981,24.78,16.54,0,19.07
3,5,1981,24.9,16.25,11.56,18.64
4,5,1981,24.21,16.5,0,17.96
5,5,1981,24.54,16.43,0,16.7
6,5,1981,23.67,16.66,0,16.62
7,5,1981,21.05,16.35,0.54,14.13
8,5,1981,21.94,16.47,6.39,15.27
9,5,1981,23,16.54,6.41,16
10,5,1981,22.33,15.96,3.65,15.71
11,5,1981,21.97,16.33,1.93,15.71
12,5,1981,21.84,16.09,15.93,15.64
13,5,1981,22.47,16.64,11.37,15.25
14,5,1981,21.02,16.62,16.63,14.87
15,5,1981,21.86,16.48,0.84,16.18
16,5,1981,22.97,15.9,2.21,17.86
