day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.72,14.83,0,21.37
2,1,1981,29.9,14.84,0,22.04
3,1,1981,29.68,15.91,0,20.84
4,1,1981,28.17,15.67,0,18.06
5,1,1981,29.67,14.69,2.68,20
6,1,1981,27.98,14.72,0,16.28
7,1,1981,28.07,14.81,6.25,19.46
8,1,1981,28.98,14.77,0,21
9,1,1981,29.37,15.62,0,21.13
10,1,1981,29.65,15.18,0,21.93
11,1,1981,29.52,15.15,0,21.39
12,1,1981,29.51,15.5,0,18.83
13,1,1981,29.96,16.23,0,22.01
14,1,1981,29.26,16,0,20.35
15,1,1981,29.76,16.06,0,21.32
16,1,1981,28.71,16,0,19.38
17,1,1981,29.7,15.63,0,20.01
18,1,1981,29.77,15.88,0,20.87
19,1,1981,29.98,16.44,0,20.81
20,1,1981,30.26,16.11,0,21.63
21,1,1981,29.43,15.4,0,21.33
22,1,1981,29.58,16,0,20.97
23,1,1981,29.4,15.71,0,18.96
24,1,1981,29.8,15.61,0,20.35
25,1,1981,30.92,16.26,0,22.6
26,1,1981,29.86,16.27,0,20.91
27,1,1981,30.19,15.78,0,20.88
28,1,1981,30.85,15.86,0,22.5
29,1,1981,29.62,16.18,8.74,19.94
30,1,1981,29.13,15.48,0,20.28
31,1,1981,30.18,15.44,0.39,21.4
1,2,1981,29.92,15.12,0,21.03
2,2,1981,30.17,15.1,0,20.7
3,2,1981,30.88,14.21,0,24.07
4,2,1981,30.48,15.83,0,21.82
5,2,1981,30.17,15.83,0,21.87
6,2,1981,30.73,16.73,0,22.13
7,2,1981,30.47,16.43,0,20.98
8,2,1981,31.12,15.95,0,21.44
9,2,1981,30.66,16.7,0,20.74
10,2,1981,30.2,16.21,0,19.64
11,2,1981,29.34,15.14,0,20.91
12,2,1981,29.73,14.64,0,22.21
13,2,1981,29.67,15.47,0,21.42
14,2,1981,29.56,16.17,0,20.7
15,2,1981,29.54,16.02,9.43,19.73
16,2,1981,26.86,15.38,5.57,16.32
17,2,1981,28.76,15.51,0,20.56
18,2,1981,29.51,15.6,1.1,20.53
19,2,1981,28.77,15.7,0,19.87
20,2,1981,29.3,15.18,0.76,20.84
21,2,1981,30.31,15.85,0,22.17
22,2,1981,30.51,16.35,0,23.21
23,2,1981,31.45,16.38,0,23.92
24,2,1981,31.15,17.43,3.87,23.2
25,2,1981,31.14,16.35,0,22.56
26,2,1981,30.74,17.07,0,22.7
27,2,1981,29.63,17.4,0,20.17
28,2,1981,30.67,16.24,4.9,21.91
1,3,1981,31.08,16.8,0,23.04
2,3,1981,30.54,16.95,0,22.21
3,3,1981,29.97,16.22,0,20.22
4,3,1981,30.15,16.93,0,20.36
5,3,1981,29.93,16.36,22.54,19.66
6,3,1981,29.62,16.77,18.13,20.24
7,3,1981,30.2,16.39,0,21.76
8,3,1981,29.63,16.58,0,20.07
9,3,1981,30.54,16.8,0,23.71
10,3,1981,30.65,16.49,0,22.75
11,3,1981,30.13,16.89,1.12,22.21
12,3,1981,28.55,16.78,24.73,19.54
13,3,1981,26.84,16.08,1.12,15.14
14,3,1981,27.79,15.89,1.12,19.4
15,3,1981,27.76,16.43,1.12,16.94
16,3,1981,26.41,16.49,13.96,15.12
17,3,1981,28.48,15.64,4.64,22.21
18,3,1981,28.13,16.24,3.56,19.46
19,3,1981,25.61,16.04,5.29,14.37
20,3,1981,26.63,15.94,0,17.67
21,3,1981,26.62,15.75,22.81,17.5
22,3,1981,28.14,15.95,15.61,20.97
23,3,1981,25.2,15.93,31,14.44
24,3,1981,27.37,15.7,11.01,18.8
25,3,1981,23.34,15.75,17.35,9.92
26,3,1981,25.51,15.31,12.69,15.66
27,3,1981,25.76,15.56,16.71,15.51
28,3,1981,27.03,15.81,7.91,20.61
29,3,1981,26.45,15.69,11.24,19.23
30,3,1981,26.94,16.08,15.9,18.31
31,3,1981,26.86,16.15,10.36,16.94
1,4,1981,26.43,15.4,9.55,19.2
2,4,1981,27.12,15.89,9.56,18.95
3,4,1981,27.3,16.38,1.94,21.15
4,4,1981,27.65,16.54,4.39,21.13
5,4,1981,26.9,16.42,4.72,18.29
6,4,1981,25.99,16.65,0.89,16.32
7,4,1981,27.18,16.17,7.39,20.89
8,4,1981,27.62,16.1,0,21.28
9,4,1981,27.87,16.66,0,21.44
10,4,1981,27.91,16.64,9.84,20.9
11,4,1981,26.24,16.45,9.68,16.88
12,4,1981,26.15,16.15,2.37,16.7
13,4,1981,26.81,16.3,3.3,20.09
14,4,1981,26.98,16.66,11.95,19.98
15,4,1981,27.02,16.56,12.99,20.61
16,4,1981,27.19,16.69,6.83,21.03
17,4,1981,27.17,16.63,6.03,21.58
18,4,1981,26.85,16.84,6.95,20.43
19,4,1981,26.7,16.29,2.08,21.14
20,4,1981,26.61,16.44,5.6,20.85
21,4,1981,25.71,16.72,5.28,18.8
22,4,1981,24.05,16.78,5.15,15.05
23,4,1981,24.55,16.45,8.5,15.27
24,4,1981,26.36,15.27,9.31,19.93
25,4,1981,26.43,15.75,15.03,19.7
26,4,1981,26.62,16.11,8.79,19.67
27,4,1981,26.46,16.51,11.41,20.49
28,4,1981,27.47,16.58,1.16,22.91
29,4,1981,27.74,16.7,0,23.46
30,4,1981,27.96,16.87,0,22.65
1,5,1981,26.43,16.26,0,18.92
2,5,1981,26.97,16.59,0,20.48
3,5,1981,27.57,16.59,0,21.65
4,5,1981,26.61,16.88,0,20.94
5,5,1981,27.38,16.72,0,21.25
6,5,1981,27.45,16.51,0,20.81
7,5,1981,25.37,16.72,3.72,16.3
8,5,1981,24.66,16.03,13.91,16.61
9,5,1981,26.72,16.12,4.33,21.01
10,5,1981,24.15,16.43,5.19,16.01
11,5,1981,24.25,16.25,8.4,16.94
12,5,1981,24.76,16.29,10.51,15.4
13,5,1981,24.82,16.31,8.81,15.76
14,5,1981,23.69,15.82,11.54,13.13
15,5,1981,24.21,16.18,0,15.8
16,5,1981,25.37,15.61,0.43,20.68
17,5,1981,25.37,15.9,23.2,19.7
18,5,1981,25.64,16.37,0,20.72
19,5,1981,25.43,16.28,0,20.92
20,5,1981,24.64,16.25,0.95,18.98
21,5,1981,24.5,16.3,0,18.71
22,5,1981,25.16,16.15,3.36,20.38
23,5,1981,24.72,16.18,0,19.45
24,5,1981,25.25,15.93,0,18.56
25,5,1981,25.5,16.03,12.47,20.24
26,5,1981,25.63,16.5,0.59,19.6
27,5,1981,25.65,16.07,0,20.94
28,5,1981,26.33,16.03,0,22.16
29,5,1981,26.56,16.09,3.8,21.56
30,5,1981,24.66,16.36,24.11,14.86
31,5,1981,25.16,16.71,0,17.53
1,6,1981,24.9,16.62,4.64,18.61
2,6,1981,25.55,16.72,0,20.12
3,6,1981,25.66,16.34,0,18.22
