day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.36,15.25,0,20.48
2,1,1981,26.57,15.13,0,21.52
3,1,1981,26.45,15.57,0,20.14
4,1,1981,24.85,15.37,0,17.72
5,1,1981,26.02,15.54,0,19.23
6,1,1981,24.8,15.93,0,16.14
7,1,1981,24.82,15.72,1.57,18.11
8,1,1981,26.11,15.27,0,20
9,1,1981,26.18,15.18,0,20.28
10,1,1981,26.14,15.23,0,20.18
11,1,1981,25.78,15.41,0,19.48
12,1,1981,25.84,15.42,0,18.28
13,1,1981,27.04,15.87,0,20.77
14,1,1981,26.37,15.91,0,18.98
15,1,1981,26.91,15.8,0,20.46
16,1,1981,25.68,15.59,0,18.56
17,1,1981,26.17,15.63,0,18.04
18,1,1981,26.14,15.7,0,18.8
19,1,1981,25.87,15.78,0,19.01
20,1,1981,27.24,16.19,0,20.71
21,1,1981,26.18,15.23,0,20.5
22,1,1981,25.71,16,0,19.56
23,1,1981,26.02,15.9,0,18.03
24,1,1981,26.22,15.46,0,19.82
25,1,1981,27.85,15.51,0,21.36
26,1,1981,26.4,15.82,0,18.79
27,1,1981,25.83,15.78,0,18.03
28,1,1981,27.27,15.56,0,21.15
29,1,1981,25.98,15.9,5.86,19
30,1,1981,26.13,15.53,5.91,19.96
31,1,1981,26.92,15.61,0.51,20.88
1,2,1981,27.23,15.26,0,21.66
2,2,1981,26.13,15.17,0,20
3,2,1981,28.01,14.91,0,23.52
4,2,1981,27.35,15.5,0,20.55
5,2,1981,27.28,15.51,0,20.37
6,2,1981,27.16,15.58,0,20.81
7,2,1981,26.76,15.45,0,19.52
8,2,1981,27.35,15.62,0,19.69
9,2,1981,26.96,15.6,0,19.04
10,2,1981,26.71,15.92,0,19.28
11,2,1981,26.63,15.38,0,20.28
12,2,1981,27.08,14.96,1.72,21.47
13,2,1981,26.87,15.57,0,21.19
14,2,1981,26.99,15.55,1.6,21.02
15,2,1981,26.72,15.84,0.8,18.8
16,2,1981,25.65,15.78,5.79,16.48
17,2,1981,26.95,15.51,0,20.6
18,2,1981,26.21,15.84,0,19.43
19,2,1981,26.61,16.27,0.41,19.11
20,2,1981,26.99,16.11,0,19.54
21,2,1981,27.7,16.08,0,21.05
22,2,1981,28.09,15.98,0,21.65
23,2,1981,28.51,16.01,0,21.83
24,2,1981,28.56,16.11,3.25,20.69
25,2,1981,28.26,16.05,0,21.38
26,2,1981,27.84,16.01,0,21.34
27,2,1981,26.87,16.15,1.39,18.49
28,2,1981,27.67,16.52,4.48,20.04
1,3,1981,28.07,16.53,0,21.49
2,3,1981,27.86,16.76,4.78,20.03
3,3,1981,26.61,16.4,0,18.39
4,3,1981,27.24,16.56,0,19.7
5,3,1981,26.5,16.22,20.2,18.85
6,3,1981,26.7,16.34,1.41,19.33
7,3,1981,27.55,16.66,0.39,20.28
8,3,1981,26.51,16.58,0,18.67
9,3,1981,27.25,15.97,0,21.02
10,3,1981,26.91,15.71,0,21.04
11,3,1981,27.64,16.03,0,21.09
12,3,1981,26.83,16.45,15.47,18.63
13,3,1981,24.09,16.42,13.19,14.05
14,3,1981,26.14,16.09,1.71,17.73
15,3,1981,26.01,16.38,6.83,16.34
16,3,1981,26.41,16.24,6.46,18.51
17,3,1981,26.79,16.19,7.95,21.26
18,3,1981,26.29,16.14,3.83,18.29
19,3,1981,24.92,16.05,2.59,16.45
20,3,1981,25.89,15.99,3.28,18.62
21,3,1981,25.73,16.45,4.07,17.82
22,3,1981,26.06,16.12,2.58,18.89
23,3,1981,24.34,16.29,7.8,16.34
24,3,1981,26.05,16.12,8.46,17.75
25,3,1981,22.73,16.21,10.48,11
26,3,1981,24.03,16.41,12.97,15.44
27,3,1981,24.94,16.29,6.29,15.6
28,3,1981,25.36,15.98,2.75,18.6
29,3,1981,25.8,16.18,7.85,18.35
30,3,1981,25.85,15.96,5.2,18.29
31,3,1981,26.01,16.26,5.46,18.1
1,4,1981,26.01,15.48,2.88,20.49
2,4,1981,26.5,15.79,7.09,20.49
3,4,1981,27.39,16.29,3.91,21.21
4,4,1981,26.24,16.5,0.87,20.15
5,4,1981,25.72,16.33,0.56,18.7
6,4,1981,25.35,16.48,0.42,17.75
7,4,1981,25.91,16.31,4.52,20.14
8,4,1981,26.39,16.27,0.49,20.92
9,4,1981,26.93,16.34,0,20.86
10,4,1981,26.14,16.28,2.4,20.45
11,4,1981,25.51,16.32,3.03,17.82
12,4,1981,25.68,16.34,0,18.31
13,4,1981,25.96,16.46,2.32,19.21
14,4,1981,26.73,16.6,5.82,19.92
15,4,1981,26.71,16.5,0.95,20.25
16,4,1981,27.04,16.76,4.79,20.5
17,4,1981,27.56,16.9,5.66,20.75
18,4,1981,26.47,16.85,5.84,19.17
19,4,1981,25.58,16.2,0.67,19.24
20,4,1981,25.42,16.27,3.12,19.68
21,4,1981,25,16.11,5.28,18.32
22,4,1981,23.79,16.41,8.35,14.63
23,4,1981,23.69,16.08,6.22,15.48
24,4,1981,24.83,15.31,5.98,18.56
25,4,1981,24.78,15.65,9.33,18.72
26,4,1981,25.12,15.51,9.73,18.95
27,4,1981,25.34,15.87,7.93,20.36
28,4,1981,26.77,16.21,0.7,22.05
29,4,1981,26.25,16.27,0,21.52
30,4,1981,26.02,15.9,0.72,19.39
1,5,1981,24.38,15.98,8.49,17.71
2,5,1981,25.47,16.1,0,19.13
3,5,1981,25.6,15.86,5.04,20.06
4,5,1981,25.33,15.86,0,20.42
5,5,1981,25.66,15.9,0.65,20.31
6,5,1981,25.46,15.84,0.68,19.46
7,5,1981,23.88,15.83,4.11,16.68
8,5,1981,23.34,16.04,7.85,16.02
9,5,1981,25.11,15.78,5.77,19.5
10,5,1981,23.5,15.79,4.52,15.71
11,5,1981,23.71,15.91,6.42,16.36
12,5,1981,22.77,15.92,10.52,14.82
13,5,1981,24.1,15.81,6.53,16.6
14,5,1981,21.89,15.78,7.45,13.68
15,5,1981,23.54,16.04,5.54,16.52
16,5,1981,24.26,15.4,14.54,18.8
17,5,1981,24.56,15.41,15.56,18
18,5,1981,24.5,15.71,1.72,19.12
19,5,1981,24.6,15.58,1.84,19.63
20,5,1981,23.8,15.74,5.16,17.9
21,5,1981,23.77,15.59,12.56,16.81
22,5,1981,24.46,15.33,15.36,18.22
23,5,1981,24.24,15.4,0,17.7
24,5,1981,23.26,15.42,0,15.6
25,5,1981,24.22,15.53,4,18.74
26,5,1981,24.38,15.66,7.72,18.17
27,5,1981,24.28,15.28,6.96,18.37
28,5,1981,24.66,15.26,0.98,19.44
29,5,1981,24.79,15.66,7.01,19.47
30,5,1981,23.28,15.76,12.54,14.23
31,5,1981,23.32,16.02,0.93,15.9
1,6,1981,24.19,15.84,0,18.4
2,6,1981,24.29,15.71,4.96,18.56
3,6,1981,23.17,15.31,8.14,16.68
4,6,1981,23.66,15.08,2.08,17.46
5,6,1981,23.12,15.58,5.7,16.42
6,6,1981,23.36,15.6,6.63,15.63
7,6,1981,23.57,15.34,5.59,16.88
8,6,1981,23.69,15.72,4.38,17.66
9,6,1981,23.41,15.72,0,16.98
10,6,1981,23.54,15.36,0,17.41
11,6,1981,23.38,15.07,2.34,17.99
12,6,1981,22.68,15.14,0.72,17.5
13,6,1981,23,15.3,4.89,17.54
14,6,1981,23.71,15.31,0,18.67
15,6,1981,23.44,14.74,0,18.49
16,6,1981,23.31,14.71,1.65,18.6
17,6,1981,23.54,14.72,0.82,18.1
18,6,1981,23.42,15.11,8.61,17.54
19,6,1981,23.25,15.15,7.35,17.51
20,6,1981,23.23,15.29,4.63,17.85
21,6,1981,21.74,15.22,1.6,13.96
22,6,1981,22.6,14.91,0.11,16.73
23,6,1981,24.05,14.99,5.4,18.38
24,6,1981,23.04,15.17,11.85,16.82
25,6,1981,21.05,15.39,6.02,11.34
26,6,1981,21.58,14.88,8.26,15.51
27,6,1981,22.68,14.71,0.96,17.14
28,6,1981,21.86,14.78,10.62,15.47
29,6,1981,22.43,15.08,9.12,16.73
30,6,1981,23.62,14.85,7.55,17.53
1,7,1981,23.26,15.08,14.45,15.47
2,7,1981,22.29,15.25,3.58,15.15
3,7,1981,22.63,15.24,0,16.82
4,7,1981,23.35,15.27,0,16.75
5,7,1981,22.49,15.2,0,15.77
6,7,1981,23.05,14.96,0,18.19
7,7,1981,23.06,15.13,1.96,17.75
8,7,1981,22.74,14.77,0,17.04
9,7,1981,22.53,14.5,0,16.38
10,7,1981,22.17,15.07,9.79,15.54
11,7,1981,20.23,14.94,3.44,12.93
12,7,1981,23.03,14.38,11.47,17.96
13,7,1981,22.21,14.64,1.82,16.73
14,7,1981,22.94,15.25,5.49,17.06
15,7,1981,22.28,14.87,10,16.51
16,7,1981,20.97,14.91,0.84,13.9
17,7,1981,20.47,14.93,0.32,14.38
18,7,1981,22.37,15.04,7.6,15.9
19,7,1981,22.21,15.04,5.92,15.31
20,7,1981,20.8,14.72,0,12.3
21,7,1981,21.56,14.8,0.9,15.83
22,7,1981,23.34,14.85,8.61,17.85
23,7,1981,22.67,15.05,1.08,16.63
24,7,1981,23.01,15.11,0,17.9
25,7,1981,21.66,14.69,4.88,15.21
26,7,1981,20.39,15.06,4.69,11.94
27,7,1981,20.98,15.15,0.21,15.05
28,7,1981,21.83,14.69,0.68,16.68
29,7,1981,22.34,14.58,15.72,16.18
30,7,1981,20.81,14.72,28.83,13.37
31,7,1981,21.84,15.01,15.88,16.17
1,8,1981,21.63,14.41,5.68,17.15
2,8,1981,23.29,14.75,10.34,17.98
3,8,1981,23.04,14.98,6.86,18.17
4,8,1981,20.62,15.27,10.33,10.52
5,8,1981,22.44,15.09,9.11,16.07
6,8,1981,20.73,15.16,9.28,12.33
7,8,1981,21.66,15.59,11.54,13.32
8,8,1981,21.76,15.22,5.63,13.82
9,8,1981,23.71,15.16,0.67,19.32
10,8,1981,22.98,14.83,0,17.89
11,8,1981,23.06,15.2,5.71,17.54
12,8,1981,22.28,15.26,6.37,16.15
13,8,1981,22.12,15.04,1.78,15.93
14,8,1981,22.4,15.2,7.56,15.9
15,8,1981,23.82,15.09,9.52,18.84
