day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.17,12.39,0,20.34
2,1,1981,22.35,12.25,0,21.43
3,1,1981,22.24,12.76,0,19.99
4,1,1981,20.81,12.53,0.46,17.47
5,1,1981,21.85,12.71,0,19.04
6,1,1981,20.76,13.15,0,15.83
7,1,1981,20.77,12.92,3.45,17.87
8,1,1981,21.92,12.4,0,19.85
9,1,1981,21.98,12.3,0,20.13
10,1,1981,21.94,12.36,0,20.04
11,1,1981,21.62,12.56,0,19.31
12,1,1981,21.67,12.57,0,18.06
13,1,1981,22.73,13.07,0,20.65
14,1,1981,22.13,13.12,0,18.79
15,1,1981,22.6,12.99,0,20.33
16,1,1981,21.51,12.76,0,18.35
17,1,1981,21.95,12.79,0,17.81
18,1,1981,21.92,12.88,0,18.6
19,1,1981,21.68,12.96,0,18.83
20,1,1981,22.9,13.43,0,20.6
21,1,1981,21.94,12.34,0,20.38
22,1,1981,21.53,13.21,0,19.4
23,1,1981,21.8,13.09,0,17.8
24,1,1981,21.97,12.6,0,19.68
25,1,1981,23.42,12.66,0,21.28
26,1,1981,22.13,13.01,0,18.6
27,1,1981,21.62,12.96,0,17.81
28,1,1981,22.9,12.71,0,21.06
29,1,1981,21.75,13.1,8.25,18.82
30,1,1981,21.89,12.68,5.27,19.83
31,1,1981,22.59,12.77,0,20.79
1,2,1981,22.86,12.37,0,21.6
2,2,1981,21.88,12.27,0.53,19.86
3,2,1981,23.55,11.99,0,23.54
4,2,1981,22.96,12.65,0,20.44
5,2,1981,22.9,12.65,0,20.26
6,2,1981,22.79,12.74,0,20.72
7,2,1981,22.44,12.59,0,19.38
8,2,1981,22.96,12.78,0,19.56
9,2,1981,22.61,12.75,0,18.88
10,2,1981,22.39,13.12,0,19.13
11,2,1981,22.32,12.51,0,20.17
12,2,1981,22.72,12.04,0,21.42
13,2,1981,22.53,12.73,0,21.13
14,2,1981,22.64,12.7,4.26,20.95
15,2,1981,22.39,13.04,3.32,18.63
16,2,1981,21.44,12.97,7.49,16.23
17,2,1981,22.6,12.66,0,20.52
18,2,1981,21.95,13.03,0,19.3
19,2,1981,22.29,13.53,1.89,18.97
20,2,1981,22.64,13.34,0,19.42
21,2,1981,23.27,13.31,0,20.99
22,2,1981,23.62,13.2,0,21.62
23,2,1981,23.99,13.23,0,21.81
24,2,1981,24.03,13.34,4.13,20.62
25,2,1981,23.77,13.29,0,21.34
26,2,1981,23.4,13.24,0,21.3
27,2,1981,22.53,13.4,0,18.34
28,2,1981,23.24,13.81,5.37,19.95
1,3,1981,23.6,13.83,0,21.47
2,3,1981,23.41,14.09,6.44,19.94
3,3,1981,22.3,13.69,0,18.24
4,3,1981,22.87,13.87,0,19.61
5,3,1981,22.21,13.49,25.95,18.72
6,3,1981,22.39,13.62,2.83,19.22
7,3,1981,23.15,13.99,8.4,20.22
8,3,1981,22.22,13.9,0,18.54
9,3,1981,22.89,13.21,0,20.99
10,3,1981,22.58,12.92,0,21.01
11,3,1981,23.24,13.28,0,21.06
12,3,1981,22.52,13.76,18.95,18.5
13,3,1981,20.08,13.73,16.09,13.74
14,3,1981,21.91,13.36,0,17.57
15,3,1981,21.79,13.69,7.64,16.12
16,3,1981,22.15,13.54,6.61,18.39
17,3,1981,22.49,13.47,11,21.25
18,3,1981,22.05,13.42,4.49,18.16
19,3,1981,20.84,13.33,2.87,16.25
20,3,1981,21.69,13.26,4.37,18.51
21,3,1981,21.56,13.78,5.51,17.67
22,3,1981,21.85,13.41,4.06,18.79
23,3,1981,20.33,13.6,10.83,16.14
24,3,1981,21.86,13.42,11.76,17.61
25,3,1981,18.91,13.52,13.48,10.58
26,3,1981,20.06,13.75,17.92,15.21
27,3,1981,20.87,13.62,7.8,15.38
28,3,1981,21.25,13.27,3.61,18.5
29,3,1981,21.64,13.5,10.54,18.24
30,3,1981,21.7,13.26,7.07,18.18
31,3,1981,21.84,13.6,8.95,17.98
1,4,1981,21.84,12.71,4.81,20.47
2,4,1981,22.28,13.07,8.62,20.48
3,4,1981,23.08,13.63,5.7,21.23
4,4,1981,22.06,13.88,2.31,20.13
5,4,1981,21.6,13.7,0.96,18.62
6,4,1981,21.27,13.86,1.89,17.63
7,4,1981,21.77,13.67,5.81,20.12
8,4,1981,22.21,13.63,0,20.94
9,4,1981,22.69,13.72,0,20.87
10,4,1981,21.99,13.65,4.02,20.45
11,4,1981,21.43,13.69,5.1,17.72
12,4,1981,21.59,13.72,1.05,18.23
13,4,1981,21.84,13.87,3.24,19.17
14,4,1981,22.53,14.03,8.05,19.91
15,4,1981,22.51,13.92,3.4,20.25
16,4,1981,22.81,14.21,6.96,20.51
17,4,1981,23.28,14.38,7.27,20.77
18,4,1981,22.32,14.32,7.04,19.12
19,4,1981,21.54,13.6,0.87,19.2
20,4,1981,21.39,13.67,3.54,19.67
21,4,1981,21.03,13.49,6.26,18.24
22,4,1981,19.95,13.83,10.4,14.41
23,4,1981,19.87,13.47,7.22,15.3
24,4,1981,20.89,12.6,6.72,18.5
25,4,1981,20.85,12.99,11.5,18.67
26,4,1981,21.15,12.84,11.09,18.91
27,4,1981,21.35,13.25,8.31,20.38
28,4,1981,22.63,13.64,1.01,22.14
29,4,1981,22.18,13.7,0,21.6
