day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.26,15.19,0,20.21
2,1,1981,29.17,15.24,0,21.34
3,1,1981,29,15.64,0,20.1
4,1,1981,27.89,15.93,0,18.06
5,1,1981,29.07,16.53,0,19.56
6,1,1981,27.52,15.87,0,17.4
7,1,1981,27.88,16.31,0.73,18.7
8,1,1981,27.86,15.29,0,19.37
9,1,1981,28.71,15.39,0,19.98
10,1,1981,29.05,15.61,0,20.31
11,1,1981,29.04,16.16,0,20.06
12,1,1981,29.12,16.34,0,18.46
13,1,1981,29.77,16.82,0,20
14,1,1981,29.46,16.76,0,19.12
15,1,1981,29.63,16.15,0,19.93
16,1,1981,28.67,16.14,0,18.43
17,1,1981,29.25,16.45,0,18.6
18,1,1981,29.02,16.68,0,18.44
19,1,1981,29.35,16.16,0,19.22
20,1,1981,30.41,16.74,0,20.7
21,1,1981,29.61,15.69,0,20.54
22,1,1981,29.23,16.68,0,19.55
23,1,1981,29.36,16.7,0,18.23
24,1,1981,29.55,16.4,0,19.68
25,1,1981,30.71,16.6,0,21
26,1,1981,29.28,16.69,0,19.01
27,1,1981,29.18,16.72,0,18.06
28,1,1981,30.42,16.44,0,20.84
29,1,1981,29.57,16.32,4.27,18.99
30,1,1981,29.64,16.27,5.5,19.92
31,1,1981,30.05,16.33,0.66,20.32
1,2,1981,29.39,16.03,0,20.65
2,2,1981,29.19,15.75,0,19.51
3,2,1981,31.56,15.34,0,22.98
4,2,1981,30.44,15.84,0,20.18
5,2,1981,30.07,15.72,0,20.12
6,2,1981,30.19,15.85,0,20.51
7,2,1981,30.2,15.41,0,19.71
8,2,1981,30.69,15.96,0,19.8
9,2,1981,30.6,16.4,0,18.96
10,2,1981,30.32,16.7,0,19.74
11,2,1981,30.56,15.63,0,20.72
12,2,1981,31.22,15.37,1.37,22.06
13,2,1981,30.01,15.61,0,21.3
14,2,1981,30.02,16.5,0,21.16
15,2,1981,29.79,17.19,0,19.44
16,2,1981,29.13,16.34,5.11,17.94
17,2,1981,30.21,16.68,0,20.71
18,2,1981,30.31,17.11,0,20.1
19,2,1981,29.84,17.46,0.39,19.19
20,2,1981,30.1,17.36,0,19.55
21,2,1981,30.65,17.27,0,20.49
22,2,1981,31.24,17.38,0,21.25
23,2,1981,31.9,17.36,0,21.07
24,2,1981,31.44,17.58,4.07,20.18
25,2,1981,31.48,17.91,0,21.03
26,2,1981,30.9,17.51,0,21.14
27,2,1981,30.22,17.14,1.21,18.94
28,2,1981,30.8,18.11,4.53,20.01
1,3,1981,31.18,18.25,0,21.49
2,3,1981,30.95,18.45,0,19.82
3,3,1981,30.13,17.22,0,18.68
4,3,1981,30.59,17.87,0,19.66
5,3,1981,29.48,17.28,18.2,18.83
6,3,1981,30.31,17.93,0,19.62
7,3,1981,30.5,18.12,0,20.33
8,3,1981,29.65,18.1,0,18.82
9,3,1981,30.1,16.84,0,20.97
10,3,1981,30.3,16.89,0,20.94
11,3,1981,31.21,17.48,0,20.46
12,3,1981,28.68,17.06,12.86,18.52
13,3,1981,25.93,16.92,10.35,14.74
14,3,1981,28.26,16.77,1.39,18.17
15,3,1981,28.41,17.38,5.94,17.35
16,3,1981,28.73,16.84,6.13,18.71
17,3,1981,29.02,16.94,6.87,21.24
18,3,1981,29.12,17.42,3.72,19.72
19,3,1981,28.34,17.16,2.11,17.6
20,3,1981,29.01,16.76,3.84,19.44
21,3,1981,28,16.99,2.74,17.97
22,3,1981,28.15,16.92,1.92,19.42
23,3,1981,27.17,17.23,6.33,16.95
24,3,1981,27.84,16.86,7.55,18.03
25,3,1981,24.64,16.84,9.64,10.85
26,3,1981,26.5,16.63,9.91,16.69
27,3,1981,27.47,16.75,5.11,17.13
28,3,1981,27.7,16.58,2.14,18.44
29,3,1981,27.82,16.57,6.47,19.04
30,3,1981,27.42,16.92,4.07,18.01
31,3,1981,27.26,16.95,3.61,18.52
1,4,1981,27.48,16.13,0.84,20.46
2,4,1981,27.65,16.48,4.84,20.04
3,4,1981,28.42,17.1,3.2,21.17
4,4,1981,28.03,17.41,0,20.22
5,4,1981,27.71,17.27,0,19.12
6,4,1981,27.23,17.67,0,19.05
7,4,1981,28.3,17.4,2.64,20.22
8,4,1981,28.57,17.33,0.35,21.05
9,4,1981,28.85,17.56,0,21.08
10,4,1981,28.13,17.38,1.4,20.55
11,4,1981,28,17.41,2.1,18.82
12,4,1981,27.49,17.3,0,18.99
13,4,1981,27.66,17.28,0.41,19.62
14,4,1981,28.79,17.75,4.03,20.47
15,4,1981,29.03,17.76,0,21.25
16,4,1981,28.98,18.1,2.89,21.14
17,4,1981,29.63,18.46,3.17,21.1
18,4,1981,29.28,18.26,3.72,20.61
19,4,1981,28.55,17.19,0,20.55
20,4,1981,28.12,17.36,1.43,20.56
21,4,1981,27.63,17.38,4.09,19.51
22,4,1981,25.52,17.45,6.41,15.38
23,4,1981,26.31,17.24,4.36,16.5
24,4,1981,27.26,16.53,4.3,20.2
25,4,1981,27.63,17.01,6.22,20.41
26,4,1981,27.76,16.49,6.85,20.04
27,4,1981,27.99,17.3,5.72,20.71
28,4,1981,28.96,17.44,0.2,21.93
29,4,1981,28.96,17.52,0,22.03
30,4,1981,28.27,17.44,2.06,20.02
1,5,1981,26.21,17.19,6.49,17.81
2,5,1981,27.61,17.37,0,19.55
3,5,1981,27.67,17.03,5.43,20.23
4,5,1981,27.55,16.76,0,20.31
5,5,1981,27.47,17.14,1.16,19.74
6,5,1981,26.87,16.68,0.86,19.4
7,5,1981,24.33,16.43,4.5,15.75
8,5,1981,24.61,16.95,8.5,16.22
9,5,1981,26.94,16.61,6.47,19.99
10,5,1981,24.88,16.97,4.99,16.42
11,5,1981,26.35,16.86,6.94,17.85
12,5,1981,24.06,16.73,9.99,14.57
13,5,1981,25.88,16.84,6.68,18.29
14,5,1981,23.61,16.73,7.22,13.92
15,5,1981,25.57,16.89,5.97,17.28
16,5,1981,25.98,15.92,13.18,19.88
17,5,1981,26.05,16.39,14.96,18.16
18,5,1981,26.64,16.59,1.32,19.66
19,5,1981,26.77,16.45,2.07,20.19
20,5,1981,26.14,16.83,4.83,18.33
21,5,1981,25.9,17.02,12.14,17.7
22,5,1981,26.45,16.42,14.85,18.88
23,5,1981,26.22,16.91,0,18.86
24,5,1981,25.15,16.67,0,16.6
25,5,1981,25.7,16.87,1.88,19.01
26,5,1981,26.24,17.03,6.73,19.25
27,5,1981,26.13,16.71,6.51,19.37
28,5,1981,26.48,16.06,0.99,20.45
29,5,1981,26.48,16.95,6.67,19.97
30,5,1981,25.17,17.17,10.98,15.17
31,5,1981,24.89,17.25,0.93,16.42
1,6,1981,26.11,17.3,0,18.7
