day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.66,18.93,0,21.54
2,1,1981,30.79,19.58,0,22.06
3,1,1981,30.73,20.09,0,20.43
4,1,1981,29.59,21.19,0,18.55
5,1,1981,30.86,19.81,10.86,20.18
6,1,1981,29.46,19.75,0,16.8
7,1,1981,29.21,19.35,0,19.28
8,1,1981,30.56,19.47,0,21.51
9,1,1981,31.09,19.38,1.16,22.53
10,1,1981,31.19,20.18,1.55,23.32
11,1,1981,31.17,19.33,0,22.77
12,1,1981,31.22,19.79,0,20.19
13,1,1981,31.47,19.76,0,22.26
14,1,1981,30.46,19.48,0,19.55
15,1,1981,31.48,19.77,0,21.58
16,1,1981,30.39,19.97,0,19.44
17,1,1981,31.07,20.28,0,21.62
18,1,1981,31.73,19.64,0,22.24
19,1,1981,31.68,19.36,0,21.99
20,1,1981,31.45,19.56,0,22.37
21,1,1981,31.18,19.02,0,22.33
22,1,1981,30.93,19.97,0,20.89
23,1,1981,30.85,20.63,0,20.01
24,1,1981,31.45,20.53,0,20.06
25,1,1981,32.33,19.95,0,23.33
26,1,1981,31.77,19.66,0,22.85
27,1,1981,32.22,20.79,0,23.07
28,1,1981,32.43,20.79,0,23.17
29,1,1981,31.03,20.89,0,20.11
30,1,1981,30.36,20.96,0,19.4
31,1,1981,30.81,20.46,0,20.1
1,2,1981,30.76,20.39,0,19.35
2,2,1981,31,20.24,0,20.82
3,2,1981,32.67,19.86,0,24.18
4,2,1981,32.07,19.8,0,22.44
5,2,1981,31.67,19.66,0,22.76
6,2,1981,31.86,20.21,0,21.95
7,2,1981,31.56,19.83,0,21.58
8,2,1981,32.45,20.49,0,23.11
9,2,1981,31.85,20.94,0,20.97
10,2,1981,31.6,21.17,0,20.23
11,2,1981,31.35,19.78,0,21.06
12,2,1981,30.31,19.09,0,20.96
13,2,1981,30.81,19.7,0,19.73
14,2,1981,30.56,20.31,0,19.06
15,2,1981,30.95,20.88,18.87,20.49
16,2,1981,28.57,20.05,0,18.26
