day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.51,14.84,0,20.84
2,1,1981,27.36,15.32,0,21.34
3,1,1981,28.76,15.14,0,22.49
4,1,1981,27.25,15.18,10.96,19.91
5,1,1981,28.54,15.98,2.19,20.91
6,1,1981,27.38,17.26,0,18.42
7,1,1981,27.1,16.58,0,20.93
8,1,1981,28.84,16.4,0,22.95
9,1,1981,28.73,15.42,0,24.3
10,1,1981,28.06,14.79,0.31,22.69
11,1,1981,27.92,15.27,0,22.26
12,1,1981,28.16,15.07,0,20.32
13,1,1981,28.01,15.06,0,21.25
14,1,1981,27.81,16.31,0,18.89
15,1,1981,27.76,15.54,0,18.94
16,1,1981,27.63,15.36,0,19.3
17,1,1981,28.55,15.2,0,22.63
18,1,1981,28.34,14.76,0,21.89
19,1,1981,28.72,15.26,0,22.48
20,1,1981,28.85,15.53,0,23.82
21,1,1981,28.46,14.39,0,22.56
22,1,1981,28.1,15.56,0,20.69
23,1,1981,28.12,15.69,0,21.46
24,1,1981,28.76,15.27,0,22.81
25,1,1981,29.48,16.09,0,24.91
26,1,1981,29.06,15.98,0,24.42
27,1,1981,29.39,15.75,0,24.65
28,1,1981,29.75,15.62,0,25.73
29,1,1981,28.97,15.61,0,23.49
30,1,1981,27.88,16.1,0,20.05
31,1,1981,28.51,16.66,0,22.3
1,2,1981,28.71,14.67,0,25.66
2,2,1981,28.69,13.94,0,25.26
3,2,1981,29.42,13.47,0,25.89
4,2,1981,28.9,14.24,0,24.17
5,2,1981,28.86,16.3,0,24.65
6,2,1981,29.03,16.45,0,25.32
7,2,1981,28.87,15.46,0,24.94
8,2,1981,28.95,15.09,0,24.71
9,2,1981,28.32,14.81,0,21.53
10,2,1981,28.61,15.76,0,21.95
11,2,1981,27.89,15.99,0,21.15
12,2,1981,27.24,15.99,0,19.96
13,2,1981,27.01,15.89,0,20.34
14,2,1981,26.47,15.86,21.02,20.51
15,2,1981,27.22,15.8,0,21.63
16,2,1981,25.48,16.88,0,16.98
17,2,1981,26.11,16.01,0,20.18
18,2,1981,26.82,15.81,0,20.51
19,2,1981,27.67,16.73,0,22.48
20,2,1981,28.19,16.23,0,23.45
21,2,1981,28.33,16.13,0,24.7
22,2,1981,28.9,16.37,0,23.36
23,2,1981,29.31,16.11,0,25.68
24,2,1981,29.36,16.14,0,24.61
25,2,1981,29.31,16.29,0,24.75
26,2,1981,29.14,15.58,0,24.25
27,2,1981,28.09,15.85,6.38,22.8
28,2,1981,28.84,17.27,0,23.23
1,3,1981,28.64,16.14,0,23.37
2,3,1981,28,16.89,0,21.65
3,3,1981,28.26,17.27,0,22.05
4,3,1981,27.75,17.64,3.16,20.96
5,3,1981,27.55,16.48,0,19.83
6,3,1981,26.97,15.5,3.51,20.5
7,3,1981,28.37,16.64,0,21.42
8,3,1981,29.24,15.92,0,26.86
9,3,1981,28.47,16.79,0,23.1
10,3,1981,27.42,16.89,0,21.06
11,3,1981,26.7,16.13,0,20.57
12,3,1981,28.01,16.93,0,21.48
13,3,1981,26.7,16.1,0,19.65
14,3,1981,27.1,16.76,3.74,20.32
15,3,1981,26.46,16.77,3.74,18
16,3,1981,25.66,16.48,0,15.76
17,3,1981,26.61,16.48,0,20.73
18,3,1981,26.46,16.22,0,19.17
19,3,1981,24.48,16.13,0,16.65
20,3,1981,25.31,15.37,30.31,18.88
21,3,1981,24.24,16.11,26.32,17.07
22,3,1981,25.08,15.68,12.48,19.03
23,3,1981,23.06,16.93,12.48,13.71
24,3,1981,24.99,16.12,5.07,18.98
25,3,1981,20.53,16.03,9.29,9.06
26,3,1981,24.39,15.5,5.42,19.04
27,3,1981,22.18,16.47,7.7,14.05
28,3,1981,24.63,15.81,16.65,19.31
29,3,1981,24.25,15.99,0,19.71
