day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.08,11.76,0,19.36
2,1,1981,23.82,12.27,0,20.97
3,1,1981,23.77,12.59,0,20.1
4,1,1981,22.8,12.49,1.04,17.92
5,1,1981,24.57,12.37,0.99,21.86
6,1,1981,23.07,12.45,5.13,18.75
7,1,1981,23.82,12.34,0,21.31
8,1,1981,24.07,12,0,23.25
9,1,1981,24,12.03,0,22.28
10,1,1981,24.42,12.21,0,22.58
11,1,1981,24.49,12.34,0,21.89
12,1,1981,24.11,12.48,0,20.5
13,1,1981,24.86,12.39,0,21.56
14,1,1981,24.66,13.29,0,19.56
15,1,1981,24.17,12.74,0,18.36
16,1,1981,24.56,12.7,0,20.17
17,1,1981,24.45,12.8,0,21.28
18,1,1981,24.87,12.43,0,21.91
19,1,1981,24.64,12.93,0,19.63
20,1,1981,25.11,12.41,0,23.07
21,1,1981,24.14,12.33,0,20.01
22,1,1981,23.84,12.82,0,19.57
23,1,1981,24.07,12.8,0,19.79
24,1,1981,24.62,12.79,0,20.55
25,1,1981,25.45,12.23,0,23.7
26,1,1981,25.11,13.01,0,22.64
27,1,1981,24.95,12.14,0,23.34
28,1,1981,25.16,12.03,0,24.33
29,1,1981,24.54,12.31,0,21.06
30,1,1981,23.61,13.03,0,19.4
31,1,1981,24.87,12.45,0,24.11
1,2,1981,24.49,11.79,0,25.01
2,2,1981,24.65,11.84,0,24.67
3,2,1981,24.89,11.66,0,25.03
4,2,1981,24.78,12.24,0,24.2
5,2,1981,24.88,12.44,0,22.87
6,2,1981,25.11,12.66,0,24.41
7,2,1981,25.01,13.02,0,23.73
8,2,1981,24.55,12.11,0,19.59
9,2,1981,24.31,13.06,0,18.21
10,2,1981,24.57,13.35,0,17.49
11,2,1981,23.99,13.4,0,16.62
12,2,1981,23.69,13.04,0,19.52
13,2,1981,23.64,13.33,0,19.03
14,2,1981,23.98,12.22,3.44,20.82
15,2,1981,23.93,13.22,11.25,20.48
16,2,1981,21.59,12.74,4.8,16.33
17,2,1981,23.11,12.31,10.61,19.58
18,2,1981,23.18,12.43,8.64,19.98
19,2,1981,23.51,13.2,0,19.85
20,2,1981,24.1,13.3,0,21.23
21,2,1981,25.35,12.93,0,22.65
22,2,1981,25.32,12.83,0,23.1
23,2,1981,25.89,12.7,0,24.14
24,2,1981,25.46,13.63,0.31,22.7
25,2,1981,25.32,13,0,21.99
26,2,1981,25.2,12.9,0,24.06
27,2,1981,24.04,13.13,0,21.11
28,2,1981,25.02,13.16,5.92,21.71
1,3,1981,25.4,13.79,0,21.7
2,3,1981,24.5,13.87,4.81,20.28
3,3,1981,22.84,12.82,0,18.3
4,3,1981,23.13,12.71,0,19.06
5,3,1981,23.14,12.56,15.62,20.49
6,3,1981,23.17,13.23,9.28,20.95
7,3,1981,23.06,12.97,0,19.9
8,3,1981,23.14,12.38,0,21.4
9,3,1981,23.59,12.57,0,22.14
10,3,1981,23.67,12.85,0,21.36
11,3,1981,23.52,13.62,0,20.89
12,3,1981,23.91,13.18,8.3,20.78
13,3,1981,21.57,12.76,1.82,17.1
14,3,1981,22.13,13.03,44.65,18.92
15,3,1981,22.55,12.71,14.64,19.23
16,3,1981,20.45,12.99,3.56,14.64
17,3,1981,22.5,12.89,2,20.76
18,3,1981,21.86,12.6,8.78,18.83
19,3,1981,21.54,12.4,14.65,19.29
20,3,1981,21.97,12.33,3.41,20.45
21,3,1981,20.26,12.8,12.31,12.08
22,3,1981,22.24,12.3,6.61,20.61
23,3,1981,20.06,12.42,14.88,15.69
24,3,1981,21.64,12.38,4.99,17.96
25,3,1981,19.49,12.58,4.21,12.36
26,3,1981,20.37,12.59,10.53,14.4
27,3,1981,19.54,12.52,12.92,13.52
28,3,1981,21.34,11.92,9.4,19.08
29,3,1981,20.47,12.64,5.1,15.36
30,3,1981,21.44,12.31,5.3,20
31,3,1981,20.77,12.72,8.4,17.26
1,4,1981,20.99,12.67,5.4,17.26
2,4,1981,21.12,12.21,8.74,17.61
3,4,1981,21.38,12.4,0,20.29
4,4,1981,21.66,12.76,0,20.95
5,4,1981,21.26,12.61,7.74,19.32
6,4,1981,21.47,12.94,4.13,20.81
7,4,1981,21.51,12.03,3.79,20.59
8,4,1981,21.38,12.26,3.59,20.57
9,4,1981,22.1,12.65,2.88,20.31
10,4,1981,21.63,12.65,5.14,19.85
11,4,1981,20.9,12.66,2.96,17.36
12,4,1981,20.92,12.91,2.63,17.18
13,4,1981,21.34,12.48,2.48,20.31
14,4,1981,21.26,12.75,8.26,20.25
15,4,1981,21.87,12.72,9.04,20.02
16,4,1981,22.33,12.66,3.81,21.48
17,4,1981,21.72,13.13,1.76,20.9
18,4,1981,21.34,12.82,24.3,20.41
19,4,1981,21.22,12.76,11.34,19.78
20,4,1981,20.84,12.79,1.27,19.41
21,4,1981,19.98,12.64,5.96,16.59
22,4,1981,19.23,12.64,8.3,13.77
23,4,1981,18.84,12.34,0.88,15.15
24,4,1981,20.72,11.81,6.86,19.09
