day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,33.41,23.34,0,22.56
2,1,1981,32.84,23.44,0,21.79
3,1,1981,33.45,23.36,0,22.22
4,1,1981,32.11,23.53,4.83,19.36
5,1,1981,33.22,23.43,6.15,20.36
6,1,1981,32.39,23.62,0.98,18.83
7,1,1981,32.12,23.26,0,20.55
8,1,1981,33.68,22.55,0,23.48
9,1,1981,34.1,22.45,0,23.82
10,1,1981,33.88,21.83,0,23.88
11,1,1981,33.62,22.6,0,23.01
12,1,1981,33.47,23.12,0,21.17
13,1,1981,33.24,23.42,0,22.51
14,1,1981,33.75,22.42,0,22.62
15,1,1981,33.93,23.04,0,23
16,1,1981,33.07,22.87,0,20.48
17,1,1981,33.44,22.41,0,21.51
18,1,1981,33.6,23.1,0,22.9
19,1,1981,33.82,22.8,0,23.22
20,1,1981,33.96,22.52,0,24.17
21,1,1981,33.64,22.37,0,24.14
22,1,1981,33.1,23.01,0,22.02
23,1,1981,33.61,23.23,0,22.2
24,1,1981,34.46,23.18,0,23.61
25,1,1981,34.97,23.49,0,25.11
26,1,1981,34.51,23.26,0,24.6
27,1,1981,34.89,23.05,0,24.89
28,1,1981,35.49,22.65,0,25.44
29,1,1981,34.25,23.32,0,23.09
30,1,1981,32.78,23.61,0,19.11
31,1,1981,33.34,23.67,0,21.87
1,2,1981,34.48,23,0,25.22
2,2,1981,34.78,22.23,0,25.55
3,2,1981,35.04,22.29,0,25.74
4,2,1981,34.94,22.32,0,25.41
5,2,1981,34.74,22.85,0,25.04
6,2,1981,34.55,23.03,0,24.83
7,2,1981,34.45,22.95,0,24.37
8,2,1981,33.99,23.34,0,24.38
9,2,1981,34.13,23.31,0,22.68
10,2,1981,33.58,24.77,0,21.09
11,2,1981,31.42,23.88,0,19.77
12,2,1981,30.78,23.22,0,19.3
13,2,1981,31.55,22.21,0,18.78
14,2,1981,30.79,22.86,23.3,20.12
15,2,1981,31.94,22.53,0,22.67
16,2,1981,29.75,22.71,0,17.55
17,2,1981,30.75,22.25,0,20.03
18,2,1981,31.9,23.03,0,20.94
19,2,1981,32.14,22.63,14.66,21.19
20,2,1981,33.74,23.25,0,23.52
21,2,1981,34.73,23.52,0,25.11
22,2,1981,34.69,23.37,0,25.28
23,2,1981,35.62,24.08,0,26.02
24,2,1981,35.71,24.1,0,25.35
25,2,1981,35.6,24.35,0,25.21
26,2,1981,34.94,23.99,0,25.46
27,2,1981,33.92,23.31,0,23.75
28,2,1981,34.51,24.19,0,24.66
1,3,1981,33.94,23.94,0,23.82
2,3,1981,33.96,24.26,0,23.52
3,3,1981,32.97,23.34,0,23.05
4,3,1981,33.45,24.61,0,22.54
5,3,1981,33.19,24.15,0,21.42
6,3,1981,32.89,23.74,0,20.52
7,3,1981,34.73,24.4,0,22.29
8,3,1981,35.63,23.87,0,26.76
9,3,1981,33.47,23.76,0,22.53
10,3,1981,32.1,24.5,7.06,22.14
11,3,1981,31.89,23.37,0,20.9
12,3,1981,31.97,23.33,0,21.98
13,3,1981,32.01,22.92,0,20.81
14,3,1981,31.04,22.59,9.98,19.8
15,3,1981,31.79,22.89,0,21.37
16,3,1981,29.73,22.87,3.57,16.18
17,3,1981,29.37,22.25,0,17.49
18,3,1981,30.91,22.49,0,20.64
19,3,1981,27.78,23.02,0,15.29
20,3,1981,29.38,22.25,9.62,19.26
21,3,1981,28.3,21.89,19.55,17.46
22,3,1981,30.25,22.52,15.7,20.45
23,3,1981,27.02,21.9,25.9,14.26
24,3,1981,29.3,21.87,7.49,20.38
25,3,1981,21.79,20.26,15.39,5.48
26,3,1981,25.7,20.1,6.4,15.5
27,3,1981,27,20.8,35.16,19.89
28,3,1981,27,21.23,20.51,18.12
29,3,1981,27.91,20.55,0,20.78
30,3,1981,27.2,20.8,6.71,19.59
31,3,1981,26.31,21.31,0,17.51
1,4,1981,25.98,20.95,6.84,16.25
2,4,1981,26.67,21.74,0,17.54
3,4,1981,28.11,21.13,0,21.83
4,4,1981,29,21.75,0,24.15
5,4,1981,27.31,21.89,7.02,19.64
6,4,1981,27.54,21.4,0,18.25
