day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.75,17.82,0,23.01
2,1,1981,28.96,18.19,0,22.32
3,1,1981,29.49,17.66,0,22.15
4,1,1981,28.11,17.68,5.92,19.86
5,1,1981,28.89,17.74,0.69,21.03
6,1,1981,27.59,18.27,4.82,19.55
7,1,1981,28.51,17.77,0,20.97
8,1,1981,28.81,17.85,0,22.52
9,1,1981,29.36,17.15,0,23.53
10,1,1981,29.58,16.81,0,23.92
11,1,1981,29.8,17.11,0,23.34
12,1,1981,28.73,18.09,0,21.31
13,1,1981,29.36,18.62,0,22.78
14,1,1981,29.45,17.87,0,20.22
15,1,1981,29.57,17.52,0,21.1
16,1,1981,28.52,17.71,0,20.52
17,1,1981,28.9,17.44,0,21.97
18,1,1981,29.09,17.47,0,22.48
19,1,1981,29.6,17.69,0,22.11
20,1,1981,30.31,17.54,0,24.66
21,1,1981,29.49,17.16,0,23.53
22,1,1981,29.22,19.11,0,21.97
23,1,1981,28.81,18.72,0,21.58
24,1,1981,29.21,17.75,0,22.63
25,1,1981,30.61,17.34,0,24.75
26,1,1981,30.3,18.72,0,23.36
27,1,1981,29.82,17.51,0,23.12
28,1,1981,30.76,17.35,0,25.24
29,1,1981,29.89,17.46,0,22.89
30,1,1981,28.06,18.31,0,20.42
31,1,1981,29.61,17.45,0,23.18
1,2,1981,29.77,18.48,0,24.93
2,2,1981,29.61,17,0,24.18
3,2,1981,30.87,17.22,0,25.75
4,2,1981,29.89,16.97,0,23.56
5,2,1981,30.38,17.09,0,24.56
6,2,1981,30.69,17.05,0,25.15
7,2,1981,30.2,17.39,0,24.36
8,2,1981,30.42,17.32,0,23.65
9,2,1981,29.73,18.26,0,22.61
10,2,1981,29.83,18.54,0,22.94
11,2,1981,29.03,18.35,0,21.01
12,2,1981,28.2,17.99,0,21.26
13,2,1981,27.94,18.71,0,20.03
14,2,1981,28.67,18.2,7,21.9
15,2,1981,28.73,17.75,18.03,20.95
16,2,1981,23.78,18.46,7.78,16.51
17,2,1981,28.19,17.39,0,21.28
18,2,1981,28.27,18.31,7.89,21
19,2,1981,27.44,17.93,0,20.44
20,2,1981,28.85,17.9,0,22.64
21,2,1981,29.87,18.21,0,23.2
22,2,1981,30.2,17.97,0,24.52
23,2,1981,30.74,18.8,0,23.89
24,2,1981,30.7,18.07,4.06,24.66
25,2,1981,31.23,18.96,0,24.65
26,2,1981,30.25,18.22,0,23.67
27,2,1981,29.12,18.65,0,22.76
28,2,1981,30.79,18.4,0,24.22
1,3,1981,30.39,18.71,0,24.46
2,3,1981,29.64,19.78,0,22.18
