day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,34.66,20.88,0,22.36
2,1,1981,34.56,22,0,21.83
3,1,1981,34.93,22.26,0,21.19
4,1,1981,33.8,22.67,0.32,18.81
5,1,1981,34.34,22.62,9.92,20.64
6,1,1981,33.04,22.52,0.87,18.81
7,1,1981,33.38,22.45,0,20
8,1,1981,34.41,22.12,0,21.82
9,1,1981,34.49,22.37,0.3,21.27
10,1,1981,34.93,22.15,0.8,22.27
11,1,1981,35.06,21.36,0,22.43
12,1,1981,34.69,22.08,0,20.58
13,1,1981,35.65,22.21,0,22.35
14,1,1981,34.62,22.74,0,20.98
15,1,1981,34.89,22.56,0,21.29
16,1,1981,34.27,22.75,0,20.35
17,1,1981,34.73,21.74,0,20.85
18,1,1981,35.14,21.52,0,22.4
19,1,1981,34.79,22.14,0,22.19
20,1,1981,35.08,21.5,0,23.41
21,1,1981,34.9,22.17,0,22.77
22,1,1981,34.82,22.26,0,22.19
23,1,1981,34.72,22.93,0,20.5
24,1,1981,35.07,22.56,0,21.51
25,1,1981,35.59,22.5,0,22.92
26,1,1981,35.09,23.5,0,22.32
27,1,1981,35.14,22.57,0,21.68
28,1,1981,35.49,22.35,0,22.97
29,1,1981,34.39,22.09,0,21.09
30,1,1981,34.44,22.82,0,20.62
31,1,1981,34.88,22.8,0,20.77
1,2,1981,34.69,22.66,0,21.74
2,2,1981,34.27,22.54,0,21.26
3,2,1981,35.59,22.09,0,23.82
4,2,1981,35.11,21.8,0,22.14
5,2,1981,35.41,23.15,0,23.12
6,2,1981,35.28,22.2,0,23.08
7,2,1981,35.21,21.74,0,23.11
8,2,1981,35.62,21.67,0,23.01
9,2,1981,35.91,22.25,0,22.01
10,2,1981,35.31,23.16,0,21.15
11,2,1981,34.09,23.04,0,20.53
12,2,1981,34.6,22.78,0,20.39
13,2,1981,34.31,22.89,0,19.87
14,2,1981,34.67,23.01,0,21.07
15,2,1981,34.12,22.92,12.14,20.58
16,2,1981,32.23,23.44,0,17.42
17,2,1981,33.28,22.22,0,20.57
18,2,1981,33.59,21.76,12.58,21.21
19,2,1981,32.64,22.06,0,19.09
20,2,1981,34.19,22.43,0,21
21,2,1981,34.93,22.54,0,21.84
22,2,1981,35.88,22.43,0,22.91
23,2,1981,35.79,22.74,0,22.2
24,2,1981,36.42,22.94,0.89,23.41
25,2,1981,36.7,22.86,0,23.44
26,2,1981,36,23.32,0,23.09
27,2,1981,34.8,23.61,0,21.42
28,2,1981,36.88,23.41,0,23.9
1,3,1981,37,23.19,0,23.71
2,3,1981,36.2,23.47,0,22.22
3,3,1981,34.6,23.66,0,20.53
4,3,1981,35.07,23.58,0,21.22
5,3,1981,35,23.63,0,21.25
6,3,1981,34.93,23.37,0,21.18
7,3,1981,35.62,22.88,0,21.85
8,3,1981,36.1,23.17,0,20.61
9,3,1981,36.58,22.78,0,23.71
10,3,1981,35.65,23.31,9.14,21.61
11,3,1981,34.44,23.49,0,20.19
12,3,1981,33.83,23.32,1.94,19.96
13,3,1981,32.19,22.82,0,18.57
14,3,1981,32.71,22.7,0,20.02
15,3,1981,32.56,22.28,0,18.9
16,3,1981,28.88,22.57,0,13.75
17,3,1981,32.47,22.75,11.68,20.45
18,3,1981,31.58,22,0,18.74
19,3,1981,29.89,22.41,1.3,14.56
20,3,1981,30.15,21.94,0,18.06
21,3,1981,29.97,21.88,33.32,16.71
22,3,1981,31.05,22.15,21.23,19.49
23,3,1981,29.31,22.09,28.74,15.5
24,3,1981,29.96,22.77,1.46,18.09
25,3,1981,28.16,22.09,3.5,8.94
26,3,1981,29.43,21.02,5.06,16.58
27,3,1981,29.69,21.54,26.96,16.62
28,3,1981,30.63,21.89,28.99,19.97
29,3,1981,29.82,21.89,1.81,18.73
30,3,1981,29.99,22.08,8.08,18.74
31,3,1981,29.26,21.85,7.45,16.84
1,4,1981,30.34,23.68,7.77,18.48
2,4,1981,30.77,22.78,0.97,17.96
3,4,1981,30.57,22.19,0,20.94
4,4,1981,30.46,22.29,0.85,21.02
5,4,1981,29.92,21.81,12.59,18.6
6,4,1981,29.53,22.1,5.53,17.42
7,4,1981,30.01,21.69,6.28,20.29
8,4,1981,30.79,21.59,0,20.64
9,4,1981,30.71,21.74,0.76,20.45
10,4,1981,30.82,21.86,8.06,20.8
11,4,1981,29.48,22.38,2.18,17.02
12,4,1981,29.54,21.84,7.47,15.91
13,4,1981,29.54,22.34,15.11,19.08
14,4,1981,29.36,22.16,3.97,18.35
15,4,1981,29.91,21.75,27.81,18.63
16,4,1981,30.25,21.86,1.77,20.59
17,4,1981,30.59,21.78,0,21.63
18,4,1981,30.37,21.97,0,20.89
19,4,1981,29.89,21.97,28.18,18.82
20,4,1981,29.77,21.55,2.53,17.91
21,4,1981,29.28,21.6,12.19,17.11
22,4,1981,28.57,22.02,2.4,15.33
23,4,1981,28.85,21.48,6.83,17.64
24,4,1981,29.38,20.95,8.68,20.4
25,4,1981,29.8,21.13,14.59,20.08
26,4,1981,29.4,21.64,0.76,20.22
27,4,1981,29.44,21.81,1.89,18.31
28,4,1981,30.25,21.96,15.76,22.09
29,4,1981,30.3,21.61,0,22.18
30,4,1981,30.49,22.28,0,20.47
1,5,1981,29.6,21.53,0,18.83
2,5,1981,29.77,21.73,0,20.13
3,5,1981,29.7,21.23,6.58,20.49
4,5,1981,28.96,21.39,0,18.75
5,5,1981,29.29,21.77,0,18.36
6,5,1981,29.12,21.74,0,18.47
7,5,1981,27.31,21.22,1.05,14.7
8,5,1981,28.03,21.81,9.39,15.59
9,5,1981,28.8,21.51,5.14,18.67
10,5,1981,27.69,20.95,0,16.12
11,5,1981,28.07,21.2,10.26,16.77
12,5,1981,28.13,20.86,2.47,16.88
13,5,1981,27.75,21.98,11.19,15.95
14,5,1981,26.86,21.2,6.26,15.43
15,5,1981,27.58,21.93,3.64,16.38
16,5,1981,28.33,20.84,0,20.08
17,5,1981,28.23,21.01,16.49,19.29
18,5,1981,28.94,20.91,0,20
19,5,1981,28.41,21.29,0,18.49
20,5,1981,28.36,21.09,0,19.03
21,5,1981,28.01,21.24,0,19.16
22,5,1981,28.56,21.14,6.5,19.2
23,5,1981,28.68,20.72,0,19.59
24,5,1981,28.43,20.33,0,19.83
25,5,1981,28.47,20.97,0,19.24
26,5,1981,28.47,20.77,0,18.87
27,5,1981,28.6,21.11,0,19.7
28,5,1981,28.73,20.77,0,20.27
29,5,1981,29.3,21.19,2.26,20.66
30,5,1981,28.28,21.46,19.58,16.69
31,5,1981,28.74,21.78,0,18.23
1,6,1981,27.95,20.93,0,17.29
2,6,1981,28.63,21.25,0,18.59
3,6,1981,28.92,21.05,0,19.21
4,6,1981,28.25,21.28,0,18.41
5,6,1981,27.91,21.72,0,17.72
6,6,1981,28.8,21.17,0,17.21
7,6,1981,28.33,20.7,0,17.07
8,6,1981,28.69,21.21,0,16.95
