day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.68,15.57,0,21.77
2,1,1981,26.43,16.52,0,22.03
3,1,1981,27.72,16.32,0,23.23
4,1,1981,25.97,16.77,12.52,20.5
5,1,1981,27.37,17.38,0,21.48
6,1,1981,25.98,17.19,0,19.27
7,1,1981,26,16.68,0,21.46
8,1,1981,27.52,17.27,0,22.69
9,1,1981,27.71,15.27,0.41,24.83
10,1,1981,27.36,14.81,0.45,23.81
11,1,1981,27.56,15.6,0,23.12
12,1,1981,27.52,16.5,0,21.03
13,1,1981,27.54,16.41,0,22.18
14,1,1981,27.23,16.98,0,19.39
15,1,1981,27.12,16.32,0,19.82
16,1,1981,26.78,15.95,0,19.74
17,1,1981,27.62,15.45,0,23.18
18,1,1981,27.31,16.08,0,22.03
19,1,1981,27.54,16.06,0,22.26
20,1,1981,27.96,15.84,0,24.13
21,1,1981,27.62,15.97,0,23.2
22,1,1981,27.19,17.06,0,21.33
23,1,1981,27.5,16.84,0,22.12
24,1,1981,27.75,16.65,0,23.07
25,1,1981,28.58,16.11,0,25.26
26,1,1981,28.13,16.14,0,24.19
27,1,1981,28.41,16.48,0,24.64
28,1,1981,28.84,16.32,0,25.97
29,1,1981,27.94,16.22,0,24.08
30,1,1981,26.62,17.32,0,20.27
31,1,1981,28.04,17.15,0,23.73
1,2,1981,27.98,15.85,0,25.83
2,2,1981,28.05,15.17,0,25.69
3,2,1981,28.61,15.06,0,26.16
4,2,1981,28.05,15.46,0,24.35
5,2,1981,28.05,15.43,0,24.83
6,2,1981,28.36,15.45,0,25.68
7,2,1981,27.93,15.65,0,24.88
8,2,1981,28.1,16.04,0,24.75
9,2,1981,27.61,16.34,0,22.51
10,2,1981,28.02,16.88,0,23.22
11,2,1981,27.05,18,13.57,21.78
12,2,1981,26.26,17.29,8.43,21.11
13,2,1981,26.01,15.92,8.43,20.24
14,2,1981,25.1,15.94,8.43,21.27
15,2,1981,26.08,16.16,8.43,21.97
16,2,1981,23.19,16.31,0,15.87
17,2,1981,24.4,15.4,0,20.92
18,2,1981,25.15,16.02,2.55,21.22
19,2,1981,26.51,16.25,0,22.51
20,2,1981,27.02,16.85,0,24.15
21,2,1981,27.49,16.76,0,25.03
22,2,1981,27.71,16.2,0,23.72
23,2,1981,28.49,16.23,0,25.95
24,2,1981,28.58,16.56,1.18,25.26
25,2,1981,28.81,17.17,0,25.34
26,2,1981,28.53,17.18,0,24.4
27,2,1981,27.61,16.56,0,23.66
28,2,1981,28.68,17.79,0,23.62
1,3,1981,28.23,17.27,0,23.94
2,3,1981,27.72,17.24,0,21.91
3,3,1981,27.82,17.43,0,22.19
4,3,1981,26.92,17.18,0,21.4
5,3,1981,26.95,16.86,0,20.82
6,3,1981,26.48,16.4,0.9,21.65
7,3,1981,27.57,16.64,0,22.44
8,3,1981,28.58,15.59,0,27.31
9,3,1981,28.17,16.38,0,23.96
10,3,1981,26.88,16.78,0,21.86
11,3,1981,26.03,16.82,0,20.98
12,3,1981,27.15,16.69,0,22.1
13,3,1981,25.52,16.56,0,20.65
14,3,1981,25.22,16.12,2.06,20.99
15,3,1981,24.95,16.55,0,18.84
16,3,1981,23.95,16.64,4.59,16.75
17,3,1981,25.01,16.44,5.18,22.1
18,3,1981,24.77,16.31,4.33,19.95
19,3,1981,22.49,16.11,6.54,16.88
20,3,1981,23.99,15.54,5.52,19.22
21,3,1981,23.27,15.9,0.29,17.58
22,3,1981,24.64,15.45,56.86,19.82
23,3,1981,22.15,15.74,24.44,15.3
24,3,1981,23.73,15.77,3.46,19.95
25,3,1981,19.71,15.45,2.04,9.29
26,3,1981,23.49,14.98,0,19.37
27,3,1981,22.64,16.21,3.29,17.19
28,3,1981,24.05,15.7,37.38,20.53
29,3,1981,24.05,15.67,0,21.34
30,3,1981,23.82,15.28,1.05,19.79
31,3,1981,23.43,15.48,34.46,18.85
1,4,1981,22.5,15.86,0,16.22
2,4,1981,23.11,15.33,28.7,19.78
3,4,1981,24.98,15.56,0,21.62
4,4,1981,24.84,16.07,0,24.05
5,4,1981,23.48,16.7,0,18.81
6,4,1981,24.3,15.65,1.56,20.06
7,4,1981,23.88,15.51,0,20.37
8,4,1981,24.51,16.35,0.9,21.32
9,4,1981,24.64,16.33,0,21.92
10,4,1981,25.66,16.06,14.31,21.37
11,4,1981,22.99,15.97,9.76,17.82
12,4,1981,22.08,16.02,37.93,14.88
13,4,1981,23.98,15.71,13.36,20.02
14,4,1981,23.51,16.14,0,17.79
15,4,1981,23.69,16.04,1.85,17.53
16,4,1981,24.32,15.87,0,21.71
17,4,1981,24.06,16.2,0,20.75
18,4,1981,23.35,16.28,4.26,19.25
19,4,1981,23.43,15.83,12.59,18.31
20,4,1981,22.82,15.76,17.68,17.59
21,4,1981,22.66,16.14,1.35,17.32
22,4,1981,22.44,15.98,27.63,16.13
23,4,1981,21.47,15.1,2.46,15.26
24,4,1981,23.48,15.09,6.9,20.62
25,4,1981,22.99,15.15,1.09,19.05
26,4,1981,23.68,15.66,0,19.79
27,4,1981,24.02,15.24,10.06,20.64
28,4,1981,24.66,14.88,0,22.52
29,4,1981,25.14,16.06,0,23.49
30,4,1981,24.99,15.38,0,21.67
1,5,1981,24.55,15.89,0,20.48
2,5,1981,24.3,15.87,0,20.26
3,5,1981,24.72,15.66,7.17,21.36
4,5,1981,24.42,15.62,0,21.2
5,5,1981,24.59,15.74,0,20.1
6,5,1981,24.49,15.27,0,20.11
7,5,1981,23.36,15.16,11.73,18.77
8,5,1981,22.86,15.51,0.75,18.79
9,5,1981,24.06,15.96,1.16,20.81
10,5,1981,23.72,15.6,0,19.21
11,5,1981,22.48,15.69,0,18.23
